dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
10_training,OK,sqrt,1687,2328,36750,22934,7755,5905708,277107
10_training,OK,naive,1687,2328,36750,603,11198,258944,281040
10_training,OK,precomp,1687,2328,36750,316298,7118,25979160,266621
10_training,OK,sqrt,1687,2328,36750,20934,7810,5905708,277107
10_training,OK,naive,1687,2328,36750,569,12061,258944,281040
10_training,OK,precomp,1687,2328,36750,321445,6863,25979160,266621
10_training,OK,sqrt,1687,2328,36750,49563,7975,5905708,277107
11_training,OK,naive,1194,1069,21391,661,7481,388416,170002
11_training,OK,precomp,1194,1069,21391,135729,6397,19059552,171450
11_training,OK,sqrt,1194,1069,21391,61945,14447,7875844,173015
11_training,OK,naive,1194,1069,21391,1248,23324,388416,170002
11_training,OK,precomp,1194,1069,21391,129625,5384,19059552,171450
11_training,OK,sqrt,1194,1069,21391,28396,5651,7875844,173015
11_training,OK,naive,1194,1069,21391,675,7441,388416,170002
11_training,OK,precomp,1194,1069,21391,127861,5653,19059552,171450
11_training,OK,sqrt,1194,1069,21391,29704,6191,7875844,173015
11_training,OK,naive,1194,1069,21391,673,11881,388416,170002
11_training,OK,precomp,1194,1069,21391,142563,5936,19059552,171450
11_training,OK,sqrt,1194,1069,21391,28182,6983,7875844,173015
12_training,OK,naive,323,692,35147,270,8646,76736,240525
12_training,OK,precomp,323,692,35147,14633,3692,3169172,239899
12_training,OK,sqrt,323,692,35147,6366,4044,1738440,240159
12_training,OK,naive,323,692,35147,249,8032,76736,240525
12_training,OK,precomp,323,692,35147,14413,3733,3169172,239899
12_training,OK,sqrt,323,692,35147,8075,6985,1738440,240159
12_training,OK,naive,323,692,35147,344,10936,76736,240525
12_training,OK,precomp,323,692,35147,14659,3777,3169172,239899
12_training,OK,sqrt,323,692,35147,6075,4043,1738440,240159
12_training,OK,naive,323,692,35147,159,7969,76736,240525
12_training,OK,precomp,323,692,35147,14710,3599,3169172,239899
12_training,OK,sqrt,323,692,35147,5931,4006,1738440,240159
13_training,OK,naive,810,902,21398,618,7384,258944,178648
13_training,OK,precomp,810,902,21398,89276,5201,14688628,178681
13_training,OK,sqrt,810,902,21398,20231,5320,5813912,179659
13_training,OK,naive,810,902,21398,542,7098,258944,178648
13_training,OK,precomp,810,902,21398,88579,5394,14688628,178681
13_training,OK,sqrt,810,902,21398,20446,5313,5813912,179659
13_training,OK,naive,810,902,21398,1039,21363,258944,178648
13_training,OK,precomp,810,902,21398,93880,5378,14688628,178681
13_training,OK,sqrt,810,902,21398,19736,5385,5813912,179659
13_training,OK,naive,810,902,21398,547,7210,258944,178648
13_training,OK,precomp,810,902,21398,89073,5410,14688628,178681
13_training,OK,sqrt,810,902,21398,20471,5441,5813912,179659
14_training,OK,naive,1117,883,24208,612,7218,258944,186482
14_training,OK,precomp,1117,883,24208,93409,5857,14479184,183725
14_training,OK,sqrt,1117,883,24208,43668,6722,5617428,187243
14_training,OK,naive,1117,883,24208,506,7252,258944,186482
14_training,OK,precomp,1117,883,24208,93193,5458,14479184,183725
14_training,OK,sqrt,1117,883,24208,19718,5588,5617428,187243
14_training,OK,naive,1117,883,24208,738,10608,258944,186482
14_training,OK,precomp,1117,883,24208,109584,5273,14479184,183725
14_training,OK,sqrt,1117,883,24208,42411,9171,5617428,187243
14_training,OK,naive,1117,883,24208,508,7372,258944,186482
14_training,OK,precomp,1117,883,24208,108283,5189,14479184,183725
14_training,OK,sqrt,1117,883,24208,19538,5534,5617428,187243
15_training,OK,naive,641,551,33102,228,7924,115104,231457
15_training,OK,precomp,641,551,33102,28108,5374,5421656,229757
15_training,OK,sqrt,641,551,33102,10513,5238,2533548,230921
15_training,OK,naive,641,551,33102,230,9137,115104,231457
15_training,OK,precomp,641,551,33102,26655,4526,5421656,229757
15_training,OK,sqrt,641,551,33102,8677,5119,2533548,230921
15_training,OK,naive,641,551,33102,418,18239,115104,231457
15_training,OK,precomp,641,551,33102,48810,10506,5421656,229757
15_training,OK,sqrt,641,551,33102,13848,6459,2533548,230921
15_training,OK,naive,641,551,33102,249,12864,115104,231457
15_training,OK,precomp,641,551,33102,43194,4449,5421656,229757
15_training,OK,sqrt,641,551,33102,8869,5078,2533548,230921
16_training,OK,naive,326,484,25847,141,6459,76736,166308
16_training,OK,precomp,326,484,25847,23020,8572,2372504,166460
16_training,OK,sqrt,326,484,25847,14605,8300,1629836,166696
16_training,OK,naive,326,484,25847,162,10822,76736,166308
16_training,OK,precomp,326,484,25847,14661,3072,2372504,166460
16_training,OK,sqrt,326,484,25847,6841,5501,1629836,166696
16_training,OK,naive,326,484,25847,178,4611,76736,166308
16_training,OK,precomp,326,484,25847,9794,3051,2372504,166460
16_training,OK,sqrt,326,484,25847,5785,3010,1629836,166696
16_training,OK,naive,326,484,25847,158,3903,76736,166308
16_training,OK,precomp,326,484,25847,9685,2946,2372504,166460
16_training,OK,sqrt,326,484,25847,5530,2848,1629836,166696
17_training,OK,naive,586,473,25560,495,5810,172640,191931
17_training,OK,precomp,586,473,25560,29559,4354,6642148,191022
17_training,OK,sqrt,586,473,25560,12477,4523,3638680,191362
17_training,OK,naive,586,473,25560,331,5690,172640,191931
17_training,OK,precomp,586,473,25560,28347,3975,6642148,191022
17_training,OK,sqrt,586,473,25560,12247,4575,3638680,191362
17_training,OK,naive,586,473,25560,315,5739,172640,191931
17_training,OK,precomp,586,473,25560,29619,4220,6642148,191022
17_training,OK,sqrt,586,473,25560,12243,4395,3638680,191362
17_training,OK,naive,586,473,25560,339,5647,172640,191931
17_training,OK,precomp,586,473,25560,27923,4244,6642148,191022
17_training,OK,sqrt,586,473,25560,12695,4469,3638680,191362
18_training,OK,naive,414,378,30121,201,5408,115104,212621
18_training,OK,precomp,414,378,30121,18202,3647,4501100,211630
18_training,OK,sqrt,414,378,30121,8090,3835,2378928,211244
18_training,OK,naive,414,378,30121,191,5371,115104,212621
18_training,OK,precomp,414,378,30121,18085,3499,4501100,211630
18_training,OK,sqrt,414,378,30121,8353,4093,2378928,211244
18_training,OK,naive,414,378,30121,218,5546,115104,212621
18_training,OK,precomp,414,378,30121,19887,3698,4501100,211630
18_training,OK,sqrt,414,378,30121,8426,3961,2378928,211244
18_training,OK,naive,414,378,30121,208,5893,115104,212621
18_training,OK,precomp,414,378,30121,18708,3748,4501100,211630
18_training,OK,sqrt,414,378,30121,9522,7261,2378928,211244
19_training,OK,naive,461,423,26583,293,11990,172640,193729
19_training,OK,precomp,461,423,26583,52598,7542,5956296,193755
19_training,OK,sqrt,461,423,26583,17673,4578,3422172,194982
19_training,OK,naive,461,423,26583,670,9722,172640,193729
19_training,OK,precomp,461,423,26583,42638,5373,5956296,193755
19_training,OK,sqrt,461,423,26583,21407,5276,3422172,194982
19_training,OK,naive,461,423,26583,492,6857,172640,193729
19_training,OK,precomp,461,423,26583,24264,3868,5956296,193755
19_training,OK,sqrt,461,423,26583,11706,3976,3422172,194982
19_training,OK,naive,461,423,26583,291,5205,172640,193729
19_training,OK,precomp,461,423,26583,30481,3869,5956296,193755
19_training,OK,sqrt,461,423,26583,21680,9439,3422172,194982
20_training,OK,naive,372,433,33461,504,15596,76736,213394
20_training,OK,precomp,372,433,33461,19367,4769,2329436,215139
20_training,OK,sqrt,372,433,33461,13091,6577,1564592,213215
20_training,OK,naive,372,433,33461,134,11387,76736,213394
20_training,OK,precomp,372,433,33461,9855,3295,2329436,215139
20_training,OK,sqrt,372,433,33461,5532,3517,1564592,213215
20_training,OK,naive,372,433,33461,173,5456,76736,213394
20_training,OK,precomp,372,433,33461,24766,6396,2329436,215139
20_training,OK,sqrt,372,433,33461,13903,5541,1564592,213215
20_training,OK,naive,372,433,33461,529,12675,76736,213394
20_training,OK,precomp,372,433,33461,16137,4198,2329436,215139
20_training,OK,sqrt,372,433,33461,14329,7372,1564592,213215
21_training,OK,naive,7030,6204,36793,3597,14223,1310880,176327
21_training,OK,precomp,7030,6204,36793,4200339,14916,215352600,170883
21_training,OK,sqrt,7030,6204,36793,187506,22408,26150252,175762
21_training,OK,naive,7030,6204,36793,4379,22288,1310880,176327
21_training,OK,precomp,7030,6204,36793,3914051,31649,215352600,170883
21_training,OK,sqrt,7030,6204,36793,137850,17047,26150252,175762
21_training,OK,naive,7030,6204,36793,2475,11613,1310880,176327
21_training,OK,precomp,7030,6204,36793,3723043,12209,215352600,170883
21_training,OK,sqrt,7030,6204,36793,108027,12370,26150252,175762
21_training,OK,naive,7030,6204,36793,2338,19561,1310880,176327
21_training,OK,precomp,7030,6204,36793,3486877,13172,215352600,170883
21_training,OK,sqrt,7030,6204,36793,134975,12173,26150252,175762
22_training,OK,naive,7251,5640,30482,3217,19776,873920,146166
22_training,OK,precomp,7251,5640,30482,2819346,10195,166113608,143330
22_training,OK,sqrt,7251,5640,30482,80044,10180,19573692,148236
22_training,OK,naive,7251,5640,30482,1632,11272,873920,146166
22_training,OK,precomp,7251,5640,30482,3012396,11358,166113608,143330
22_training,OK,sqrt,7251,5640,30482,149999,34368,19573692,148236
22_training,OK,naive,7251,5640,30482,2578,21830,873920,146166
22_training,OK,precomp,7251,5640,30482,2961598,19808,166113608,143330
22_training,OK,sqrt,7251,5640,30482,83765,10483,19573692,148236
22_training,OK,naive,7251,5640,30482,1770,11350,873920,146166
22_training,OK,precomp,7251,5640,30482,3400374,11460,166113608,143330
22_training,OK,sqrt,7251,5640,30482,86169,11771,19573692,148236
23_training,OK,naive,8343,6503,25451,4138,9944,1966304,136021
23_training,OK,precomp,8343,6503,25451,6532084,18645,358629804,134151
23_training,OK,sqrt,8343,6503,25451,206669,11805,40966400,135939
23_training,OK,naive,8343,6503,25451,3669,9135,1966304,136021
23_training,OK,precomp,8343,6503,25451,5088036,13193,358629804,134151
23_training,OK,sqrt,8343,6503,25451,169264,11563,40966400,135939
23_training,OK,naive,8343,6503,25451,3418,8957,1966304,136021
23_training,OK,precomp,8343,6503,25451,4872535,13767,358629804,134151
23_training,OK,sqrt,8343,6503,25451,169454,11503,40966400,135939
23_training,OK,naive,8343,6503,25451,3472,8862,1966304,136021
23_training,OK,precomp,8343,6503,25451,4930187,12291,358629804,134151
23_training,OK,sqrt,8343,6503,25451,168477,11613,40966400,135939
24_training,OK,naive,5058,5201,18973,2436,6015,1310880,95121
24_training,OK,precomp,5058,5201,18973,1790093,10308,127003704,93275
24_training,OK,sqrt,5058,5201,18973,138164,10665,28798332,94614
24_training,OK,naive,5058,5201,18973,4246,15395,1310880,95121
24_training,OK,precomp,5058,5201,18973,1774001,12382,127003704,93275
24_training,OK,sqrt,5058,5201,18973,150187,10487,28798332,94614
24_training,OK,naive,5058,5201,18973,3325,13700,1310880,95121
24_training,OK,precomp,5058,5201,18973,1829003,13209,127003704,93275
24_training,OK,sqrt,5058,5201,18973,116652,10389,28798332,94614
24_training,OK,naive,5058,5201,18973,2574,6367,1310880,95121
24_training,OK,precomp,5058,5201,18973,1824912,11091,127003704,93275
24_training,OK,sqrt,5058,5201,18973,119385,10650,28798332,94614
25_training,OK,naive,4158,4575,39625,2682,19491,582624,165569
25_training,OK,precomp,4158,4575,39625,1316689,9079,87905560,160877
25_training,OK,sqrt,4158,4575,39625,51759,8368,12748748,166540
25_training,OK,naive,4158,4575,39625,1957,12768,582624,165569
25_training,OK,precomp,4158,4575,39625,1218509,9703,87905560,160877
25_training,OK,sqrt,4158,4575,39625,55110,8497,12748748,166540
25_training,OK,naive,4158,4575,39625,1596,17366,582624,165569
25_training,OK,precomp,4158,4575,39625,1282010,9599,87905560,160877
25_training,OK,sqrt,4158,4575,39625,83028,8740,12748748,166540
25_training,OK,naive,4158,4575,39625,1193,12068,582624,165569
25_training,OK,precomp,4158,4575,39625,1281557,9616,87905560,160877
25_training,OK,sqrt,4158,4575,39625,49318,9263,12748748,166540
26_training,OK,naive,2279,2360,19318,1033,5339,582624,125446
26_training,OK,precomp,2279,2360,19318,450448,7974,47701132,125342
26_training,OK,sqrt,2279,2360,19318,47905,6819,12533872,126128
26_training,OK,naive,2279,2360,19318,1088,6392,582624,125446
26_training,OK,precomp,2279,2360,19318,488430,19561,47701132,125342
26_training,OK,sqrt,2279,2360,19318,109262,23675,12533872,126128
26_training,OK,naive,2279,2360,19318,3267,16958,582624,125446
26_training,OK,precomp,2279,2360,19318,554008,11179,47701132,125342
26_training,OK,sqrt,2279,2360,19318,74748,6714,12533872,126128
26_training,OK,naive,2279,2360,19318,962,5411,582624,125446
26_training,OK,precomp,2279,2360,19318,465571,7423,47701132,125342
26_training,OK,sqrt,2279,2360,19318,47443,6645,12533872,126128
27_training,OK,naive,2963,2491,34069,1299,10231,582624,170682
27_training,OK,precomp,2963,2491,34069,686153,10204,57827836,168203
27_training,OK,sqrt,2963,2491,34069,47892,9082,12296480,171299
27_training,OK,naive,2963,2491,34069,1166,10625,582624,170682
27_training,OK,precomp,2963,2491,34069,637001,8956,57827836,168203
27_training,OK,sqrt,2963,2491,34069,78931,8964,12296480,171299
27_training,OK,naive,2963,2491,34069,1765,16100,582624,170682
27_training,OK,precomp,2963,2491,34069,657139,14124,57827836,168203
27_training,OK,sqrt,2963,2491,34069,82794,8734,12296480,171299
27_training,OK,naive,2963,2491,34069,1164,9615,582624,170682
27_training,OK,precomp,2963,2491,34069,651115,10637,57827836,168203
27_training,OK,sqrt,2963,2491,34069,71515,8545,12296480,171299
28_training,OK,naive,1484,1653,41372,869,20887,172640,170719
28_training,OK,precomp,1484,1653,41372,120923,6146,14655276,165026
28_training,OK,sqrt,1484,1653,41372,17080,5967,4565904,167796
28_training,OK,naive,1484,1653,41372,524,14619,172640,170719
28_training,OK,precomp,1484,1653,41372,203311,6209,14655276,165026
28_training,OK,sqrt,1484,1653,41372,17990,6505,4565904,167796
28_training,OK,naive,1484,1653,41372,408,9354,172640,170719
28_training,OK,precomp,1484,1653,41372,219081,6026,14655276,165026
28_training,OK,sqrt,1484,1653,41372,21091,5974,4565904,167796
28_training,OK,naive,1484,1653,41372,588,15085,172640,170719
28_training,OK,precomp,1484,1653,41372,150466,6064,14655276,165026
28_training,OK,sqrt,1484,1653,41372,16451,5728,4565904,167796
29_training,OK,naive,3348,2533,25632,2985,15881,873920,125471
29_training,OK,precomp,3348,2533,25632,788786,9585,67510588,124702
29_training,OK,sqrt,3348,2533,25632,86535,7587,17925104,125398
29_training,OK,naive,3348,2533,25632,2752,14413,873920,125471
29_training,OK,precomp,3348,2533,25632,727448,10743,67510588,124702
29_training,OK,sqrt,3348,2533,25632,69438,8256,17925104,125398
29_training,OK,naive,3348,2533,25632,1540,6703,873920,125471
29_training,OK,precomp,3348,2533,25632,722705,9546,67510588,124702
29_training,OK,sqrt,3348,2533,25632,71936,8557,17925104,125398
29_training,OK,naive,3348,2533,25632,2002,7043,873920,125471
29_training,OK,precomp,3348,2533,25632,741384,10297,67510588,124702
29_training,OK,sqrt,3348,2533,25632,80671,9880,17925104,125398
30_training,OK,naive,2205,2345,38826,1404,18612,388416,177526
30_training,OK,precomp,2205,2345,38826,425235,6940,41837232,176324
30_training,OK,sqrt,2205,2345,38826,35429,8675,8273796,177739
30_training,OK,naive,2205,2345,38826,722,10624,388416,177526
30_training,OK,precomp,2205,2345,38826,498654,6912,41837232,176324
30_training,OK,sqrt,2205,2345,38826,31876,9236,8273796,177739
30_training,OK,naive,2205,2345,38826,1082,22873,388416,177526
30_training,OK,precomp,2205,2345,38826,436076,6754,41837232,176324
30_training,OK,sqrt,2205,2345,38826,47200,16259,8273796,177739
30_training,OK,naive,2205,2345,38826,812,10667,388416,177526
30_training,OK,precomp,2205,2345,38826,419854,6777,41837232,176324
30_training,OK,sqrt,2205,2345,38826,33912,8655,8273796,177739
31_training,OK,naive,792,967,40881,248,6972,115104,173092
31_training,OK,precomp,792,967,40881,33884,4826,5506664,171003
31_training,OK,sqrt,792,967,40881,9150,4209,2526460,174008
31_training,OK,naive,792,967,40881,252,9545,115104,173092
31_training,OK,precomp,792,967,40881,29586,4912,5506664,171003
31_training,OK,sqrt,792,967,40881,9017,4356,2526460,174008
31_training,OK,naive,792,967,40881,251,6937,115104,173092
31_training,OK,precomp,792,967,40881,28229,4488,5506664,171003
31_training,OK,sqrt,792,967,40881,9151,4357,2526460,174008
31_training,OK,naive,792,967,40881,615,8129,115104,173092
31_training,OK,precomp,792,967,40881,30816,4917,5506664,171003
31_training,OK,sqrt,792,967,40881,9051,4260,2526460,174008
32_training,OK,naive,1229,1121,46193,577,10274,258944,183081
32_training,OK,precomp,1229,1121,46193,105657,6669,15379192,181787
32_training,OK,sqrt,1229,1121,46193,25040,12430,5167980,182622
32_training,OK,naive,1229,1121,46193,520,9864,258944,183081
32_training,OK,precomp,1229,1121,46193,116319,6085,15379192,181787
32_training,OK,sqrt,1229,1121,46193,30459,6454,5167980,182622
32_training,OK,naive,1229,1121,46193,439,11529,258944,183081
32_training,OK,precomp,1229,1121,46193,120331,6012,15379192,181787
32_training,OK,sqrt,1229,1121,46193,18844,5839,5167980,182622
32_training,OK,naive,1229,1121,46193,433,9991,258944,183081
32_training,OK,precomp,1229,1121,46193,106919,6222,15379192,181787
32_training,OK,sqrt,1229,1121,46193,19395,5890,5167980,182622
33_training,OK,naive,1256,1058,30755,500,5340,258944,120646
33_training,OK,precomp,1256,1058,30755,87081,6265,15519688,120565
33_training,OK,sqrt,1256,1058,30755,19810,4975,5699548,120904
33_training,OK,naive,1256,1058,30755,518,5309,258944,120646
33_training,OK,precomp,1256,1058,30755,100443,5568,15519688,120565
33_training,OK,sqrt,1256,1058,30755,19834,4853,5699548,120904
33_training,OK,naive,1256,1058,30755,458,5330,258944,120646
33_training,OK,precomp,1256,1058,30755,114156,5156,15519688,120565
33_training,OK,sqrt,1256,1058,30755,24173,5095,5699548,120904
33_training,OK,naive,1256,1058,30755,462,5339,258944,120646
33_training,OK,precomp,1256,1058,30755,93825,5322,15519688,120565
33_training,OK,sqrt,1256,1058,30755,21422,5072,5699548,120904
34_training,OK,naive,1421,1339,36939,705,8488,258944,151119
34_training,OK,precomp,1421,1339,36939,143491,7337,19279084,148132
34_training,OK,sqrt,1421,1339,36939,25328,6121,6731312,148440
34_training,OK,naive,1421,1339,36939,545,7978,258944,151119
34_training,OK,precomp,1421,1339,36939,136179,7205,19279084,148132
34_training,OK,sqrt,1421,1339,36939,24468,5866,6731312,148440
34_training,OK,naive,1421,1339,36939,541,8050,258944,151119
34_training,OK,precomp,1421,1339,36939,150776,6634,19279084,148132
34_training,OK,sqrt,1421,1339,36939,27411,6388,6731312,148440
34_training,OK,naive,1421,1339,36939,525,8132,258944,151119
34_training,OK,precomp,1421,1339,36939,139363,6634,19279084,148132
34_training,OK,sqrt,1421,1339,36939,24465,6201,6731312,148440
35_training,OK,naive,1317,1224,36835,563,6689,258944,155518
35_training,OK,precomp,1317,1224,36835,114349,6449,17032796,155362
35_training,OK,sqrt,1317,1224,36835,21166,5536,5646256,155514
35_training,OK,naive,1317,1224,36835,519,6593,258944,155518
35_training,OK,precomp,1317,1224,36835,160962,7276,17032796,155362
35_training,OK,sqrt,1317,1224,36835,20433,5498,5646256,155514
35_training,OK,naive,1317,1224,36835,472,6457,258944,155518
35_training,OK,precomp,1317,1224,36835,135833,6585,17032796,155362
35_training,OK,sqrt,1317,1224,36835,20644,5278,5646256,155514
35_training,OK,naive,1317,1224,36835,485,6611,258944,155518
35_training,OK,precomp,1317,1224,36835,151061,9173,17032796,155362
35_training,OK,sqrt,1317,1224,36835,37930,10645,5646256,155514
36_training,OK,naive,735,655,23861,963,7032,258944,93359
36_training,OK,precomp,735,655,23861,42732,4332,10079220,93312
36_training,OK,sqrt,735,655,23861,18288,3969,5440472,93359
36_training,OK,naive,735,655,23861,473,3563,258944,93359
36_training,OK,precomp,735,655,23861,53578,8563,10079220,93312
36_training,OK,sqrt,735,655,23861,18659,3963,5440472,93359
36_training,OK,naive,735,655,23861,472,3528,258944,93359
36_training,OK,precomp,735,655,23861,47138,4922,10079220,93312
36_training,OK,sqrt,735,655,23861,18830,4049,5440472,93359
36_training,OK,naive,735,655,23861,429,3488,258944,93359
36_training,OK,precomp,735,655,23861,41785,4444,10079220,93312
36_training,OK,sqrt,735,655,23861,18482,4098,5440472,93359
37_training,OK,naive,450,558,30382,731,11621,115104,115563
37_training,OK,precomp,450,558,30382,23014,3663,4715476,116371
37_training,OK,sqrt,450,558,30382,8274,3176,2520952,116451
