22823
AAAABBABABBBBBA BAAABAA
ABAABAAB BBBABAAABBAABBBAABAABAAAAABAABABABBB
BBABBBABBBBBAAAA AAAB
BAAA AA
BAA AA
AABBBAABAAAAB ABAAABAABB
BABBABBBAB ABBBBBABBAAAAABABB
AAABBABAAABAABA $
BBAA ABAABAABABBBBBBABA
BBABBAABAAABABABABBBAAAABBBA BAABAAAAABBBABB
BAAB BAB
ABABBBA AABAABBAAAABBAABAABBAA
AAAAABA BBBABABBAABAAAAAAABABAAAABBAB
BBBBAABAAABAB BBBBAABABBBAAA
BABAA BAABAABA
A AA
BABBABBBB BABBBAB
BBABBA AABAABABBBAAAB
ABBABB ABBBABABAAABBABBBBB
AABAAAABAAAA BBAABAAA
BBAAABBABAABBBABBABBAA AABBBBAABABABB
BB B
AAABABABA BBABBAB
BABBAAA BAABBAABAAABBBBAAABAAAAABBABBABBBAABBABBABBBA
AAB BAAABBBA
AB A
AABAAA $
AAAAAABBBA AAB
ABAABA AB
BBAAAA BAAABAAAABBAAABABBBBAA
BBBABBAA AAAABBABABBBBBA
BAAAB BAAAAABAAAAAB
AAAABBB AAAABAABBBAAAAABBAAAAABBBABBAABBBBBA
BAAABABAABBBBABBAAABABBBB BAABBAB
ABBAABBA BAAAABAAAAAAABAAAAABABABBAAABAABA
ABB ABBBAABBBAAAAAA
AABAABBAAAABBAABAAB ABA
AA AABABBAABABBBABBBBBBBBABB
BBBBABAAAAAA BBBBABBABAABABBBB
$ BBB
AABBBAABAA $
$ AAAAAA
AAA BABBBBBBAABBBAABAABABBBABABAABBBABA
AABBBAA AAABABBBABABBABBB
ABAABBA ABABABA
ABBBB BAA
AABBB BAABAAAABAABBABAAAAB
ABBAAAAAAA ABABBBBBBAAAAB
BAAABBABAAAB BAABAB
AAABABABBAABAABAA BBBABABABAABABB
AABABB BBBBBBAA
AABAABAABAABABBAA AAB
BAAA BAABABABABBBAABAAA
ABBBABABBAAAABB AABBBAABAAAABBB
ABBBBBAABBBAAAAABAA AAAAA
BABBBBBBAABBBAABAABABBBABABAABBBABA AAA
BBABABAAAABBBAAABABBABBAAABBBABA AAABBBAABAABBABBBBABBBABA
BBBBABBA AAAAAA
ABAA BBBBB
BBABAAABABABBBBABAAA BA
AABB BABBBBBBBABBBBABBBBAABBBBAAABBAABBBAAABBAABBAA
AB AABBBAABBBABA
AA BABBBBABABAAA
AAABABAABAAAAABBAAABBB B
BBBB AABAA
$ ABA
AB ABAABA
BABBAAABABBBA BABBBBAABBAABAABABABBBA
BBBAABB A
AAABABAABAAAAABBAAABBB AAB
BBA BBABAAABABABBBBABAA
ABBAAA AABAABABBAB
ABBBBAAA BAAABBABABBBBBABABBAABA
AABAAA BAAAABABBA
AAABABBBAAB A
$ BAAABBABBBBBABAAABABAB
BBAA AAAAABAAAAAAAAABAABBB
ABBBBAAABAABBBBBBAB ABA
ABBBABA $
BAABBB BBBAB
AAAABBBBB AAAABAABBBAAAAABBAAAAABBBABBAABBBBBABB
BBABAABAAABAABBBBBB AABBAB
BA ABAAABBABB
ABABA A
AABBA BAAAAAABBAAABBB
AABBBABBBAABAAABBBABAAABA ABABAAAAAA
AAABBAABAAABBAABBBAAA BBAABABBBA
BBABBBAAAABAAABAABABBABAABBABAABB BB
BBBBBAAAA AAAAABABAABB
AAB BBBAABBAB
AAABBBAABAABBABBBBABBBA BBABABAAAABBBAAABABBABBAAABBBA
AAAAABAAAA BB
BBAABBBBBAB BBBAA
$ BBBBB
ABAABABBA BBAAAA
BBABBBAAAABAAABAABABBABAABBABA BB
BBAAABAA ABBBAABBBABBABBA
ABBABBABBBBBAABBBBABABBBAABABABA ABABBA
BBBAAAABBAAABBBBAABBAABBAA BABBABBABBABAABBBABBBBBBABA
BAABBBABAAABBAA BAAB
ABAAA ABABBBBBBAAABAABBBA
ABABBABBAB ABBBBAAAAAABAAABAAAA
ABB ABBBABAABA
AABABAB ABBBBBBAABAABBABA
AABABAAB ABBBBBAAA
AAAABAABBBAAAAABBAAAAABBBABBAABBBBBABBBA AAAABBBBBBA
ABBAAAABB AABABBB
AA B
ABAAAAA BBAABAABBBAAABAABBBBAAABBAAAAAAAABA
BAAAAAAABBAABAAABAAAABBBB AAB
$ BAABABABABBB
BBAAAABABAA ABBBAABBBABBABBABAA
B BBBAABABBAAAAABBBAAAB
BABA BBBBB
BBBABAB ABABBA
BAB ABBAAAABBABAAABABABABB
BAB BAAAABBABAABA
AB AAABAB
ABBBBAAAABBAABBBBAABBBAAB BB
ABABAAA BABBBBABABAAABAB
ABABABBBBAA ABBAAABAABBBAAABAA
BABAA AAAAAABBBA
ABBBBBBBABAAB ABBABAAAA
AABBABBBAABAAABAAABABAABABBBABA ABAABA
AABB BBAAAAABA
BBABBBBB BABBABABBB
BAAAAAAABBAABAAABAAAABBBBAABBBAB BBA
ABABBABBABBBBABABB AAABAABAAB
ABBABB BBBBABABBBABBAB
AABABBBBABAAAA AAABAAAA
B $
ABBBBBB BA
ABBABBAAAABABBBBAAABAAABBBAABBBAABABAABA BBA
ABABABBA AAABAA
$ A
BABBBBAABBAABAABABABBB BABBAAABABBB
AAABBAAAB BBBBAA
BAAB AAABBBBBBAAAB
BBBAAAB BAAAAAABAAABAABAAAAABABBBABAAAB
ABABBBA BAAA
BABAABBBBB ABABAABBABA
$ AABABBABBBAAB
BBBAABABB BBBBBBABBBB
AA BBA
ABABABA BAAAAABBB
ABAAB BBAA
ABAABBBAAAAABBAAABAAABABAA BAAAABABAAAAB
ABBBBBBABA AABABAAAABBABBAAA
BBAA AAAAAABBBABA
BBAAABBABAABBBABBABBAA AABBBBAABABABB
AABBABAABBABAABB ABB
AAAABAABBBAAAAABBAAAAABBBABBAABBBBBAB AAAABBBB
AABABBBB AA
$ AAABBABAAABAABA
ABAABAB $
BBABAABBAAAB ABABABABABBBABAAABABBAAAAAA
AA A
AAAAABA B
$ AAAABABABAABABABAB
AABBAAABAABAAAABBBAA BBABA
AAAAAA $
BAABBBBA ABBAAAAAABAAA
AAAAA ABBBBBAABBBAAAAABAA
$ BA
AABAABAABAAB AA
BBBAABB A
AAABBB ABBBBAAAAABABA
BABBAABBABB BAA
BAAAAABAAAAABAAAA BBABABABAAAAAAAAAABAABABABA
AAAAAABBB BABAAAABBABABBAAA
ABABBBAAAABBAABABAABA BAABAAAAAB
A BBAAABAA
AABBABBAAAB B
$ BBBAA
BAAAAAABBABBAAB BBABBAAABBABBBBAAABBABBABABABAAB
BABBBAAB BBBBAAABAABB
AABBAAABAAABAA BBABAAAAB
$ BABBAA
ABABABBBBA BBBAABABBAAAAABBBAAABAA
BAAAAABAABBABA B
AABB BBBAAAAB
BA AAAABBBBBBABAAABBBABBBB
ABABBBBBBAAABAABBBA ABAAA
AABBABBBB ABABBABBAAABA
AABABAABBBB BAAAAAAABAABAAABAABABABAAABAAABA
AAAAABBB AAAAAABBB
AABAB AABB
BAAABABB ABBBAAAABAABABBBBAABBBABB
AABBAABBBABABAAAABBBABAAABB BBA
AAB BBAABBAAABBAAABAAAAABABAAAAB
BBABABBAB BA
BBBABAABAABBA AABBBAA
AAAAABBBAABB AAAAAABAABA
ABABAAA ABAB
ABABABBB ABBAAABAABBBAAA
ABABAABAB ABAA
BAAAAAABBAAABBB AABBA
BBB BBBAA
ABBBBB A
BAAAAAABABBAB $
BBBA BAAAAAABAAABAABAAAAABABBBABA
BBAABBABAAABBBBBABB B
AABBB BAABBAABABBBBAAABBAABABB
BBABAABAAAAAABB BBA
BBBAAAABBAAABBBBAABBAABBAABA BABA
BBBAABAAB AAAA
BBABBABABBBABAAABBBAAA AABBAAABBB
BBABA BAAAAABAAAAA
BAA BBBABBBBBAABAABBAAABBBABBB
BA AAABABA
AAAAAABABBBAA BABBABBABBABAABBBABBBBBBAB
AAA BAAB
AB ABAAAA
BAAAB AABBABBABBABAABBBBABBABAA
BAAABBABABBBBBABABBAABA A
B BAABBBBAAB
AABABABBBABA BBABBAABABBABBABBABBAAAA
ABA AAAAABB
BBBBBABBBBA $
ABBAB BBBAAABABBA
$ BBBABABBAABA
AAAAABBAAA ABBBABAAABA
BBBBBBBBABBAABAAB BBAAA
ABAB AA
ABB AAABBAABABB
AABBBABBABB $
$ AAABBBBBB
ABAABA BABAABBABBABBAABAABBAB
BAAAAABBBBBAABAB ABABBBABABB
AAAAABA ABBBBBAABBBAAAAABAABA
BABABBBAABBAABAAAABBAAAAAA ABBABBBBBBABBABAAA
ABBBABABB AABBBBBABBAABA
BAAAAAABABBABBAABA BBBAAAAABBAABA
AAABAAB BBABB
BBAABABA BAAB
AABBBBAABABABBAB BBABABAABABB
AAAAAABBBA BABAA
BBBABABAAABA BBBAB
BBAABAAA AABAAAABAAAA
AABBAAABAABAAAABB BBBA
BBAAABABA AABAA
BABABBAAAABBBBAABAA AA
BAAAABA BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABA
ABAAAABABAAABBAABABAAB BBBABABBBBBBBBBBAB
BAABA BABBAABBAAAABBBABABAAAABBBB
AAAA $
AABBBAABAAAAB BAAAAB
BBAABAAA ABBAAAAB
AAAAABB ABA
BA BAAAAABAAA
BA BBABABBAB
AABABABBBABA BBABBAABABBABBABBABBAAAA
AAABBAAAAAABBABAB AB
BAABA BAA
$ BABBAABABBAAA
AA AAAABBBBBBBB
BBABBBABBBBBAAAAAAB ABAABBABBBAAAB
BAAAABAAAABBBAAAB ABA
BABAABBBBAAAABABB BBBAB
BBAAAAABABBAAAAAABAAAABABB AA
BBAABAAABABBABBABAAABABB AABBBAAABA
BBBABABB ABABBAB
BBA AABABBBBAA
AAABBBAABAABBABBBBABBBABA BBABABAAAABBBAAABABBABBAAABBBABA
AAAAAABB BB
BAAAAABAAAAA BAAA
BBABABAAABBBBAAB AABABBBA
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAABA BAAAABA
BAAB BAABBBABAAABBAA
$ BABBAAAABBAABAABBBAAAABBBBAAABBBBBAB
AAAA AAAAA
AABB AABAAABBBBBBAABAABBBBB
BBBBBBABA AABBABAABBABA
AABAABABBBAA AABBABBBB
AABBBABBABAABABAAAABBA BABABAABBBBBABAABABAABAAABABBAABBBB
BBAAAAABABAABBABABABBBABABBABAABA AAAAABB
BBAAAAABABBAAAAAABAAAABABBBBBBA BAAAABBBBABBBBBBB
ABABABBBBABAABBAABBABA B
ABAABBABBBAAA BBBBABABBBABBB
A BB
ABBBAAAABAABABBBBAABBBABBBBA BABAABBA
$ BBAAA
BAAAAABAAABB AA
AABBBBBABBBAAAABBBBAB ABBABB
AABBBBABBAB BBBBAAABAABBA
BBBBABB AAAABAABAABB
ABABABBABABBABABAABAB AABAAABABBBBBABBA
BAAA AABBBAABAAA
$ AABAABBAABAAABBAB
BBBABABABBBBBBBBA ABBBBABABABBABBBBBBAABBBBAAABBBABBAAAAAAABBABAB
ABAB BBABBAAABBA
ABBBBA BAABA
BAA BA
BAAABBAABB BA
ABAAAAA BBAABAABBBAAABAABBBBAAABBAAAAAAAABA
BBAABAAAAB AABB
AAAAAAAAB ABBBBAAAAAABABAAABAABBBAABAA
ABABABBBBABAABBAABBABAB BBAABBAB
AABBABABABABA BBBABB
AABA BAAAAAAABBAABAAABAAAABBBBA
BABBBBABA AAAAAAB
ABB ABBBBAAAAAABABAAABAABBBAABAA
ABBAAABABAAABBABABABABBBBAAABBAABBBBB BBABABAABAB
ABAAB AABBABBBAABAAABAAABABAABABBBAB
AAAAAB AAAAAAB
AAAA AAA
BA $
AABABAABABAAABB AAA
ABABBBAAABBABAAAA BABABBABBABBBABBAB
BBBBBA BABAA
BBABAABABBBBAABABBBA ABBBBBBABAABBABBABABABAAAAAAAABAABABAA
BABBBAAABBBABBAABBA BBABB
BB BABBBBABABAAABAB
ABAA AAABBBBBABAAAABBABABA
$ AAAB
B ABAA
AAAAA AABAABBAABAAABBA
BABBABBBBAABBA BAAABBA
BBABB BAB
AAABBAAAAAABBABAB AB
$ AAAAABBA
A ABBBBAABBAAABA
AB ABAABA
AA ABAABAAA
AABBBABBBBA BBBBBABBBAABA
B AABAAA
AAABAAAAABABABBB ABBAABABABABB
BABABBABBABBBABBAB ABBAABA
BBBAAAABAA AABBBBAB
$ AAAABABABAABABABAB
BB B
ABBAAAAABABAAAABBABABABBBBABAABAABAB ABBAAABAAABABBB
AAAABABABAABABABAB BAABBBBBBBAABABABABBABA
ABABAAAA BBBBABBABAABABBBBB
BBAAAAAB BBAAAAABABBAAAAAABAAAABABBBBBBABBA
BABBBAABAAB BBBBABBAABBBBBBBBBBB
BBBABBBABBAABB AAAB
BBBBABA BBBAABABAA
AAAAAABBBABAAA ABBAABABAA
AAAABBBBBBA ABBBBAABAABB
BBAA AABBBBBBBAABB
AA AAA
ABBAAAABAAAABBABAABA $
AAAABABABAABABABAB BAABBBBBBBAABABABABBABA
AAAAB BABBAABABBA
$ ABBABABBBABBBABBB
ABBAABABABABB AAABAAAAABABABBB
BBABAAB BABAABABBBBBBBAABBAB
ABBBAABBBABBAB BBAAAA
AAAAAABA AAAAB
BABABBAB BBABB
$ BAABB
BAABAAAABAABBABAAAAB AABBB
AAAAAABBB BABA
AAABAABAA ABABBABBABBBBABAB
BBB ABBABABBAAAAABBBBA
ABBBBAAAABBAABBBBAABBBAAB BB
AAABAB ABBA
BBBABAABAABB AABBBA
ABABBBAAABAAB AAAAABBAAA
BBBBAAAB ABAAAAAAB
BAABBAAB ABBBBAABAABBABBABABAAABAAB
B AAAA
B A
BABBBBBBAABBBAABAABABBBABABAABBBAB AA
AAABBABBABAAAAABAABAAABABAA ABAA
BAAAAAAABBAABAAABAAAABBBBAAB AABAAB
BBAABAABBBAAABAABBBBAAABBAAAAAAAABABAA BABAABAAABA
BBBABAA B
$ AA
BBBA BBBBAABBAABABBAAAAABAABAABAAAAAAAAAAABAAAAABAAA
AB ABAABA
ABBABAAA AABBABABBBABABABBA
AABABABBAAB BAABB
AABABBABAAABBABBA BBABBAAABBABBBBAAABBABBABABABAAB
AAABA ABBBBBAAAB
BBBABA BBABAA
BBBABBBAABABA BABBAAABABBBAABA
BBBBAB BBBABBBBABAABBAABBABBABAAA
BAABBABBB AABABABABBBBABBABBAAAAABBBBBB
ABAABBAABAAAAABBB BAA
BBABBA BABA
ABABBBAB $
BAABBBBBB ABABBBABAAABBBBBBABBABA
BABABAABBBBBABAABABAABAAABABBAABB BAA
ABBABBBBBBABBABAA BABABBBAABBAABAAAABBAAAAA
ABBBBAABBAAABA A
BBBAABABAAB ABBBAAABABBAABB
B AABAAAB
BBBAAABBA AABBAAB
BAA ABABBABBA
AAABAABBBABAAABAABAAAAAAAAAAABAAAAAAAAAAABAAABAAAAAAAAAAABAAA BAABB
ABBBAABBBAAAAAAA ABBA
ABBBABBBAAABBAAAABABABBBAAA BAAAABAAAAAAABAAAAABABABBAAABA
AABAAAABAA BBAABA
ABAABABAB AB
AAABBA AABA
$ AAAB
B AABBBAABABBA
ABAAAA $
BAABBAA AABABAABABBBBABABBABBB
BABAABABBA BBBBBAABAAAABAABAAAABABAABABAAABB
BAAABABAABBBBABBAAABABBBBAAB AABBBB
AA BAABB
AAAAB ABABABBBAABBABBBAAAAABAAAAB
ABABBBAAAABBAABABAABABB ABAAABBABBABBABBABAAABBBB
ABBBAABBBBBAA BAAAA
BABBAAABABB BABBBBAABBAABAABABABB
ABBBBABBBBBBBBAA BBBAABAAAB
AAAAAABAA BABBBBABAAA
ABAAAABABAAABBAABABAABB BBBABABBBBBBBBBBABB
AAAABAA BBAAABAAB
ABBABABA AAB
AA BABBAABA
B AAAABBBA
AB $
B AAAAABABAA
BAAAAAABAAABAABAAAAABABBBABAAA $
AAAAABBB AAABBABAB
BABBABBABB BAABBBBBB
B AAAAABABAA
BBBBBBA BBBBBBAAABA
ABABBA ABBABBABBBBBAABBBBABABBBAABABABA
A AAABA
BAABAABBABAABAABAAAB BABAABB
BAABBBB BABBABBA
ABABABBBB ABBAAABAABBBAAAB
ABABBBBAAABBBABA A
BABAA AAAAAABBBA
AAAAAABBB BABAAAABBABABBAAA
BABA ABBBBAABAABBAAB
BBABAAB ABABBABBBB
BBAAA BBABAABBABAB
BBBBABAABB BABAAAABBBAB
ABAA AAAAABBA
BABABBBAABBAABAAAABBAAAAAAABA ABBABAAAB
AAAA BAABBBBBB
BABBAAABBABAABBAAAB A
$ AAA
AAABBABBABAAAAABAABAAABABA ABA
BAABBABABBBBBAAAAAAABBB AA
ABBBBBBBAAABAAAAAABAABBAB BBBBABAABBB
ABABBABB BA
AA ABAB
BAABAAB AABABAABABBBBABABBAB
BAA ABBB
$ AAAABBBBAAAA
BB AAAAAABB
BAABABAAA BBABABBAB
AAAAAAB BBBAAA
A B
BBBBBA ABABBAAB
BA ABABABB
BABBBABAAABBBBBAAABBAAABB ABBBABABAAABBABBBBBBAA
BBBBBABBBAA BAABBAABBBBAABB
AABABABABBA ABAA
BABBBABA BBABBBBA
BAAABBBBAAABBAAAAABABABBB AABBAABBBABABAAAABBBABAAABBBAA
ABAABAA A
AAABBABB AABBBABAAB
BAABAABA ABAABAAABABBAA
A BB
ABAA ABABBBBBBAAABAABBB
$ BAAAAABBBAAB
ABBBAABBB AABABAABABA
BBAABABABBBBBBAAA ABAABABA
ABAABBB BAABBBAABABAABAAABAA
AA ABAB
BAABBABBABA AABBABAAAABBAAAAAAAB
BAAAABBABAABAAA AB
ABAABB BBAAB
BBBAAABABBA BBBBBBAA
AABBBABB BBABABAAAABAAAAAB
BAAB A
BBBBABABB BBBABBBBABAABBAABBABBABAAAABB
BBBAABBBBABABAABAABBAAA AAAABAAB
BBAABAA AABAAAABAAA
AAABBA BAAAAABBAAABAA
ABABAABBBAB BB
BAABAABBBBBBBAAABA AAAAAAAAB
BA BABBAB
BBBBAAAABBABAAABBBAB AABABBBBAA
BBBBBBAABAB ABABBBAAAABBAABABAABA
BBB AAAABBBABB
BAABBBBABAB AABBBABABAABABBA
BAAABBABAAAB BAABAB
BBBABBABAA BAABBABBABA
BBAAABAAABABABBBB BBBABAABBBBAAAAB
BAA ABABBABBBB
BBAABABABBBBBBAAABA ABAABABABA
ABBABAA AABBABBABBABAABBBBABBABAAB
A BBBABBA
ABAABAABA BBABAAABABABBBBABAAABAB
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAAB BAAAAB
AAAAB AB
BA BABBABBBB
A AABBABAABBABAA
BAAAABBABAABA BAB
AABBBABAAAABAABABBAAAABAABAAABABAAAA $
AA AABBBABAAABBABBBBBAABBBAAAAAABABBAABBBBAA
BBAABA BAABBB
BBBBAAABAABBA AAAA
BAAABAAAB BAAB
BBBAABBBAA BBBBAB
B AAAAABAAAAAAAAABAABBBABA
AABABAAAABBABBAAAABB AABBA
AABABBABBABABABABBBAABABAAA $
BBABABBABA BAA
BAAABBABABBBBBABABBAABAA AB
$ AABBBABBABB
BAAABBABAAABA BAABABA
A ABBBBAABBBAABAB
AA BABBBBABABAAA
BAAB ABBBBBAAAABBBB
B AABBBABBABBB
BAABAA AABABAABABBBBABABBA
AA BABBBBABABAAA
BAABA ABABBBBBABAAAABAA
BBBAAABBA AABBAAB
BBAAB AABAAAABA
AABBAAABBB BBABBABABBBABAAABBBAAA
BAABAAB AABABAABABBBBABABBAB
AAABBBA AABABBBBABAAA
AABAAABABBBBB $
BBBABAABBBBAAAA BBAAABAAABABABBB
AABBABBBAABAAABAAABABAABABBBAB ABAAB
BBBAABBBBBABBBBBAABB BBBA
$ AAAABBABB
BBABAABAAABAABBBBBBBB AABBABBB
$ AABBBABAAAABAABABBAAAABAABAAABABAAAA
BAABBBBAAABBBAAAABBAB ABAAABB
$ BBBBABAABB
AAB AB
BABABBBAABBAABAAAABBAAAAA AAAABABBABABAAABABAABBBABBABBBBAA
AABBBAABAA BAA
BAABBAABBBBAA BBABABAAAABAAAAA
B AABBABAAABA
AAAAAAAAABABBBBABBABAABBA BBAAABBAAABBABB
AABBBBAAAAABAB AAAABBA
AAB BAAABBBA
