28044
DXAU` XPCm
ilCmaY ]Vp\PPLSLqBMRQjlY
\cQZ]llEW Z
KmU`QcalCmU`QXemU`dhLa ZZho`ag^]UVLBTSD
ieX ZEWL
cTC rcV`mU`QaXg
Kmm^]lI KQhdnoZnqcG[lTnnWThV`^]lnDSAQLE
fPcA^]_OOOOO f`^]lPh\_OOOMOO
]jWoDhARk j[jqqjAZC_B]lIidEPlU
nHjOcEPVNcE ecE
ZSD\AU`LabYcKQ[rc`ErTLa kTAZRQ[`YmLa
fPVIMb rC
echTNAf`mmmmmU`QXYUZgQP _
KQUT`^ MKTj[SnoV`U`amaZ
SPrYELTR DDpU`a
ZLh mc
DJWNcYM] ]McYM]M
ZZ C
`RaSiaaa ileU`La\XhmL
kldj_eme ZSXmQVMD]jrV`Qeji_
D $
cB L
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
cThVPcmdj qjAZ]_flTGnYmLQa\An]
fGRFn`JFnV ZYRFnPEWTMSkHcm^]_fmXBcSfl\
K^]_OON`O ZgQURmQLhDFjlmJLI\_N`O
rcAQej P`ECam
kcY]]M]]]M]]]MM ]SVY[ccmQRVFVMTaBU`^dZ
ZLBUrYE L
mAj rVGecSbj
]ldPc kS
rrWg^]_OOflShih DBKhnW
ZLCmaVe PAal
klBXLE ZZLjqSBF[rWRmmam
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
PVP`K cmaal\`m
WoDDT]q iVrSV`amArmd[P\
Sc fPVGeqc
rcVPPhmqb inXXealeQ\
WorPp` il`rbm
il\Yb rr`EhKcmU`QAQPdIPXErYS]jm
rC fPVIMb
DiBR]lIEAIKaVhcQhaamihTZYP KU`aQrA^]_N`OB]lnXmQcQP
[qB ]ldPTcAMTj[LIXB
[DZNcMSPm kTADhAjllT`U`
fP`mU`LMb\FVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB
M]j ]lA[rcS
PV`mmmU`Q WoDDT]qS
PXnnD KTe^]_fVVS
cBo[ BjL
kch`l fPrWCQULEe
klUPpPCal [jqqBaIeI^
rJkC^YK_B]_N ZeQejXBCm^]_N
F^eTMZ\A ]jPma
PXgaI\lVe ]PqSa
UKWT W^LE\lVhmqDMT
nb fMYLA
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe UCJFge
fMDWob bm
MmpQ^Jk PXRU`amU`LaScmQ[ccQrV`QfnWU
DDMpJI\lI [jqjqqj
cBX\YGlA WYVMY
ZgQURmQLhDFjlmJLI\_N`OO fM\c^]_OOO
ZSD\AU`LabYcKQ[rc`ErT kTAZRQ[`Ym
Mm\c^] KU`qSAmaEVpPgU`dj_fYjAj
DDDcNccG ecE
DiB DDSVGhq
[hTCQfIOcS[BUcmQ klTWYKm\lVT`
]e inD[FV
c r\`mVamLcP
mj mhj
iYK_flTGIiV\\caVh _dBFnY
ZTPZPSWTrYcNcGPG kTNN]
rVGecSbj mAj
K^]lm iYjAIic`nh
rPganXmdLLnDDDXAQhL DANU`dhR
DXXgQfVZ\[F Km[mUa[G
fM\XSW eEPTSKmaYqcENcE[l
im\_fnXVG rcV`mU`QaXgQ
fHKj iIiLYj\
Kmm^]lI\ [Tem
rcXeQIMJch akchTdP
imJEArXpPRU`a^]llT`manh r^KXeam
rC fPVIMb
ZLBUrYE L
\f`aV kTAKal
Mm [jeFKrccQflTGfmcD
ZgQURmQLhDFjlmJLI\_N K^]_OON
cUTFV [BF[E`Er[V
Naaaaaaaaaaaaaa L[Oaa
KamiLVEWT KMjXToPV
]ldPc kS
iYK_flTGIiV\\caVh _dBFnY
]jPma iVnleN
L[aaaaaaaa L_q`ka
rPra[ PmdZ]lnhedqjARF
akchTdP rcXeQIMJch
WL rCKPP
DfWW WW
rcV`mU`QaXgQ cTCQ
klUPpPCal [jqqBaIeI^
ZCU`dRFn` $
k Dij\fOcE\
mAj rVGecSbj
Dfm[ DiB[
fPVGeqc Sc
ecPMWmTaPaY iVnY
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
fMTQXgU`aU`QAmQI m
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
DiB[F fPTF
PAal ZLCmaVe
[Ln PXdrcGPTAim\llS
ZgQURmQLhDFjlmJLI\_N`OO fM\c^]_OOO
fPVIMbJF rCJF
r\`mVamLcPNchG kcEPG
a[^ERihrTP[FV cUTFV
rcU`aQ[PZcWY kcY]]]MM]M]
ZSBH]UOO K^]_
kTA KalLLlhXhrY
KB ZZ
K^]hfm Z^dE
ecYM]]MM] DWBocMTdhaaIOncYM]]RRMM
cBof`U`dIPcQD[ o^\
klTYIk ecE[ZInh
UKWT W^LE\lVhmqDMT
Oj mAj
iV\pQflh klTWYKm\lVT`
ahdBF^U`KP rCKPP
ZeQejXBCm^]_N rJkC^YK_B]_N
P k
KmU`QcalCmU`QXemU`dhL ecEIcGPlTRalhmL
Td_I [EOcY]]]
[S[ Bp`YXh
BjL cBo[
biol^ Wo]lAc
$ MWTld
W^Z biol
cdEihNcE[T ecE[ZInhT
ilZp`XLSnJFnVG KmUi`d
SU kTAZRQ[`YmLa
ZLqB\DDXAU` fPcV`mianWFDdhdrm
ec_E[cS[grcPdSmZ ]McPBYV`QL
cRXRBPlEWr\VPTFVOrBrBrBr WYVMpal^B\FVOrrBBB
mc ZLh
f`U`dfVRamiLV\ e
MTjZe Z
ecE nHjOcEPVNcE
iYK_flTGIiV\\caVh _dBFnY
cBYXCU`mnoiVTKZ^UCD rCKPPPP
j[jqqjAZC_B]lIidEPl WoecP
ZZ ZRab
rrYERmmaYjXjeB^YUe SWUigm
KamiLVEWT `rrWeQZcVTEp
rcmqpU`Qmq kS
rTG klBocTSXcQ
KmkQRkcmd[`lXe^TlnXVM ecSkTNA]jDBU`La
akchTdPT kcS]l
MmpQ^J f`mmaYK_flYR
KQfYje j[jqqjAZC_B]lIidEPl
rrWY kcSD_Xmd
Dfm[ DiB[
[BF[E`Er[V cUTFV
Kh]GU_ iI\_
SWUigma cUPTPVMYKa
cC^HL cd
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
MmbJkV`QIiIXBEWgm^]lmARFncVGIW DWTpHVMp^]lmeUCQFgeQReHKl
Kame $
WoYPLLljZTMY[EXj\lIAjlmihUcmqbJFgeoQReH KU`QXpPT`aVYIiIXBEYEr
MTj lGDD
nHjOcEPVN e
ZSD\AU`LabYcKQ[rc`ErT kTAZRQ[`Ym
jZY\\cU ZT`mU`aU
cUr`EpVPCTGUg Dh\lV\Ta
ZgQURmQLhDFjlmJLI\_N` K^]_OON`
WYAgQgeqcYWMMMM kcY]]M]]]M]]]MM
Naaaaaaaaaaaa NaaaV
` DB
]ldPchTNNAiIiBdEJBUVG GXY
]lKf`^]_OOB]_ PcalpPCU`Lap^]_N`O
MJcPTEW^idj cdj
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
PXnnD KTe^]_fVVS
ginfTjWDP cTp`K
DmlB^]KllpcBV`^]_Bl KmQj_N`OfYjXjiLYKl
ZeQejXBCm^]_ rJkC^YK_B]_
l Z\Yb
ameTrScm^]UfVr Z\
rTFLV inD[FV
$ Df
ecY WYAgQgeqcYWM
kS rcmqpU`Qmq
cBYXCU`mnoiVTKZ^UC kTdPTNdPchTdPlB
b kldhFP
OmbJkV[WV Kal\SAmU`QVM[FV
PVPrW \f`aV
DXcaIJ_ KaIlEWLEAL_M
F^eTMZ\ PAalh
rrYERmmaYjXjeB^YUe SWUigm
ecYM]]MM]M] DWBocMTdhaaIOncYM]]RRMMM
KaIlEWLEAL_M DXcaIJ_
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
ZLCmaVe PAal
ZeQejXBCm^]_ rJkC^YK_B]_
encSKmmanf ech
MmpQ^J [hBJ
Di\bo f`U`dfVRamiLV\Y
`a DBa
cUTFV [BF[E`Er[V
rPLE D
$ Kame
MWT kN
LAjcIa L[aaaaaaa
rCZNcS[ kTdPcG[ld
DDpmmGgF kTNNdPcPFRkV`QUYZ]lVTPVGj_
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
ZS encSKmman
Kame $
mrYERg cdjqrcScTr\mQXSiB
rcmqpU`Qmq kS
fPVIMbJFg rCJFg
WJkPrTq [XP
LSBjkTdP kTd[
bj CMJ
o^\F DXmq[F
r`mFVOB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
ZEWhmaaIeUUP ZZ
ZE aFUmYF
iY rCJFge
[q ]ldPTcAMTj[LIX
iIOcG PXRaVVrcEPTd
c MJcPTEW^i
WYVMY cBX\YGlA
]lAklUPhcU`dfmeNcGPcPF[` WYmLb
Sc fPVGeqc
DfmHVPTFVOrrBrBrrrBBrBBrrrr ]jMm[FVOrrBrB
D DTjZ]glCURdejOcPfn
iVrSV`amArmd[P\S WoDDT]qS
akchTdP rcXeQIMJch
PAal ZLCmaVe
ecSaEEPce]MMB ecYM]]MM]M]
mG cUcXrp^]_flnYKllSf
DB `
fMYLA rr`EhKcmU`QAQPdIPXErYS]jm
ameTrScm^]UfVr Z\
kTdPTNdPchTdPlB cBYXCU`mnoiVTKZ^UC
MmTaU`ammmU`amaIOc echTd[TdPcR
[DZNcMSPm kTADhAjllT`U`
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
ecPMWmTaP MTlAPVMSc
ahdBF^U`K WD
NaaaVa [LnXAm^]_fmOchTAN
DfmHVPTFVOrrBrBrrrBBrBBrrrrB DD[FVOBBr
[kcPa fMTQXgU`aU`QAmQIc
UKW MW
ecE nHjOcEPVNcE
MJcGPT DD\`PV`aYbj`hcS
Oj mAj
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
rCJk fGRHL
MTjPVMpU`aU`QVP Bp`YXh
rTFL klB\F
WJkTFVOB rV`U`kcanWUTFVOrrrBBBBr
PXdrcGPTAim\llS [Ln
k bS
PXL r
ecE[ZInhT ecE[T
cBYXCU`mnoiVTKZ^UCDPP iVCU`qm
rV`QZ qjAZ]_flTGnYmLQa\An
[BF[E`Er[V cUTFV
rccU cINPcl
WYXLBUC^R^]lIADTqSX\mP cBYXCU`mnoiVTKZ^UCD
ZeQejXBCm^] rJkC^YK_B]
KalLLlhXhrY kTA
MTjZe Z
fP Mm[
f`mmaYK_flYR MmpQ^J
r^KXeam imJEArXpPRU`a^]llT`manh
Bp`YXh [S[
]jWoDhARk j[jqqjAZC_B]lIidEPlU
WZ cFf
PXL r
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
Z^dE V`QZ]lIYJ
` DB
Ym WXp`
ecEIcGPlTRalhm KmU`QcalCmU`QXemU`dh
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
ameTrScm^]UfVrb Z\b
klUCXRmalgU` BkmUd
klTeU`qbXg^]_ cUr`EpVPCTGUg^]_
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
[S KU`qSAmaEVpPgU`dj_fYjA
]ld[T] [[
kTA KalLLlhXhrY
i`EVY KmQj_N`OfYjXjiLYKlY
]McYM] WYAgQgeqcYWMM
ecE[ZInh iIOch
fM DiBRmXBhQAU`La
[jqqBaIeI^ klUPpPCal
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
DBQ[` KTjecPB
kTd[lFhamU`q TbVZn
KameB B
ilCma ]Vp\PPLSLqBMRQjl
KTe^]_fVVS PXnnD
ecE[ZInh cdEihNcE[
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB fP`mU`LMb\FVOrB
DXmq[ o^\
No Naaaaaaaaaaaaaaaaa
DhLUbXBY WYVG
LS WYVMYb
mE[aaa ZRmQnoL[aaaaaaaaaa
f`Xm iVCU`
WYmL [qjXjeFn^EW\Smq
klTeU`qbX cUr`EpVPCTGU
Wo ginfTj
mE[a Naaaaaaaaaaaa
jZY\\cU` ZR^]llrpmaVhmLa\m
cFrVM B
DXmQcaIedrIcYg kcY]]M]]]M]]]M
D rPLE
iVCU`q f`Xmq
kcGPT kMT
kS ]ldPc
LSBjkTdP kTd[
DXAmm^]lnfTMSm b
rV`U`kcanWUTFVOrrrBBBBr rcVP`\FVO
ZLBUrYE L
WocUCofP eDWdBPSfm\mQXqp
ileU`La\XhmL `RaSiaaa
ZgQURmQLhDFjlmJLI\_N`O K^]_OON`O
MTqcGP_ ]lN
cUPTPVMYK SWUigm
eKhi [h
bj YAAj
PmdZ]lnhedqjAR cBJg
[jq fn`^SQLd
DXmq[ o^\
PAalh ZLCmaVeh
KQejJSIfaU`qYUcXR^]llEWR ZC
f`^]lPh\_OOOM Pc^]_OON`
fPVIMbJF rCJF
kldj_eme ZSXmQVMD]jrV`Qeji_
[kcPa fMTQXgU`aU`QAmQIc
MTjPVMpU`aU`QVPV Bp`YXhV
KmUi`d KaYKlIA
]ld[T] ecE[ZInhT]
WYmL [qjXjeFn^EW\Smq
cBo[q BjLq
f`^]lPh\_OOOMOO ZeQejXBCm^]_N`
rTFVOBB DfmHVPTFVOrrBrBrrrBBrBBrrr
i i^
mcdr MmDMTMcSMWmpmmQP
PcalpPCU`Lap^]_N`O ]lKf`^]_OOB]_
fPVIMbJ rCJ
ilRanDSA^]lIX b]
UKW MW
DXAU`aaIXjAhdRkcXCU` ]PqS
cFhd DDDZaal^YTgQ
f`Xm iVCU`
echTd[TdPcR MmTaU`ammmU`amaIOc
rTFL DD[F
e f`U`dfVRamiLV\
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ fGRFn`JFnV
$ Df
]Mchc Nopa
KQnok akch
Naaaaaaaaaaaaaaa NaaaaaBaaak
DXmQcaIedrIcYg kcY]]M]]]M]]]M
iIJ kch`ld
AlY iVRQP
NaaaV Naaaaaaaaaaa
rCJF fPVIMbJF
cmaal\` fGD
cUr`EpVPCTGU klTeU`qbX
f`^]lPh\_OOOM Pc^]_OON`
SU kTAZRQ[`YmLa
f`a $
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa P`ECa
V`QZ]lIYJ Mm\V`maI
DWoj_N`Ofnfm [LIJhBYmLa
ecPMWmTaP KanDpanXc
kldj_emee cd_
ZR^]llrpmaVhmLa\m jZY\\cU`
$ f`a
kTADhAjllT`U` [DZNcMSPm
DDMpJI\lI KQej
Im ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ
[jeFKrccQflTGfmc W^CQ
rcXeQIMJchT akchTdPT
mjfa mA
akch KQnok
DXmq[F o^\F
]jWoDhARk j[jqqjAZC_B]lIidEPlU
_dBFnYA Km
UCJFg MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReH
r`JFn kTAK^p]lYkjeUi
ilYfVp` KTjecPB
cINPcl` rr`EeU`
cB L
MWJcPNchlB\FVOB r`mFVOBr
cRXRBPlEWr\VPTFVOrBrBrBr ZpTFVOrB
[LIJhBYmLa DWoj_N`Ofnfm
Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOB fP`mU`LMb\FVO
m[aaaaa L[Oaa
ieX ZEWL
WJFgeQmo rr`ErDKU`dRFgeKeKeQReKeQmo`QmK
K^]_OON ZgQURmQLhDFjlmJLI\_N
m` fMYL
PV`QI] D]`
ZTPcXhmaamiBBD ahdBF^U`K
KU`aQrA^]_N`OB]lnXmQcQP AlY
ZgQURmQLhDFjlmJLI\_ K^]_OO
kTd[coTTK^]lIOchG klTYIkT]
r\`mVamLcP c
F^eTMZ\ PAalh
$ MWTld
DmlB^]KllpcBV`^]_Bl cdL
cFRFnC cUVgGn
$ ecE
cC^HL cd
PA^c]llZpTh DDSVGhq[F
fPVGeq S
fPVGeqc Sc
iDhX Mmb^CmaY
cC^HL cd
Z MTjZe
rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma P`EC
KQfYjA] KmQ
Km^]llC _dBFnYA
cUVgG DijJqjeF
ZgU`QmLa f`Xmq
[Jh rP^NcP
[BF[rWhcm^ qjAZ]_flTGnYmLQa\An
rcAQej\llr WE[lUCoqfPVMbYcUJf
ecE[ZInhT ecG[cE[TNN
ameTrScm^]UfVr Z\
rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`E ZY
rCJ fPVIMbJ
ecY WYAgQgeqcYWM
ZgQURmQLhDFjlmJLI\_ K^]_OO
ahdBF^U`K ZhmdrXRQUCmQrAQhaU`LaePPP
iVrSV`amArmd[P\ WoDDT]q
SU kTA
DBQUR^]_B MKTj[SnoV`U`amaZ
b[aa klFh
kS rcmqpU`Qmq
DfmDWoW^n VfPj
ZeQejXBCm^]_N rJkC^YK_B]_N
DfmDWoW^ mrYERg
fMDWobj bmj
rP^NcP [Jh
$ ZCU`dRFn`
PAQrcalnI K^]hfm
f`anDYZhVPC^ZEWg^ qjAZ]_flTGnYmLQa\An
Zr f`Z^]KlVHTM
V`QZ]lIYJ Z^TgQRkPhXEYECmaYqcSim
WXpcXeaVZR rrYERmmaYjXjeB^YUeaI
bk Z\Yb[
DJ WX^d
m fMTQXgU`aU`QAmQI
ginfTj Wo
echlBJkPRU`LaD D
PXRaVVrcEPTd fMDecE[lUV`aVLrcG
KmUi`d fGhamQ
eKhid rcVMboWXC^]_OOfVEWgaVeaYjXjJ
iIeUgGe ecGPch
K^]hfm [E
PcalpPCU`Lap^]_N`ON ]lKf`^]_OOB]_N
ecGPch iIeUgGe
bmj fMDWobj
ZnIi_ rh
BjL cBo[
KTe^]_fVVS PXnnD
XPCm DBU`
NZ Z\Yb[
kTAZRQ[`Ym ZSD\AU`LabYcKQ[rc`ErT
echTd[TdPcR MmTaU`ammmU`amaIOc
cFhd DfmHVPTFVOrrBrBrrrBBrBBrrrrB
KQnokTd akchTd
Wob inWNchcGncS
nHjOcEPVNcE[ MTMch
DijijqhTCma K^]hf
fPVIMbJF rCJF
[ fn`^SQLd
DBQUR^]_B] WZ
DiBRmXBhQAU`La fM
imeU`XemmU`QXCm^]lY WA^emmMGY
MJcPTEW^idj cdj
[jeFKrccQflTGfmcD Mm
ZTPZPSWTrYcNc fPVGeqc
UKW W^LE\lVhmqDM
ilSWBYcmQfVpcA ZJ
ecPFfnWY iVZZE`ESWF
mAj Oj
kS rcmqpU`Qmq
]j imr
MWTld $
]ldPTcAMTj[LIXB [qB
[q ]ldPTcAMTj[LIX
f`Xmq iVCU`q
DWdqjA[P\bJkPpccaI\_fVp eKhid_
rPYjlVYnJkrYESXAmU`Lap^]lmJLIJEeB^ DhLUbXB
PAaYj DDMpJI\lI
cBX\YGlA WYVMY
ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU KmUi
mA ob
rCJkcAQe Bp`YXhVPTF
kTAZRQ[`Ym ZSD\AU`LabYcKQ[rc`ErT
rCJ fPVIMbJ
Pm b[aa
rrYERmmaYjXjeB^YUea SWUigma
SWUigm rrYERmmaYjXjeB^YUe
$ kcGPTd
ilrYkldjq PO
rr`EeU` cINPcl`
a[^ERihrTP[ WocU`\
f`anDYZhVPC^ZEWg^] PXT`_U`a^R
kTAZRQ[`YmL ZSD\AU`LabYcKQ[rc`ErTL
DfW W
\M\m^cU`qYNKaa Naaaaaaaaaaa
rCJ fPVIMbJ
cUPEYEg^]_N`OB]_O f`^]lPh\_OOOMOO
WKjP fGDmPPP
KQUT`^] WZ
jZY\\cU` iVZr\m
rcVP`\FVO rV`U`kcanWUTFVOrrrBBBBr
DWoj_N`Ofnfm [LIJhBYmLa
fFTqm^P]lelg WXR
i`EVY cUcX\YPXgaY
r\`mVamLcP c
[DZNcMSPmd D
PmdZ]lnhedqjARF cBJgF
ZEWLq iDhX
m[aaaaaaa NaaaaaBaaak
\M\m^cU`qYNK m[a
MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHeHe KaDW
fFTqm^P]lelg WXR
fFTqm^P]lelg WXR
ZeQejXBCm^] rJkC^YK_B]
V rV`maYjJ
[Ln PXdrcGPTAim\llS
r`mFVO Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBr
WX[e [qBC
V kTdPcG[ld
UCJFge MmYZgm^]_OON`ON`OB]lnWBJFgeKeHeKeHeHeHeKeKeQReHe
kTd[ LSBjkTdP
ZeQejXBCm^] rJkC^YK_B]
[Ln PXdrcGPTAim\llS
KanfJcSfMTqYKanDY[jqLlC f`P
iIeUVPrYEnIedrcSW B
iVRU`qY I^kk
MmTaU`ammmU`amaIOc echTd[TdPcR
kTA KalLLlhXhrY
ahdBF^U`K f`aVCU`LaePP
kcE ]T
encSKmmanf kcGPTd[
Z^TgQRkPhXEYECmaYqcSi K^]hf
fPVIMbJF rCJF
MLa_ ]j
f`P ]jZC
ZhmdrXRQUCmQrAQhaU`LaePPPPPP DWoj_N`Ofnfme
\cQZ]llEW^ Wo]lAc
[jeFKrccQflTGfmcD kcG[cSDD
fP`mU`LMb\FVOrB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
K^]hf Z^TgQRkPhXEYECmaYqcSi
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
DW ]lNNA[Jqh
e nHjOcEPVN
PAalh ZLCmaVeh
kcY]]]MM]M]] _klGOcMMMM
MmTaU`ammmU`amaIOc echTd[TdPcR
Dh\lV\Ta cUr`EpVPCTGUg
KTe^]_fVVS PXnnD
WA^emmMGY MmpaI\lY
L cB
cUVgG DijJqjeF
p cTRaVemQL_dd
[BF[E`Er[ cUTF
kcGPT kMT
DBQLEAj DhZq]
ZgU`QmLa f`Xmq
elcK iI\llEYE\\XeU`LaSAmU`qp
rPLEJ ZRQhK[F
P`ECa rPEWgU`QcU`qYMJcGPlBYXZRmmalrSmaa
mrYERg DfmDWoW^
fP`mU`LMb\FVOrB Dij\lYjXjAj_N`OB]llem^]lVCQn\FVOBrB
KmUi ZSWUcXeU`amU`QmdfVgQhaalhmaU`Lab^CU
encSKmman ZS
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ PVPV
MTjN L[Oaaaaa
c r\`mVamLcP
W^CQ [jeFKrccQflTGfmc
inhAIM Pmn\FN
rr`EeU cINPcl
iVZr\mq PXdrcGPTAim\llSD
cUTF [BF[E`Er[
f`a $
fPcXgaIXBTMp^]lY ecPMWmTaPaY
[q ]ldPTcAMTj[LIX
e f`U`dfVRamiLV\
]j[rcEPTd ]T
POq ZEYESXXeaV^TSi
cd MJcPTEW^id
iYjAIic`nh fGZ]lVemalShihBYAaIiE
P`ECam PAaYj
cFLhFeKlY i`EVY
ZRmmU rrW^dBUcc
]Vp\PPLSLqBMRQj [qBZZSBQIZ\paYK
cUr`EpVPCTGUg klTeU`qbXg
[jeFKrccQflTGfmc kcG[cSD
cINPcl` rr`EeU`
bAI m
ZYRFnPEWTMSkHcm^]_fmXBcSfl\ PVPV
WocU`\ DiB[
f`Xm iVCU`
KU`La[F j\FT
akch KQnok
fMDWob bm
imJ QiIi
cdrcGPlU KU`ImQFqborQ
KaVCanf mG
bmj fMDWobj
inh KU`dRFnPZlRM^]lN
kTd $
fMYL c]BKnj
mh ecSmA
\ ZZ
XX\paVnV f`^]ll
TrSVT cUTFVOB
cd MJcPTEW^id
klTeU`qbX cUr`EpVPCTGU
L YA
Pc^]_OON`OO rJkC^YK_B]_N`
cUr`EpVPCTGUg ]jf`
f`m^]lYKlV\\mLacilYfI\lm rrYERmmaYjXjeB^YUeaI
ameTrScm^]UfVr Z\
ilZ^TTMSXLSfV\p^]_N`OOOOOB]_B]lYK_N`OOOfIJ Im
cUPEYEg^]_N`OB]_O f`^]lPh\_OOOMOO
e nHjOcEPVN
ameTrScm^]UfVr Z\
mAj obj
$ kcGPTd
ZSD\AU`LabYcKQ[rc`ErTL kTAZRQ[`YmL
fM\c^]_OO ZgQURmQLhDFjlmJLI\_N`O
ec nHjOcEPVNc
W^Z biol
rDDYKm^]_N`ON`OOOB]lIATTdZ__B]_OOfnXVPr`EL Dijihd
rccU` cINPcl`
P`EC rPEWgU`QcU`qYMJcGPlBYXZRmmalrSma
mh ecSmA
DfmDWoW^ mrYERg
RhSBUqg f`U`dfVRamiLV\Y
fMDWobj bmj
mjfaaa L_q`k
K^]hf Z^TgQRkPhXEYECmaYqcSi
DmlB^]KllpcBV`^]_Bl f`a
fPVIMbJ rCJ
DiBR]lIEAIKaVhcQhaamihTZYP KU`QcmQP
cUTF [BF[E`Er[
ecPMWmTaP PA
DXAmm^]lnfTMSm b
Z^ biol^
j[jqqjAZC_B]lIidEPl WoecP
DANU`dhRa ilYD
MTqcGP_ kcS]l
rV`U`kcanWUTFVOrrrBBBB ZLEeB\FVOr
QiI cTSh
mAj rVGecSbj
MTj lGDD
jZY\\c ZT`mU`a
[LIJhBYmLa DWoj_N`Ofnfm
ilCma ]Vp\PPLSLqBMRQjl
DXmq[ o^\
ameTrScm^]UfVr Z\
c WJFnr`pVUW^l
