26583
BAABABAA ABBABABABBAA
ABBABBBB AAAA
BAABAA BABBB
B BAA
ABBBAAAABBBABABAAB BBABBAA
$ ABBAA
BAB AB
ABABAABABABBBAB BBAA
AAABABAAAA BBBABBABA
BAAA ABAAB
ABAABBAABABA ABBABBABBBABBBBBBA
ABBBBBBABBBAB ABAABABBA
BAABBAABAA BBAABBB
BAABBABBB AAAABAAAAAABBBBBBBBABB
AAB BAABBB
ABAB ABAABABABBBBBABBBBBA
ABB AABBB
ABBBAABBBBBAAB BBABBBBBAABAAAAAABBABBAAABBB
BAAAAAAB BABABAA
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
BBBBBABAB BBBBB
AAAA BBABABAAAB
BAABABAAABAB ABBABABABBAAABAB
BB BA
BBABBBA BABABBBABBBBBBAABAAAA
BABABABBAAB BAA
ABBAABB B
BBAABAAAA ABAABBBBBBBA
BBBABA AAAAABBBBAAABBABAAAB
ABA A
AABABA AAAABAAABABAB
BABAAA ABBAAA
BBBABABBAAAAAAB BAAABA
BAABBBAAAABBAA ABBB
BABAABBA AABAAB
BAABABBB ABAABBBBABA
AAAABAAA ABBBAAAABB
AB BBBBBAB
ABAA ABAB
BABBBA AAAAABBAABAAABBBAABBBBBBAAAAA
AAAABABBBABA BAAABAAAABAA
ABAA BABABABAABA
BABBABA AAAAAAB
BAABABBB ABAABBBBABA
ABAABBBBABABBBB ABAAA
BBBAAAA ABBBAAA
AABBAA BABAA
ABBABB AAAABBAABBBABBA
ABAABBAA BBBAAA
ABBAABAAAB ABA
ABBAA ABAA
ABBBBBB AAAAABB
AAAABABABAABBBABBBAABABABBABABAA AAABBB
BAABBBBBBAA ABBBABBBBAA
BAAAABA AAAABB
ABBABBBBA AAAAA
AAAB ABBBBABBBB
AAAABBABBAAABAB BBBBA
ABABAAAABBAB AAABAABBBA
ABBABBBABABBBABAAAA ABAABAABA
$ AABBA
BAABABBBBBBBB ABAABBBBABABBBBB
BA BBB
ABBBABBBBA BAABBBBBBA
AABBBBAAAAA AAAABBAABBAAAABAAA
BBABABAAAB AAAA
ABBABB BAAAB
BAABABAAABA ABBABABABBAAABA
BBBABABBAAAAAABBAB BAAABABAB
BABA ABBA
AABAAB BABAABBA
BAAABBABAAABAAAAAABABBABAAABBBAABA BABABBBAABAABBBBBBBBBABABA
AAAB BAAABBABAAABAAAAAABABBABAAABBBAAB
BAAAABAABABABB $
BBA BBABBBBBB
BAA B
BBBBBABAB BBBBB
ABABBA BBBAABBB
BABBBAAABABBBBBB AAAABAAABA
AAAAAABABAABBBA ABA
ABABBA ABAABA
ABABBBBABBAAA BAABABBBABBABBBABAABAABA
BBBAA BABAA
BA AAABAB
ABBBABBBB BAABBBBBB
BBAAA ABBBA
ABBABBABBBABBBBBBAB ABAABBAABABAB
A ABBABBABABABAABBAABA
A BAAAABAABABABBA
BAAABBBBAABB BABABA
ABABABABBBBBAABBBB BB
AAAABABBBBAABBBBAABABAB BAAAB
BAABABBB ABAABBBBABA
ABBABBABABABAABBAABAB AAAABBAAAA
ABB AAAAAABB
AAAA BBABABAAAB
BABABBBAABAABBBBBBBBBABABAAAA AABAABBBABBA
BBABBBBBABB ABABBBAAAB
BAAAABAAB AAAAAABAA
BBB BAABBAB
AAABBBBBA BAABBBABBB
BAAABAAAABA AAAABABBBAB
BAABBABB BAABBABBAAAAABAAB
BABABBBABBBBBBAABAAA BABBAABBBBB
BAAB A
BAAAABA AAAABB
A AB
ABABAAAAB ABAABABBBA
BBBA AABBAB
ABAABABABBBBBABBBBBABBA ABBAB
BBABBBABABBBBABBBBA AAABA
AABAA ABBABABABBAAABABB
ABAAB BAAA
BABBBBA AAAABBAABBBABBAB
ABBABBABABABAABBAABABAA ABBBBBBBAB
BBBBB $
ABBBBBBABABBABAABABBBABBBAAA AAAAABBAABAAABBBAABBBBBBAAAAAAAB
ABBABB BAABAAABBAA
BBABABAAABB AAAAB
ABBABBBABABBBABAAAA ABBBBBABABABAA
AABBBABABBAAABAAABB ABAABAABABBAAABABBBBBBB
BAAAAA BABAABABBAABABB
AAAAAABB ABB
BAABABAAABAB ABBABABABBAAABAB
ABAAAAAAA AAAABABBABABABABBBABBBAABBABAABBABBBBBB
BBBAABBA BAABAAB
BBBABAABAA BBB
BAABB AAABAAAB
AAAABABABAABBBABBBAABABABBA AB
BABABABBBBAABBBAA AABBABAA
BBABBBABBAABABB BBBBBA
AAAABBBBAB BAAABBBAABABAABAABAAB
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
B AAABBBAAABBB
BBABABAAABBB B
$ AABBA
BBAAA ABABAABABABBBABA
AB ABBBABBBABAAABABBBBBA
BAAAAA $
AAAAA ABBABBBBA
ABBBABBBBA BAABBBBBBA
AABBBA AABBB
ABBBABABBBBA ABABB
BAA AAAABABBBBAABBBBAABAB
AABBBA A
BBBAA AAAB
BAABABAAABAB ABBABABABBAAABAB
ABAABBAABABABAB ABABAABABABBBABABB
ABBABABABBAA BAABABAA
BABABABAAB ABA
AABAA ABBAABAABBA
AAAAABBBBAAABBABAAAB BBBABA
BBABBABAAB BBABBA
AAAABBBBAABBAABA AABAAB
ABAAB ABABB
ABA AAA
AAAAB BBA
BBB BBAAAA
BAABBAABAAAA BAAAABAAABBB
AB AABB
ABABABAAABABAA ABAABBBA
ABAAA AAAAA
ABBBABBBB BAABBBBBB
ABBAABBAAAABBA ABAB
AABAB AAAAAA
AB AABABBB
BBBA BBBABBABAA
BAAAABB AA
BAAABBABAAABAAAAAABABBABAAABBBA BABABBBAABAABBBBBBBBBAB
AAAABBBB BAAABBBAABABAABAABA
BBAAABABBABAAB AAB
ABABBAAABABAA BBAABBB
B AABBABBAA
ABAABBBA ABABABAAABABAA
ABA ABBBBBABABA
BABAAAAAB BAAABAAAABAA
AAAAAABABAABBBAAAAAAA ABAABBBA
BAAAABAAABBBBAA AABAAAAABBABA
BAAAAA ABAABBBBABABBBB
ABBAABABAB BBBAABAABAABAA
ABBAABBB AAAABBA
$ AABBA
B ABABABABBBBBAABBB
B BABAABBBBBABABBBBB
ABBABABABBAAABAB BAABABAAABAB
ABAABABABBBBBABBBBB BBBAA
ABBBBBBABBABB ABAAAAAA
$ AABBA
AABB BBBABAABAAA
ABBAABAABB BABBAAB
ABAAAABBAAB ABBBBBBABABBABAABABBBAB
AAAAABBABBA AAAA
BAA AA
BABBAAB ABBAABAABB
AB BAABB
BABBAABBBBB BABABBBABBBBBBAABAAA
BAABABBBBBB BABAABABBAABAB
ABBBBAABA BBBAAB
AABAA ABBAB
ABBBABBBABAAABABBBBBA BAA
BBBBBAAABABAB BABAABA
ABABBA ABAABA
ABABABABBBBBAABBBBBBB BBBBB
ABAABBBAA ABABABAAABABAAA
BAABBBBB AABBB
BBBAA BBBB
BA AAB
$ BABAABBBABABB
ABBBBBABAB AB
AB AAAAAABABAABBB
ABABABAAABABAAA AA
ABAABABABBBBBABBBB ABBBABABBBA
BA AAABAB
AB ABB
AAABABABAAABBBA ABAA
B BAAAAAB
BAABABBBBBBBBBA BABAABABBAABABBBBA
ABABBABAABAAA AAAABBBA
BABAB AAABBBAAABBABAAA
BBAABB BAAA
A BAAABBABAAABAAAAAABABBABAAABBB
AABB AB
ABAABAABABBAAABABBBBBB AAAA
ABABABAAABABAAABA BAAAAB
BABABABBBBAABBBA AABBABA
ABBBABBBBAA BAABBBBBBAA
BABAAA ABBAAA
AB $
ABAABA ABABBA
ABABBBBB ABBBABABBBBABBB
BABBBA AAAAABBAABAAABBBAABBBBBBAAAAA
A BAAAABAABABABBA
BABABBBABBBBBBAABAAAA BABBAABBBBBA
BBABBBABABBBBABBBBAA AAAABBBA
BBB ABABABABBBBBAABBBBB
ABABBBBAAAB AABAAABBABBBA
BBBABABBAAAAAAB BAAABA
ABBAABBB AAAABBA
ABA ABAABBB
AAB ABAAB
BABBAABBBBBA BABABBBABBBBBBAABAAAA
ABA BAABBA
AAB A
ABBAAA ABBB
BAABABBBABBABBBABAABAAB ABBAAAAAABABB
AAAABB BBBBABBBBAAAAAA
BBBABAABAABAB ABABAABABABBBABA
AABB ABABBB
AAAA ABBABBBB
BABABBBAABAABBBBBBBBBAB BAAABBABAAABAAAAAABABBABAAABBBA
ABBABBBAAA BAABAAABBAABAAA
AA BABAABBAAAAAB
AAAAAB ABBBBB
AAB BAABBBABBAAAA
ABAAAA ABBBA
BBAB ABB
A BAAB
ABB AAAAAABB
ABABBAAABA BABAAB
BBBBBA AABAAAAABB
BABAAABBB ABBB
BBBBBABABAA ABAAAA
ABAABA ABABBA
AA BBBBBBAAAAAA
ABBBA BAAABB
BAABABBBBBB ABAABBBBABABBB
BA ABBAABAABBABAAAABB
BAAAAA $
ABBBBBB AAAAABB
ABBAABAABBA BAAA
AAABABBBAA BBA
BAABAAB BBBAABBA
AAA BBBBBBAAAAAAA
BAABABAAAAAAABABBA BBBB
ABABBAAABAB BABAABB
AABBABBAAB BB
AABBAAAABABAABAAABAB BABBBBA
AAAAAABABAABBBAA BABAAB
AABB AB
ABBABABABBAAAB BAABABAAAB
AABBABBAA B
ABAAAABBA ABBBBBBABABBABAABABBB
BAABBAA BBBAAA
AAABABABAAABBB ABA
AAAABAAAAAABBBBBBBBA BAABBAB
ABBAABAAB BABBAA
AABAAAAABBAB BBAABBBAABA
ABBBBA ABBABABABBAAABABB
ABAABB AAABAA
BBAABAAAAABAABAABABB BABA
BABABBBB ABBBAAAAABBAABBB
$ BBBBBBAAAA
ABAABBBBABAB BAABABBBB
ABA ABBAABAAAB
BABABABBBBAABBB AABAAABABABAAAABAABB
BBBAAA ABAABBAA
AAABBBAAABBABAAABB BBBBBBAAAAAAABAAB
ABABBBBAABAABAABAAB ABBA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBBB AAAABAB
BABABBBB BABAAABBBABBAAAABBAAABA
AAABAA ABAAAABBBBAABB
AAAABBB ABABBABAABAA
ABAABBAABABAB AABABABBBBABABBA
AAAAAAB BAAAABABBBAAAAA
AAAABBBABBABBBAAAAABBBABBAAABABBBBBB BABAAAAA
BBBABB ABABAAAA
BAB AABB
AAABAABAABAAAABAAAB BAAAABAABABABBAA
BAAA BBAABB
ABBBAB BAABBB
BAAABBBAABABAABAABA AAAABBBB
AAABABBBA BB
BABBBAAA BBBABBBAB
B AABBABBBBB
BBBBB ABABABABBBBBAABBBBBBB
ABBB ABAAA
BABAAABBBABBAAAAB BABBA
ABBABABABBAAABAB BAABABAAABAB
A BAAB
BBAABBBA BABBABAB
AB BBA
BABBABBBAB BBBBB
BAABABAAABABBAAB BAABBBABBAAAABABAB
ABBABBABBBABBBBBB ABAABBAABAB
BBABBBBBAABAAAAAABBABBAAABBB ABBBAABBBBBAAB
BABABABAAB ABA
BBABBAABBB ABBBBBBABB
BABAAB ABABBAAABA
BBBBBABAB BABAABABBAABABBBBA
ABBABBABABABAABBAAB $
BAABABA ABBABABABBA
AAAABBB ABABBABAABAA
ABBBBBBABABBABAABABBBAB ABAAAABBAAB
ABBBBBAAA $
AABABBBBAAAAABABAB ABAABAABABBAAABABBBB
A AB
ABAB ABAABABBA
BBAAA ABABAABABABBBABA
AAAAA BAABAAB
BAAABBBAABABAABAABAAB BBAAAAAA
BAABBAABAAAABA BAAAABAAABBBBA
AAABAABAABAAAABAAAB BAAAABAABABABBAA
BBBABABBAAAAAAB BAAABA
ABBABABABB BAABAB
BAABBAABAAA BBAABBBA
ABBBAAAABBBAB AAAABAAABAB
BBAAABBAA ABAABBB
AABBABBAA BAAB
A AB
BBBA ABAABB
BABAABBBBBABABBBBBA ABABBBB
BBABAB BAABBBAABBAAABABBAA
ABBBABBBBAAAB AAAABABABAABBBABBBAABABABBA
ABBBBBA AABB
BAABBBABBAAAA AAB
AAAABBAAAAAAAA BBBABABBAAAAAABBAB
ABBBABBBABAAABABBBBBA BAA
AABBB ABB
B ABABABABBBBBAABBB
BB BAABBA
ABB BBAAABABB
ABBAAAAAABABBAAA BBBABBAA
AA ABAB
AAAAAABAAB BAABAABABAAB
BABAABBA ABABBAAABABA
BAAABBBAABABAABAABA AAAABBBB
AB A
BAA AAABA
BABBAABBBBB BABABBBABBBBBBAABAAA
ABAB ABAABAABABBAAABABBBB
AAAAABBAABAAABBBAABBBBBBAAAA BABBB
$ BBAAAB
BAABBAB ABAB
BABBBBA AABBAAAABABAABAAABAB
AABABBBBAAAAABABABBBB AABABBBABBBB
AAB A
ABAAABB AABAAAAABBA
BB AAABABBBA
BBAAAB $
BABABBBABBBBBBAABAAAA BBABBBA
AAAABABBB ABBABA
ABBBBBABABA ABA
ABAA AA
ABA BABABABAAB
ABBAAAAAABABBA BAABABBBABBABBBABAABAABA
BBAAABABB ABB
BBBBA BBBAAABABAABBBABBAB
AAAB BA
AAAAAAB BAAAABABBBAAAAA
ABAABBBBB ABABB
AAAAAB ABBBBB
BABABABBBBAABB AABAAABABABAAAABAAB
BABA ABBAABAABBABAAAABBBA
ABABBBBAABAABAABAABA AAAABAAAAAABBBBBBBBABB
BBAB ABB
$ AABBA
AABABBBABBBB BBBABBAABAAAB
BABBABBBABA ABAAA
ABABBBBABBAAAA BAABABBBABBABBBABAABAABAA
AB BA
BAABBAABAAAA BBAABBBAA
ABA AAAAAABABAABBBA
BBBBBBAAAA $
AAAABBBBA BAAABBBAABABAABAABAA
AABAABAABB BABABABAABAA
AABAAB BABAABBA
AAAAAABABAABBBA ABA
ABBB AAABBBBBB
BABAABABBAABABBB BAABABBBBBBBB
ABAAAABBAA ABBBBBBABABBABAABABBBA
BAABBBBBBAAAB BAAABBB
ABBAABBBBBAB BAAAAABABAAB
BABAAA ABBAAA
BAABABAAAAAAABABBAA BBBBA
$ ABABABAAABABA
ABBABABABBAAABABBAABBA AAABBBBBABBBA
ABBBAAAABBB AAAABAAAB
AABABBA AB
AB BA
$ ABABABAAABABA
$ BAAAAA
BAABBA ABA
AAAAAAB BAAAABABBBAAAAA
A AAAAAA
AABBA BABABABBBBAABB
ABBABBABABABAABBAABABAAA AAABBBA
ABA A
BABBABBBABAA ABAAAA
BBABBA ABBBA
BBBBBA AABAAAAABB
AAABABAB AAAABBA
AAABAB BA
BAABBBAAAABBAA ABBB
B BABAABBBBBABABBBBB
AAAAAABABAABBBA ABA
ABBBABABBBBABBBBB BABABBBBBB
AAAAABBBBAAABBABAAAB AAABAAAABBAAA
BAABAA BABBB
BBBABBA ABABBB
AABABBBBAAAAABABA ABAABAABABBAAABABBB
ABBABABABBAAABAB BAABABAAABAB
AAAABBBBAB BAAABBBAABABAABAABAAB
BAABA ABBABABAB
BBBAA ABAABABABBBBBABBBBB
AAAABBAABBAAAAB ABBA
A ABA
ABA ABBABBABABABAABBAABABA
BAABAAABBAAB ABBABBB
AAAABBBA BBBAAABABAABBBABBAB
ABBBAAAABBB AAAABAAAB
BABBBBA BAABAAABBAAB
ABABBAAB AAAAABBABBAB
BBAAAB ABABAABABABBBABAB
BAAAAA ABABABABBBBBAABBBBBBBB
BBAA ABABAABABABBBAB
BAABBBB ABBBABB
AABABABBBBABABBAAB AAABABABAAAABABAAABABBBABA
A ABABABAAABABAAABA
BAAABBBAABABAABAABAAB BBAAAAAA
BABAABB ABBBAABBBBBAABA
AAAABBABBAAABABB BBBBAB
ABBABBB AABBAAAABABAABAAABAB
AABBABBAAB BAABB
ABAABABBAA ABBBBBBABBBABA
ABBA AAAABBAABBAAAAB
ABA BB
BABABABAABA ABABAABBBAB
BAAABAAAABAA AAAABAB
ABBABABABBAAA BAABABAAA
ABAABBAABABAB ABBABBABBBABBBBBBAB
AAAAAA BAAAAB
ABAAB AAB
BBBBABBBBAAAAAA AAAABB
BAAAABAABABABB $
BBBAABAABAABA BBAABBAABBABBBBAABAA
AAAAAABBA ABBA
ABBBAB BAABBB
AB ABB
BAABABA ABBABABABBA
BBBB BAABABAAAAAAABABBA
BAAAB ABABBBAABBA
AAAABBAB ABBAABBBB
ABAABBBA ABABABAAABABAA
AAAABAAABA BABBBAAABABBBBBB
ABBBBAAB BBABBBBBABB
BBBBBB AB
$ BABBAABBBBBAB
BAAAB ABABBBBAABBBAAA
AAAABBAABBBABBABAAA BABBBBAAAA
ABBABABABBAAABAB BAABABAAABAB
AAAAAB ABBBBB
BAAABBBB AAAABABABAABBBABBBAABABABBAB
ABAABBBBABAB BAABABBBB
BAAAABAABABABBAAAA AAAABAABBAABBABBBABAAB
ABBBBBBBABA ABBB
ABA BB
AABBABBAABAB BBAB
AAAABAAAABB ABABBBB
BAABBBBBBAA ABBBABBBBAA
BABBBAA ABABBBBBAAAABB
BAABAAABABA BABBBBAAA
BABAAAABAAAAAAAABAAAAA BAAAABAAAABAABBAAABBBBAABBBBABBABAAABAB
AAAAA ABBABBBBA
BAABBBAAAABBAA ABBB
AABABBBA AAA
AABBBA ABBBBBBABBA
A AAAAABBABBA
BAABABAAAAAAABABBAA BBBBA
BAABB ABAABBBB
ABBBBBBABABBABAABABBBABBBAA ABAAAABBAABBBAA
BBAABBAABBABBBBAABAAABBB AAABAABBBAA
ABAB ABAABABABBBBBABBBBBA
BA ABBBABBBABAAABABBBBB
ABABABABBBBBAABBB B
ABAB AABABBAAAA
BAABBBAAAABBAA ABBB
BAABAB ABBABABABB
AAABABABAAAABABAAABABBBABAAAAB BBBAAABBAAAA
BBBB BAABABAAAAAAABABBA
BABAABBAAAAABA AAA
BBA AB
ABBAAAAAA AABABBBABBBBB
BA A
ABAABBA BABABABBAABB
ABAABBBBABABBBBB ABBAABAAA
BBAABBBA BAABBAABAAA
ABBABBABABABAABBAABA A
BAB ABB
AAABAAAABBBAAABBABB BAAABBA
BBABABAAABB AAAAB
BB BBABBBABABBBBABBBBA
B $
BA A
BAABABBBBB ABAABBBBABABB
BA AAB
BAAB A
BABAB ABBBAAAAABBAA
AAABABAA BAAA
BA AAB
ABAB ABBAABAAABB
BAAAAAB B
BAABABBBBBB BABAABABBAABAB
BAAB A
BAA AAABABA
AAABBBAAABBABAAABB AABAA
BB BA
AAB BAABBBABBAAAA
ABBBBA ABBABABABBAAABABB
ABBBABABBBBABBBB ABABAABBBABA
ABAB ABBBBBABABAB
ABBBB AAAAA
ABBBA BAABB
A AB
ABBBBB AAAAAB
AAABABAA BAAA
BABAABAABABBBABABAABBAAABABB AABBBA
ABBABABABBAAABABBA BABABABBAABBB
AAAABAAABA BABBBAAABABBBBBB
BBBABBBA AAABAA
BAABBB ABBBAB
ABBAABBAAAABBABB ABABBBBAABAABAABAA
BAAAABAABABABBAA AA
ABABB ABBAABBAAAABBAB
ABBBBBBABABBABAABABBBA ABAAAABBAA
ABABABBABBBBBB ABBABBBA
AA ABAA
BBBABBABAA ABBBABBBABAAABABBBBBABB
BBBAA AAAABAB
AAABABABB AAAAAABAA
ABABBB BAABBABBB
AABAAABABABAAAABAAB BABABABBBBAABB
BBABBBABABBBBABBBBAA AAAABABBABABABABBBABBBAABBABAABBABBBBBB
ABAAB ABABB
BABAAABBBABBAAAAB BABBA
AB BABBBBBAA
ABBAAAABAB ABAAA
BBABBBAB $
ABABABABBBBBAABBBBBBBB BAAAAA
ABA BAABBA
ABAABABABBBBBABBBB ABBBABABBBA
ABAAAABBBBAAB ABBBAAAAABBAA
BABAABBAAAAAB AA
AAAAAABABAABBB AB
AABBB ABB
ABABAABABABBBABAB BBBABAABAABABB
ABBAABAAA BABAABABBAABABBB
AA ABAA
ABABABABBBBBAABBBBBB BBBB
AA BBBBBBAAAAAA
BAABABAA ABBABABABBAA
ABABB ABAAB
B BABAABAABAB
ABBBBA ABBABABABBAAABABB
AABABBBABBB BBBAABABAA
ABBBABBBABAAABABBBBB BA
ABABBAAB ABAABAAB
ABAABB BBBA
ABABABAAABABA ABAABBB
BAAB ABABABABBBBBAABBBBBBBBA
AAABABAAAAAA ABABAA
AAABB BAABBBABBAAAABA
BAB AB
BAAABAAAABA AAAABABBBAB
BBBA ABBB
ABAA AA
BBBB BABBABBBA
BBAABBAABBABBBBAABAA BBBABABBAAAAAABB
AABBB ABB
ABABABBABBBBBBAABA AAAABBAAAAAAAABB
BAB AABB
ABAABABBAABBBB ABAABBAAAB
BBAAABAB AB
ABBA ABA
BABABABBABBBBAABAABBAA BBABABAAABBB
AAAAAB ABBBBB
ABABABABBBBBAABBBBB BBB
ABAA ABBAA
BABAABBBABABBAB ABABBBAABBBBABA
ABBBABBBBAAABB AAAABABABAABBBABBBAABABABBAB
$ BBBBBBAAAA
$ B
AAAABABBBBAABBBBAABAB BAA
AAAABABABAABBBABBBAABABABBABA BABABABBBBAABBBAA
AAAABBB AAAABBAABBAAAABA
BBAAAA BBB
BABABBBABBBBBBAABAAA BBABBB
ABBBBBBABABBABAABABBBAB ABAAAABBAAB
BAABAB ABBABABABB
ABBBABBBABAAABABBBBBABB ABBB
B $
AAABABAB AAAABBA
ABA ABBBBBABABA
BAABAB ABBABABABB
ABABB ABBAABBAAAABBAB
BAAAABAA AAAABBA
ABAABAA ABBBBBABABABAAB
BAABABAAAAAAABABBAA BBBBA
ABBBABBBABAAABABBBBB BA
ABBBAABBBBBAAB BBABBBBBAABAAAAAABBABBAAABBB
ABABB ABBAABBAAAABBAB
A ABAABBBBBB
BAAAAA ABABABABBBBBAABBBBBBBB
BBBBBABA BBBB
ABA BAABBA
$ B
BBBAA ABAABABABBBBBABBBBB
ABBBABBBABAAABABBBBBAB ABB
ABBAA ABAA
ABABABABBBBBAABB $
BAABBB ABBBAB
AABAAABBABAB BABBBAAABB
A AB
BBABBBBBAABAAAAAABBABBAAABBBAA ABBBAABBBBBAABAA
ABABB ABAAB
AAB A
BBABBBBBAABAAAAAABBABBAAABBBAAA BAAAB
ABBBBAA BAABB
ABBBABABBBBA ABABB
BABABABB BAAAAAA
BABABABAAB ABA
ABBAABB B
BAA AAAB
AAAA BBABABAAAB
ABBBABBBB BAABBBBBB
ABAAB ABBAAB
BAAAABAABABABBAAAABB AABAABBA
ABABBBBAABAABAABAA ABBAABBAAAABBABB
AAAABBB ABABBABAABAA
ABAAAABBA ABBBBBBABABBABAABABBB
BBAB BABA
BA BB
BABABABBBBAABBBAA BAABBBBBBAAABBA
ABAA AA
$ AB
AAABBBBBAABBBBAB ABA
ABABB BABBBBAA
ABABBAAABA BABAAB
ABABBAA BBBAABBBA
ABBBBBABABAB BBBA
BABABBBABBBBBBAABAAA BABBAABBBBB
ABBAABAABBAB AABBBABB
ABBBBBBABBBABABB AAABBBBBAABBBBABBAB
BBBAABAABAAB BBAABBAABBABBBBAABA
BABBBAAA BABABBB
AAAAAABABAABBBAAA ABAAA
AABAAABABABAAAABAA BABABABBBBAAB
BAABAAB BBBAABBA
AAAABAAABA ABBBAAAABBBA
ABBBAB BBBABBABAAAAA
ABAABAABABBAAABABBBBBB ABABBB
AABBAABB BAAAAAA
BBBBAB BAABABAAAAAAABABBAAB
BBBAA ABAABABABBBBBABBBBB
BBB BBBABAABAA
AAAABABABAABBBABBBAABABABBABA ABBA
BABABABBB ABBABA
B $
BAABB ABBBA
ABBABBAA BABAAA
ABBBAABBBBBAA BBABBBBBAABAAAAAABBABBAAABB
ABAAAABBAABBB ABBBBBBABABBABAABABBBABBB
BBBAABAABAABAAB ABBAABABABB
AAABABABAAABBBA $
ABAABABBAA ABBBBBBABBBABA
BBAABAAAAABAABAABAB ABAABABABBBBBABBBBBA
$ BAAAABAABABABB
ABBB AAB
ABBAABAABB BABBBBBAABBBBBABBBBBBBBABAAAB
BAAAAA BABAABABBAABABB
BAA AAABABA
ABBAAAABBBABBBABBBBA BAA
ABBAAB $
BBBBBBAAAA $
ABBBABBBABAAABABBBBBABB ABBB
BAABAABABAABAB AAABBBAAABBABAAABBBB
AABBBBAAAA BBBBABBBBAAAAAABA
BBABBBBBABB ABA
ABAABB AAB
AABAAA BAABB
BBBBABB ABAAA
ABBBBBABABA ABA
ABBAAAA AAAAB
ABBBBBA $
ABBBBBABABAB ABBABBBABABBBABAA
AAAABBBBAABB ABBABBBA
BAAAABAAAB AAAAABBBBAAABBABAAA
AAAAABBABBA BBBABAABAAABA
BAAAA ABABBBB
ABAABBBBABABBBBBB ABBBAABBBBBAABAAAA
BBBAA AABBABA
BABAAB ABABBAAABA
BAABA ABBABABAB
BAAAAA ABBAABABABBB
AABABBB AB
ABBBBBBABABBABAABABBB ABAAAABBA
AABABBAA ABABBBAAAB
BBABBBBBABBA ABBBBAABA
ABAABBB ABABABAAABABA
AAB BAABBBABBAAAA
BAABBBBBBAAABBAB BBAABAAAAABAABAABABBBA
AABBABAA ABBA
AABBABAB BAAABBBBA
BBBBABBBBAAAAAA AAAABB
BAABB ABBBABBBABAAABABBBBBABB
ABBBA ABBB
BBABBABBBBAABABB ABABBABAABAA
BABABBBABBBBBBAABAAAA BABBAABBBBBA
ABBBBBBA AAAAABBA
ABBBBBBABABBABAABABBBABBB ABAAAABBAABBB
BABAABBAA ABABBAAABABAA
