34005
IHQWl CgdKTK]REAI
\QKL C_WBVY_
I CgKe
\_fgWL_L_cL_c C_L_WcL_cL_WcL_Wc
\QAIlprXiRR CZ
CDpTTT CXLRpnTT
IRWeSGLf CGm
IPFMLXfW IjGGoL_WWWcL_cL_
qCGSLXRSM CGP
C_W ^ISITA`\MRQWBW
TCZbU CZ
IjiCpffQWEGFFGA\_RV[RioQirgRL_cL_cL_cL_cL_CL_WWWWWWcL_WWcL`_cLF_c CgS_L_cL_WWc
\S`C_L_WWWcL_cL_cL_ \_fgWL_L_cL_cL_
CDpT CXLRpn
\SCGQ \
I]R[ \
\Sb \_
\afMRoj \SG
\Tp]pLfS]lprgKTTd C`Qdh
\SGhU\VP\ G\LXR
IS m\[_U
PMB C_W^
O \QApr
CG_mQA IN
ITSQPFYZ \Si]pY__fQW^Z
\M Ij`\_fWGr
\S` IpiS
\_ \SGp]OTkL
IjGrpY nNlR`\
IjGQ cHTTGBR
IH_V\eQWL` \am_UDgpUgp
CXkWmk CXmGWmG
\TpJQcZH \QAlOT
\OrlQiUHm \afQWSA\
\_fgWL_L_c \S`C_L_WWWcL_c
CZ \QAIlprXiRRRR
IhU IhUX_a
I \amMBZ
\QAIlprXiRR CZ
IRAllppApA P
\Qme IHMrlpY
IRPACG`C mC
\Tlp CgR
HaagpUgpUg IHML`UgpUg
IeUl CgSMfS
\TpJQcZH \QAlOT
CDpTTTTTTTTT CLRpTTTTTTT
\TQ^cVB CGP
C_EVRYV[ \QjVRl
ISRQWMS]lOTQiYQjhIYD CG_DY
\_fgWL_L_cL_c C_L_WcL_cL_WcL_Wc
IeJ IRjQDYVBHPY
\_fgWL_L_cL_cL_W C_L_WWWcL_WW
IN\Ai CgRS
Ha INiMU
MRNjLf INipiWSUUZ
Ij`C INGL^GVW\eTQDiRVBFnFC
CgRWVXi`C \MhU\hIY
CXmkWmGW OCX
CpRRORa C_SL`rXiR
\QjGF\TQA V
\MQWHWSPFl IRWlhl
C__cLW\cqL_WcL_WWWWWT C_L_cL_
\QAlOT \TpJQcZH
O \Sir
CXLRpnTTT CXLRpTT
fC_S]QPF]RfC \amMG^
[\MRQ IeRVBB`IR
\TOTA G
CXL Cp
Y IN`\_fWHTQ`CE
\MhU\hIYDp CZpRpT
IN`IRPRV[BBDi`MGE IHTl
C Cg
IePFSP CgSSf_AIHWSH
G \TOTA
\Tll T
U\ \
EIHa CGUEPPBU
\MrlCTV\Z]Q_ilRjBbh IHaE
\Sir O
$ O
\MhU\hIY CgRWVXi`C
CEYUlHTppP RgAOT
IHTlpCOTV \bWP_
\TlGS\S`D\S`\QPPHXYV CEPq[YQPRV[[
\amTpO_DiUTAGrOT`IH_ CG
\_UEPVRi \AJW
CgSM`r Z\Pfr
V\ \QjGF\TQA\
\aEAlpYQP_ CGUm_QHIRPI
IRWeSGLfMBb CGW\_EG^^E
ImWhTQ` \_A
CZpRpT CZlpTTPT
C_L_WWc ISrallllQFM
$ O
IHTpr_L_cL_c`L_cL_cL_cL_BcL_ C_L_cL_cL_cL_
IHM U
\TQfW aCegI
JIeV[\hfMUmQPfp \SiWNiClppPiPH
\TpLfL_WWWc \MOreL
CZpR CX
\TpW \MQWHWSPFl
CQrpCOTnf] \TpWSRQAll
ma \TllQAI
Inm Ie
CEY_UXnUAi]O \am
CG_DY \TOTACD
C_L^__qc \TQfSC_L_Wc
IRWlRPU \iLfEi_
CKo CgSloK
UC C
\TTRVB[fD \aDgpUgpUgpU
\_A\ \U
\MhU\VcU\LVP\VcUPPPPPP\LV IRWEhTU
IHTpr_L_cL_c`L_cL_cL_cL_BcL_c \QjhI^gREP[rEeRL_c
UC C
H]\ShIl I
C_WlSQDi` IeH
\Qh`TQDqBDYcBHXYV ISrOTV[
\MGU \Qh`TQDqBDYcBHXY
Z\Pf CgSM`
\S`C_L_WWWcL_cL_cL_ \_fgWL_L_cL_cL_
\WS Iji
Ie_mTQR CBRE
$ G
\_V[\oWFED\hQjRW CGDiA\TpCp]
R IRP`\MrllQRV\ZLfWBMSM
ILSBbQ CGfLfE_E
IHQAQf IAlHQPf
\_f Q\KLrN
CQrpCOTnf] \TpWSRQAll
CX CZpR
IH_`\SiWeRV\E C_WeMe
IRjrlX IeRVBB`IR
\_V[[\UUfa CGUm_QHIRPI
fC_S]QPF]Rf IH_`
\SCGQ ISrQPFYEiP
IeVBFU_a C_Ef]lOpCQ_Dgp
IjGQUE \Y
\MQ` n
C_WoL C_L_WWcL_c
Iji \\EAllFmpCp
Q IjGLmSUA`C
\aC \TOTDqYhMrllpS\lafg
IN`CGUmQP $
IRW f
\TOTDqYhMrllpS\lafg CgRSS\_AIj
\TQ`IN`CGW \TOT
IeQiA $
Ie`\jQllQ \QAQ
\_fgWL_L_ \S`C_L_WWWcL_
k C
IH o
W C_SWRW
HaagpUgpUgpUgpU IRWME_agpUgpUgpUgpUgpUgpU
ITSQPFYZp C_EACZRp
IRP_UXiMffZZZXUmTQH CGRVRi_fQAp]OT
\TOTDqYhMrllpS\lafg IHS
IeUl CgSMfS
\_`C_EfCQ IRP_UXiMffZZZXUmTQH
\rRVRqHR \Tpr_W
IRAlpWN\AAAA \S
\cPn`\Q_ \aC`IN`\a
\QKLT C_WBVY_T
CgdKTK]REAI IHQWl
IHQAlpL`p \_
\_VB $
IeJ \aUX_EjQPFUP[]OT
IeRV[\U \\
CZ INGL^GVW\eTQDiRVBFnFCZ
$ hl`
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\g \QjLDg
IRWeSGLf CGm
CGRVRiDqHPMFYXmGSWBmkW IePF^X
\TlOTRV[\^ \BMLC`INiro
CgSloK CKo
_ \QWZWRAQQG
\SUA \lQPhEQq
UNVU IeA\SU
\apfMhqIkkIkpE IRjhqIEEkEEk
ICjO IRAOTRV[
\GiePg IRAQ`\_RVB
\__Dgp IH_V\eQWL`
_ \QWZWRAQQG
C_SC LZ
\aCAifle \
IH_A\ML \TpJQcZHU
CgKd Hg
ofTppAp CXmGW
\Qjr afD
\_fgWL_L_cL_cL \S`C_L_WWWcL_cL_cL
\MQ_TA\ \cPn`\Q_C\AA
\S`\ CGUC`
CEYf] U\T
n \_V\lN`\
\SGQUf ISBZMPUm
\Si]OTR C_f[M
C \pr[
\_` CGfMQUASUAUAUAUA`
IHQAQf IAlHQPf
\QPA fC_S]QPF]Rf
\QAOTQ IeQ`IjF
IeQ`IjF Ij
IRP_UXiMffZZZXUmTQH IHTllOTf]lQ
Ij\AAAAAA \cPn`\Q_C\AAA
\QjGF\TQA\ V\
IZBR IeA\SUA
Ihl GI
CgRS CEY_XmQADkp
CGUU MRNjLf
\SUA\AAfAA \SUA\AA
IHQAQf IAlHQPf
IHMrlpY \Qme
Cipk IhlRjrOT`CZp
CgKTeREUfQPRV\eS`CX UCX^
$ Iji
IRAlpYaEj IjUG
CLRpT CDpTTTTTTTTT
HaagpUg IefYaDgpUgpUgpUgpUgpUgpUgpUg
C_L^__qcL_ C_L_cL_cL_WWcL_cL_cL_WWWWcL_WcL_WW
eh IjGGZrG
N`\EQmWoW^E CE
IShIY I
C_L_WWWWcL IHTpr_L_cL_c`L_cL_cL_cL_BcL_cL
CXmkWmGW OCX
C_SpcIUA IH_QU
CgSM`rZR UDDgpUgpUgp
HaagpU \TpfmMLDgpU
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUg \am_UDg
\_P[S\QAQ Y
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
\_RVBFoE nNlR
ISrallllQFML C_L_cL_WcL
Co \afMh
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
\amTpO_DiUTAGrOT`IH_`C CgRSr
I H]\ShIl
\amaTAi G\
\_RVBFoE nNlR
\afM _lTAG
IRW ^ISITA`\MRQWBW
C_We_`IhU NiQApp
\aUX_EjQPFUP[]OT IeJ
IS \lQPhEQqG
CX CZpR
\QApMV ISGZiQV
IPBVhrglfUWhT \S`\Qjr
IHMhq `TGfS
\TpJQcZH \QAlOT
\SGp]OTkL_ IHaUXQGL
RQPISh IN`INGhUPc
\QP_agpUg \aagpUKMIbT
C_L_WWcL_c_WW C_L_WWWWcL_
\TOpIe`CY CGQGLTA`IH_`\QApr
^ISITA`\MRQWB C_
CGm IRWeSGLf
KCXmGW \SUA
CZ \QAIlprXiRR
IN`CGUmQ INGGo]LpfE
\am $
CGQifUXRV\SPBUC`\aEWS`\QPR C_f[M
\aUXRVBHi \MrlCTV\Z]Q_ilRjBbh
\QAOT ]baEjGQ
\QKLT \QPQU
\lQPhEQq IhmS
QN CEAHGqZBoHGHGHGjngqZB
Z\Pf CgSM`
INirfTAG C_WZpeREQiYM
\_RVRiVIi IjUA
\aEj K\Qj
Ie_agpUgpUgpUgp CnEf]p]QkULN
\S`C_L_WWWcL_cL_cL \_fgWL_L_cL_cL
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgp \a`
\QAQ Ie`\jQllQ
IeHC C_WlSQDi`C
IA \MQ`
ISrallllQFML_ C_L_cL_WcL_
ISBZMPUm \SGQUf
C_D CgR
k CGfrgK]KT
IhlH_VRqFBMWUA IeQiA
IjGGZrG Inm
\aUXRVBHi IRlpQj
CG`Cg CEeRSlQmP[qXqFYg
\amQWlH dMLjf
\TlOTRV[\^X \BMLC`INiroX
C_E \_RVRiVIi
C_WMS \Tq
IS \lQPhEQqG
\Qjr IR
IN\Ai CgRS
\QApMV[ ISGZiQV[
ITSQPFYZpRp CXmGWipRp
C R
Ie`\jQllQR \QAQR
IeV[\ZrlpLfE_UX_UZRZX_r \
\TQfSC_L_WcL C_L^__qcL
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgp IRWME_agpUgpUgpUgp
\ama^EWM \_P[Lf
IEjfZgpSeG_SGGSD \MGVP
\MrlCTV\Z]Q_ilRjBbh \MRQ
V\S \SUAGhIlH_Q
\QghTllQFUG I
CEXqHo CEXifYQAQD
CEXifYQAQDi C
\_fgWL_L_cL_c C_L_WcL_cL_WcL_Wc
IRAQ`\_RVBH \QPDA
\MhU\hIY CgRWVXi`C
\TlpY_`IHQP \_`CMRi
\QAQRV CEHO
\_UEPVRi CGUC`_
CG`C CEeRSlQmP[qXqFY
C_L_WWcL_c C_WoL
CXLR \_VA\YZRpR
CEe Hg
CE IjGGBMbQPP[p
Icf \TlQDYV\lhEAp
\_e \amamQWe_`\_
Haagp Ih`UgpUgpUgpUgpUgpUgpUgp
INiYCMhIM IeQir
$ U
CXLRpTT CXLRpnTTT
CGDY cHTTGBR
IHMrlpY \Qme
]baEjGQ Ij`\TQA\_
HaagpU Ie_a
\SiCTPFUDqFSfWR \afQ
CG_ EIHa
\_ \SGp]OTkL
IN`CGUmQ INGGo]LpfE
\SiCTPFUDqFSfWR C_WhQ
\Tl hX
IRP_UXiMffZZZXUmTQH \_
CEY_XmQADkp CgRS
IeQ`C PMB
IN`CGUmQ IRjQDiRV[RHPqBP[YG
IRAQ`\_RV \TR_V
Ie`\jQllQ \QAQ
\QjGF\TQA\ V\
IeH C_WlSQDi`
IdIZ`ITl IHT
CGfLfWF n
CG \Q
C_WoL C_L_WWcL_c
\SUA`\SGGU_mQAlpfTAGrlOTQ \jU
\_ \Mh
C_L^__qc C_L_cL_WWWWcL_cL_WWc
\TpJQcZH \QAlOT
\MQWHWSPFl IRWlhl
C_Ef]lQ \_RVRiVIi
\iLfEi IHTlQ
\SGQV[\_rUAi \SUA
C_WoL_WW C_L_WWcL_c_WW
IQ IHQAOTUmalRApSIeU
U \TQ`
O \QApr
INGL^GVW\eTQDiRVBFnF $
IG \TlQ
C N`\EQmWoW^
\TOT` g
Ic ISQ
CXLRpTTTT CXLRpIT
\ CXRWh
IjGrpY nNlR`\
_PFFIe`_IH_ \MQ
C_L_cL_cL_cL IHTpr_L_cL_c`L_cL_cL_cL_BcL
afWOfK]l \Mr
\__agp Haagp
\MrlCTV\Z]Q_ilRjBbh \MRQ
IN`INGhUP \ljULLcFZ
CG` \amTpO_DiUTAGrOT`IH_`
Cg c^]
\Si]pY__fQW^ ITSQPFY
IN \Tl
ISGZiQV \QApMV
CDpTTTT CXLRpnTTT
\QAQR Ie`\jQllQR
\CBSb CG`\
C_ IHaE^lpfgQfQ
Ij` qj
CZlpTTPTTTTT CZpRpTT
XMQC Ih
\q IRAOTffEAO
]\a CEAj
Z I
CGfClOTPF^X CXmGWV
U \TQ`
IHQjG^_E CBG
IN IeVIBU_faUZXQ
\S`I gdi
Haagp \__agp
IeV[\ZrlpLfE_UX_UZRZX_r \
ISQDiP[rGUCi]l IdIZ`ITl
Uh IH_P[flNGh
C_E $
IhUX_ A\SjEI
G\LX CG
C_L_WcL_cL_WcL_WcL_W \_fgWL_L_cL_cL_W
CZ \_VA\YZ
IePB CBG
Ihl GI
C\G Ij`CZ
YqG \TQ
\aE K\Q
C_SS\MRQjRQ QAlp]G]pYQ
\afM IRjj
YI \TpW
\QAj \aUZX_Ci
IT]ppXiV\B CGPHPiUUZXPFoSYS`IRjGoW
]baEjGQ \QAOT
C_L^__qc C_L_WWcL_WWWcL_cL_WcL_c
C\GRl CD
IRAOTRV[ ICjO
o \QP
C_L_WWWcL_WWWcL_ C_L_WWcL_c_WW
IHSUA\AAAAAAAA IT\
EIHa CgS_EUTA`CGUUZZXfYa
nR\M`GZ Ih
C_SpcIUA \QjrOTACGUT
ISGZiQV \QApMV
CEPY C_f[M
\ IHS`IN`Ie
Ij IeQ`IjF
\QjQ`\_A\afQWeTp \S`I^SGJmG
$ INUA
\QWZWHhTll`QffDQgpU INGQP[fTAGQU`UgpU
ITSQPFYZp \Si]pY__fQW^Zp
IjGQUE \Y
$ ImWhTQ`
CgRW $
IhlH_VRqFBMWU IeQi
IRAOTRV[ YSRLD
\MrQ_UZ NiQApp
R C
IRjQDYVBHPY IeJ
ISprfXLf CGUEPfL
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gp \SiClOTVRq[WHaDgpUgpUgpUgp
\_RVRi`\TOT_agpUg CGEUXDi_TAGLagpUZ
Ie \\
\QAOT ]baEjGQ
\TOTDiUEj \_U`UgpUgp
C_WUDqHiWhSGQUf nNlR`\
\TQPBA\TlpLoRWVeS YIhW
CGmMB \_AIRAp]OTQGB
IeRVBB`IR \Qg
aCegIe \_QGQ
CGf]lpClp IRAllQfYMLKlji
mTa \TpWH
CXLRpn CDpT
\a \__C
CgRS IN\Ai
CXmJG \aE
ISQDiP[rGUCi]l IdIZ`ITl
\QjGF\TQA V
\QjQ`\_A\afQWeTp IjUAim
\_UmQP_lhD IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUgpU
INiYCMhIMD C_E`\QW^ZpR
MRNjLf CGP[CppiPDiDq[fUZZZZ
ISQDiP[rGUCi] IdIZ`IT
CXmGW _]X
Cp CXL
CG`OZMiOT CGPBDYVRqFlN`IeR
$ \_VB
\__ \SGp]OTkL_
C_WoL_W C_L^__qcL_
\QAj \aUZX_Ci
\hQWM \TpM_leVB[fCiS\TpM
IRW \QWeTlQ
m IRPACG`
CDpTTTT CLRpTTTTTT
\afQWSA\_ IPBVhrglfUWhT
CXLRpn CDpT
Ij`\TQA\_ ]baEjGQ
IeQGrQA\ \QPim
\SiM_UXQ UNV
IHaE^lpfgQfQ C_
CDpT CXLRpn
IShIY I
\ CG
Cn C_WU`C
ISprfXLf Ij`\_V[[Ri`CgSM
Z\PfrZ CZR
\TQ^cV IRAQ`\_RV
I MhjN_EBl
C_SSC_WE Ij`\_fWG
\QWh_afWNiMV\Blj`C IeAC
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gp IhagpUgpUgpUgp
UC_EUQ I
IS IZB
IK \_ffCUA`
\a \__C
IeQi IhlH_VRqFBMWU
