30382
DABD ECDB
$ DAEDADCCCDDACCCCCBEBCACBDAB
DDBBABEDDA DBBECDDCEBAC
$ BA
BCDAADEDAEDCC AAEDCAEDCC
DABDDBACD BDD
DDACCABBDCCDDA EDEC
EBAED AADAEDAC
BDDE CDBEE
CDECCEEEABEA ADCDEDAEB
DCDECDDACB DCDCCBDBADCACDAEC
CC ACCA
BDC $
DDACCABBDCCDDAA EDECA
DAD AEAC
AEACCABECADAACAAA CDBCDABEAEAEAEAEAE
DDBEBBCEEACD BCA
DECDBBABEEE DCCBECDDCADD
CDBBC BDBCDCDECEB
BDBDBDEC DBECAE
AADA DBB
DCADD BDBDDBDDCDB
BCEDCCACEEBDCEBAACACE DAEDADCCCDDACCCCCBEBCACBDABBBB
BCDAADED AAEDC
ACCAD DBBDABBBDDADABCEBCA
DDAA DD
AE AEAAEDC
DAB C
EB DBEEBEDCEB
CDEBCDCB DEDBCD
ADBE EAEDCCCAEDCCAEDAEDA
CABDBEBCBACDBBACACEEDD DADDCEDDBD
CDCBD $
DABBEDAEBCABBEDEBBADDADBBDADAACA DADCCACCACCA
CDEBACAAC ECAAAACAEC
EACCCAE EBAEDAE
DCDBDADD ABEBDCCE
CDABEAEAEAEAAA CDCCABEAEAE
DDCCACEBABADBD DE
CDA CDCE
CD DADDCEDDBDBDB
DECBEDCDDBDAEE DABDECDAECACBECABE
EAEDCCCAEDCCAEDAED EEADAD
BCCD CCEBEA
DBBECDDCEB $
CBE CD
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
ECC $
BDBD BCDDAE
ADECBEDEC DDACCABBDCCDDAAAA
DABBDE EA
BDECCADAACAAACA BEEACAAABCAEA
DCCBBABEEBCD BCEDCCACEEBDCEBAACAC
DABDECDAECACBECAB DECBEDCDDBDAE
DCADDDA BDBCDDADBBDADAACACCACEBADA
CDBE BDD
DD DDAA
DABBEDBADCBEBECDDAAEBBBDAECDAECC AE
CDBBDBDB CDEC
DCDBDADD ABEBDCCE
ADECCAAB BDCDABEAEAEAEA
BCDCCEABBC DABD
BDACD BDCDBDDA
BEEACAAABCAEA BDECCADAACAAACA
DAEDADCCCDDACCCCCBEBCACBDABBB BB
AAEDCAED BCDAADEDAED
CDEABEA BBDABEA
EA BDECAAAA
B DCDADCCB
BDDAB DABBD
EDEDAAEDCAED EEAEACC
BDDEC AE
DCDBCABCDAE DBCDBCC
DECDBECCD EAEAB
B DCDADCCB
DABBE DE
C DCABAADCDDCCDDCCCCCBBCADCB
DBDCAEBCAECDABBDBABADCCAC DABEBECD
$ DBBCABDAECBBCCABECDAEE
AABB BDDBECCDBA
DAAEDBBBEA DABBBEBE
ECC $
CDBBCDDDCEDDBDB CABDBEBCBACDBBACACEEDDB
DBBBCECABDDADCEBADAA DDCCAC
AAEDCAEDC BCDAADEDAEDC
DAEDADCE BDCDB
DABBABCD CDCCBDECDBABBBDECE
CDEEC CC
AB EACCC
ECCCCCC DDCDEBDAC
CABDBEBCBACDBBACACEEDDBD DAE
CDEBACAAC CEABAAA
$ DBB
CDBBC BDBCDCDECEB
AD AEAEA
EACAA BDECAAAACAA
DABEBECDA DAEDADCED
ABEBDCCE DCDBDADD
CCEBEAA BCCDA
ADECCAABE BDCDABEAEAEAEAE
AD AEA
DABDDBACDA AAEC
DECDBECC D
EC BDECCCCABCAACCAAEA
DECDCDECBCCC BDDA
BCCD DEBDC
EBE DECDBECC
DCCBECDDCADD DBAEDABDBDADCDDAC
BCA DDBEBBCEEACD
CDEBACAA ECAAAACAE
ADAE AAEDCCAE
BEEACAAABCAEA BDECCADAACAAACA
ACB DABBDE
DBBBCECABDDADCEBADAAC DDCCACC
BDECAAAA EA
EEABAED AEAED
E BDCD
DABDECAAEDA EEADADA
ECD ACAACAAACACA
CBE BDECAAAACA
B DCDADCCB
CC CDE
BC DEDB
DABEDBEBEDBADCDDACBAB E
CDABE BCCD
BCCDCD CCDCAC
$ D
DCDADCCB B
CDEAB DDBBBAEBAACACCACCACCACDAC
DDECEAED BCDAADEDAEDCCC
BD CDC
BDBDBDECA CDCBDBECDCCAEECCBEBED
DDAA DD
BCDA ACECDEE
DEB DCDBCABCDAE
DABDDBAC BD
DCCAEEBB EB
EBAEDC EDEDAAEDCAED
DABDECDAECACBECAB DECBEDCDDBDAE
BDDBDACDBDDCDBCACAEBA DBBBCECABDDADCEBADA
DABBEDAEBCABBEDEBBADDADBBDADA DDBAC
ECCAAAAACAC CDBBDACCCCA
DBDECEB BCDDCED
CDEEEB DEBC
$ DAEDADCCCDDACCCCCBEBCACBDAB
DBDBACDA BCAA
E CDCCEABEAEAEAEAEAE
BDB $
DADCCACCACCAC DABBEDAEBCABBEDEBBADDADBBDADAACAC
CDCEA D
CDBBC BDBCDCDECEB
BCCDA CCEBEAA
DB ABE
BCAA DBDBACDA
C $
DEB DCDBCABCDAE
EEBEDC CDECBAEA
CDB CDECBDAE
D DBDBEBCAC
EACA EEACAA
EEADAD EAEDCCCAEDCCAEDAED
DCCBBABEEBCD BCEDCCACEEBDCEBAACAC
$ BDACCBA
CABDBEBCBACDBBACACEEDD DADDCEDDBD
DADABDE DABEDBA
BCDD DA
DCDB DEBCD
AEB DAEC
AAEDCA BCDAADEDA
DCCBECDDCADD DECDBBABEEE
EBAEDAE EACCCAE
BDDBECCDB DACD
CCEBEA BCCD
DDCCACEED DCACBEBCABCDBEDDACCCCDDCCDDAAC
CDC BD
EA BDECAAAA
C BCAAAADCACB
DADDAAEEADCBDAEEDAEAEDDCBCDADBDADC DCADDDA
ACAA ECAAAACAE
CDEBACDABCDCEEEBEEA AEACC
BDECCADAACAAACA BEEACAAABCAEA
DDADCCBCAEBACBE DDCCACCACCACCACEBADADAAD
BDECCADAACAAACA BEEACAAABCAEA
BA DECB
DE DDCCACEBABADBD
C $
CDEC DEC
BDDBECCDB DACD
BDCDB DAEDADCE
AEAAEDC AD
DABBEDAEBCABBEDEBBADDADBBDADAACAC DDC
DBCDBCC DCDBCABCDAE
CA DCDADACCBA
BDCDB DAEDADCE
CD BDBCDCDECEBC
CDBEAEDC AADAEDA
DCDADCC $
C $
DECDBEC DABBAB
DABDDB ABEBDCCECD
ACCAD DBBDABBBDDADABCEBCA
CABDBEBCBACDBBACACEEDDBD CDBBCDDDCEDDBDBD
CDBDDCDEACACACCACCACCACCACCACCACCA D
BBD BCCD
EAEDCCCAEDCCAEDAE EEADA
BDD DABDDBACD
DABBEDAEBCABBEDEBBADDADBBDADAAC DADCCACCACC
BDECAAA E
CDBBDBDB CDEC
CDEBCDCB BBD
CDECBDADAAD DCCBEED
EACCC BCDE
BBD CDEBCDCB
CDCBE DAA
EB AEDB
AD CDEECCD
EACCCAE BCDEAE
EACCC EBAED
CDB CDECBDAE
DCADACACACCAA CDE
$ DAEDADCCCDDACCCCCBEBCACBDAB
DBDBACD BCA
DABB D
BBD CDECCEEE
DCABDBADACCDAB DEC
BCCD CDEBECEDC
BDCCADDDCC CDBDDCDEACACACCACCACCACCACCACCACCA
BBDA E
CDE DECD
CDCB CDEBCDCBBDC
ABEBDCCE DADCDACBACA
CDEAB DABDDCD
BCDAADEDAEDCC AAEDCAEDCC
BCDAADED AAEDC
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
DDECEAED BCDAADEDAEDCCC
CDB CBEB
DAAEDBBBEAC DABBBEBEC
BDACD BDCDBDDA
DECDCDECBCCC AAEC
DACD BDDBECCDB
AAEDCAEDCCC BCDAADEDAEDCCC
DDACCABBDCCDD ACADADA
ACAACA ECAAAACAECA
EB DCABDBADACCDABBD
DAEDBBECCDCCCBA CAECCCBCDAE
$ BDCDABEAEAEAEAEA
DDBBABED DABB
DA DBECAE
DABBAB DECDBEC
ACADADAAAA ACCABA
DDCCACEBABADBD DE
$ BDBCDDADBBDADAACACCACEBAD
CDCCCBBDBDD DDDBD
$ DAEDADCCCDDACCCCCBEBCACBDAB
CDCEA CBCD
ECAAAAA CDEBACAACA
BDDEC CDBEEC
CDECCEEEA BBDA
$ CDEBCDABEAEAEAEAEAEAEAEA
BDCDB DAEDADCE
CBA DBECAE
DD DABBEDAEBCABBEDEBBADDADBBDADAACACCA
EEADADA EAEDCCCAEDCCAEDAEDA
ACCCCCC D
DABDECDAECACBECABE DECBEDCDDBDAEE
DECD CDE
AADAAE CDEEEBD
AEB DAEC
ACB DABBDE
BEEACAAABCAE BDECCADAACAAAC
CCEBEAAE BDECAAAACAA
DCDECDDACBC DCDCCBDBADCACDAECC
DBCDEBCEEBAEDDCBCEADCCBEDAE DDCDA
CDC CDBE
D BD
CDCBDBECDCCAEECCBE CDEBDCABADCBBDADAAACCBDCD
BCDAADEDAEDC AAEDCAEDC
BBD CDECCEEE
DBECAE BDBDBDEC
BDACD BDCDBDDA
BCA DDBEBBCEEACD
A CDCBDC
CBE CD
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
$ C
AD BDEBBEDC
DABBEDAEBCABBEDEBBADDADBBDADAACA DAD
DDD DCDBCABCDAE
ACECDEEB EB
DEC DCABDBADACCDAB
BCCDAA DBCDEBCEEBAEDDCBCEADCCBED
DDBEBBCEEACDA BCAA
EDBDDCD DABBDEC
CC CDEEC
ADDBE DCDB
BDCDBDDA BDACD
CDECBDAEE CDBE
BCCDAAAE DBCDEBCEEBAEDDCBCEADCCBEDAE
CDC BD
CD BCAAAADCACBD
EACCCAE ECCAAAEDAEDAE
DABBEDAEBCABBEDEBBADDADBBDADAAC DDCC
DBBBDCDBACACD DDADCCBCAEBACBE
BDECAA AEACCABECAD
CDEBDCABADCBBDADAAACCBDCDB DBA
DE CDE
AAEDCA BCDAADEDA
BDBD AEA
DAD DABBEDAEBCABBEDEBBADDADBBDADAACA
CDCBDBECDCCAEECCBEBE CCDCACC
CDECBDAEE CDBE
DADEB DBCADDCDDACBBACBBADDCCCDDCCBCBCCB
BDDEC CD
BCC BB
EEADA DABDECAAE
CDECCEEE BBD
DDECEAEDCC CDE
AAEDCAEDC BCDAADEDAEDC
DEDBC BCC
DDCDC BDECCADAACAAACACACA
ABCCCD BCDECAACAA
CDBBCC BDBCDCDECEBC
DECBEDCDDBDAEE DABEDBEDDCCCB
CABDBEBCBACDBBACACEEDDBD DADDCEDDBDBD
BDDBDACDBDDCDBCACAEB DBBBCECABDDADCEBAD
CDEC DEC
EBED BDAC
CDBBCCDDB DDACCABBDCCDDAAAAAA
DDBAC DABBEDAEBCABBEDEBBADDADBBDADA
DCDECDDACB DCDCCBDBADCACDAEC
DCDCCBDBADCACDAECCDB DCDECDDACBCDB
BDD BDA
CDEAB DDBBBAEBAACACCACCACCACDAC
$ C
EACCCAE ECCAAAEDAEDAE
ABA EACCCA
AEACCABECAD BDECAA
CDE DCADACACACCAA
AB DBBA
CDC BD
AAEDCAE BCDAADEDAE
CCEBEA BCCD
CDBBC BDBCDCDECEB
CDB BCCDCD
DECCDBDCCB CDDE
BDCDBD DAEDADCED
BB BCC
EEBEDC BDDECE
DAEDADCCCDDACCCCCBEBCACBDABBB BB
CBE CD
DE CDE
$ B
ABEBDCCE DCDBDADD
BDBCDDADBBDADAACACCACEBA DCADD
ACAAC AAA
BCCDA CAD
DE E
DBBA ADDB
ACADADAA DDACCABBDCCDDA
AAEDCC AD
CDC BD
DDBAC DABBEDAEBCABBEDEBBADDADBBDADA
AD BDEBBEDC
ADDBEC DECDCDECBCCCB
ADECCAAB CDBCDABEAEAEA
CDECBDBC CDEBCDCBAA
EDECAA DDACCABBDCCDDAAA
D DABB
BDCDABEAEAEAEA ADECCAAB
EB DABEDBEBEDBADCDDACBABB
$ DDCDEBD
DACD BDDBECCDB
CDECB DECB
AD AAEDCC
BDCDB DAEDADCE
DECB CDECB
DBBDABBBDDADABCEB DE
BCCDA CCEBEAA
BDACD BDCDBDDA
EACCC ECCAAAEDAED
C DABDD
BCCCABEDCBAD DCDBCABCDAEC
DABEBECD DBDCAEBCAECDABBDBABADCCAC
ABE DB
ECC D
BCC DDBBABE
CDCEA CDAA
BEC EAEDCCCCCC
DCDADACCB C
CBA DBECAE
DABD BBDDACB
DEC CDEC
DCCCBC CDBB
ACCA DDC
DABBABCD EEAEACCC
BBDA CDEA
DCDCCBDBADCACDAEC DCDECDDACB
ADBE DBECCDBEEAEABA
CDEBCDABEAEAEAEAEAEAEAEA BBDAB
DEC CDBB
DADDCEDDB CABDBEBCBACDBBACACEED
ABEBDCCE DCDBDADD
EEABAE DEBDCC
DABEDBEDDCCCB DECBEDCDDBDAEE
BDD DABDDBACD
DABDDBAC BD
DCADACACACCAA CDE
BCCDA CDABEA
BDC $
AAEDCAEDCCCCCA EACE
DECBEDCDDBDAE DABDECDAECACBECAB
DCCBEDDCDDCCDDCBCBDDE DABEDBA
DADDCEDDB CABDBEBCBACDBBACACEED
DDB AA
DABEBECD DBDCAEBCAECDABBDBABADCCAC
DECCDBDCCB CDDE
CDCBD $
DCDEBDADBCE AD
AE DECDCDECBCCC
CDEC DEC
DADCCACCAC DABBEDAEBCABBEDEBBADDADBBDADAA
CDCEBCD CDEBDCABADCBBDADAAACCBDCDB
ACCDAABCADBC DADCCAC
DECDBBABEEED $
DABBDE EA
DDACCABBDCCDDAAAAA ECDC
CABDBEBCBACDBBACACEEDDB CDBBCDDDCEDDBDB
DECCDBDCCB CDDE
ACCABCAD AAAA
DCDD CDECDE
DEC CDEC
DCABDBADACCDAB DEC
AAEDCA BCDAADEDA
DABBEDAEBCABBEDEBBADDADBBDADAACAC BDDBDACDBDDCDBCACAEBAA
DBEEBEDC $
CABDBEBCBACDBBACACEEDDBDB CDB
D BCDECAACAA
CDBEEC BDDEC
DDACCABBDCCDD ACADADA
DCCAEEBBD DAEDADCEDD
ECAAAAAA BDBDBE
CABDBEBCBACDBBACACEEDD DADDCEDDBD
AAEDC BCDAADED
ACECDE $
DBEEBEDC $
ACAA ECAAAACAE
EE BDECAAAACA
DECDBBABEEE DCCBECDDCADD
CDBC CDEBCDEC
EEB AA
ACADADAAAAA BDECAAAACA
ACADADAAA DECAC
DDBBBAEBAACACCACCACCACDAC CDEAB
ACCABAACA ECAAAACAE
DBAEDABDBDADCDDAC DCCBECDDCADD
AA EEB
CDEBCDCB BBD
AEAAEDCA DEE
DBBAE AADAAE
ACCAD CDEBACDABCDCEEEBEEA
CDE CDB
BDBDCDC BCCCABEDCBA
BE AEAAEDCAE
DCDADACCB C
CBA DBECAE
DA DDBAC
EEB AA
DCCAEEDADD DECEBADBC
A DADDCEDDBDBDB
BBDA CDEA
CEDD BDBCDCDECEBCDD
C DCDADACCB
DAD AEAC
DAEDADCCCDDACCCCCBEBCACBDAB $
DCABAADCDDCCDDCCCCCBBCADCB DCDC
BDBCDCDECEBC CDBBCC
CDBDDCDEACACACCACCACCACCACCACCACCAC DAEE
DCDB ADDBE
EEAAEDCC EBDDEB
EACCC ECCAAAEDAED
DDC ACCA
CD D
AEACCABECAD BDECAA
CDABEAEAEAEAAA CDCCABEAEAE
AEACCABECADAA BDECAAAA
CDCB CDEBCDCBBDC
DCCADD DECEBADBC
CDE DCADACACACCAA
CDCBECAEAE CDCCABEAEA
EBB CCBBB
C $
CCEBEA BCCD
DCDECCDE CDCBE
DABEDBA DADABDE
DEDBC BCC
BEEACAAABCAE BDECCADAACAAAC
CDEBCDABEAEAEAEAEAEAEA ADECCAAB
BDECCADAACAAACAC ABCCCD
DCDB ADDBE
$ BDB
C BCAAAADCACB
DABD BBDDACB
BDECAAAA EA
DBCDEBCEEBAEDDCBCEADCCBED BCCDAA
ACCA CC
DABDDBAC BD
ACB DABBDE
CDEC A
ACCDAABCADB DDBACACACCA
EBAEDC EDDEBAEDCAED
BEDA EBB
EAC CDBBDBDBD
CD CABDBEBCBACDBBACACEEDDBD
AED E
DAD AEAC
ED BCCDE
DEBCD DB
CDEBDCABADCBBDADAAACCBDCDB DBA
CDAA CDCEA
BEEACAAABCAE BDECCADAACAAAC
ACAACAAACACACA ECCAAAAACACAC
EACA DDACCABBDCCDDAAAA
DABDECAAEDAED CBAAB
DDCDA DBCDEBCEEBAEDDCBCEADCCBEDAE
D $
$ ECC
DDCCACCACCACCACEBADADAAD DA
$ CA
E DE
DCDADCCBA E
DABDECDAECACBECABE DECBEDCDDBDAEE
DABDECAAE EEADA
EEBE AAE
DDAA DD
EBDDEBCC BCDEAED
DA DCDBDADDC
EEAEACC EDEDAAEDCAED
DDBEBBCEEACD BCA
BDECCCCABCAACCAAEA EEC
CDEBACAACA CDBDDABDECC
EBDDEB EEAAEDCC
DBEEBEDC $
CDBBC BDBCDCDECEB
BDBDCD CC
ACCABCAD ECAAAAA
DCABAADCDDCCDDCCCCCBBCADCB DCDC
CDBBC BDBCDCDECEB
DADDCEDDBD CABDBEBCBACDBBACACEEDD
CDEC DEC
EA DABBDE
DABBBEBEC DAAEDBBBEAC
DCABAADCDDCCDDCCCCCBBCADCB C
DBECCDBEEAEAB EEADAD
ECCCE ABAEDCA
DBBBA CDEBDCABADCBBDADAAACCBDCDB
C $
EEBE AAE
BCCDA CAD
DCCBEE CDECBDADAA
DE DBBDABBBDDADABCEB
ACAAAAAA BDBDBE
C DCDADACCB
CABDBEBCBACDBBACACEEDDBD CDBBCDDDCEDDBDBD
BDBDBDEC DBECAE
BCDAADEDAEDC AAEDCAEDC
BDECAAAA EA
DEBCDD DCDBCABCDAE
BCDAADEDAEDCC AAEDCAEDCC
DBBA A
CDBE BDD
EAC DABBDEC
BDACD BDCDBDDA
DCDCCBDBADCACDAECC DCDECDDACBC
AE BDEBBEDC
BDDE CDBEE
DABBE DCCCB
DCEECADAD DADDAAEEADCBDAEEDAEAEDDCBCDADBDA
DAD DABBEDAEBCABBEDEBBADDADBBDADAACA
CDECBDADAAD DCCBEED
DCCBEDDCDDCCDDCBCBDDEC ACECDEEB
CDBBC BDBCDCDECEB
DBCADDCDDACBBACBBADDCCCDDCCBCBCC DCDCCBDBADCACDAECCD
DEE EEABA
ABAED AAEDDE
AADAAE DBBAE
DCDECDDACB DCDCCBDBADCACDAEC
DDBACAC DABBEDAEBCABBEDEBBADDADBBDADAAC
DABBBEBECD BBB
BDDBECCDB DACD
DDAABBEBBC DABDDBACDA
B CDEC
DDBEBBCEEACD BCA
EA EEB
CDD CDBBCDDDCEDDBDBDBD
DEC CDEBACDABCDCEEEBEE
BCCD BBD
DBBBCECABDDADCEBADAAC DDBACACACC
AEACCABECAD BDECAA
ABE DBBAE
BBDA CDECCEEEA
BCDAADEDAED AAEDCAED
DABDDBAC BD
ACAE DABBDEC
DECB CDECB
BCCDA CCEBEAA
CDCE CDA
EBDDEBCC EAEDCCCCCC
ACBC DABBDEC
AAE EEBE
C DCDADACCB
CDEABE ADECCAABEAE
DABBBEBE C
CBE CD
DAEC AEB
DCDADCCB B
DECB CDECB
DCCBEBEEEBEEA DE
DDBBABE BCC
BCDAADEDAE AAEDCAE
DECDBECC CDBDBDCCB
ACCABAACAC CEABAAA
AA EEB
DEBDC BCCD
DCDCCBDBADCACDAEC DCDECDDACB
EEADA DABDECAAE
EBDDEB CDBEAED
CABDBEBCBACDBBACACEEDDBD DAE
DDDB DDBACCEBBA
DCDECDDACB DCDCCBDBADCACDAEC
BEEACAAABCAEAC BDECCADAACAAACAC
DADDCEDDBDBDB A
C CABDBEBCBACDBBACACEEDDB
CC CDE
DBBBCECABDDADCEBADA BDDBDACDBDDCDBCACAEBA
CABDBEBCBACDBBACACEEDD CDBBCDDDCEDDBD
DDCBACAB BDBDCDC
DABBBEBECD BCEDCCACEEBDCEBAACACE
BB DAEDADCCCDDACCCCCBEBCACBDABBB
DECDCDECBCCCB BDBDE
AA EEB
BCDAADEDAEDCC AAEDCAEDCC
CBCEDDABBECCBADBBADD BDBDDBDDCDBD
DACD BDDBECCDB
ACCABCAD EDDCAAA
BCDDAE BDBD
DDB $
BDBCDCDECEBC CE
DCDECDDACB DCDCCBDBADCACDAEC
EEACCCAAAE BE
EDEDAAEDCAED EBAEDC
DCDB AADAAE
CCD DCCBEBEEEBEEADC
EBDDEBCC ABAED
BDBDDBDDCDBD CBCEDDABBECCBADBBADD
DBDBEBCAC D
CDBEAED EBDDEB
EEAAEDCC EBDDEB
EB BAD
DBDBACD BCA
AAE DECDCDECBCC
CD CBE
BCDAADEDAEDCC AAEDCAEDCC
DCDBDADD ABEBDCCE
DDACCE DBBAD
CDEBCDCBBDC CDCB
C ADBEE
DABBDE ACB
DAEDADCED DBC
AAE EEBE
CDCBDBECDCCAEECCBE CDEBDCABADCBBDADAAACCBDCD
AAE EEBE
BDBDDBDDCDB CBCEDDABBECCBADBBAD
ABEBDCCEC ECCA
ACADADAAAAAA ECAAAAAAC
DABBDE ACB
DECDBEC DABBAB
C $
AED BCDA
DBDCAEBCAECDABBDBABADCCAC DABEBECD
BDEBBEDCAE ADAE
DADDCEDDBDBD CABDBEBCBACDBBACACEEDDBD
DCDCCBDBADCACDAEC DCDECDDACB
CDECBD DECBD
EACCCAE ABAE
DCDCCBDBADCACDAECC DCDECDDACBC
DD DABBEDAEBCABBEDEBBADDADBBDADAACACCA
BDEBBEDCAE DEEE
DCDCBA CDCB
EEAAEDCC EBDDEB
BDDBDACDBDDCDBCACAEBAACA DABBEDAEBCABBEDEBBADDADBBDADAACACCA
DBBECE ACAAAACEAAEACACCACA
DBBDABBBDDADABCEBC DEC
CDCB CDEBCDCBBDC
DDACCABBDCCDD ACADADA
BB DAEDADCCCDDACCCCCBEBCACBDABBB
DCEECADAD DADDAAEEADCBDAEEDAEAEDDCBCDADBDA
DCCBECDDCADDDDC DCCBEBEEEBEEADC
DE DDCCACEBABADBD
EEADAD EAEDCCCAEDCCAEDAED
ACAACAAA DACA
DABDDBAC BD
ECAAAACAECAA ACCABCADA
EBDDEBCC EEAAEDCCCC
BB DAEDADCCCDDACCCCCBEBCACBDABBB
ACCA DDC
BCDAADEDAEDCC AAEDCAEDCC
C ADBEE
CE BDBCDCDECEBC
DA DDCCACCACCACCACEBADADAAD
CDBBCDDDCEDDBDB CABDBEBCBACDBBACACEEDDB
CD DBBA
AAE EEBE
DBDCAEBCAECDABBDBABADCCAC DABEBECD
DECEBADBC DCCAEEDADD
DABDECDAECACBECAB DECBEDCDDBDAE
DABBEDBADCBEBECDDAAEBBBDAECDAEC DDAABBEBB
EACCC BCDE
BCDE EACCC
DDACCABBDCCDD ACADADA
DABDECDAECACBECAB DECBEDCDDBDAE
DECDBEC DABBAB
DBBBDCDBACACD DA
CDBE CDECBDAEE
CDBBDACCCCA ACAAAACEAAEACACCAC
CABAAACCE AAED
EEAAEDCCCCC EACCCAEDC
CDECBDAE CDB
DDCDEBD DCADDD
BDDEC CD
DBCADDCDDACBBACBBADDCCCDDCCBCBCC DADE
