29255
_jm^i^ _`
Ym`[OcUcfOLlUJT _TP[XUJT
IUY_Zdcerh UE
[SNp\ [SNUE_]_pp
UbhJFfOXUllfOSUEMQOLlfOGH nbrHf
O^_ nqjTo`Tm^o
[hXXXXXXXXXXXXXXXXXXXXXX [hXXX
bP[LlUllfOcfOcfO F_SKePKe
_jmKdLnYn Ubjq
UbhGLHYq [L]N
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
n[LT nZZjUF[J
n[SfOGLPYa ULPY
UE_CP] bPbaY]
T V]]
_SI`Tr^jmK`OYO[f UY_ZdHdOfUHZ
_j^TP`O _S`TrK[LlfO
[ UN
V]j_ RT_
UbjhLl OoP[UmUXOXfOcI
bP`OJFfOEjOcUEX_l _j^TP`OX
_TP`OJTDULT_l bPJH`OS
UPXSSZC bLqjrKb
$ W
hUPZFLrh_RYPZRYbhJ bP`OXfOcUJT\TT\TFUXfOEX
o_jm _S`Tr
ULnYEF_cArhSYmP]CfUIiZ _TPZOioJFZOK[f
ne^Vj_ Vj]j___
_PajWA nb
_i^TP`OLlfOJFUGOfb $
R $
ULHYN\fY JFFb
UE IUY_Zdcerh
nJ nJFbHOlj
V] jFN
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
UYd UYdAMcAVVO
OoPqjr^T Wo
bPJeFbMZZ`Z nbY
g $
n[ dn
n[GHOfjF`OJFUG \U
nbELXhLOA _i^SIII`ToII`ToIII`Tm^TPJFbPZFL
_joKTrK[XfOXfOSU n[llUXU
_b b
OoPbXJN _i^TP`OJFfOGN
[O RT
hUPZFLrh_RYPZRYbhJFf Ubhcf
n`OcUJFUcUSUcUJ bP[J_lfOBSfOLlUXfOSfOL
Hm bP`OYZo`OSULT_T
c^ nqTP
_joII`Tm^TP[LTTBUcfOllUJ_ nJF[lldRSUSUL
R kY
[Ffn jFNfY
^E[ UbqOXUcUEMQ
P`bLlfHXYfOJ_Pl _iK`OGbhLT_l
OUp [
]UbhJ\FU _TPeoP`OEjOcU
bPJFqS`TmKeU Uob
RTf _jr^jrKb
UbhJFfOXUllfOSUEMQOLlfOGHZ nbrHfZ
ZT]f n`OGN\]f
_TPbaYEFHbhLTFUJFfOEjOSUE OUp^_iK`OLSUGbqOEjOXUXfOE
UbJcaO n`OXU
R RTfN\
Q UHZjFe
O^ _SkT^YKbNfO^
UOf_S`TrKbHO FUHOE
_TP[ nTP[USkfO
^ [Sp
n`OXU brPgT
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
bPUo _SI
nLLlUJTDfOc^ bP`Oc
nZ aI
_SII` _i^SW
_iKqTPqS`Tm^iKZOKiobaYEF__HP rPDW
_TP`OJTDULT_lf bPJH`OSf
_PajWAH UPXSSZCH
S[Sp [S_NU
bP`OYZo`OSULT_ QUbjqOcUSUflTfT\
bPZOKijFbYdHEFHLHY nJFJqTPee_U\U\]pf
UEFHaYbhS CP[X
bP`OJTDfOEMQOXfOlT_l bP[_lfOll
ULgYP]FSX nqjm^jr^TP[SfOGP
EN_ bPq
IP _i^TP
AN[SUW_AEU [Sp[NpFS_U
O^ c
UaYPXSSZCELVVrhS]CN VfMEHT
nJ nJFbHOlj
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
ULY _TPbLgY
_TP[TBfWOl _jo`TrKJF[L
RpAaf Vf
nbbjqOXUJFfOSULlfOY bPZOi
_iKqS`To` bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`
O^ [
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGPX UPXYa
ULPYE fjRYPXS
[SUE_]U [S_
dJ_lULlUXf _iK[lTFUcf
$ [
Vj V
EOP U
$ _T
n`OEMQO n[CT_lU
_jSa`ToI _joI`To`To
UPXSFHPXYbqOGPXYYZ__dHY_d_____HbhEjOXULlUXULlUJTBfOEjO _TPeH
OoPbEHN OeUU
U\_Nd O^
_jr^ OoPJYFqo
OefO^[hXXXXXXXXXXXXXX [hXXXXXXXSXXXX
T]]] V
$ bP`OcfOcULlf
n nIF
`OL nqTPJFJF`OSUl
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
bPU _joII`Tr^SI`T
RT______ [F]]j____
nJF a
bJ nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i
m [FfNUU\]f
ULgYP]FSXZYn UPZYnn
bPU _joII`Tr^SI`T
V] T
bP[GNfO^RT RGT
bP[_lf n[Sf
V]]f _BTPaY
_jr^jrK bPqiMjr^jr^jm^i^TP
RG bP[GNfO^R
bPqiK[cUXUJFfOiOiQZ _jr^TPZZ
`bPJMqjoI`Tm^PI`TmK`OLTFfOlT_lUXfOlTiFU n[
n nIF
[S^__BUNUnNN [SUE_AE
_S`T^SI _jm^SI`
O $
E UaYHZoZ
[ UN
R _]HS`Tr^SI`b
_i^SWTr^ _iKq
nqTPJFJF`OSUllf `OLlf
VQj_rr_ Vj____
nLLlUJTDfOc^f OoP`
[ RTfN
UbhULlUXfHOX n`OXUJ_lfOXf
n`OY p_TPdh`OSUY
_jm^SI`Tr^ iT
nZZjUF[JTB bPJF[llUEjOSfOSfOXfOcfOEXTDUXUlT_T_TFULT_lUc
OoPJF`OlTTBfOLl _j^TP`OX
KTP _iK
UbqOXUGLPYPX n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGPX
_i^SWTr _SI`To`To`Tr
nqjoI`TrKqiK`Oll nXUSUSUEMQNOEOrJF
ed]]D [FfNUU\]fN
bP^ bP
nJF[cfObjqOSMQOJFfOSU]SUXOEXT\X bP`OYZo`OSULT_T
Ubh `bhXUJfWO
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _jo`
[F]]f Vfi
UaYN N
RT]] ST
_TP`OJTDULT_lfO bPJH`OSfO
[Sp[pFhX [SpFhXXXX
UYe]RSL _i^iKJFJFJF[GaYEL
iM UPXSFHESZFS]CN
_jr^jm rji
_TPbbjqOllfO nLFUFbbh^
o_jm _S`Tr
bP`OXfOSfO RP[
[YQ O^[F
RTj_T_ RTj__
_S _jSa`ToI
_iK[SfOcULT UPZCbhlT_lfOYLT
$ RT]f
[FfNUU\]f m
$ _in
RP[ bP`OXfOSfO
n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE bPbP]RS
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII _iKqS`To
]UbhJ\F _TPeoP`OEjOc
nqi^[Pcb U
UbjjNhYO nZO[K[K
nLLlUJTDfOc^ UP]CPXSSXYbhEMQOXfOX
r O^R
_iKqTPqS`Tm^iKZOKiobaYEF__HP rPDW
_T $
P`bLlfHXYfOJ_P _iK`OGbhLT_
[SUENN_B_BUY `PQFlJFJ
O^_TPe nbOf
_TPbaYEFHbhLTFUJFfOEjOSU OUp^_iK`OLSUGbqOEjOXUXfO
Pq _i^
ULPYELVVO__ P]FF
bPqiK[cUXUJFfOiOiQ _jr^TPZ
_jr^jrKb Vf\fn
_jo`Tm^TPbPZ ELnSg
FUHOE bPqiKZO
h`OOf` _S`TrKZZ
O^ OTP
UN [
_SI _^eQ^S
ULHYH qkZPXL
nbLPYE_ $
mO nJFqTP`OS
_SII`T _i^SWT
SK VfNfUYdH
[Sp[NpFS_U AN[SUW_AEU
$ n`OSU
OUp^_iK`OLSUGbqOEjOXUXfOE _TPbaYEFHbhLTFUJFfOEjOSUE
U bPqS`ToaTrKb
o_[i _jm^i^i^T
_jo`Tm^TPbPZ ELnSg
_T joI`T^
neoP $
_SII_ _SI
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII` _jo`
[o bPqT
OeUU OoPbEHN
h UN
bPbE UnE
UELO ULY
_S`To`ToTm^RS`ToI`TG`TrK[lT_TTDUEMQOcfOXfOXUXULlfOEQOLlfOcUEMW UbqOXUcUEM
_SI`TrK nj
bP`OcfOcULl Ym`[OcUcfOLlUJTB
n`OlTFULlUJ bP[J_lfOBSfOLlUXfOSfOL
QB V]f
_jmK[ll m_i[LlULlfOSfOSUcUSUEX_lfOllfOEMQOXfOEX_QFfOGbqOcULTTB
FVEf RTf
_TP $
RiT [F]
nWb n`OGbjjhJFUllfOEjOcfOGbj
[SN [SNUE_]_p
bP [i^`jr
RTf FVEf
_TP`OJ_lUGOf[F $
[SpFhXXXXXXXX nqjr^TP[SUcUXUE
FVEfn [F]fn
nqi^TP _S`To`Tno`Tr\
R RW
W $
nbHYa _S`TmKbESX
[hXXXXXXXX [Sp[pFhXXX
RT_ Vj_
[hXXXXXX nqjr^TP[SUcUXU
_^md bPqS`Tm^TPZZjF
Oo UNfbPBTPqi^T
UbqOXUGLPYP n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP
n[CT_lU nbbjh
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
UEFHaYaYYZdHLgYaYPXYOf[F FVE
jm^Vi^SIH _i^jo`To
X OoPbbhl
bPZZjFZOfoqTP _jmg
nJ b
bJ UbhJFfOXUllfOSUEMQOLlfOGHZ
\U n[GHOfjF`OJFUG
T [FfN\
jU O^bP[
Ub nqTPGaYLnYOj
_jm^TP` nXUSUSUEMQNOEOrJFf
nqj Z_j
nqqKeUDP bPJFJF
nJFqOP _TPJF
UYdHaY XU
bPqiMjr^jr^jm^i^TPJ nJF`OEjOYOfoqiKJ
[FfN\f Tf
bP[XfOcfOXfOEjO hUPZFLrh_RYPZRYbh
bPZO[Kioqjm nqiKqjQ`
nJFb bPbY_d__cAOHoQ
n[Sf bP[_lf
IUY_Zdcerh_Ynn UPZYnnn
_\KbOf $
_joKTrK[XfOXfOSU n[llUXU
OUE_ UE_
EPWb neoPe
_TPbaYEFHbhLTFUJFfOEjOSUE OUp^_iK`OLSUGbqOEjOXUXfOE
UPZCbhlT_lfOYLTF _iK[SfOcULTF
_TP[XUJT Ym`[OcUcfOLlUJT
_^md bPqS`Tm^TPZZjF
_iK[SfOcUL UPZCbhlT_lfOYL
pnqi^KJ nJFJ
bP`OGYZdHO UN\
_iKJ UY_ZdHdOfUHZj
IUY_Zdcerh_Yn UELVrhS]Ynnn
_T joI`T^
_joKTrK[XfOXfOS n[llUX
_i^SI`TmK`OLlU nZZIo[llU
nTP[USkf nqTPJFJF`OSUllf
nZOKK[ nq`S_jr`TmKZO
UYdcArhS] UaYS]F_
[hXXXXXXX nqjr^TP[SUcUXU
_in $
Pq O^_
$ nZ
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII`T _jo`T
j_ UNWj_
_ _^eQ^
Ub bbj
_SI`Tr^jm^iK`OSUYO[KfobbjqOGLPYO\]j_____ RT___
$ _i^jo`To`
VfNfb kT
Uobp UP]CLnYLgYbqOLTTDUcUJTDULlfO
n[CT_lU n`OEMQO
n[llUXU _joKTrK[XfOXfOSU
nJFqO _i^T
_ld Oo
_\KbOf $
bPVFJFW O^bPe
ULnYbqOXfOlTFUY UaYNfn
UbhlT nXUSUSUEMQNOEOrJ
gb neo
H[ bP`OS
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII _jo
_jmg`O _TP[LlU
bP[GPXSSZCPXSFHbqOSUSUlTFfO $
UaYNfn ULnYbqOXfOlTFUY
bP`OXfOSfO RP[
MhM n[lT_lfOXUG
_TPJFj _joI`Tr^TPq
_K _S`Tr^jr^iK
nJF Xne^Rna
Vj___ RT_
bbj Ub
UN bPbY_d__cAOHoQO
U bPqS`ToaTrKb
KdRV OoPeoP`OSfOcULlfOGNW
nW ULHYbqOYZjFJF[LTFUJFULlUEjOG
OUp _S`TrKTPJFJF
ULP U[aYEb
PoP bPJFJFJF
bP`OJTDfOEMQOXfOlT_ bP[_lfOl
UYZ_Zd bPLOllGfUEL\hF_
bPUo _joII`Tr^SI`To
bP`OS UQD[
n`OXUGbjjjqOGbqOcfOSfOSUJTBfOXfOc bPHOJ_lfOcUlGfOLlfOJT\lfOSa
V]j__ RT__
UL bPba
OoP`OXUY bPZOi
_S`TrK[LlfO _j^TP`O
UYePBh bPbYd
Oe j
_S`TrKq Vj
_S`ToII`TmK` V_SVTrK`O`J_l
_j^TP` _S`TrK[Llf
Ym`[OcUcfOLlUJTB n`OGbhLlUcfOSUXUllfOSfOll
nP[Sl bP[LlUllfOcfOc
bP[_l n[S
q UHZjFe
Ym`[OcUcfOLlUJTBf bP`
[Sp[pFh [hXXXXX
_SI`Tm^jYo`Tr^TPqS`Tr _i
^n ULgY
_omToTmK bPe
_i^iKJFJFJF[GaYE UYe]RS
_i^iKJFJFJF[GaYEL UYe]RSL
[h [hXXXXXXXXXXXXXXXXXXX
^n nJFb
_S`T^SIT _jm^SI`T
bPbP]RS n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE
KdRV ULHYN\
nJF _TP_mc
UbjjNh _TP[EXFUXUXU
bPZZjFZOfoqTP _jmg
_SIII`TII`Tr^j nqi^j
RTfNf De^D
ULPYELVVO___c cD
jFNfY UEFHaYaYYZdHLgYaYPXYOf[Ffn
$ U
bPJH`OSfOLlfO n`OEjOcUXU
[SpFSUE_]NUE [S^__BUNUnN
n dH
_j^TP` _S`TrK[Llf
]UbhJ\F bP`OX
_TPqSI`Tr pnqi^
^ [Sp
n[SfOl bP[_lfOl
n[CT_l nJFqTP[XUJF
bJ nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i
nqTPe^_jo`ToI`Tr^TP`OlTFfOc UPZCbhlT_lfOYLTF
_TPqSI`TrK pnqi^K
bP[GHO[K[KfjF`OSfOc n`OJFfO
n`OGaYbj bb
_jm^j _^eQ^S`T
bLqjrK bPqTP
nJFZZo _SIII`T
UN bPbY_d__cAOHoQO
bP`OXfOSfOEM LPYHZ
$ n
_TP[TBfWOl UbjjhXUSUXUEjOcfOXfOSfOcUEXFfOSfOSfOcfOLlUL
bP $
nBoP bPJFqjmKZO
_TPJFl OoPqjr^TP
UEOcJAOHEO n[GP
nqjm^jr^TP[SfOGP ULgYP]FSX
bP`rOGIYPXYLPTYOU _TPbN
UPZCbhlT_lfOYLTF _TP`OllfOSfOllfOXfOS
ELnSg _jo`Tm^TPbPZ
_SI`Tm^jYo`Tr^TPqS`Tr^ _jm^
M n
_T joI`T^
_jm^ _SI`Tm^jYo`Tr^TPqS`Tr^
bb n`OGaYbj
$ nN
UbJca nJF`
[hYXX [SNpFSpFhXXXXXX
jbOE bPq
W $
_iK[lTFUcf dJ_lULlUXf
_K _jrK
nZZQOK UbjjNhYO
Ubh SbPeqiKeef_jr^TP`OllUcUcUK
_iK[SfOcULT UPZCbhlT_lfOYLT
_SkT^YKbNf $
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
_joKTrK[XfOXfOSU n[llUXU
bPJFqjo`Tm^ nqiKqjQ`^
_jm^i^i^T o_[i
[Y[ [S_N_]
n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C nbHY
U\_Nd O^
bPJFJZFZZ OoP`OXUYOf
jFN V]
OU\bq^`P _jr^jrKJF
UE_Y UPXQS_YnnGnnnnOn
_Tr^TPq nqjr^
bP`Ol P`bLlfHXYfOJ_P
nZO nJF`OllUJFUlT_lfOcfOXUSULlfOYOK[i
OU bI
UHZjFe bP
V]O] [F]
[F]]f Vfi
qd ne^
$ nN
UaYEFc UYdAMcAVVOc
Ua n`OERFULTTDfOYZobPZFSZCLn
bPJH`OSfO _TP`OJTDULT_lfO
n bPO
bPbLg FPqSIIa`TmKJFKbjhUqSfOSUGa
_S`T b_aTPeAP[
_iK[lTFUc dJ_lULlUX
n[llUX _joKTrK[XfOXfOS
OUp [
[SNp [pY
oTf V]]f
_SI`Tm^jYo`Tr^TPqS`Tr _i
OeUUW gT]c
nqS`TrK kTP
JH nJ
_jmK[l bP[EXFUSUUEjOJFUL
nZ $
[Fj__ Vj]j__
nLFUFbbh^GES UELrhS
[SpFSUE_]NUE [S^__BUNUnN
nJ pnqi^KJ
RGT]] [F
_jm^i^i^T o_[i
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn UELVrhS]Y
bP[XfOcfOXfOEjOJFfO oTfN
_jSa`ToI _joI`To`To
pDb _T
ZT VfNW
nP[Sl bP[LlUllfOcfOc
UN\ _TP`OcUXULT_lUEXFfOcUGN
bP`OXfOcUJT\TT\TFUXfOEX hUPZFLrh_RYPZRYbhJ
OefO^[hXXXXXX [hX
[F]]j_ RT___
P`bLlfHXYfOJ_Pl UaYbhJFUEXF
nJFbbjjh FVEfnH
pDb _T
pDbP _TP
UOWfnH VfinH
nLLlUJTDfOc^f OoP`
n[GHOfjF`OJFUG \U
n[IJf_TTDf _iK`OlT_TFUllUEMQ
VBfYH nJFbbjj
nLLlUJTDfOc^f OoP`
Rh Oe\
_SI`To`To`Tr _S`T^SITr
nbLPYE_ $
n[GHOfjF`OJFUGH \UH
_i^TP`OGN\f nSb
RT FVE
bPqjrKeoP[SfOlTFU UbhULlUXfHOXO
$ bP
n`OlTFULlUJ bP[J_lfOBSfOLlUXfOSfOL
UNfbPBTPqi^TPq [
UP ISP
RH RT]
UbqOXUGLPY n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG
_joKTrK[XfOXfOSU n[llUXU
bI OU
VBfYH nJFbbjj
_SI`Tm^TP _Ji^i^BTP
R n`OGN\]
UY_ZdHdOfUHZ UHZoZZQZ
bPHO ne
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
bPJeFbMZZ`Z nbY
bPqS`Tm^TPZZjF \_T\D
[S__ [SUE_]U_
n[S bP[_l
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
_S`Tr^jr^iK _K
V] Vj]
[SpFhXXXXXXX OefO^[hXXXXXXXXXXXXXX
nbHY n`OllfOJTBfOLlUllUSfOllfOJ_TT\lfOXULlUGP]C
_SqI`Tr^mj _SII`T
UbjjNh n`OcfO
j V
CP[ bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU
nJ b
_jr^ _Ji^i^B
ne^ k
baPJFqjm^jo`ToIM`TpII`TrKJFbPZYn UPZYnnn
bPJFqjmKZO Y
nXUSUSUEMQNOEOrJ UbhlT
nTP[USk nqjmK[EjOlTTDfOcfOJ_l
_S`To`Tno`Tr\ nqi^TP
bPO _jr^SI`TmKJF
UHT n`OY
V]O RT]
$ l
bP`OLlfOEjOS nP[Sl
_S`Tr^jr^i _
_SII`ToI`Tm F_SKeP
_SI` _^eQ^S`
OoP[G OU\bq^`
bP[LTFfOYO[Kio[EjOXfOSUXfOcUSfOllU CP[
ULnYbqOXfOlTFUY UaYNfn
_TP`OLlfOSfOcfOSfOXUXfOLlfOSUJ bP[J_lfOBSfOLlUXfOSfOL
[FfN\f IVnJ
aI nZ
UP] baPJFqjm^jo`ToIM`TpII`TrKJFbPZ
n`OJ_lUkJTD bPqTPJFqjrKJF`OS
nb ^n
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
MhM U
UP]FSXYHZjF[cULlfOSUSfOEjOXU V_q]
pDbP _TP
bPbP]DRSfcArhLVrhSXY nb
Vj V
_K _jrK
kTP O^_TP
H\K[X n`OGbqOJFfOEjOXfOJFfOXUllUc
V]O RT]
bP JHF
nLLlUJTDfOc^fO bP`OcfO
n[cf nWbq
bbj Ub
UE_CP bPbaY
nb _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY
UaYLgYHZoe [_]
nJFJFbY RT]Aj__F____c_
$ n[SUGEFHYdHbqOEM
nJF`OX UbJcaOX
V O^R_T
bPbYd bPJeFbMZZ`ZZd
p_TPdh`OSUYZ nZZQZQO[K[fQZ
QUbjqOcUSUflTfT\ bP`OYZo`OSULT_
_SkT^YKbNfO O
Ym`[OcUcfOLl _TP[X
Vf V
Oo _ld
n[Sf bP[_lf
nJFJ pnqi^KJ
Vj V
_NID _SIII`
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
nqSIIIIIII`Tr^ OoPJYFqo
bPqi nqiKqjQ`
[S__YUp_UU [SUE_]U_
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
_iK`OGbhLT_ P`bLlfHXYfOJ_P
_SI`Tm^jYo`Tr^TPqS`Tr _i
aI nZ
UHZoZZQ UY_ZdHdOfUH
[S__YUp_UU [SUE_]U_
O^R _SkT^YKbNfO^R
nBoP _jrKqjmK`OXUJFfOSULTFUXfOJFUJ_TFfOSfOXfOGNf
UaYLgYHZo kTP
n`OcfOJFfOLlUEXTBUXfOGaoYES]FSaZF_CLgYE UP]F
UbqOGXfOEUQOYOXg nZOi
UbjjqOcUc n`OJFfO
OU U
n[SUGEFHYdHbqOEM $
Vj______ VQj_rr_
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUG UbqOXUGLPY
$ _iKJF[Ej
_joKTrK[XfOXfOS n[llUX
[` UP]CLnYLgYbqOLTTDUcUJTDULlf
_jr^jrK $
bPJF`OJFfOXfOGbhYO[[KKioqi^SIg`TV`ToIIIII`Tr^SI`ToIII _iKqS`To
_PajWA bPbaY
VfNW] G
S[Sp [SUEUiPDoE_
fjRYPXS_ UPZ
nJFqOP _i^TP
n`OERFULTTDfOYZobPZFSZCL UL
T O^
UE IUY_Zdcerh
ULPYE fjRYPXS
bPJH`OSfOLl _TP`OJTDULT_lfOLl
_joI`To`To _jSa`ToI
bPbY bPbP]DRSfcArhLVrhSXYYZ
R RW
$ U
bP[GbqOYZoZOf _SII`o
P[J_lUrfOcfOfOEXB _TP[c
O _SkT^YKbNfO
_K _jrK
_i^iKJFJFJF[GaYEL UYe]RSL
n[XfOSUSUcfOGb nWb
_TPb FPqSIIa`TmKJFKbjhUqSfOSUG
_jr^jrKJ bPqiMjr^jr^jm^i^TPJ
\ U
ISP UP
Oo UNfbPBTPqi^T
U _jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY
F nJFb
Oo b`
RTf FVEf
E UaYHZoZ
g\ bPbY
OUp^_iK`OLSUGbqOEjOXUXfO _TPbaYEFHbhLTFUJFfOEjOSU
bPZOiOf UHZoZZQZ
bLqjrKb UPXSSZC
RT _\KbOfRT
fjRYPXS_ UPZ
_i^j jbmSD`T
U m
_iK[SfOcU UPZCbhlT_lfOY
