21398
BBABAABAAABAAA BBBABBAAABAA
AABBBBBAABABAAAABBABAB AABAAAA
BAAA AABBB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB A
BABBAABAABAABBBAAABAAAABBABABABBBABBBABBBABAABA AAB
AA BAABA
$ ABBAAAAA
ABAAAAAA BBBBBBABAABBAABB
BABBBBABBAB BBBBBA
BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAA BAAABABAABABABBA
BBAABBAAAAAABAAABAAAAAABA BBABABAABAABAAA
ABABBBBABBBBAABABAABBABBBABA BAAAABBBABBBBBABAAB
ABBB BABBBAAAABBABBABBAABBBB
ABAA BABAA
$ B
BA $
ABA BBBBABBBABBBBBABBABABA
BBABAAAABAABAAAB BAABBAB
BBABAABAABAAA BBAAABBAA
BABBAAABBBABB BAABAAABB
BABABB AA
BABBAAB BABABBBBBBAABBABBAB
$ B
BAAABBABAABABB BAABBAAAAAABA
BABABBBABBAAABBBBBBBBBBAAAAAAABAAA BBABAAAABAABA
ABBBB AABBAA
ABBBBABBA BAAB
BAAABABAAABBBABABABBBA BABBBBABAABBBBA
BAABAABABBAABBBBABAABAAABAB BBBBBBA
BBBBB BBBB
BABBABBBABBBB BABABBBBBBAABBABB
BABBABBB BAABBAA
BA BABB
B BABABBABBBB
BABABBAABBABABBBBB BAABAABB
BBABBABAABA BBABBAA
BAABABABBA BBAABBAAAAAABAAABAAAAAABAAAABA
BABA BA
BA AAA
BBBAB AABA
BAAABABABBB BAAAAAAAAAAB
AB BAAAAAAAABAABAB
B ABBAAAABAA
BABABA ABAA
BAABABABABAABAABAAABAAABAABAAABAA BBABABAAABBAAA
BB BABABBABBBBB
B BAAABAAAABABBBABAABBBBBAABBBBBABBBABB
BABAB BBBABBBA
BBABA $
BAAABBBAAAB $
ABB BBBBA
BAAABAAA AAABBABAABBAAAAAB
BBABABAABAAAAABAABAABAAABAAAABAABAA BBABABAAABBAAAB
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABBBAA BAAB
BAABABBAABBBAA AAAB
BBABAAABAAAA BBABBAAABAAABAAAAABAAB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAAA BBBABAAABBA
BABBBBABAAB BABBAABBABBAABA
BABBBAAAABBABBABBAABBBBA BAAABBABAABABBAB
BABBBBABBBBABBBBAAAAA ABBBBABA
AA BBBABBB
ABBBBBABAABAABB ABAAABAB
ABBBBABAAA BABBBBABBBBABBBBAAAAAAA
BAABBBAAABBAABABABAAAAAABAABABAABAB BAAABABBBBABBBBBBBBABBABBAA
BBAABBAAAAAABAAABAAAAAABAA BBABABAABAABAAAA
BBBBAA BAAAABBBBBBABABAABAAABAABBBBAABBBBAABAABBABBABBAAAABAABBBBBBBABBBBAA
BBAB B
BAA BBABAABAAABAABAABAABAAABAABAABAABA
BBABABA BBAABBAAABAAA
AABAAAAAABAAB ABBABAAA
BAABAAABBBB BABBAAABBBABBBB
BABBBAABAABAAAABABBBBABABB BABABB
ABBB BBBBBAAABBAABAABAAAABA
BBBBAABB ABA
BABABBBBBBAABBABB BABBA
BAABAABABBAABBBBABAABAA BABBABABBBABBABBBB
BAAABBABABABBAAAAAABBABBBBA $
B BAAAABBBBB
BBBABAA BAAABABBAAABAAAAAABB
BBBBB B
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAAAABBAAB BBBABAAA
BBBBAA BBAAABABAA
BABBA BAAAB
AABAAA $
BABBBAAAABBABBABBAABBBB ABBB
BBBB BBB
BABAABBAABAA BBABABAAAA
BBBABAABBBB B
BBAABAAAA BBABAAAAABAAB
BBBA $
BAABA BABBB
BAABB BABBBBABAA
BBABBAABAAB BAAABABAABABABBAAB
ABBB ABBAABAABABBBBB
BABABAABABBAAAABAAB ABAB
BBBAABBAAABBAA BAB
BBABABBBBBABBBBABAABBBABABABABAAAAAA BBABBAAAABAA
BBABABBBBBBBABA BABBAB
BBABBAABAAAAAAAAABA BBABABAABAABAAABAABAA
BBABAABAABAABAAB BBABBBAABAAABBABAAAABA
BABBBB BBBBBBAABA
BBABAABAAAAA BBABABAAABBAAA
BBABBAAABAABAABAAA AAABAABBABAAAAAAAAABBABABA
BBABAAAABAAAABAAA AABBABA
BABBABBBABBB BABABBBBBBAABBAB
ABAA $
AAAB ABABAAA
BABABBBBBAABBBBAB BBBBBA
BABBBAAAABBABBABBAAB A
$ BAAB
ABAA ABBAA
ABBAAAAAABAAAB BABBBBABBBBABBBBAAAAAAABBBBBA
BABABBABBB $
BAAABABBBBABBBBBBBBABBABBAAAB BBBBAABABABB
BAABBBAAABBAABABABAAAAAABAABABAABAB BAAABABBBBABBBBBBBBABBABBAA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABB BABABBABBABBBB
B BAA
BAABAABBABBAAAABBBA ABBBBAB
$ BAAABABAAAA
BBBBBBAAABA BAABAA
BBBBBAAA BABABBBBBAABBBBABAA
BBAAABBAA BBABAABAABAAA
BABBBAAAAAAA BABBBAAB
AABBBA BBABBAAAAAABA
BBABABA BABABBABBBABAB
BABABABABAAAABABAABABBBBAABBBBABBABAAAAABAABABABAAABAABBBAAABBBABABBBBBBBBAABABAAABBABABB BBABBB
BAABBBAAABABAAAABBABB BBBABAAABB
BA AABBBAABB
ABB BBAABBAAABAAA
BBBBB BABABBABBBBBBAB
A BABABBAA
AABBABA BBABAAAABAAAABAAA
BAAABBABABABBAAAAAABBABBBBAAB AB
AABBBABBBAABBABABBBBABBBABBABABABBAAAABAAAABABABBAB BBABBAABA
ABAA BBB
ABABBABBA ABB
BAB BABA
$ BAAAAAAABABBA
A BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAAB
BBBABAAB ABABA
BAABAB BBABBAB
ABABBBBABBBBAABABAABBABBBABA BAAAABBBABBBBBABAAB
A ABABBAB
BABBABABBBABBABBBBAB BAABAABABBAABBBBABAABAAAB
BBBABA BBABBAABAABAAABAABAAAAABAAAABAAAAB
BAAB BABBAABBABBBBBAABABAAAA
BAAABABAB BBBBAAABAAB
AAAAB BAAABBBBBBBBBABAA
BBABABAABAABAAA BBAABBAAAAAABAAABAAAAAABA
BABB ABBBBABAA
BBAA BBABABAABAABAAAAAABAA
B BBBABBBBBB
BBABAABAABAA BBAAABBA
BBABABAAAAAA BABAABBAABAAAA
BAABB BAAAAB
BABBBBABBBBABBBBAAAAAAABBB ABBBBABAAABBB
BAAABBB ABBABBBAABAAABAB
BBBABBAAABAA BBABAABAAABAAA
BBABAAAAABAAAABAAAAABAAABAAAAA A
BABABABAAAAABA AAAA
BBBABBBBB $
BABBB A
BABAB BABABAABBBABABA
ABAA B
BAABBBABBBAAABABBAABABABBBBABBAABAAAAAABBAAA AAAA
BABAABBAABAAAAAA BBABABAAAAAAAA
ABAA BABABBB
BBB BAAABAABBBAA
BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAA BBA
BBABBA BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAAA
BBAAB BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAAAB
ABB ABBAABAABABBBB
BBAABA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAAB
ABB BBABABAABAABAAAAA
BABABAABAABB A
BAAAABAB BAABAAAABB
BAA BBABAAAAABAABAA
BABBABABBBABBABBBBABABB BABABABBAAAABBBBBBABABBBA
AAABAAB BBABAABAA
BABBBABAB BABBAAAAAABBABBBB
BABBBAAAABBBAABABAABBABBAB BAAAAABBBBABAAABBABABBAABAAABBA
AABBBBBAABABAAAABBAB AA
BABABAB BAABABABAAABA
BABABABBAAAABBBBBBABAB BABAA
BAA $
BAABBABBAABAB BAABBBBABABABAAAABAABAAAAAAA
ABBBBBABAABAAB ABAAA
$ BABABABBABAABBAB
BBAA BABBBABAAAABABAABABABABAAABA
BAABBAAAAAAABBABBBAABABBBABABBBABAAA AAABAB
BBAAAABBAABB AAAAABBAAABBAAAABBBA
BABBBAAAABBAAAABABAAABBAAABBBABBBBAAAB AA
BABBA A
ABBBBABAAABBB BAAABB
BBBBBBAABA AAABB
BBAABAB AAABBAB
BBABAABA BAABA
BBABABAAAA BABAABBAABAA
AA BABBBBA
ABA ABBAABBBABABAB
BBABABAAAAAA BABAABBAABAAAA
$ BBABAAABAABAAA
BABBBB A
BBBAA BABABAABABBA
$ BABABBABBB
BA BABABABBABAABBAB
BAABBBBAABBBBAABAABBBB BAAAABAABABBBAB
BAAABBBBBBBBBABAA AAAAB
BBAB BABA
BAAB BAABBABAABBAAABB
AAAABAA $
B BABBABABBBABBABB
BBBB BBABBAABAAA
ABAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA
BBB $
BAABAB BABABBBA
BBBBBBABAABBAA BAABAAAABBBBABAB
BABAA BABABABBAAAABBBBBBABAB
AAAABAAA BBBBAABBA
BAABABABAA BBABABABAABAAABAABAAB
ABABABB BBBABAABBB
BBABBAABAAB BAAABABAABABABBAAB
BA BABABBAABBABABBB
BBB BAAAABBBBBBABABAABAAABAABBBBAABBBBAABAABBABBABBAAAABAABBBBBBBABBB
A BBB
BAABABABABAABAAAAABAAAAAABAAB BABBA
BBB A
BBABBBBABABBABBAAABBAAABBBABABB BAAABAAAABABBBABAABBBBBAABBBBBABBBABBBB
BBAAABBAA BBABAABAABAAA
B BAB
BBA BABABABBABABABAABAABAAABAAAABAAAAAABAA
BAABABABABAABAABAAABAAABAABAAAB BBABABAAABBA
BBABAABAAABAABAABAABAAABAABAA BBABABABAABAAABAABAABBAA
BABBBBBA ABAABBABB
BABBAB ABBBBABAAAB
BABBBAAABAAABAA BABBBBBBBBBABA
AB AAA
B BBBAB
BBABABAABA BBAABBAAABAAAABA
BBABAAAAAAABAAABAA $
AABAA BABBAB
BABABBABBBB B
AABBBABBBAABBABABBBBABBBABBABABABBAAAABAAAABABABBABA AABBBAABBAB
BBBBBAABA BBABAAAAAAAAABAAABAAABAA
BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAAABAB BABBBBAAAB
AABBAAA BAAAAAAAABAABAB
BAABBAAAAAAABBABBBAABABBBABABBBABAAAB BAAABBABAABBABBAABBABBAABBBBBAABABAAAAAAAABABAABABBAABBBABABBABBBABBAABBABABBBBBBABABAABBBABBAA
AAABBA ABBBABABA
AABAABBBB BBABAAB
AAABBAABBBAB BABABBABBBBB
BBBAAAA BABABAABABBAAA
BB BABABABBABABABAABAABAAABAAAABAAAAAABA
BBABABBBBBABBBBABAABBBABABABABAAAAAABAABAAAA BBBBBBAA
AAA BAAABBBABABBAABA
ABBB BABABABABBBBBBBBBABAA
BAAB BABBAABBABBBBBAABABAAAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBA ABA
BBABABAABAABAAA BBAABBAAAAAABAAABAAAAAABA
BBBABAB BBA
AAA AAAAA
BBBABABBBA BABABBABAABABB
BAAAAAAABAAABBABAABABABAABBABB ABBAABBABBBABABABBABAA
ABA BAB
BBBAAABAABABABABABBAABAAAABAABAABAAAAAA BABBAABBABBBBBAABABAAAAABBABA
BABABABAA BABBAABBBABBBAABAABBBBB
ABB BAAABABBBBABBBBBBBBABBABBAAAB
BBABAAAABAAAABAAA BB
AA BBABAAABAABAAAAA
B BBBABAABB
BBABBBAABAAABBABAAAABAAAABAA BBABABAABAAABAABAAAAAAAAB
BAAB AA
$ BBBA
BAAABBBAAAAA $
BBABAABAABAAAAAA BBAAABBAAAAA
B BABABB
AB BAAAAAABBBBAB
AAAAB BABABABAAAAABAB
ABBBA AABBA
AAAA BABABABAAAAABA
BAABAA BBBB
BBB ABAA
BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABA BAAABABAABABABB
BBA $
AAA BBABAAABAABAAAAAA
AAA AABBBBBAABABAAAABBABA
BABBBAABA A
BABBBBAAAB $
BBA BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAAA
AAABAABBABAAAAAAAAABBABABAB BBABBAAAABAABAAB
AA AABBBBBAABABAAAABBAB
AAABBBAABA AAABABBA
BB BABBAABABBBABBAABBAAA
AAAA BBBBBBABAABBA
BBBAAAAA BABABAABABBAAAA
AABBABAABBBBAB BAABBBABABAAABBBABBAAABBB
ABAA BBBBAABBA
BBBBBAA BABABBBBBAABBBBABA
ABAAABBABBBAABAABAAABBA BAAABAAAABABBBABAABBBBBAABBBBBABBBABBBBB
BAABBAB A
B A
BAABBABAABB BBA
BBABABAAABBAAAB BBABABAABAAAAABAABAABAAABAAAABAABAA
BAAABBABAABABBAB BAABBAAAAAABAAB
BBBABB ABBBABBBABA
BABBAABBABBAABAB BABBBBABAABB
BAAAABBABA $
BAABBBBBAAAABBBBABAABBABAABABBBBBAABBBABBABBBABBBBBBAABAB ABBBBBABAABAA
$ BABABAABBAABBBABAAAB
AABA ABBAAABBBBBABAB
BAAABAAAABABBBABAABBBBBAABBBBBABBBABBBB BBB
BBABAAAAABAA BBBBBAAABBAABAABAAAABAB
AABB BABBBBABBABBAABA
AABBAB BBABAAAABAAAABAA
BAAAABAAABBABBBBAABABBBBABAAABBBBBABBBBBBAABAABABA BA
BABBB BABBAABAABABBABBABBBBABAABABBBBABAABAABA
BAABABB BABABBBAB
AAB BABBBBBAABABABBA
ABBAABBABAAA BA
A AB
BBBBAABABABBAB ABBBA
BAAB AABA
BAAAABBABA $
ABB BAABBABA
BABBABABBBABBABB B
BABABBBABAB BBBAAABAABABABABABBAABAAAABAABAABAAAAA
BA BBA
AB BAAABBABABABBAAAAAABBABBBBAAB
AB BAAABABBBBABBBBBBBBABBABBAAA
B ABAA
BB BABBABBABBBBBA
BBBABABAA BBAAAB
BBABBAABAAAAABAABAABAAB BABBAA
BAABAAAB BABBAAABBBAB
BAAB ABBBBABBA
BBABAAAAABAAAABAAAAABAAABAAAA $
BBABABAAAAA BABAABBAABAAA
BBABAAABAABAAAAA AA
BAAABABABABBAABAAABAAAB BABBA
BBABBAAAAB BBABABBBBBABBBBABAABBBABABABABAAAA
BABBBBABBABBA BABAABBBBBBABAABAABBB
BBABAAAAABAA BAAABABAABABABBAABAABAA
ABBAABBBABABAB AABBBA
BBABBAAABAAABAAAAABAAB BBABAAABAAAA
BBAABA B
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAAB BABABBABBABBB
BBBBBBAAAB BAABA
BAABAABBBBBBB ABBA
ABAA BBB
BBABBA BAABA
ABA BBBBAABB
AAB BAAABBBABABBA
BAAB BABBBBAABABBAABBBAABB
BBBBBA BABBBBABBAB
BABBABBBABBBBAB BAAAAAAAA
AB BBBABABBB
BBAABAB BABABAABBABBBABAABABABBABABBBAAABABBA
AAA AABBBBBAABABAAAABBABA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAAB BABABBABBABBB
BAAB BAAAA
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA ABAA
BABA ABBB
ABBAB ABBA
BAABABB BABBAAAA
AABABAA BBABBAAAA
BAAAABBBBB ABBABA
BBBBAAABAAB BAAABABAB
BBAA BABABABBABABABAABAABAAABAAAABAAAAAABAAA
BBBAA AA
BABBAAAAAABBA $
BBBABAA BAABBBAAABABAAAABB
AABAAABA BAAAA
BABAABABBBABBABBBABBABABABABABAA BABABBBABBAAABBBBBBBBBBAAAAAAABAAAAABA
B $
B BBBBBBAA
BBABAABAA ABBB
BABABBABBABBB BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAAB
ABABBBA BAAAAABABBBABAABBB
BA ABBAABBABAAA
BBAABA BBA
AA BABBB
BBBA BBBBBB
BABABAABABBAAAA BBBAAAAA
$ BABBBAAB
BAABBAABBBBABB BABBAABAABABBABBABBBBABAABABBBBABAABAABAABA
BB BBABABAABAAABAABAAABAAABAAABAAAAAABAAABAA
BBAABAAA BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAAABAAB
AABAA BAABA
BBBBBB BBBA
BABABBABBBBB AAABBAABBBAB
AAAAAAAAAAAAB BABBBBBAABABABBAABAB
BABAA BABABABBAAAABBBBBBABAB
$ AABAAB
$ BBABAAAAABAAAABAAAAABAAABAAAA
BAABAA BABBBA
BABBBABBBAABABABAABABBABBAA BABBABAAB
BAA BBB
BBABBAABA BAAABABAABABABBA
BBAAABAB AB
BAAABBABAABABB AABBAA
BAABBBABAAB ABBAABBABBBABABABBABAA
BBA BBAAA
B BB
$ B
BABABABAA BABBAABBBABBBAABAABBBBB
BAAABBABAABABBABAAB BAAABBABABABBAAAAAABBABBBBAABABB
BABBAABAABABBABBABBBBABAABABBBBABAABAABAABA BABABAAABBBABBAAABAB
BAAABAAAABABBBABAABBBBBAABBBBBABBBABB B
BABBBBBBAAAAAABA BBA
AA B
BBB BBAAAABAAABAAABABB
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAAA B
BBAB AAA
BB ABA
BBABAABAAABA AABABBAA
ABAA BABABA
$ BBABAAAAABAA
BBBBAABB ABA
BABBBABBABAB BABBBBABBBABABBBBAB
BBB ABBAABBBABABA
$ BABABBB
BBBBAABBAA ABAAABA
BAAABABABBB AABA
BBA $
ABAAA BABABBBA
BBABBBABBBB BAABBABAABBB
A BBBAA
AAA AB
AAB BB
ABAAA BABABBBA
BABBBBBBAA AAAABB
BABABAABABBAA BBBAAA
BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAAAA BBABBAA
AB BBAAABAB
BBAA BB
AAAABAABABB BBBAAABAABABABABABBAABAAAABAABAABAAAAA
BBAABBA AABAAAA
BABABBBABBAAABBBBBBBBBBAAAAAAABAA BBABAAAABAAB
BABABABAABBB ABA
ABABA BBBABAAB
AAABBBAAB AAABABB
BAAABABAABABABBAABA BB
B BABBBBBBA
BABBA A
$ BBABAAAAABAA
ABABAA BBABBAAAAAABAABAABAAABAAABAA
BA BABABAABAAB
AA BAB
$ B
BBAA B
ABBBBABAAABBB BAAABB
BAAB BBABB
AB BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABBBAA
AAAB ABBBABA
BABABBBAA BAABABBBABBBBBAABBBBBBBB
AABAAAA BAA
BBABBAAAAAA AABB
BABBBAAB BABBBAAAAAAA
BAAABABAABABBABAAB BBBA
$ BBBA
A BABBBAABA
BABAABBAABAAAAAAA BBABABAAAAAAAAA
BAABABAA ABBB
BABBABABBBABBABBB BB
ABBBBBBAAAABA AB
AB AABBBBAAAA
BAAABBBABABBAABABB BABBBBABAABBBBAB
BBBA BBABAABAAAAAABAA
BBABBA BAABA
BBABAAABAABAAAAAA AAA
AAAA BA
BABBBAAAAAAAA BABBBAABA
BABABABAAAAB BAAABBA
BA BB
BAABABBBABBBBBAABBBBBBBB BABABBBAA
ABAAB BBBBBBAABAA
ABABBABB AB
$ BABABAABBAABBBABAAAB
BBBABBAAABAAABAA BBABAABAAABAAAB
ABABBBBABBBBAABABAABBABBBABAABB ABBABAA
BBBBB BABA
BBABBABAABAAA AABAABBBB
BABABA ABBB
BABB BBAABAB
BABBB BABABAABAABBBB
BBAAABAAAA BBABABAABAABAAAABAAAABAAABAABAA
A AB
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABB BABABBABBABBBB
BBABAABAAABA BBBABBAAAB
$ BBA
ABAAABBABBBAABAABAAA AAB
AAABAA ABBB
BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAA BBABBAABAAABAAAB
BAAABAABBAABAA AABAABBBBB
BAB AAAB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA ABAA
BBABAABAABAABAAB BBABBAAABAAABAAAAABAABB
ABAAABBABBBAABAABAAA AAB
ABAABBBBAAA AAA
BAABBA ABBBBABBABA
BAAAABAABABBBABBA BAABABBAABB
BAAAAAABBBB $
BAABAAA BAABABABABAABAABAAABAAABAABAAABAAB
BBABAABAAAA BBABABAAABBAA
BA BABABBBABAB
AAABBA B
BABBBAAAABBABBABBAABB AB
BABBBABBAABAAAABBBABAAA ABBBBBABAABAABB
ABBBBABAAA BABBBBABBBBABBBBAAAAAAA
BBABBAAABAAAA BABA
AAA A
BABABABBAABBABBBABBABBAA BAAABBABB
BBABABAABAABAAAAA ABB
BABABBABBABB BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAA
B BBAA
BBABABAAAAAAA BABAABBAABAAAAA
BABAABBAABAAAA BBABABAAAAAA
BBAB B
BAAABAAABBBBABAABABAABABAAABAAABBABBBABBBA BABABAABBBAABBBABAABBBAAABAA
BB B
AAA BABAB
BABABBBABBAAABBBBBBBBBBAAAAAAABAAAA BB
BAAABABA BBBBAAABAA
BAB ABBAAAABAAAB
BBABAAABAABAAAAAABAAB ABBAA
B ABBAAAABAA
BABBBBABBABB BABBAAAAAABBBABBAABAAAABBBBAAABBAAAAAAABBBBABA
BBA BBABABAAABAAAABAABAA
ABA BABAB
BABBBABBABABAAB $
BAABAAA BBBBBBAAABAA
BAABBBABBA BABABBABBBBBBABABB
BABAABBAABAAAAAAABA BBABABAAAAAAAAABA
BBABBBBABABBABBAAABBAAABBBABABBBA BABABABAAAABABBA
BABBBBBAABBBBBABBBBABBBAABABBBBBBABAABAABAABABBBBBABABBBABABBBABAABABABAAAABBBBBB BABBAABA
BAAAAAAAA BABBAAB
BBABBAAAABAA BBABABBBBBABBBBABAABBBABABABABAAAAAA
BBA AABA
A BBAAAB
B ABBBBABBBAABBA
BABBABBABBBBB BBBBBBAAABA
BABBABAAABAAABAABAAAAAAAAAABAABAAB $
BABABAAAA BBABABAAAAAAAAABAA
$ BABAB
BAABA BABBAABBABBBBBAABABAAAAA
BAAABABBBBABBBBBBBBABBABBAAAB BAABBBAAABBAABABABAAAAAABAABABAABABAB
BAAABBAA BABABABAAAABA
$ BABBBAABAABAAAABABBB
BAABA BABBAABBABBBBBAABABAAAAA
ABBBAA BABB
BBB BBBBAABABA
$ BABAB
BABABAABABB BBBA
BABBBAABAABAAAABABBB $
BABBAAABAABBABA $
BABBBAABAABB BBA
AABAABBBB B
BBBBBAA BABABBBBBAABBBBABA
BBBABBAAABAAABAAAAAA BAAABABABABBAABAAABAAABAAAAABA
BAAABBAB BBBABABBAA
BAABBBBAABBBBAABAABBBB BAAAABAABABBBAB
BAABBAABABABBAABABBAABAA BAABBBAAABABAAAABBAB
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABB BABABBABBABBBB
BAABBBBAABBBBAABAABBBBBA BAAAABAABABBBABBA
$ BABBBAABAABAAAABABBB
BBABAABAABAAAAA BBABBABABBA
BAB BABA
$ BBBABAABBB
AAB BAAAABBA
AB AABBBBAAA
ABAA ABBAA
BAAABBBABABBA BABBBBBBBBBAB
BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABA BBAABAA
BAABABBAAB BAABBABABA
AA $
AABAAB $
BAABAAAABBB BAAAABABB
$ ABBABAABA
ABBB AABAABA
BBAAABAA BBABBAABA
BBAA BB
BBBABAAAABAAAA BBABABAABAAAAABAABAABAAABAAAABAABAAAAB
AABBBAA B
B BB
BAABABAB BBABBABAB
BAAABBBAAABAAABBBBAAAB AABBAAA
BBABBAAABAAABAAAAABAABB BBABBAABAABAAABAABAAAAABAAAABAAAABAAABA
BB BABBABABBBABBABBB
BBBAAAA BABABAABABBAAA
BABABBAA BABBBABAAAABABAABABABABAAABABA
BBB BAAABAAAABABBBABAABBBBBAABBBBBABBBABBBB
BABA BBABBAAABAAAA
A BAAB
$ ABBB
BAAAAAA AABBA
BABABBABBABBBBBAAB BABBBABBABAB
AABAAB BBABAA
BBABBAABAAABAABA BBBABA
BAAABBBAAAAA BB
BBABAABAAABAA BBBABBAAABA
$ BABBABBBBBBBABAAABABBABAABABBB
AB AA
BBBBBAA BABABBBBBAABBBBABA
BAABABABABAABAABAAABAAABAABAAAB BBABABAAABBA
BBBBAAABAA BAAABABA
BAAABBAB BA
BBBAAABAABBBBBBBAABABBBABBABBBAABBBBABBBAABBBAABAAB BAAABABB
BAB ABAAA
BABBABABBBABBABBBBA BAABAABABBAABBBBABAABAAA
AABAAAB BBBABAABABBAB
BAABBABA AABBBAAB
BBAABAAAAAABA BBABABAABAAABAABAAAA
ABAA ABBAA
BAAAABAB BAABAAAABB
$ AABAABBB
BB BBB
BBA BABBBABAAAABABAABABABABAAAB
B ABBBB
BABABAABBABBBABAABABABBABABBBAAABABBABA BBB
BAABABB BABABBBAB
BAABAAA BBABAAA
B BABBABAAB
BABBBBABBBBABBBBAAAA ABBBBAB
