23703
OGfHUIGK GWkodKgK
GW\BGkXhOk^aS SV`MfKnpcaPSBj
Dp S
OrIOrmD GWgdWBXISeOqkYKD
SO OFJQ
$ p
SO OFqmhAQTBPmbBJQ
OZaaP]CB OEWESBjjQ
GKWPmiQ[`M GLWf\XGB
OZaaaaAK_dWBJQ OFXm
Odhk On
GWeBqqB SA[BRS\SfBBRMqB
SebY OZaI`QELh
GWeJQeJQhAFXISOhMhMY[` QBWjYF
M One
OnXZJaEI`QGaIWBKmj^aSj OZSjKK
GKWPmQKZqmiiQ OPN_dKKKWGjTBGYjV
OrIOFBMSeJQGaLpQ GWB\aDk`agnG^
SdgfeBHBHWHaWHHWW SAFBqBWHHHWW
SV```Mh OdgGp`e
gPNdf SV````MqOqbGhMn`QgkUf\SPmbPmiQW\g
Sk`QZKmZJaDASENjpMGY`QgG^aL GfG^nEcqjdgZn
SOnWBKmRqmQ[M gGU
OrmdG GKKW\SG^UkhcLpY
GW\So Ui
SVMfn`a^YYdHSqjKRqCQkjkRqk` OZaaPLqjKRqmihEQ
SbY[MkdH^kRqBkdESN SOKaSj
GW\BHIGWGCIcZjCSjZBjBjZj\KKQj Sj^aaPS
GWfWeJQ GWhBcGf]
GKKW SejUJ
$ Sej^nnI[MKnp
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]C GWeJagPmbeJQMV```MkE\BGddEfS]C
Sk`QgaS]CjKQj]SRj OGeKmZXmZJQESjZjQjBjjKZ]C]Rj
SjdSpQ GKK
SeeVMqAGknEd OPi``Q
GWLPHLL OSnLE
S oSe
GKKW SejUJ
SVO GWPmiiib\BogWffeKIOdeKmh
SkKZJQZKm_ OFKmeJEQ_
SAZUfGBfKaLpYke OZUB
OZn GKWPmhiPDRrRrRrjPDRrRrj[iiQK^YBGYVj`aO_
OPNjdrmMOqjq` STV
GWeJQeJQhAFXISOhMhMY[ WVMhH
S SAdRUKr\IS_
GKKKW OGMeqLhEb
GKWPmih[bBBMBHHHWHHHHHHHWWWHHWHW OEgJQEIc^kIYKeBRB
O f
SjCIcoKIKWbk SOK
OPck rOj
Sk`QjdVeKmg OEeKIOE\BkU
OrIOrmDV` GGAGHV`n`Q
On]nSog OGPmQ
GKKKWYfHFqWW^caPLdKWWEL SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF
SAZaS]jjjQjjQj GKKWPNhAiQ^aaPSjQj]Rj]CBjjKQjBj
OnIKU jZaaPIT
OFJQELpYCSj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
Sj^aaPSj OComPSQ^aS]RjjS
Odl SOn`QhbY
Sk O^YCaA[`MqjkXRXmEI
$ O
SAdRUKr\IS_k Sk
Onei`KDkTgWgW^QUBJKQh S
GWHF $
Odj^UBBRS\geXmGaaAWomWMA $
SAdheAFKmdfWZK KhSKWK
OEBBSG^MaAW GW\S
Sk O^YCaA[`MqjkXRXmEI
OrJISbKnh\PjTgPmhAQ OnIkd_h\FKISk
GKVO OE
SV``M GW[Gk`[```MhMfGYWeXmDeO
OrISArIGWeKISkkjq`B``MhMfY[`MK Sjq``MkrISeAFqmibkaLEj^
SeCS GWG
S AGMEBqqAP_Bq
GWf SkTSHommJiQW
XKW\SPmh[h[TQTBkaSBjjKZBjBjj GWkaaPaPSj
Seee]fkSEjWfWMjdaX OFJa
j^nUeJQh SkTgWRqmih[ihAibkaIk
X SOKnpYpMKn
SVMfn`a^YYdHSqjKRqCQkjkRqk`T OZaaPLqjKRqmihEQT
OrmRBBWWWWHWHHHWHWH Ormjj[``MkdRXIOP_jkj`MkGBJQDbGnWqkaI
OnIhMkSPNRqmQkk SAGkaI
DO SOkneie
OrIG PD
Ln`caKKKKKWG^ah\k[ Sjp
SOKaa GWfGbVcGYGQGaa
GWPmhPUrjPDjPDj BOhSnqTBBqmhEh
GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZj GWWGaSBj
Oi` G
SjmjKhkWBJQELqpMfn OPNhAZU\BBXIOP_ddMVMncZk
OFBS GrWG^npQU
GWHaK OSdWBKIOPjTgfepJ^YqM
OFq MGWHjKGUP
GKKKW bf\SnbZe
SOn`QhbY^ PNRqmb\geR
ck`m\QdGUKc OrmRBBWWWWHWHHHWHWHW
OZUfkUWHISOkEeBqSBqmbkUeBRBW OPrch`MnkOYkeOfnWBBMBW
OEPmQ`Q GWHFqV_^nqkiRnQ
SkT DkT
Sj^aaPS GW\BHIGWGCIcZjCSjZBjBjZj\KKQj
OGeqm OAZnlBgY
SeBj OSnLE
SVMkn`KDA aO
OGPhAQ^U\B OGeBMRMS
SkKeBRqMMRS\SWeBSHFqVi`ke WrS
GW OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW
OnIh GWf\SomBqmiiQ`aHgZ[
OFKmDA OhEYcqOhUMk
GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZj GWWGaSBj
OEeqmhPUrRrRrRrjAbW_hW GWB\aDk`agnG^Uo
SkkV``MGqk SAEfnHZV``Mqbqj^aLd
E[ba OSENMO
GWHFqV_^nqkiRnQH OEPmQ`QH
OZUXG^aS]CjQjjZ]CjKKT SbqkVNESjKKQ
SkV_ GOENDM
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM SASpcLEc
Sb GAfGp`\
OZUknd SVKgGqMncQUWELEiKaL
OneNEI[Mkdgk OdDAdIOfkP_dPNdogWH^jWPmh[bWjj^
GKKKW OGMeqLhEb
OnIhMfYVcnKeBMSW OhAnX
SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF GKKKWYfHFqWW^caPLdKWWEL
GKKWBqmiQWkUmiQWGjTgW^ SbfKUPmiihEibHWmknp
OFKISk GKWPmbBBSBXGOnXELEjW\gPmbWhejqMnKHoqmhPkUrj[QkeTVMqAnRqq``MfY
OS GW\gGp`AMkGfXfH\Zn
SASpQnhZOhMhMncZbKPmKRJQjp``MG^Ufeqmb GKW\gf
SArmN GKKKKWfH
SOK SjCIcoKIKWbk
SOn`QhAn` SZVMY
OFJQ` GKWfBJa
SV`YCMM Sb
\ $
SVKgGqMncQUWELEiKaLW OE
SOqjkREiRSjK]ZGjnQjjKKQ SkWeJa_nSjQjB
GWBBBHHWDHHHH^ GWH\FBqBHHWHWHHHHWWWHHW
OPjcK^N bO]SWK^KN
KWeBNMMMBlHCW OFBMqRBHH
OE_mkaaP GWkaaPaP
GKWeXmjj OG\geB
Sj^UP KKKjKW
OGBJQhkcK SAnX^caPLnLhK^^NF^b
OrISArIGWeKISkkjq`B``MhMfY[`MK Sjq``MkrISeAFqmibkaLEj^
OGGdrmhbYKRJaEaO GWWGaa
OrIGK PDK
Sj^UfGdZUWgGj^UeJaH^^aL GWBKIOPiI
OPNZXIOFqm OrJISbKnh\PjTgPmhA
OdDAdIOfkP_dPNdogWH^jWPmh[bWjj^ OneNEI[Mkdgk
OdDOqAGWeBS GoW
SbqeAGfWgeBSGdSEj`^U OrmMOqkK
OdDAP GKX
OneIc OPN
Se OrISO
mrmOGhaI On``QDbn
OdgBBBHH SdgfeBHBHWHaWHHWW
GWHFq`agogKWPmh[QcK^^^^^ GNeqmbH
SAZaSBj $
`CSOfkZQaLna OdjdZaa
OZnEcKnp SeMY
OrmeJMOn^npcLqYCS GWeJaEI^UfkaS
Ln`caKKKKKWG^ah\k[` OPch
iWBKmj\Mn^l GWk
OnX CWErc
SAnecfGYkj^nnIVj SV`
OZaaPLqjKRqmihEQ SVMfn`a^YYdHSqjKRqCQkjkRqk`
GWWZJad\gPmiQ`aZB SOaYWf\\BBqR
OGPmhEk`Mfph` OFBSPmhEQ^nh^p`MkZaI[
OPcRGhMfkdE OGPmhPUrRrjEQ[MYKGa
SkKZJQ_EjVN O
GWPmQWeqmQTBeJQ^caAkbkGPmiQW OMqZ
GWG SeCS
OFBMBH OEgJQEIc^kIYKeBRB
FkUoEmo SkTgoV
GWkodKgK OGfHUIGK
OQUPBiI SAP
OR SOGfn^aaPL
GKWBKmH^BKn OZnf
S O
SOh`MnVjkeebhMKUogKKKW GpPmChoAbA
`Wla OdgGCaA
OEBqmhbUmhPUrj[QKeXm_nnI G
OEHncKUPme[Mn^UBae GWPmQWBBSHgqcISVMn`Qe
SejqK\UHZbqkkjCLrpYp``IMqbfY^UW SOh`Mkd
Sk`QgBJQ OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa
S $
OFqmQ OIaI
GKKKKKMkUWoR OGPmihAbe
GWBKmjkeiXRBRRM SAEfeBMR_
a Sbk
SVMhMn[MGfnVjKpH\djCgIkK SA
OE_mka GWkaaP
GWkmW GKWW
S OEGjca
WVMhH` GWeJQeJQhAFXISOhMhMY[`
OEknhgqTgkaSjQjjZj OComPSQ^aS]RjjSKZj
GKWeBS_^Yj`QG]n SOfkd_
SASpcLEc GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhM
K OFJ
OIaI OFqmQ
SebnTgf\BW_dKWeBqB OPpj^UeBMMB
GKWPmbBqmib M\
OZUXG^aS]CjQjjZ]CjKKTj OSnS
On`V_jK]JQ_hW_ GKKWeJQd\B\SfPmbH\G\g\
GWkU SAdDkKZjKmeqmb
Dp S
X SOKnpYpMKn
Ln`caKKKKKWG^ah\k[ Sjp
In OZUkUBBS\SHFq^a
SOK GWfGbVcGYGQG
GoW OdDOqAGWeBS
OPZUGp`MkFSdKWf OEkU\B
VSfqYc OGomG^UHISk`QdPmiiQc
Ln`caKKKKKWG^ah\k[ Sjp
GWf\g\gWdeB OF
GWeBq SA[BRS\SfBBRM
SjYInnSBjB GKWWELpcSjKQjjKQj]j
OFBMS FkUoEm
SAdheOKnpQaIcKNF^NFN GKWHK^^NF
SA[BRS\SfBBRM GWeBq
kSOYcW OnX
O`B OP_^nnLqCLqCLdWBBRqqRq
OGfGBq R
GKW\W OdGUPmQT
$ GWHgqKgHZ
$ GW
SbY[MkdH^kRqBkdESNZ] SjCS]RjBj]RjjKKZjZjQjjKKKZBj]
Sj^UPmQc^ddhkKh WrS
SOn`QhAn`cK SZVMYcK
$ GKKWeXmeJ
GWknqq````Mq SY
GW\OgBqmi OFqmi
OdWPmiiibW SAd
OEBqmhbUmhPUrj[QKeXm_nnI GK
OPpj^UeBMM SebnTgf\BW_dKWeBq
O IA
GWBJ EBp
GNeqmbHN SbfKnhK^^N
O OhEYcqOhUMk
SANZ OG
GWkaIWf\BGYjc Pr\Y^
GWBXISkTgGYjkAZUBBS\S\gY Sj^U
SkcaW\BWMOkZUHK^NF^^^NFNF TKKKKgKWPmimcK
nDjp GKKWWDV````
MOEBBMXBHHHW OSdKKWeBRRBHHHHWWWH
KWeBNMMMBlHCW OFBMqRBHH
SOGYViX^Yjc^dSp $
OZaIWPibeBqMqqRR SbqAEGqMqbnkjdFB
OG ^G
SjB SMOqU
OneNhk SjK
OSE_p` Q
GKKWkUf jZaaPIT
SVVnfhM SVM
OZaaaaAK_dWBJQ GWomeJQ
SAne LOSE
GWHF $
GWHFqV_^nqkiRnQH OEPmQ`QH
OdjYBk GKKWeIO
SE SAPjTSknEj
`c GWPmibGBkrI
GKWBJadHnN_pQnL kcncKbnL
SbGGKaaPaPSBj]RjjKKKKZj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
OGPmhJ On`WPmiih
OF GW\OgB
GWBBMqMBHW rGKW\geBBH
$ O
GKKKqWfWEa GKWWeBRMSkaa
GW\BHIGWGCIcZjCSjZBjBjZj\KKQjjK Sj^aaPSjK
SjmjKhkWBJQELqpMfnc OGHaKWH
OBqqBHHW GWBBMqMBHWWHW
DW\SoYW\`WdHK^ SAEPmbHK
GYPmQq[MdnRc GWk
GKKKWkUmhAhPUrjPDRrjEib\B\BfBBSGYq`MkE\g\geBRB GKWPmih[bBBMBHHHWHHHHHHHWWWHHWHWH
OrIO Orm
GWeJQeJQhAFXISOhMhMY[ WVMhH
OE\jqmGiZQ`aj^E OZaLhZjdEGjkAFBS
OrmeBB [
OEWESB XKW\SPmh[h[TQTBkaSBjjKZBjB
GWomeBBWW OBqqBH
MGWHjKGUP OFq
OnRnaPSjQj]Cj SAo_YYk``
OFqImi OSENZqmQ`QeJ
OneNEI[Mkdgk OdDAdIOfkP_dPNdogWH^jWPmh[bWjj^
OEPmh CGWfPHmk
GNeqmbHN SbfKnhK^^N
OZUXG^aS]CjQjjZ]CjKKTj GKWWgBXISbkZnnaPS
GKK GKWeJQRqmhQK^QaaATS
OdSnLd[IKKKW SAPjW\
SjjW Sj
Sbn`ahAPcKU\SkUGp Sfn`aVNhVMgNn^nqq
OGfGBq GKWH\necVnTUISW
bO]SWK^KN GKKKKWGY^UeJaHKNFN
SAnecfGYkj^nnIVj SV`
SAE^^aSjKX OdESjKZBjj
SOGfn^aaPL nnKNZJa_
DkT SkT
GKCBBXqMqBHWHH OdDAPj
OZaaPSjZ]CBj]Rj]C] SjCSjKQj]CjBjjBZBjBj]
SBfYe SbnK
OEPmh[ CGWfPHmk[
GWW_dWknpc dGWSBX\AHqmbGC
OGHZVM \
OZnEiecKaL GWBKIOPiIY^nL
OZaIWPibeBqMqqRR SbqAEGqMqbnkjdFB
SOOnn OSEiX^c
OFJ K
GWHZk`aeJQRqmmi On`WPmiih[
OFKmZXmRqmiii GKKWGkej^U\SfeqmhPDRrjA\
OZnEjkekKjkRp ridnHn_
GS\U\Sk OPcfhMfKaLEckZnhoqmbBJaG
OrISjke_^UeqmiiihPUrRrjPDRrRrRrjPDjAi OEfNPm
Sk`aDVMY Oi`
OPjcK^ bO]SWK^K
OnXHUIGWfWeqQKHZbkGPmiQWHoKIGWH SAFJQHgqcF
GKWPmiibeJa_naPSBjBj GWWGaSBjQj
] GWH^jKZXI
OrIOZaa OnOdW\SGdrIOPG\S\geJQELna
O^YCaA[`MqjkXRXmEIV SkV
SV[MqjCLdWPmbPmn GKW\BkUPm
SkV GfWcLEieb
SOqArmgBqmQVNEaAkV`MKaaPa QOdgeXm^QUPmhAh\KRKmEa
Or SOfh``MqjBkP_kRqCIcZJ^aIkkc
GKWBJaGaI[ lPbfd
$ Odj^UBBRS\geXmGaaAWomWMA
SAnX^caPLnLhK^^NF^b GKKW\gHK
SAZUeBMBWHWHHHHW MOEBBMXBHHHW
Se SAnXqmhPUrjEiihEQKMbq
SAEfnHZV``Mqbqj^aLd GKKWkndK
N GKWBBS\SWMejBk
GWAiAgqpdPm GWeqmihA
OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW OZUf
OP^YBYWWeqm OGomG^UHISk`QdPmii
OGBqmbfkaKaAW\g GW
GKKWPmb\SPmhEQWPm GKWfHIS
SV`MfKnpcaPSBj GW\BGkXhOk^aS
VSeeAPN GWW
D S
OE _JQ_hWmf
GWHZk`aeJQRqmmiQ SjCaA
SAnX^caPLnLhK^^NF^b^ OPNGaIcK
SjCaP [OndHRn
SAZUeBMBWHWHHH MOEBBMXBHH
GoW GKWkU
SZVMY SOn`QhAn`
GWGdhEHZOkZUfeKIGKW\S\SeJaMV``MhMG GW\gH^BGqAdDAZnEj^nqpM
GKWPmA GWG^U
OGeqm OAZnlBgY
SkcaW\BWMOkZUHK^NF^^^NFNFN TKKKKgKWPmimcKN
GWogWWRJQdf\geKISAdeX LA
GKWPmhiPDRrRrRrjPDRrRrj[iiQK^YBGYVj`aO_ SAEogWff\SomHZejY^n
GWeJagPmbeJQMV```MkE\BGddEfS] GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS]
GWHgqKgHZb b
CGWfPHmk OEPmh
SkcaW\BWMOkZUHK^NF^^^NFNF TKKKKgKWPmimcK
GWkaaPa OE_mkaa
Orm^QndW\SBJQELdW\SeKmRBRMBWWHWHWWWWHHWW OPrch`MnkOYkeOfnWBBMB
OEeqmbHaWWdGq``MqO OFeZqmEQ[
GKWPmiibeJa_naPS SjYInnSBj
GW[Gk`[```MhMfGYWeXmDeO SV``M
SO OdeKm
SelhMGh````MKaIVjTSkaaA`a Orm
GWLPHLL OSnLE
GWeJagPmbeJQMV```MkE\BGddEfS]CB GWWg\SGBhMfnc^j[MKnpcaPSBjjKZjZjQ
Odhjkei` JfOWGQ
dGWSBX\AHqmbGCSj GWW_dWknpcSj
SjYj^ OqmQ^
OGBqmbfkaKaAW\g OFKmGU
SAZaaPaPLEckP_j^nqq``MKnpcSjKQj]jjjQj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQj
OPrch`MnkOYkeOfnWBBM OZUfkUWHISOkEeBqSBqmbkUeBR
OPjKhkkeAdDkK GWPkBqmiQ`a
SbqkKgWdPmQ`aj OrISj[
SebY OEH
GWkaI OGeKmDkkeVMYa
SelhMGh````MKaIVjTSkaaA`a Orm
SOGnTgHZOhMYW\SGqM YO^r`jYBGb
SY Sbfq
OGPmQcK^NF^^^^^NF DW\SoYW\`WdHK
GWH^Ca OZn\
OEeJQMjq`MknW GWPmih[QWfH\Zn
SAP_Yc OSh^
$ OGBBRq
CWErc OnX
GqB GW\BBXmRJaHI
KWknn On
OG\BBJQeBSBJQZqmQKZBRMS\gG RFEJQHZjBqkej
OdHn SNTBomPmQV
OFqm MGWHjKGUPm
OGPmhJ[Q Sjk`
OEPmibf CNAc
PNRqmb\geR GWPmhEbk
OComPSQ^aS]RjjSKZj OZnnS]C]Rjj
Orm SelhMGh````MKaIVjTSkaaA`a
GWeJagPmbeJQMV```MkE\BGddEfS GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS
lOEPmQWP GKKWPmb\SPmhEQWPm
SO OFJQ
SbY[MkdH^kRqBkdESN SOKaSj
SVMnKh dM
OPcfhMfKaLEckZnhoqmbBJaG GS\U\Sk
OrISArIGWeKISkkjq`B``MhMfY[`MKa Sjq``MkrISeAFqmibkaLEj^a
kcncKb Sek`ageJQH^jK^Q
OComPSQ^aS]RjjSK Sj^aaPSjK
n`KdOk SAPieiIKUfkaL
Sk Dk
dM SVMnKh
OdjYBk GKKWeIO
OjTRL SOqV
KWeBNMMMBlHCWW OFBMqRBHHW
GhWggG SjjTSfeJa^Y
GW\BPmQ^aIVNZXmHFqKjkIKnnITBWMkWkaS] GWeJagPmbeJQMV```MkE\BGddEfS]
GW OoRqmhPDRJRrRrj[Q^nfjkeeOKUogW
SNTBomPmQV OdHn
OFXIOdRBMRRq nDjp
SAZaS] OFFK
GWkUdS OnIffGKn
GE SjjWW
Sjk`Vcn`a_naPI[`MkPiIkdESB XKW\SPmh[h[TQTBkaSBjjKZBjB
OdeqmhAQWkU\gf\BH^dGogWG Odh
Odhk GKWW^Yk
GKKW SVdnd
GWkUPmbkaS]RjBjBj]Rjj SAo_YYk``
Ln`caKKKKKWG^ah\k[` Sjp`
SOKUPmQ Sj^UfGdZUWgGj^UeJaH^^aLY
Sk` SAdRUKr\IS_k`
SAnecfqOnWf\SGqMGGY[`MnWPmbeXISk^ k_
SVMfn`a^YYdHSqjKRqCQkjkRqk`TB GKKW\S
OFqmQVcnkjj`Q OPieNHoJaDAdhYjKRJWeqmQV_BnEkAPqiXRJQd\BWHn_WBXmdBJa
OGeBMRMS OGPhAQ^U\B
GKWWWeqmibBXmMV`MY GWkaaAkk
OZUfe SbfY`agGlddZ
GKWknh GKWeJQRqmhQK^QaaATSWH
SOn`QhbY Odl
IAFB OZUBBSHncnWeBq
Oi` Sk`aDVMY
JbqOGY^ OnIkZ
SjYInnSBj GKWPmiibeJa_naPS
OZn\A GWH^CaA
GKWkBqp`M`ZGnTog SVMYcFqkAE
SkW GKKWXeLmQOkE
_G SAEeqmhPDRrRrRrRrRrRrRrjAQ
Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj SjYBGfn
GKKeqmibGYk`K[OQKnEiXdBKmeJQ^YBYWHUIOPNG SOfYWHW
GWfP dP
SVM SAIXYd`aMbm
BmjMArISkTSBBD GWomeBBWWH
Sk^UBXmgPmiibH\Y_p`b``Mh`MYK^YpMGnkjQj SjYBGfn
SV` SAnecfGYkj^nnIVj
SOKnnaP GKKKqWfWE
N SOkZUGYCaAK^YBk
GKKWPmQkee SbKndI
SbO Seb
OSh\GWDk OP^YBYWWeqmQ
GKWPmQKZqmiiQ OPN_dKKKWGjTBGYjV
Od^Qn mOnIfKnnLg
OZnh RG
SAnX^caPLnLhK^^NF^b Onej^aI[`MYVjVj^aaPIcK^
OGPmhJ On`WPmiih
\c O
Sj^aaPSj GW\BHIGWGCIcZjCSjZBjBjZj\KKQjj
SOK GWfGbVcGYGQG
IAFB OFB
$ GKK
OGPmQ On]nSog
SbY[MkdH^kRqBkdESN SOKaSj
OEGCLhFqTBkUHFq`QjBKUGqMKUknp NSVM
GKWHUIOFJaeKIOGWeE OEPmbB
OEgJQEIc^kIYKeBRB OnRhUmHIGWeBqRBWH
OFJaHUmg\BHncnTBBJa_nSjZBjjKZ dGWSBX\AHqmbGCS
OEfkaaA OrJISbKnh\PjTgPmhAQ
OEPmhAbW SV
OnRpca j`aZqmihQTg\BWElIVViRna
OPN_dKKKWGjTBGYjV GKWPmQKZqmiiQ
SdgfeBHBHWHaWH SAFBqBWHH
OGHZVM \
Orm_EiecYW\SfeKIG GKWeJQRqmhQK^QaaATS
GWf d
\ OGHZVM
AOP_Yp`Mn^UkUfkU SV`MqAG
SjjC` SkkV``MGqkWo
OcPjkk`QdBBqMSHKNj GWHFq`agogKWPmh[QcK^^^^^NFNj
VMkrISAd_pYiEfeKmHn OPie
GWaWJd OZndWHgq`Q
Ormh W
Ok_WhenI GWeBSPmQViI
dGWSBX\AHqmbGCSj GWW_dWknpcSj
CGWfPHmk[ OZUkU\SPmbeBMqS\BkU\BWeKmdPm
hPN OdDe
\ OGHZVM
GWW_dWknpc dGWSBX\AHqmbGC
OdDe OnIfYkejjK_hUm^YkRhqBIUffffHZ
j`aZqmihQTg\BWElIVViRna OnRpca
OF GW\OgB
nEB OF
$ GKWeKmhbqAnIqA
GWkodKgKK OGfHUIGKK
SAEfnHZV``Mqbqj^aLd On`KMbGkPiRqBh`Mh``MY
SA SVMhMn[MGfnVjKpH\djCgIkK
GhWggG GWH\Sq
SAEHK DW\SoYW\`WdHK
OEPmQ` GWHFqV_^nqkiRn
SbGGKaaPaPSBj]RjjKKKKZj On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjj
Sk[ZMfQfGh`Mk GKKWeqmQVcKn
SArIOShISbKU GfKWPmhEZhEh[h[Eb
SV`YCMM Sb
OE OSp
SbnK SBfYe
OnOdW\SGdrIOPG\S\geJQELn OrIOZa
SV WSk[`
OIaI OFqmQ
SMOqUk GWG^UHIO
GKKKWYfHFqWW^caPLdKWWEL SkTS\SeXmDjjTSWRqmihPUrjPUrjEQcF
GLWf\XGB SV````M
GKWHoKISOhM BR
WPmh[irQ GWGjWPmbGYdPjKdeJ
Seejp GWgdWBXISeOqkYKDV
GbKq OdDOqAGWeBS
SAGWdW^QnnLpcSBjBjjKQjBj]CBj]C XKW\SPmh[h[TQTBkaSBjjKZBj
SV`MY _S
OFqmbBJaHZjYbMY`EhaGUW SkV
OEeJad aIVHm
OP^YBYWWeqmQ OSh\GWDk
OF GW\OgB
GWome OZaaaaAK_dWB
GKKKKWW Seee]fkSEjWfWMjdaX
j^nUeJQh SkTgWRqmih[ihAibkaIk
SV`MYKdGdSnIWkaLpQaaAkOkSd G\
OEWjdSEjVieNDeA GNWKR`hOkFXISjd
OZaaAVj^UP OrISj[^UP
OZaaPLqjKRqmihEQT SVMfn`a^YYdHSqjKRqCQkjkRqk`T
GKKWHZAFJQHoJaeKmRBMRBHHWH OBqqB
OrIGK PDK
GWPmQWBBSHgqcISVMn`Q OEHncKUPme[Mn^UBa
OMqZ OFBMS
SbnV Sk[`Mn
OFqm GW\OgBqm
SOknei GKWWRPIObnYrmHAnCC
SANZBXm GWeJa
SkkjCSBjBj OZaaP
GW OVH^k`K
GKKWknhoXIGKKW _JQ_hWmfW
On`TBfkaSBjjQjjjBjjKCKKZjKKKKfQjjK OFXmGaSj
Sj^aaPSj OComPSQ^aS]RjjS
OZUfkUWHISOkEeBqSBqmbkUeBR OPrch`MnkOYkeOfnWBBM
OZUXG^aS]CjQjjZ]CjKKTj] OP_CS]
SbnK SBfYe
GWgdWBXISeOqkYKD OrIOrmD
OGGYkeNg GKWPmA
OEeJQMjq`MknWnL OdjYBkZaL
GjK GW\SWheAShIOddG^UWeBRRMS
SAdZIBMSWR SkWB
JbqOGY^ OPieNDOqOK
oSe S
OSENMO E[ba
OPch` SVV`j
Sk^UkndKW\Seqm MGWHjKGUPm
SgOffqM GW\gHaWBKIOnec
SbYcaWBBRqS\g\SeJQ GW\SBWMAFqmihAbWH^d
SOqbGgnWHBW OZnnaAcgq^Uo
GPmh[bBa[XT OFK
SAGB [OFm
SkV_j^UGpWM`Qh SVMkn`KD
OPNGaI SZVMY
SAdRUKr\IS_k` Sk`
dPm OPNGUomPmh[
SkV_j^UGpWM`Qh OrIS
N OEfeJagBBqSeqmhPDjPUrRrRrj[QWeqmbPmh
SOkEBqm SjjcaKg^fomBSeqmhEni
GWeKmhj GWH\G
OSENZqmQ`QeJ OFqImi
OPNGUomPmh[ dPm
