33108
ABAABABA AAAAABBB
AAABBAABAABB $
BAAAA BABBBBBBBBAAAB
ABAABABABBB BBABBB
AAABBAABABBA ABABA
B BABABBABAAAAABBBAAABBBAABBAA
BBABAAAAABBB AAABBAAB
BAABAA BAABAABB
AAB AAABA
$ BAAA
ABAABABABAABAAABAAABBBBBB BA
ABAAAABBA BBB
BABAB A
BABAAAA ABAABA
BAAAAABBAAB A
ABA ABBABAA
BABAB BBB
ABAAAAAABAAAAAAABABAAA B
BBB AABBBAABAABBAAAAAAABAABAAABBBABBAAAAAABBAB
ABBABBBABBBAABABB BA
BABABBABAAAAABBBAAABBBAABB AAA
BB $
BBBBABABB AAB
A $
AAABAAABAB B
BAA AAB
BAABBBA BA
AB ABBBAABABABB
A BABBA
ABABBBBA AAAABAABAAAABAA
ABBAAABABBBBAAAAABBAB BBB
ABA BBBBBAAAAA
$ ABBAAABABBBBBAAABBAABB
BAA AABBBAABBAAAAABBBAAABBABBBBBAABBBBAAABBAABAB
BAA $
ABBAAAAABAAAB BA
BABAAA ABBABBBBBBABAB
AAB AABABBBA
ABABBAA ABBAAAABAABBBABBAAB
BAABBB B
$ AA
BB BABBBBAAABBABBBABAAB
BABB BBABB
ABAABABBBBBABAAABBABBBBBBBBBB ABABAABBBB
AABA ABAA
$ AAAAAAABBBAAAAABBBABBB
AAB AAABBB
BAB ABBABAABBAAAB
AABBAAAABB BABAAB
ABABAABA ABA
BABABBAAAABBAABAA ABA
AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAAAAA AAABABA
BABBB BBABBBBAAAA
BBA ABAB
BB $
AAAAABA BBBA
BBBBBB A
BA AAAAABAAAABAB
ABABAABABA $
AAABBAAABAAA $
AAABABAABBBBB AA
ABAAABB AA
AAAAB $
ABAA B
A ABBAB
BAABAB BABAAAB
AAABABBBAAA AAAAAAABBABAB
BAABBBAABBB ABBAA
BAABABB AB
B AAAABB
B ABAAAABAABBB
BBAABABBBBAAABBBAB BABABAA
AABAAB AB
BBAAABBAAABBAABBBABABABABABABABBB AAAA
BB ABABB
$ A
ABA BBBABBBAABBABAABA
ABBAB AABAABBA
ABA ABAAAAABBBAAB
A BABABA
ABA A
AAAAAAAAABBABABBAABA AABBABA
BAABAABBBBAABB BAABB
ABA ABB
AAB $
$ ABBABBBABBABBBBBB
AABA ABBA
BA BBABA
$ BABAABBABABAABBAABBBBBAAABBAAB
B ABBABBBBAB
BBA ABBABA
AAAABBA BA
BBAABBBAABAABAA BABBABAAAABBAABAB
BABBBBABBBABABB ABAABABABBABBBAB
ABBAAABABBBBBAAABBAABBA A
$ BBB
AAAAAAAAA BBAA
ABBABAAAAABBAABBBAB ABBAABABBBBBAB
BABA BABAAAABAAABABBB
AABAB $
BAABABBBAAABBBBBABAA ABB
AB $
BB $
BAABABB BBBBABB
BBAAAABA AAABAA
B AAAAAAAABA
AAAABA AAA
B BAAAAABAABA
AABBABABAA BABAAAABAABBABAB
ABBAAB BAAB
AA AAAAAAAAB
BAAA A
AB BB
ABAB BABABABAB
A BABA
$ BAABAABBB
BBABAAAAABB ABAABBBAAABAAABBAAABBAAAAAAA
ABAABBAAABAAABBA AAABAABBBAB
ABBBAAABBBAAA BABABABBAABBBBBB
AAABABAAA ABBAAAABAABBBABBAABBA
AAABB ABAAABBBBABAABBA
A ABA
AAAA BAAB
$ AB
ABBAAB AB
BA BBBB
BAAB AA
ABBBABBBB ABABAA
ABAAABB AA
A ABBBAB
AABA BAABBBAAAAA
BAAAAABBBBABAAAA B
AAABAABAA A
A BA
BBB ABAABBBABBBAABBBAAABBBABBAABBBABB
$ BABBAAB
AAABAAAAABBBBABBA BAAAAB
BBABABBA AAB
AAB AABABBBB
BAABBAAABAAAABBBBBBAABBBBBBAAAAAA BBBAAABBBB
ABAABABBBBBABAAABBABBBBBBBB ABABAABB
AB AAABABAABBB
ABB $
AAAA BA
BABAABABBAAA BA
ABBBBBAB ABABB
BBAABBB BAABBAABAB
AAAABAAA A
BAAAB AABA
AAABABBAABBABAAAAAAAABBAAABBBBAABAAAABAABAABAAABBAAABBABAA ABABA
BBAAB ABBABBA
BBBBA AB
AABABBBBB AABB
ABABBB ABBBABBBBA
A $
BABBAAB $
BAAABABBB BBA
BAA ABBBABBBBB
BA ABBAABAAAABABABBABBAA
BBBBAA BAB
A AAABAAAAABB
ABAAAAAAA BA
ABBBBBBABBA ABAA
AAB BABAABB
AA $
BBAAAAB AABABAA
BAABBBBBAABABBBBBAAAABBAABBBAAAABABABAAB BABAAAA
AAABAB A
$ BAA
ABBABBAB AB
BBBA A
BAABBBBAABBAB BAABBABB
ABBABBBABABAAABBABBBAAAA AA
BABABABABAABAAABABBBBAAABBBBA AAAABAABBBAAB
ABABABABA BAB
BAAAAAAABAAAAB BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAA
B BABBBBAAABBABBBABAA
BAB AAB
BBBBA BAAAAABAAB
AAAAAAAAABAABAA BABAABAAAABAAAA
AABB AAABAAAAB
BAB AAABAA
BABABABB A
BAABAAAAA $
A AAB
BAABBABBBABB ABBBBABAABB
ABBBBBABA ABBBABBBAAB
AAABAB BABAABAAABBAAAAABBBABB
ABBBAA BAA
AAAAAAAAAABAAAAAAA $
B AAAABABBABBB
ABABBB BAAABAABBAABAAAABABBBBBAAAB
$ ABB
ABBAABB BBAAABBAAABBAABBBABABABABABA
AA ABA
B AAB
ABAAAABAAABBBBB BAAAAAABBBBAABA
ABABBBA ABBABBBABAABB
$ AABABBB
ABBBABBBBABB ABBABA
AABABBBBAAAAAAAAABAABBBBBBBAABBB ABBBB
ABAAAAAABBBABBBABABAAABB BAA
BA AAABABAAAAAABB
BA BAA
AAAAABB BAABBBAABAA
AAABAB $
AAABABABABBBABAA AB
AB BAAA
$ AAB
BAABBAAABABA ABAB
BBBBA BAABBAAAA
AA ABB
BABABBAAAAABBBBBBAAAABBABA BABBB
ABBAA BAAB
AAAAABABABBBBB BAAA
BBAAB ABAABAABBBB
$ AABA
ABBABAB ABBABBBABBBABABBB
ABBBBABBA BAAA
AAABBBA AA
BAABBAA B
BAABBAAABBBABAAAABBBBBBBBAAAABBABBABABABBBAA BABBABABABA
AAAA ABAABAAAABBBA
$ BAABAABB
AAAABABBABBAB A
ABBABABAABABB ABBBBBABBABBBABA
BAAAA B
AAAAAABB ABBAAA
B AABAA
$ ABBBBBABBABBBABA
ABB AA
AA ABBAAABBAAB
ABA BBABABAA
ABBAAAA AB
ABAAAABA B
A ABAAAA
ABBBAAAAAAAAABBABABBAAABA AAABB
AAAAAAABBBAAAAABBBABBBA AAB
ABBAAB BABBAAAAAB
BBBB ABBABAABAA
ABAAA AA
ABAABABBAAB AABBBBAB
BAB ABA
ABABBA $
B BAABBAABABB
B AABAA
B BBAAAAAB
ABBABABBBABABBABABBAAAAB $
BBABABAABBABB ABAAA
ABBABBAA ABB
BBB ABBABBBAB
BABAABBAAABA ABABABBBABABABBBAB
ABBAAABABBBBBAAABBAABB $
A BBBAAABB
BB $
BAA AABBAABAAAABBBAABAAA
AAAA BBAAABBAAABBAABBBABABABABABABABBB
AABBBBB AAAAB
AAAABAABABBBBAAB $
ABA AAA
BAAAAABAAAAAAAAABB ABB
$ BAABAABBB
BB BAABB
$ AB
BAAAAAAAABBAAABAABBBAAAABBB A
AAABABAABABBBABABBBAAAAB AAAAAAABAAABA
ABBBBABAABB BAABBABBBABB
AA ABBAABABB
BBBAAB B
AAABA AAAAABA
ABBAABA BAABBAABABBABBABBABABABBBBBBAB
ABAABBAAABAAABBAB ABAB
A BBA
BAA ABBBBABB
AAAA BAABBAAB
BA AAAA
ABBBBBA $
AB BBA
BABAAAAABAABBBAABBBA AABBBAABBAAAAABBBAAABBABBBBBAABBBBAAABBAABABAAABAB
BABAABBAABA AAB
BB ABA
$ BAB
AA BABABAAAABB
ABB BABBAAA
ABB ABABA
B ABBABAABBAA
BBB A
ABBBBBBBA AAB
BAABBB AA
BBABBAAB BBABAABBABBBBAAB
AAABABABBA BAABBBAAAAA
ABAABABABA AAB
B ABAAAB
$ ABBBB
ABBABABA AABBBBAA
BBA AB
ABBA AB
BA BAAAAAA
BBABBBABBBABB BBBBBBBBABBAABBBBBBBBAABABBB
ABBBAABBBBBB BABAAAB
AABAAAABBABABA BABABAAAABAABAAA
BABA BAAAAAABABABBBB
ABA AABBABAABABBBAABBAAABAABAABBBBBAAAABAABBAABBAAAAABAAAAAABBAAAAAA
AAABBABBBBBBAAABBBBBAA AAAAAB
BAB AAAAABB
AAAAAAAAABBABABBAABAAB AABBABAAB
ABAB AAABB
AAB $
$ AB
AAB $
ABAABABABBABBBA BABBBBABBBABAB
ABB ABAA
B A
$ ABAABAAAAABABBBABAABBBBBA
AAAAA $
ABAABBABBBBBBA BBA
$ BBBABBBABABA
B AABBAA
AB BABABBBAAAB
ABBABABAA BBABABBAAB
AAA ABAABAAAABBB
ABAABAAABBB BBBBABBAAAB
AAABBABAAABBABAAAB ABBBB
ABB $
BAABBAAAABAABBBABBABBBABBBB $
ABAABAAABBB BBBBABBAAAB
BAABBABABBAAABBAA BBABABBA
A BABBBAABBAAAABBBAAAAAAAABBAAABAA
BAA BA
ABBABA AB
AB BBAABABBBABAABBABBABA
BB AABABABBBABAAAAB
BAABABABBBBBB AAAABBAB
B $
BB AB
AB A
ABB $
BBBABBBAABBBBAAB BABBBAABBAAAABBBAAAAAAAABBAAABA
BAAAABAAAA BB
BAAAAB $
BB ABBABBBA
BABBAAAAABAA ABBAABAA
ABAA AAA
AAAAAABBABBB BAA
AABB AAA
AABBABBAABAB $
BB AAABA
BAB BBAA
AA BABAABBABAAAABBAAA
A $
AAAABABBBAAABBBA BAABAAAAABBABABAAAABB
AAAABAABABA A
B BAABAAAABAAAAAA
AAABAA BBBB
ABBBA A
BB BABBAAAABBBBAABABBBAAAABBBA
AA BABABBAAAAABBBBBBAAAABBA
ABBAB AABAA
BAB A
ABAAAAAAABA BABAABAA
BA AAAA
ABAAA ABBABB
AB BAABAA
BBAB ABB
AABBABABAA BABAAAABAABBABAB
ABBBBB AAABBBBBAB
ABAAAABA AAAB
AB ABB
BBB AAABAAAABBAA
AAABB $
A BBBABBBABABAA
AABAB BBABBAABA
AB BAAAAB
AA $
AB A
ABAABAABABBABABBBABABBBBBABAABAB $
AAAAABBB ABBBBBBAAB
BABBBBAABBABAAAAAAAAAA AB
ABBABBBBBBAB AAAABBABB
BAA $
BABABAAABBBBBBBBBBA BBBAABBBABBBBABABBAABBAABBABBAAAAAAABABBABBBABBAAB
AAAA BABBBBAA
$ AAAABBAAAAABBAA
ABA BBABBBA
ABABBBABABAABBAAB BBAB
$ AB
BABAAABBBBBABABBBBBAB AAAAAAAB
A AB
AAAAABAB BAABBB
B BA
BBB AABBBBAAAAABAABBAAAAAB
AAABAAABAB ABBB
BAABAABAABBBAABB BABABA
AAA ABAAA
BAB ABABBBABBBB
BBBBBABBBBAAAB BA
ABABBAA ABAABB
AAB ABAAAB
AABB BABA
A $
ABAABABAABBAAB BBAABBABBABBBAABBABABBABBBABA
$ ABABB
AABBAA ABBBBB
BAAABA AAB
AAA A
BB $
A AABB
ABBABAAAAAABBABB ABAB
ABBB ABBAA
BABBBBBAAABBABBABAABAAABAAA ABBABABBBABABBABABBAAAABBB
ABBAAABAAAAB BAABB
AAAAAAAAAABAAAAAAABAA BAA
ABBA AAAABABBBAABABBAA
BABAAB AAABABAABABBBABABBBA
AAABB $
ABBBBB BBA
AA $
$ A
$ BBAAAAABA
ABAAABBABA BAAB
AB AAABAABAAB
BBA BABAB
BBBBAB AA
AAAAAAAAAAAAAAA AAB
ABBB $
BABAABABBBBBBA ABAAB
BABAAABAABBBBBAABBAABBBBBBABBBBAAABAABABBAAAA BAAAAAAABAAAABA
B BABAAB
BABAA BAABB
AAAAAAABBBAAAAABBBABBB $
BAAABAABAAAAAABAB AABBBBB
$ ABAABAAAAABABBBABAABBBBBA
ABABABBABBBAA $
AAB $
AAAABBAABABBABB ABBABABAA
BAABBAAABBBBAB BABABBABABBABA
BAABBABABABABBABBB B
BAABAAAAAABBBABAA ABAABBBBBBBABBABBBABBA
AAA ABA
A BABBAA
ABBAAABABBBBAAAAABB ABBB
$ BABAABBAAAA
AABB BAAAABAAA
AA BAAAAAAAABBAAABAABBBAAAABBBA
BABABABBABABBAAAAAB $
ABBABAABBAAABA AAAAABBAAB
BBBBBAB ABBAA
BAA BAABABAB
BB $
BA AABAABBBAA
BA BABBAAAAAA
AAAAABAAA BABBB
AA A
BBB AAAAAAABB
BBB ABAB
B ABAA
ABBAABBAABAA AAABAABAABABBBABBAAAABABABB
BBAAABBAAABBAABBBABABABABABABA ABBAABBBA
BA AA
ABA BB
AABABBBAAAA ABBAA
AAAAABABBA AABAAABB
AB AAABAB
ABABAABBAAA ABAB
BAAA BA
AB ABAAB
AA BAAAAAAAABBAAABAABBBAAAABBBA
AAABAAAAB ABBABABAAA
A ABAA
ABBA ABBB
BAAB AAABBAABBBBAAABAAABAAABBBBAA
BAABAA BAABAAABB
ABBAABABB ABBABAAAAABBAA
BAAABBA A
ABBBAABAAAA BABABAAB
BABAA BA
BA AAAAAB
AABABABBBABAAAAB ABBA
ABABBBBBABBAABBA AABABBBA
AA AB
BB AAAAAAABAA
$ AB
$ ABABAB
ABB BABBAAA
ABAABABABAABAAABAAABBBBBBABBA BA
BABABABBABABBAAAAAB B
ABAAB BABAABABBBBBBA
AABBABA AABABBBA
A $
ABBAABBBBBABBBAAABB ABBAAABBBAAB
BABABAA BAAABAABA
BAA ABAAAAAAAA
AABB ABBAABABBB
AABAAAABBABAABAAABBABB AAAAAB
ABBBBABBAAA ABABAB
AABABBB ABBBBBBBB
AAAABB AABAB
A ABBBBBBB
B AAAAAAAAAABAAAAAAAB
ABBBAABABABBAB ABAB
AAAABBAAAA BAAAABA
ABAAB AA
BA ABB
BABB ABBBBABA
BAAAABAAAA BBBBBAAABBAAAABAAA
BBBA A
BAABABABAAAB BAAAAABAABBABAAA
BAABABBBBBA AAAA
BAA BAAAAABBBBBABBAAAAABABAAB
BAABAA BBAABBBAABAA
AAAA ABBBBB
AABAAB ABBABBA
AABAABABAAAAABA BABBBBBABBBBBBAABBABA
AAAAAAABBBAAAAABBBABBB $
AB ABBAAAA
BBAAAAABBABAAABA $
BAB BBBBB
$ BAABABB
ABA AABABAABBBABAB
BBBAABBBBB BAA
BBA BB
BABABAAABBBBBBBBBBA BAAB
ABBBA ABBAAAAAA
BAAB AAABAB
ABAAAAABBBAAB ABA
BAABABABB BA
ABBAAB BBA
AABA BBBABBBABBAAAAAAABAABBABAABAA
ABB ABBAB
BBABAABBABBBBA BBABBA
A $
BAAAABB BA
BBAABBBAAB BAAB
A ABAABAABBABAAA
BA AAB
AAABBBBB BBBABBBABABAAABBBB
ABA $
A AAA
AB BBAABABBBABAABBABBABA
ABABBABBA A
$ ABBBAB
$ BABAAAAAA
BA ABAAAAAAAA
BBABAABBABBB BBAB
ABBABBB B
BB AAAAAAAB
ABBA ABBBAAAABA
AA BAAAABBBAAAAAAABBABAAA
AAAA BBAAABAABBA
BA BBBB
ABBAAA BA
BBBBBBABBB $
AAAABB $
A ABBB
BAABAAAABAAB $
BABABAAABBBBBBBBB BBBABABBBBBABBB
BABBABABABA BBAABBBBBBAABABAABBAABABBBBBABAB
AB ABB
ABAAAAAAAA BAA
ABABABBBBB A
AABABAAABBBAABBBAAAAABBBBBAAABBA AAAB
AABBA BAABB
BBAABBBBAAAAABABBABBABBAAAABAABAA $
AA $
A ABBABBB
AA BBABBA
ABA ABAAAAABBBAAB
ABABABBABBABBAABBA BABA
AAA AAAA
AAB BBB
BABAAAABBBBBABB ABABBAB
ABBBAABABABBAB ABAB
B ABABAABABBBBB
AAABABBBBBB BBAABAB
ABBB ABBAABABBABAAAAA
AAB BBAAAABAAAA
ABABB BBAAABB
ABBBBBBBBABA AAAAA
BBAAA AAAB
BA AAAABB
ABAB BBB
BAABAAB ABBAABABBBABBBBBBAAAABBBBAAAA
ABABAA BBB
BBAAA ABBABBBABBBAAB
B BAA
ABBAABBBA BABAAAAB
ABAABBAAABAA AAAAAABABA
AABAABBAAB AAAABBBABABBBA
BBBBABBAB BAAAABAAAAABBAABA
A BBAAA
A ABAA
ABBABBBABBBAA B
ABBB BBAAAABA
ABAABAAABA BAAABB
BAABAA ABABABBBABABABB
$ BBABAABBBAABBAAAA
BABBBBBAA $
ABBBBA AABABABBBABAAAABBAA
BABAABBAABAAB AABAA
ABAABBAAAABBABBAABBBBAAABAAAABBAAB BAAAABAAAAABBAAB
BA B
BBBAABA BBAABBAABBBAB
BABA BAABABBBAABBAABBBBBA
AB BABAAAABAAABABBBA
ABABAABB BABABBBA
AA BAABBAA
BA BABBABA
A AAABAAABBA
BBA ABBBAA
AAAB BBAAABBAAABBAABBBABABABABABABABBBA
ABAAABABBAA BAABABBABBBBBABBB
AA A
BBBABB BABAB
B ABBBBB
BABBB ABBAAABBBAB
AAA AAABABAAABABAABBBBBA
B ABBABAAAAAA
