27737
lcElh ^P^Kb
QRgL\f dqnf`jeQmjf[YjUgB
dhaB ^dl
lmpljOcEUqmBTpf QlhcBjcmj
lXSgcEXeZB[PJBJN`VXrPfZLfVZLC dX
lXMnEVXXSXSgqm ^VJE^eghq^q^qmjaY
dlcYBXDLocZIIMC lmBSfVVZMCN
dqneL lgRdUblgKbkJLfVVZcIM
^rdlRXl^JgNrBS dhGkJNJgQnbkJnhb^L
Qgm hRBlS
^qCqAVdg ^eZEVd^MhUpNNS
^TcEd QRlGkJY^
dgKc lKf[BjaYjcYj
dgRYDNhUUUUU lW`Bkdlhlamje\EfVVZLCNhU
dGqSfqILVZfbIL QgL
lXJaMnEVXRYFdR dUb
QbkJFBXQ^q rQgLgq
dqmBYF klhGSglf[YB
dlR^Mh^VXXeZEaMnimJ^qGa dC\XmBYnkdlcE^
lF\Rne lcEdgmFX
Ql_q^GkG\gMVZI dleBZI
ecJTf_J[_ ^CWaeZiJJB_CWF[JNSmeNNS_
^CWaV lKeLfVVVVZ`CkGmBkdlhXk
^WdXkGP ^WNQngdB
dGJgq dhLB
^YgcElcElmplhbNAdjhhJ lPNqaEnHhJ\J
lXJVXPkGA dg`
^TmpljQQQj Pl
^JV^^W^TP lP
^Eh^V ^YlaojSoBYBk
dGNNE RdNdlOmDWpdj
dg`ImjRlhh lRXSr
QSlRdU Q
Ql dq^gRYFgJFJe
dqnaoBdf`jUgN dl^L
lhXNNAdj lPkGcN
l\gQmjf[mjSc]] qqmBYPOKScp]]]
QlleMVZLfVVVVZMgh lmbkrIXSQbiJFn
dqBgJS^MpMHW dglQV
^q JeJ^`aMn
^YGSggXYlRdhf`B cVRdrl`phkBkd
dhbkJm ^Sq^
g dlamB\`
dheBZI Qlgmbkkd^ePJ[mNS_CWVXndLCSfZIMfZ
^C[WaMLmB^me dXk
lhhf[YjRlRdRdG QmmFbSU
lRgJlkGmMll ^dKVJEdlaYBd
dhUNO`rNAEdUUUUNjN ^WdGNEjUUN
^ekeGG lgS^MpG
lmPQQQhFgJlkJmRY TmYc
dG QllLmjRdGD
QgdbSgq^lcmjSoBYDSgq dehf[o
dGSfILCNYNdj ^MnimJ[JNS`aSgmBNYUUN
dGSfZLCSghG^rneSQgQm QcgQm
\lghJF[HJC lXW^JMHVaC
$ ^
lPkdg\cXkd^eGNJ[mNSqZE lXMhUhUp
^TXWdGS dqmBYDh
^MpaJG ^JaMhSGQe
dhf[m dgRYIqm
R\`dP l`P
lKao lhhUeg`FdeB
^MpMHVFB`MQHVbim ^MnX^qB^qPeN
^WQb^L`n ^TcEQlXk
dlel^rn XWjhh
lbNhUUpFjjUUN lhGNNhpdj
p ^
QgnGSCSCNWUpdjjUNjU PNrj
^CWF^qGGoQ ^EJ[`MHWG_Q
dGGcEE^q^he l\g\
N\alKc]F]] lRgJngmImBXnhf[c]
S lPSCkd^MhUh^VJEl`PQOKf`B\
^MhUhUhA ^J
^JT ^JMHW
QgnqBdf`BXQ ^ckRO
lgRdUblgKbkJLfVVZcI QgMVZMCSfVVVZI
lmpljOcEUqmBTpff` lKaojcY
lhXNhUUUUUU dGSfSVZIIILCCkGPSCNhUUUUUUk
$ QgMZMCkGRg
dhLmjbk YUoBgi
lRgJngmImBXnhf dheSQgAlkJmhgXTR\ee^rmBd
l lmF\V^LFr^gXqqKqXl
lPWU dgmIBYbNEjUUNjNjNjNNU
JeJ^`aMn ^q
dlf[mB\`BVVZMf FNdXnfK
^dKMpMHWaeZEaT`P ojf[oBPMl^j
dgcElR l
^YlL^laBBXQBgJMZI KQbkJMVVVZ
l lPSgnlcoBXm
lW` lhled
QgnqBdf`BXQ lG]GhchSYBf`dplOhq
dhaBjaBBgJrk le\ECkl
QlXN ^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSCN
^CWaeZiJJB_CWF[JNSmeNNS ecJTf_J[
lKe Q
^KnX\cbR\ l`PhF\
^TXSGSfVVVZIL dSghf[YBdUgMVVVZMfZLCkG^`BSCSCS
^qY ^eZEF[qGF[mJ
d lG]GhchSYBf`dplOh
^eGNNSqGMHV ^JNNSP`
dgPkdlmFgJNLe Mq
dXkd^dKqENNSmJ^JeMHE hAq^
l KGkGp
QgSQlhLnaojLnLn QlqmB]d
lRgJLCSCNrNphJO QKgnlGkCIBZcLJkd^ThGNhphJmJnJO
ndq^Kq^YB\ QlgKLmjf`BXNL
dgZ lmPjjQO
Q_kJF^gP QgrN
lcEdgXTKf` lPSfVVZLfMglleLfEZMCSfZMfVZghSY
dGkT^T ^T
dGSfZLCSghG^rneSQgQ QcgQ
lcEdhGkJBVZMfVVVVV Qb^rmjSmB\`HVZIMafV
^ShamjaYB DKNR
lhqmjeL lSc
l d\
^WdGNEjUUN dhUNO`rNAEdUUUUNjN
lRCVVdd Ql
dqmjRlRgJlk AlKGk
lPkdl ^CWNeV[JEl
M l`BkGcEd
^]MjniFC ^ePeF[mCVF[qZEMH
Qg Cf
Qg\EfZ ^dKYLgKeMZIM
dGkdg dqmBdGkJ
^jJEI`PSc lmPjQjQ
QlRXNjcUSNjNn ^YqmB\
dMLRlRgJrXgXkGYlGN QlXSgXN
^Sq^XZWUUUUpdMndj lPNrjNhdjjNjUNNpdj
^dEjVJE lcElXTcElXW
lmF\ekJBZLCSfVVZMCNWUUUUU l`bNNVW
Pl ^Vd^TmPQQ
$ lm
QllLnSo Sdlf[ojf`jaYn
lhXkddqmBXNJl lXMpNhWF[JNS_NS_CFKVJd
dlb^Jb lQb
e dlL^Gk
CWNPSSB ^Mni`FB
QgLCNNWpdjh dGSfSVZIIILCCkGPSCNhUUUUUUkp
QCC lcEdlLnamjUlg\`
lXJNeFB`aeP CFjeP
A lmIB
lRdamB l_``F
lPSfVZIMfVLZILfZMgg lcE^ShUlg
^YGSggXYlRdhf`Bd cVRdrl`phkBkdd
dgRYIqm dhf[m
lhVYUUfljN lXTXYgPNNAdjjN
^WQ^ZJ l\g
^Yg` lmFdAYB
^Y ^Sl^
^JMHV CqJMV
Ql_q^GkG\gMVZ dleBZ
dq $
^TcEGkd dhRlcE
^VdHQjg dhaoBgJ
^VFaB_J[qGaMhUnX^CFKVX\ dlU
^CVaT`POcEd \SmB`FX
^qiqkqi_eNNSmJB`Go lXeYPeNNSJJ[`ahh^GogQRiLXR
QgQB\ekJBVZMfVZLfZLCNYUNj ^ePeaYhLnbkJMZILfVZIM`NNUU
lXVJElcE^CWaThlf[ojaoBgJBZMgl cERYD
QmmFbSUN l\bkJdbN
l d
l`I Ik
QgrNWpdjh ^Sq^XZWUUUUpdMn
dXkddgX cLE^ed
^Y gh
QgrSeCSfbMTgXSglbl lmPOKSojUb
[ lcEQgngRYbSg
ke ^YgcE^qB^`NeF[q
m^TmDNhpo dXSCSCNhUUUpdjNUp
lcEdXSfVZLfZ Qgm`ImjeBVlSVVZ
d \CJZ
$ ]J
^Tlqi lX
lE^ QbkJlkJm\gMZMfVZILgGkd^
^IYlfA[gB\R lhq
^ePUe ^Mp
Qgd lcEWdXkddhL^g`
dh ^dheLghfBX\ElSCSgl
l QlGkd
lhG dGNN
^ VQlqB^G
dH dq^lSBj
dg\lHGSC]f dleB
^VbcE^ePJ[JCVHaJ ^eGGi
lcE^eGME ^e
cKPONh lRgJmmBNW
G dqB\e^L
^J oPYdE^CW
QbkS\` dGSgq^lLmjSYBXdBSfVZMCkdl\lhU`CCCC
^W^qiJ ^W^eGNJ^]qaYW^eZB^_
^qXeclK dgK
n^Jh dqBgJBZMCkddhf[oBXdPhplQOXM
^Yl lhlcoB^XrSfZIMgGSqgXkdlmDS]Ln
^MhUni`G ^qB[_SJeMHWFBR_emGirQRoQ
dSiNENpQhJ dGNr
[PSCNbrU ^eZXdherNNhU
lh Kl
^WldOcEldDVSYBdS^rBXS $
^MhUhUhA ^J
$ QgMZMCkGRg
lhqBgJ l
^JMH ^Wl`POXEnYXkG_
^aqprVd^W $
^dAKeGVde^ShRlmFplOhqn dh
Q`CCCE Q`CCC
$ QgMZMCkGRg
QlgR\F UlQb^
dlRlXSG l
dqnaBjb^L`FBmJ\EfVZfZI\ ^TXTKGkJBZI
dXNA dGoNAdjh
^CE eH
lcEWdXkddhL^g ^JVJEl
lRYIn^gRYbSg l\lGSfZLCkdd
Cf Qg
dgX k
^PimNSJCVVcE^fXmbk ^YGSCk
^WlKXcB] ^YlaoB
^W^eGNJ^]qaYW^eZB^ ^JNNS
dlGkJRmcEd ^Y
d lG]GhchSYBf`dplOh
^ePCEPJ[qkV $
^eGNCWNNSJ ^eGVd^qiqZi
^YgcE^M qMhU
l^q ^Y
Rf^TTE ^TXTXdjMp
lmeYIncmj QgF^XSggRdaoj
gl ^CVaT`POcEdGN
l\gBZIMCNWUUUp dgmplOmPQOmNrjNNp
^qB[meNNS lcEF^qB^_JSB
]dlLmBSY lm
dXkd^dKqENNSmJ^JeMHE hAq^
G l\bkJF^
dqn dKS
dg`BSgXkGPkGhGN ^SGNNNEj
Qb^rBgJnGkG`bkGKerNhpdjjUUUNh dhLnLBYDNfrn
^eYWD ^
lkPkdQb^ QgN
lKWR^b^aO^JaT`epl ^TmpljQQQj
^qEaeP ^WiB
^dKeYlaoBXO Qg
dhL^ dQ
^VXm QlqmUgd
^W fXVXcE
^MpF[mCWMHEZXQg ^Wdq^ojRHClTkJ
lKamBYbkG`DSfZMCkGm VleYPO`
dhUNO`rNAEdUUUUNj ^WdGNEjUU
lmpljOcEUqmBTpf QlhcBjcmj
^qiqGaMh^NeNeNCVG_QRoQe_QX ^BMh^YVX\MdNW
QbkJFBXQ^ rQgLg
Rl lmPjjQO
d lmXRBZMfVVZMg
lPSfVZIMfVLZILfZMggcE $
lhGBN lXMnEVXXSXSgqmj
^JF^_CEZqjeG ^W^eGNJ^]qaYW^eZB^_e
dGS QllLmjRdGDS
PdXNNAdjjW lPNAdj
QlXkGmDSghLmje ^lBaYBXok
lcElRdam lRdfl`
\lghJF[HJ lXW^JMHVa
ClPNYUU QgMVZMCNrj
l`Z dXkdlm
QlGkdlKfR^W^MjpVJEl l
Q\EfZMfVVVZ ^Ylf`jedDSfZ
mgmjH lhh
^VFaB_J[qGaMhUnX^CFKVX\ Q
dqB]\R lXMnEVXXSXSgq
lcEdgmFX lF\Rne
^ThgKaY ^WlUQlFKm
dgRYGN lhXSCN
dXSghR^ ^CEVGMHVVJ^ePCFjTX
lmPQjhIBXQB\FL QRiIL
l QJqBgJSl
l lKR^MpFB_NS_eVdl`F
dl l`gmBd
Qlla\Yjcm ^ThlLB\RmBdL
QlghqB W
QgBZIMfZLgl ClK
lXSfVVZIMfVVZI ^CEZXlRdLmBgJrSfVZ
lPNELShUo QbkJnGNENUUUUUpdjjNnhJ\JmJ
l lKb^L`mRYP
l lhgcElcE
l`POhq drglL
QgFmBdR^MpVXmFYbN QmmFbSUN
dg l`
dSiNENpQ lhlaYjeBVVZLCNrh
^qiqkqi_eNNSmJB`Go lXeYPeNNSJJ[`ahh^GogQRiLXR
l\g l\g\
dXNhp m^TmDNhpo
^MnX^YXSCkddg`ImBJ\EghamB\`LfVVZIGCSC QlX
cVRdrl`phkBkdd ^YGSggXYlRdhf`Bd
lKaY lPNnSYje^mBgJFn[S
lmbSfVVVMfVVZLfV lRgJBVVZIMfV
QgBZIMfZLgl ClK
QgrNWpd dGoNAd
l\bkJMVVVVZLgqmjbkJSQgl^ N
rJY lKL^hL^
^dheLghfBX\ElSCSgl dh
^VGX` ^Sg`
dgK ^qXeclK
QT^` dXSC
lKe dXUf[ZMfVVVVV]_I
QbkJlkJm\gMZMfVZILgGkd lE
dLlLBLJ ^MpNCFKMnX^T`p
l`BSCSfV Q\EfZMfVV
l`bkGmIB\ekJNr^gRgJ\EggPNYNjNNUUpdjN dhGkJng`FLCNW
Qb^ V`PkGKf`B\e^
^CEVGMHVVJ^ePCFjTXW $
dXNrh l\gLgq^iNWUUp
hd dlf[
QgF dhCLmB\FLRnBL
lhhUeg`FdeB lKao
PNr ^Mh^NeVXPNEjN
dG ^YhaYBBSC^
^TKSmjLnL^GSfVZLgg dG
Q NlPSghU
^S gdngdh
QlNA lPNNA
lQb ^SqmBYBSfZILghG
^eG \X
^SX lXMpNhWF[JNS_NS_CFKVJdG
dgHXqEjUUUUNhm ^Wl\lGNNrNUUph
^IqmBX Qg
QlN lPNN
^JNNSP` lXMnE
dXNq QgmhleQneSQbkJrNAdj
dXkR ^TKaoB
dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQl ^XloIL
^YgRXdPjjOXCWNJBq lKRlSGSg^k`^JFBF
^QVF^_CVF[G_QeQirQR_ ^djeGG_
QlqnR^YgK ^Yhed
QgMZIILC lXGSC
dhoBgJdFdGknpmDkdl`I[ lR\RBgJ\EfVZMC
dg`bSCkGhgcEQ\gmBk ^V
QgSlRXLCSCNWU lPW
dgmI^lbkJQnUlGkGXWd DmI^
l_``F ^TmImjLmB
Jqna QgSlKS
dq ^eZiq
]HVX l
dqBgJS^MpMHW dglQV
Qb^rBgJnGkG`bkGKerNhpdjjUUUNhdj dhLnLBYDNfrndj
$ dhCRI
lPkGcN lhXNNAdj
cjSS QgL
dl dhepVZMZMfVVZMghSmj
dqBdR^JGopR_Q QgLglRl\bkJNLekJF^gXJGieQXRQ
QlGNYUN dhLnLBYDNfr
dlf[mB\`BV PSZLCSCSc
d $
^SXN lmNDSgleBZILCSCN
^TXTKGkJBZI dqnaBjb^L`FBmJ\EfVZfZI\
CK lcE^CEZi_C
cPSCNWUpAdjnh\ QbkJrNNAdjjNnhJm
cjS l`B
QEgdInGhJ QbkJ
q l\
dX R^VJEDcEQlG\
X ^Mh^M
Q ^qXlcIc]lKU
lcEdgOR\FLE dgKL
lc lcl
klhGSglf[YBX dqmBYFX
Ql rlKRlPSCSCSfVZMg
dhamBgJF^G lPkddGkdQgrkGqYFdenX
UE^g d
QgrNWpd dGoNAd
cjS ^WQlG
lhGSfVVVVZILgghqBYFYDS dGGcEE^q^heE
qMhU ^W^M
dX ^She\ECSfVVLkG\lg`b
dGSfZL QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMCS
dXNq QgmhleQneSQbkJrNAdj
QgSKhf dGSglL
^CPJB_NSJJ^JJ[`jNCE\MHWJijQe_Qe ^qB[qGG
\SmB`FX ^CVaT`POcEd
dkG ^JVJ
lmBSVVVVZLfVVVZ ^SqmB\FJbkJ
dlR^W m
^T ^Ylb^JgMKZMgg
l`BSfZLfVVVVZMfVVZILfVZILCkdl ^MMnEVdl
KQbkJMVVVZL lKeMZM
Q dhRWQ
lPSgnlcoBXm lmplOhg
oPYdE^CWG ^djeGG
l`B cjS
^[qGFBM_J^qGF^_CV lXJa
^XloIL dlf`jLnb^r^qnUbkJBZMghcBB\FrBXQnRQl
dXNIEjNjUUNjUNjNOdjNUUphJmJ lcEdXNrNUphJ\JnJ
^eMH ^CEZiJJ^JCWNJ[_C
$ dGkT
^T\ gNrkJ
Q lm
QlhcYrjb^Jp` Q`CCCCCC
l`Z dXkdlm
QEgdInGhJr ^YG
QlGSfVVVVVZMgXkdlmbSglRQ [f
dGkT $
dl lmXRBZMfVVZMgl
lhlacC dhSc]]]
lhlcoB^XrSfZIMgGSqgXkdlmDS]Ln ^Yl
A^T ^MnEadK
QgMVZILCS cjSS
QgnXkd^MnEaekSXSggcE^JG ^JNNSP`G
$ lc
^ l\lF
dlR^Mh^VXXeZEaMnimJ^qGa dXkdWY^CX
QbkJrrZL Qg\E
^hl QgMVZMgq^gK
lKeNrB\ QRiIL
^qEGi JG_QeieQ
dIqNnG^r^N lPN
^WdXkGP ^WNQngdB
^VJElXVd g
cl`SDNY QgMVZLCN
Q`CCCC K
^ $
QlXkd^SqmjRQgLfVZMfZIM dlfoBgJnNSfVVZM
dGqSfqILVZfbILC QgLC
Qgd lcEWdXkddhL^g`
dXkGXqimJ ^MnEMHEGNNNSJeF
Fml $
dq^gR ^CEkShcmoB
$ QlGkdlKfR^W^MjpVJE
^MnimJ[JNS`aSgmBNYUUN dGSfILCNYNdj
^gTXTXBdl dhf[Bj
dhGkJng`FLCNW l`bkGmIB\ekJNr^gRgJ\EggPNYNjNNUUpdjN
^ZpWHaYe lR\`
g Qlhamjb
MQ dleSQgmR\RBXnGkG\llf`
dhGkJng`FLCNWUU lhgmDNEN
lRdSmB lKcKjSBK]
^VXdGFSglLB\g Ql
dGNWpSJ QbkJnGNENUUUUUpdjjNnhJ
dgc_ $
Qb^L`Fm GkGf`cBjcmjcB
^WdGNEjUU dhUNO`rNAEdUUUUNj
lKcBBf\R lhgcEQgrkdlmI
dGNWpSJ QbkJnGNENUUUUUpdjjNnhJ
lXeYPeNNSJJ[`ahh^GogQRiLXRQ ^W^ePeGoQ
^qB[_CF ^dM
KlGN lhqmjaBje\EfVZIIILCN
dgR\` dacYBgJLVZK
dqhf`BYImBgS^WZ ^TcE
dlb^LF QgF]OkXNJ
lcHdGSCkGKXoMnBB_NSqkVJE $
^e W^WePNCOJJ^q
lKRdXkGPSfVVZ cjSSfZ
QgQBXXk ^TRg
PdXNNAdjjW lPNAdj
^bZj^JJ^_eNNSJ[ ^qi`NNS_NS
QgdbSgq^lcmjSoBYDSgq dehf[o
^TXCE ^Wl`POXEnYXkG_E
pgNrJo^N ^T`
g dl
^dKVJEdlaYBd lRgJlkGmMll
^eMH ^CEZiJJ^JCWNJ[_C
^WdXkGPN ^WNQngdBN
dGSfSVZIIILCCkGPSCNhUUUUUUkphJ lhXNhUUUUUUphJ
^aqprVd^W $
^dKJ ^MhUCE
dXSf lRdGkJFmBgJMVVlV
^YXNY VlXkddXkG\PNYUNjIrlR
lXW^JMHVaCE \lghJF[HJCE
$ lcHdGSCkGKXoMnBB_NSqkVJE
QlGkhXWZGlmF QgNrB
l\bkJMVVVVZLgqmjbkJSQgl^ N
^WlPSfZMfZLgXNrnh dSiNENpQh
QlgR\ ^JVdQbkJUSQihaYB\
N Qlg`IB\F
lKG l`Fg
XJE ^W^eZX
QlheLSISf QgBVV
^rdlRXl^JgNrBS QgnGkddqB\
VSCBk lPk
^JaW^YGSgqBdao dXSCMkGRdLnSYJ
QlqmUgd lhGSfVVVVZILgghqBYFY
^CEZSi_e ^eGF^JNSmNSJead
lKcBf[IB\` l\g
lXYI lmBkdd
N dq^qmjb^LF
QgrNWpdj dGoNAdj
lmbNYUUUN dWpdd
\lghJF[HJCE ^e
lcEQgmP QgdBNAj
^MhUpWV ^JV
l\b^LR^g`IB\FLFrmjamj_kJm`BSCNr dgPNWpdjjUUNndj
QlGZN]Khpd Qlqnf`BXS^ThXkdlXSGNr
dgHXqEjUUUUNhm lhGkGKf[YBdb^rBXmPNAh
dleB dg\lHGSC]f
l\gQnAS lcElRda
dXN ^She\ECSfVVLkG\lg`bN
dgXqi`NCWMH ^CEPJ^JCFKJMHVgNeNeMH
dGS QllLmjRdGDS
QbkJSlc l
QbkJNr^XNhUUpd rW^qi_JBqkSXSggmDNrnP^
$ lmPjQjQ
lcElRdS ^aq^ha
lRgJBVVZIMfVV lmbSfVVVMfVVZLfVV
^VJE^eghq^q^qmj Qlh
lR\FJl lRCVVdd
n^Jh dqBgJBZMCkddhf[oBXdPhplQOXM
lShlRlPS dXS
l`boNb l`bN
dhCLmB\FLRnBLm dq^haY
^JaSh lQK
QbkJm`IB\`MVVZIILf[VVVVZMfV\ZMC ^T\lqnSBBgJSlP
lXeZqjYqmBYbNrndjndjjNjUN lmbWUpdjjUN
^aqprVd^W $
dXkGmplOR ^qBBJHNSmJ^PJ^_CE]kWlR
l\gQ ^WQ^ZJQ
lmBSVVVVZLfVVV QgrSf
lhqmjbkJMVZLgh ^YqmjSojSoBgFmj
dXNqhdj lXdKTPNYN
^eZXdherN QgdBNAj
dX d^qnYBjL^qOnaBBdUg\EC
dlSc]]]]] dlcc]]i
dhcB\ lPSCkd^MhUh^VJEl`PQOKf`B\
dqm damBgrm
lXVJEdXN dlcojeFmXBXLfVoVVKMfVZMghb
^Wl\ NJ
QlqnaojLnLBYFXl^JgFnUlGkdlR\FJgnGNY lbNhUUpFjjUU
Qg\EfVVZLC ngr
QgLCNNWpdjhh dGSfSVZIIILCCkGPSCNhUUUUUUkph
^J dgEXdKeZB^`NJB`NCEPJ[`NJ^_NSJJ[qPNSJCV
^Sq^XZWUUUUpdMnd dXNAd
lgRdUblgKbkJLfVVZcI QlqmB\ekJBZ
l\ ^rQlhG^rB\RBdaBjfJjU
lPNN dIqNnG^r^N
qMih\ $
dghhbkJQmBYPQhBNrhdjndjnh dXNrNphD[JOJ
^MniqPeGoQRi APSfZ
Qb^L` haBgJg
oPYdE^C ^ePC
QgdbSgq^lcmjSoBYDSgq dehf[o
dhGkJLgheSdqmBdcmBgJdDkGmPOR\e klhGSglf[YBXl
^CEGaWQlqBBBSfTVZMfr dGSfZMf
lRgJBVVZIMfV lmbSfVVVMfVVZLfV
dlfoBgJnNSfV QgMVV
dgc ]O
lMh\` Q`CCCCCCC
^CVVc ^VJ
Q`gMVZILlCN ^YXSCkGmBNWU
$ dhLmjbkJ
rlKRlPSCSCSfVZMg lRYInR^VJEd
QlgKLmjf`BXNL ndq^Kq^YB\
d $
l`FY lgBYImjL^haBBY
QgVr lKLm
lcElXTcElXWQ ^dEjVJEQ
^CVV l
^YqqJ[BdG lmFd
^CEPJ[ ^JMHFBJCVMHWF[JJ[`NJ[cJNS
^WdGkGRBX]XeZB[c ^VJE^MpF^
dlcYje\EfZLfZILfZI ^dKYLgKeMZIM
i dXSCkdQlg\gQ^Gk
l QbkJ
DdhR^CWF_^ lXdjqB^
QgL l\gdFdbkJm
^SGNNNEjN dg`BSgXkGPkGhGNN
QlGkGXM ^Mh
lcElcEQb _`E
dhUgmPNrjNnhJ Wl
dl ^WNNLS_eEYJB_eF^J
l\ll qiqkTmDQRmImjf`j
lcElRdam lRdfl`
dg lmhNlO
QlGkdlKfR^W^MjpVJE $
lcElR\`Q^XSgqBXFB\`NJgBZMfVZILfVVVVVVZILCNhUp lRrLMCkd^VXPNdNYNn
^PimNSJCVVcE^fXmbk ^YGSCk
^JNNSJCEZqjTXMniqZB[_eaq ^e^Z
Rlgm lR\`rkddg`
QRiI ^VdQb^LF
l QbkJ
^CEPJBmNSmeMHFjVd^T\gr QmmFbSU
Q`gMVZILlCNpdj ^YXSCkGmBNWUpdj
dSghf[YBdUgMVVVZMfZLCkG^`BSCSC dX
dXSfVVAVZILglHYjeFB dXkGPSgqB
` Qg
GGoNhUU Qgm`bNNh
dgKL lcEdgOR\FLE
^eP ^djeZrB[`FBJ
dlamjf[YBdUgN ldXSfVVZILCnZlRlKbbLe^
Q`C QgCCH
^MnEadK A^T
dXNEjUUUUNhhJ nkgWBVZMgXNrCJ
d ^CVF^JJ[_eGoQeoQeoQR
Q^llRd Ql
G lXW^YhUgn
elXVhR ^TcE
lPSfVZIMfVLZILfZMggc lcE^ShUlgc
lKc lhlR
Qgd QllLmjRdG
$ \
QgnXNr d_GNL
XWjhh QbkJQn
dXkd^JaShbkJM dfSf
ClPNYUU ^SXkGPNWpdjjNj
WqXG QlX
lkPkdQb^ QbkJN
^SlR lhgmPj
dlQaojjGF l\gBZIMCNWUUUphJ
ChG^ QllUbkJlkJN
$ ^eLiJeVJE
$ \
lcE^Mn V^q
dhRQ lcEdCEZ^TPhplO\
lKL^GkddhLnSoBYI drglL
lc ^SOqBgS^JVJ
dXkd lKc
dgcEdgcE X
Qb V`PkGKf`B\e
^Y QllUlqmB\R^q^gRgJT^
\SmB`FX ^CVaT`POcEd
dGSCNhph ^WlXCWaSXNYNjUUNNUUphJnM\
emhX dG
QbkJnGNENUUUUUpdjjNnhJ dGNWpSJ
G dqB\RB
QllaoBXBZIILhLlgRdaoBdSYjSc dhSc
$ lhlUgSQ
lhmjLmBdG^rAfNjLmBYBkdl l
QlXN]r ^Vdl\llemPNYUN
lcE^eGME ^e
V^q lcE^Mn
lXSgcEXeZB[PJBJN`VXrPfZLfVZLC dX
XI^WQ Q
l` ^MpNeNeaYhf[YjerkG`P
lXJ ^CeZie
l ^ekY
^CVNJB_CVNeMH WdKeGFBmC
$ lc
QgdPj l\grkGP
dqmjRlRgJlkJ AlKGkJ
QgQ ^gXlL
dgK $
^ dqnLBd
dgXdKWQgBZLglG^L dheNLm
l fXVX
$ Fml
^SheQ^gKaYB\R^XNEjUUUUU l
lF\Rnem lcEdgmFXm
dqmBYDhg ^TXWdGSg
l\lqBYbkdlcBdglcE^YXSfVZqMfZILfZLfVV QgBVV
^C ^
lKUgBZMgh ^qkjJVmImjRdXkdhcBBdUgSQgQ
lmplQhFXmmPhFgJ l_
dqmBYFX klhGSglf[YBX
lcE^eGME ^e
^CVV ^JVX
^MhUhUhA ^J
^ePCVGir ^JaMhSG
dhGkJLgheSdqmBdcmBgJdDkGmPOR\e dqknSBj
^eP ^djeZrB[`FBJ
^MhUhUhA ^J
QlqBYBN ^CcVVdQYb^r^TGN
lgRdUblgKbkJLfVVZcI l\g\EfVVZMfZMfZ
APSfZ ^MniqPeGoQRi
dgmIBdaojcmjRlKGkJBVZ lcEQQVZILfVZMfVZI
^ePN ^djeZrB[`FBJN
dqnUbkJQBgJ\ lcE^TmBkddgcEqne\
QlheLSISfV QgBVVV
QlXNEjUUNjN GdhqbkJPNindj
^dM ^qB[_CF
^eZqKdjCEPeF[BjJBJNSFCEPJ ^JNeFB`F
dgPkdlmFgJNL c\nL
g dgPkdl
^WlhqBXMVVVZILfZILfVZIMfVVZIMglaBBgJS^T\gLgqn GJlcEl\lhfBd
