25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
UWTY`^LhPlYEjYT\L FJ\UWRXXGXke[ZXRWpKTSePleMob\
[U fK
Jkc]`^L]`P`SJKTJkYDDeWeQoboRTbjW\kSeEj[ UVOQTSDE\Sr
AL[LHaUG fDkRGXkq[Xke[ae[ic[
\]`SJP`^K FJJUWpP`SW`^LUWSJJ[SJJ
L $
\hhjg[ikhjId[\gPT[\Id[\W\R``]]`Th SJJFJ\QRWc]`SJLhLoFkpLhPgbm
UNlic[ O]`DSW`P`^LQPiPEc[
[FjIOTPT[imS[ fn^
AaF^a`dKTSedPP[oXki SkRPa
FJSklWqmWWWWmmWWWm SDklmWmmmm
SkRVkR FJ\Uj
NX\RkRPX UGX
A UWGZN
AnP`SJKTU FJ\]`SJP`SW`^KTF
SQ`oljU JkKLoFkGaq[ZNKSg
\]`^P`^a`SW`^LUP Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[
fcQXWn^a` [WoFkYDkRpTJf]`
UGZOPaq[k JkRP
fYDDeWr_ AKTShPbg_
p $
fYOhPZ [P
[FjW\] fpKT
JkGaq[P[Xkhq[Xke[c[aikq[ UP
Aa`^a`^ UNlaike[Xke[ZOpTHa[
JkRPP UGZOPaq[kP
fGE UGP[Xke[iPEPE
SklmmmWWWm SPOQl
\QXWGiPEc[Xkq[ik[Xke[Xke[ae[ZNYD FN\QXVD
J $
U]Ric[aikq[ae[Zlic[aq[P[iE fRPi
[Pb UWKSkYEjc\Ej
UDZi fcQRXRN
eSDehjIOT[\g[\g[ijg[i \HaHaQ\Lb
`UpHJfRXR \U
JkG SDDOHTJfKLo_eh]OHHJNJJFJJ\QXG
Sq [
Aa`^J Y\HHJAJ
$ AL]SW`^PKT
[FRT HY
FJJ\HaHH\Q SedNRN
fc[a` HPn
SOhLP\EjQj[ [SeEjQ`]
JkcQRkRPZTklOmm [RkcHTJSOHT\QXXlmmW
UXRNNc $
Sk\dNOXTS UVDDrF]kRXCTS
fN fRNNR
fRWY Sp
okn^a`^P`SJLhhR``]]ol SDeW
Xm SDk
SDOhLg\Z\kWGo [jPlp`]o
[hkSYE I[dLP\E
\hRkNWG`oliHgPTPTPTPT[i FJJUpahF]OHahh
FJ\UWRXXGXke[ZXRWpKTSePleMob\j JkKPLPYlJEj
UX\Wr_S fcUNXUpakhhRobV_SY]
eAJ[^Lh fRVkXVe
\L]`^Lh [Fjg[\Z\_OUNTOQXVeLojId[ikLHIdPTPTPTPT[i
UkNa \UNTDDO[P`SW
FN\S UWYDeRkRVOhSYEjQ]]]``obM
SDOUpT]\HTJFEJ \Ha]`SJP`SW`^KT[h_DOQRpHJAKT
fYOWT FN
eHIH JkYkT
SWWiP\Ejg [Sr
FNJFNJ[PloFkc \hdNIO
JkKS frKPbM
ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di`^ SDkRWpL]`^
UVDO [WPG]To_O[L]`^a`\J[^LUpH\Ha
A fpKTSedpa[a`
U SDOQXUQ
A`W`^KTfRpjah Se
FJJAa`^J \[Le[J
\oNlZTkXVO FJJFN\[L
AP`^KT \]f`SJP`^a`^LHUJ
UWpLHTJfGXke[P[ZOGX UPnX
eP FJ\HH\HT\[L[KTFNJ\HT\hP
FNJfKhFkRKFkn[SW`^P`^J[^J \HaQTc
[h_k\hRTP\EjYE SDeSghP\SjYE
[SrhPrho_O]`SJLL]` AP`
\[KT[ \[P`JKfUWok
fRXTV \[LQTrDTaV
SDDDOhLHW\jIdPT[i]eh_eF LSOHJSD
\Hf\QGkE SDedWGP[P
S rrkRV
fcjU FJ\QX
[L Seh_k\hkU\EjghgiR`T
l Jkc[L]`SJKT
fn \Ha[J[^a`^P`SW`SJ
[F S[Rkc[KTJkKdVeh
ArW\hFkLDeSm SePb\jrm
UWpLHTJfGXke[P[ZOGX UPnX
[SeEj\EjrhHIDT[i]DDDDe fKYKLDk
FJJAP`^J[^KTA AUTFJJA
fYOWTJ AKT
Q JkRVDkRX
fRPaqP[ZXT [h]OQT
S \[LKUNTeF]
W fpP`^KT
SkTrDTrD JLbR``Tg\IDT[i]k
UpTJUNlP[P[ZNRX\hkRkGP[aik SpUWGZXXXRGZlP[P[Xkq[XkNke[Xk
oGP[ZNYehOR`]] fpa`^KTJkKWG]]Tg\g[\IDTPTPT[iR]```
[Rkc]`SW fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P
AKT\ DDO
JkG UaG
\QRpHYJFN\HTJFN\HHJ AL[L
U GP
pHb\ FNJ\
FJJf fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[Z
ePb [Pl
[hl_ $
[Rk $
fYO FJJSOUrGP[ZNWn^P`^L
\UpT J
SO]`^P`^LU UNNYa
\[KTGXkq[iOc[PLZ Sk\F]edN
fnJAT[hkmr FJJ[Wih
\HaHaQ\Lb UVeV
SeLHgPT[i_k X
UX\LbPk [F_e
PUOYRVDe UVePlG]THW\khk
SYDkTrDOg fRVkTrDg
`B FJ
FNJ[J U
o A
UNX\WMQ okn^a`^P`SJLhhR``]
SDDed ^UeX
$ SD
SDeSYEj_g fRX\hkLbR`]````TokSr
[LPeEjeEjrhHgPT[\Id[\Z\ $
fGiPES[P[ic[ap[P[iP fGP[ae
]LcaSW` fn
JkGiPEc[Z RNe
\]`SW` J[SJP`SJa`SW`^a`SJa`
FNJfRpHFfIQYe FN\HT\UVDe
mrS^DO $
fBk UNXTckDE\Rk
qA] A
SOhLbRobG]ToFkpJ[S AC`S
\hdPP UPXkike[Pae[ic[^e
UNli O]`DSW`P`^LQPiPE
Fk fK
\TJFNJAL[ AKTA
[FRobG` YSk
bkYOHTg\]`SW`^ \]`SJP`SW`SJP`SW`^
FJ\UWRXXGXke[ZXRWpKTSePleMob\jYE J_GZX\LP\E
UNl UGic[V
\[a`^LUX SPOQ
FNJ\] FFkRpa]
$ L
fpa`^KeSFjj\gP Aa`^LHahhjIDT[\IOTPT[\gPTPTPTPTP
FJJSX [F]edpTJSD
^cjg[iR`obG```]K``]T AJ[^KTUpHJAKTfYeL
fYOHJ]`j Jkn
SDeLg\W\_DePlMmjqqq fKhRTPghgiRTPrmjq
JkRNXXWpJ fnJ
[FjIdikdKXRp FJ
SOH $
JJAKTAVEhS FJJAa`SW`SJKTfYedX\Pl
JkGP[ic[Z [gFRTHD\]OQGZ
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[a fRPic[P[a
fRWYD SpD
[dPZTOHT\] FNJ\]`mWY
MZGP[ZR UGXkq[Z
[SeEj\EjrhHIDT[i]DDDDe fKYKLDk
^cjg[iR`obG```]K``]T AJ[^KTUpHJAKTfYeL
JkKSYEjYEj\Ej\EjQ`ol Pb
fcUNXUpakhhRobV_SY]n SePlGobr_
U AKTSNRlR
JkpJ fKRkPpaU^r
UpHJhLPQ]TPQ`] SeSQ
fcUNXUpakhhRobV_SY [Wr_]
DDkAT SOHaHT
LAL[J AJ
UVDDeLHWUEkSeEj [S
fLYDORPaq fGP
Sk\dWcHaHT FJJFNJF
[Lhj JkKSeEjgm
\ fn^Po`^`^LhFkYeRkpLQ\CM
fGiPES[P[ic[ap[P[iP[Z fGP[ae[Z
fGZNRWpKT\hh]kRWpa` SOH\J`SAP`
\D AKTJkc[P
UjpHJ`ULZTk` FNJALQTclDT
AJ[^KTUpHJAKTfYeL ^cjg[iR`obG```]K``]T
X\ Sk\
jP [W
QR AKTJk
TAa`SJP`SW fn^P
ALUGZTO o
\H ij
UXRVOda UVO
JkYONUPXke[XF[ZTOHH\[LUpXTo Upa
UkNa` \UNTDDO[P`SW`
[hjIPTPT[IOT[\IDT[\IDT[iRj]]`olg_S]Kokh_kXiNNKFR]``o UX\P
FJ\UWKh J
fKD^ FJ\]`SJP`^K
\HTJ[SghoR``To_DkRGXke[P[P[aq[P[ic[aq[ic JGjP[aikq
[dKeRkKhk fcQ\
[g\g [LHgPTPTPTPT
S[LbQkRNN]kGZ [RkcUpH\UPZ
FNJ[FR]]` [kWT
[S ^cjg[iR`obG```]K``]TP
UHJUpa`^LUKX\F] [Lgi]
UWGZ ATUVp
UNXXWcQTVkD \`TrD
FjJqGZN [Rkc]`^P`^KT[RkYeW
fKAbMrh \Q\Wi
fpa`^J[^P fpKTSedpa[a`P
UGXke[ZN FNJ
\WGYDDOQnXXR fc[LHT\U
\HaQlWmWmWm Skl[GWW
fpJ[SW` SDkXH\]`^a`^a
Se [F
\]`^P`SJJ[SW`SJ o[
\QTVlDT JAkpa`MLQT
FJJUWc]`SJP OpT\[VTD\H]
JficZP [h_DkTclDETSDERGXkikike[ae
\UVDDeR fDiegR
FJJAKTFNJJkRGP[P[P[X [dPplX
UGXk \QRVDOUGic
SDDD AL[P`P`SW`^ab`SW`^KT[h]
[SY \Q\SQTb[iTedNNKPbi
[LbFkGZONNpKTfnSW`^P`SW IJkpP
JkcQXVOK]`SJJ[S AP`S
YN fYOHaHa
ScDePlV_F_S]FeM]olib_ S
[RQ` \[
X\P [SQ`]o
ATA FNJ\[J
AP`^P [P`^P`SW
i AKT
\hRFkRpHGJ[PbeQ`` SOhRkc]`^P`^a`SJa`^LhhR
FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[aike UPP[P
SehkS AaT^KTfKPlM
AKTSO]`^P`^KTfn^KTFNJFN\HTJfGae[iPEP U]Ric[aikq[ae[Zlic[aq[P[i
AKDSDDO]`^KTAKTUVDeWM [SYEj
\hRFkRpHGJ[PbeQ`` SOhRkc]`^P`^a`SJa`^LhhR
FNmJJkpKTFSDDDePlM\ejQB`]]TPQo [P
Up \U
FJ\hF_k\WeMTokSYEj\EjQKlK [PbK
fpKTUX\F]DkRNXXPP[aq[P[ fKF_eSrhoRobMTbjZ\jIpT[i_edPaikqekikoe[ZG
\Q\D_\ AKTFNJ[
JkYkXVDDDkT [ko_p
jUVDAA AKTFJJUVO
FJ\[a AKTJkpLQ\PbcToFkRO]`SoW
\U \hLHIOToH\i]DOhd
FNJE SO]`SJL
UNWK FJJ\[KT[
UGXk[P fGaq
SDO[a`^KTfY S[Rkc[KTJkKdV
F IQKTF
JkcQXVOK]`SJJ[S fnSW`^P`S
fKFR]obG [RkKdNOpT\UWYeS
SkRPZONTehj FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``TH
SDDO[U fn^
UPZXRXlmm Skl[GWWW
AnHJfnS] Aa
[RSkpKT $
SkRWGa UGCk
ALU FLD
JkGP[iPEc[P[ZXTSDg fmkT
Jk [F]DOQL\dW
[dPZNKLhjqq [OSjqY
$ [
AP`^a`SJL]`^ AUTFJJA
\HHJSDeSe [dXXWKFkLCP\Ej\
[SeEjeEjYEjeEj FN\QXVOhdVOMKTSeSYEj
L\ fnSJL
oXXNNRGa JkGXkik
ep`aSQTrDgVkDgVl [FRobr_Fq
\UWYDOF]` FNJAP`
S^kV \Q\RkcHTJJk
U[pH\hWMehEjYEjQ`]]o fKP
AKTfKPl hfKPb
AL]SW`^PKT $
i SDedpT
UPnXk UNOGa
U`GXke[iPE UNNRPi
L\ fn^L[L
FJ\]`^P`^L]`^K AKg
UWp SOUpT\HM\Ha]`SW`^
[F]DOQL\dW Jk
[RknS \hdNIO]`S
paE^KT $
[F_kP`q[ \QTVkDTSDEXPZlXkike[P[Z
bDDkM UWYehFkYOQ
UX\LbPk \HHJ[
\UVDO[LHTJfRXTSDTVkD FJ]o\Q^
SFNJJk [Wojg[i_kXpT\hFFk
FJ fYOWT
\ [
[hkSYEj I[dLP\Ej
\]`LHTQmRp SOH
fK UWYfe
oFJ^K\hHgi AKTfYeSQ`]ToRTbjIOTPT
AK FJRHT\[L[K
[Lg\gPT[i]eLPghHg[\IOT[\IOTPT[ikWM\EjQ`TPYEjrm fYeF_eRYeSYEjYEjgrm
ep J
UVkRXTS FNJ\QXTrDEXm
fdq UWRWn^LQRN
V[ fRWcUVk\
\]X^a`SE`S \HTJfnS
mLQ\Wg_ UWKFkLokhR`obr_SSn
[Srhg \UiP[P[ZNc[KT[Plig
Skl[GWWWm fYkl
SDkRWpL] ALhhkF_edNTO[J[SlaJa`SW`^a`SW`di
[RSkpKT $
fYDO H`]`^iT\a
\hdWc[KT[LgijgPT JkWMQobR`THg[S\IOT
[FTH [L
JkYePlo]klmmWmWm \QckDgVlDElm
FJ\NQTSD FN\Q
[RknS \P`Z
JkcHH Jkpa`^LHTL
UWKFkLokhR`obr_SSnSG [dKeRkKhkPlr
[dVk\AlQTdPg \hSeEjr
UPic[ae[ZlZTDeLbR`` JkGaq[P[oTeLP\EjYEjQ
fGa fZOPX
[dVeFkSYEj\E fKJS\Ej\E
Se $
JkRG fKhjg[\Z\RTbjIOTPT[i]DOUGZlPEc[ZlP[ZlXke[ic[[iPEc[ae[
Aa AnHJfnS]
Aa`SW`^LhSQ`TP SO]`^KdT^KKS
JkKSeEjgmqq JkYDk\Sgmjq
JkcGh UPZNcHahh]Ohdpahh_e
[Pl F
UVDDDDkRWnSW`SW`^LU \WGYDDOQnXXR
AHa]`SW`^L FNJ\HT\UVDO
AL]`^a`^ AL[KTUpHJSJ\[a`^
\QRVDDDDO[a`SJLHT\[a`SJLHTJfK J]eb
fGP[Xk \WGYDDOQnXXRPa
\ma AL
SDO[a`^KTfY S[Rkc[KTJkKdV
fRPic[P[ai FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[ai
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDe UPXkq[Xke[ZTDe
\UXRpaQ\LPr ArW\hFkLDeS
[h]ehjIDTPE^T[ fchLg\Z\jZ\jId[
SOH qA]K
JkcHpJkKL UWGae[P[P[P[ae[Xkq[Zlic[ZlZliPEc[Xke[iPE
\QlmqmmW AKTSedXlmmWW
DUWclWP SOQlmW
ScDePlV_F_S]FeM]olib_ S
hH FJ\[KT
SO]`SW MVO]`SJFBP
JkcQXpT\[a`^KTSDeLgikdNX\Sg AKDSDDO]`^KTAKTUVDeWMg
SDkRVeh iUh]DDeFQ
SedVkXr U
JkYDe \[P`JKfUWokhk
\[LKUNTeF]k SOQ
UGZOPaq[kP[P[ FN\]`^KTAKTfG
FN\UXTV fRXTSDkgrDgV
JkpL[La Aa`^KT
fY \oNlZTkXV
\]^KT[dpT\UNTh_DeSYEjQ``]obGolM\ JkYeSYEjY
GN\]`SW`^LHa] UNOpaHHJ\Ha[P
JkpL[La Aa`^KT
n AKTfc[Lh
UP \QXGi[Xkq[DP[
\[KTfYkTVe UXTe
UNNKFR]`Tb_ePbG`] UGZNchWG`````oloR]Tod_eFR
Aa`^LhRk fKdNNpKT\HTJFNYJU
\UpT J
fp SOH\J`SAP`SJ
UWn^P`SJLhhkWr_]S] fcUNXUpakhhRobV_SY]
JkGZlP[ UaG
[Sejrd FNJ\HaHTJSk\SQTPeEje
fYedNTkXNlaq EfYk\dGXkq[q[aqc`
\UPXkD UNlXk
[h_DDDDkl [hR]Tb_DkTS`DTrDTSDEl
UXRpHJnf fYOQRW
Je[N AL[K
\[P`K UNOpaHHJ\Ha[P`
fKF]kTrDgrDT SDNTc[Dg
S^kVR \U
oGP[ZNYehOR`]]o fpa`^KTJkKWG]]Tg\g[\IDTPTPT[iR]```o
\]`^TfnSW`G^KTFN FN\HT
UWYfe fK
[dWGlq[PH fRGic[Xkq[aq
FJJAa`SW`SJKTfYedX\Pl JJAKTAVEhS
ALHHJ JkpT
Jk [dPfZlNXkikq[aik_ke[ZN
Aa`S UpHUpacUpTJ[J[S
[RkcUpH\UPZ S[LbQkRNN]kGZ
\UVDDOQXNlic[P[ZTePl ^e
UWnSL \
FNJ\QXTrDEXm UVkRXTS
bkYOHTg\]`SW \]`SJP`SW`SJP`SW
[jIDTPT[\hWR JkKhR
UWRNTOUNDk\PbeQTok \h
fYk\dlmW [RkKLg\IdPTPTPTPTPTPT[i]OQlmmm
JkYOUWK fYk\SghoDkdVe
JkpL]`^a`^LhFj a[Fj
FJ\[P`SJa`SJKTUX FJ\NQTSD
[LIOrTPTPTPTPT[\IDT FN\UpT\UVDDeLHgPTPT
AP` \[P^LSJPS`
JJRIN SedNlZlZ
RUGae[iP UGP[Xke[iPEPEP
UNOGZTeRkGP[c[P[Xke[XZT UVD
UNlNl f
[L FJ\
FgN\U U
[FRobr_Fq Mf
SOHaHahLPeE UmTrDED\Pp
UNOPP[Xk AKTfYQkRGXk]
FNJ AQKT
\[KT[ \[P`JKfUWok
\UNlZ fkK
fpL[ \g`hJ
$ V
Jkn^KTAa`SJa`SJJ[^P`^KTU Ua
AJ[^P`^J Y\HHJAJ
VFB FJ\UPZTDeF
fGZX\FFkcUP EfYk\dGXkq[q[aqc`[
\ JkchRkRPae[ic[ZTDDeRkcQ
