46193
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
BD BCDB
DEBECB CBCDDDB
AEDECDC ACBEBBAEBE
DCBBBBBACBBCDBD CEEAE
CDED EBCDBAED
D C
ECEECBDCE CE
$ DAAAABADE
CD DEE
EDEBCEB DBBCDECDEDEDEDBBCDECDD
CC EEECBC
CCAE AEDEDBCECCCCCE
ADEC EBA
CBEACAACCD $
EBEB DEA
CCAEA EDA
CCEC DAEDCD
BA BBEB
BBEBABDAA CCCDDDA
AABE EBAC
EBEB DEA
CEDBAABC CBBEBAEAB
B BBE
BAEDEDAE CB
C EBBDB
AABC CEDDDDABDBDDDADCCBC
BBE EBABDABCCEBA
AEBECCDDDBABC DCAA
D CCDEBDEBE
CCAE AEDEDBCECCCCCE
DAAABABBEDCDD CBECEBE
EEEEE CED
D AED
D $
BEDAACBDEBDCBDBE $
CADEBE E
DDDADBCAACADAD AADE
CDBB D
DDDBDECBACDCBACEBE AACE
ACDE EC
EAEDA BEAEAAB
DAAAABADE $
ED $
CD CDDD
BBEBABDA CCCDDD
BECCE ACB
CCCE DA
CADAACBDDE CABBBE
AE ECBDB
AAED BAABCBB
DEBEC CBCDDD
CDD DECE
CEDDDDABDBDDDAD CECAABB
ACA C
BDEBD ACBCDE
AC DC
ACE BCB
AC DBBDBCC
C CDD
ACBBEBCCAA $
EDBCA DDCEDDAEDBDBBD
AE CAEEEDEE
CACB AEED
ECDDDEABABEA C
DBBDBBDDDDD CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB
BBEBDEDAE ACBA
CCAEBDBCE CECDD
BCEC AABEBABEDCAAEBDBBB
CEAB CDE
EBABECAA DECBACECDE
CBDEDBCEA BAE
BEC AADBA
BEDEDE CBCCA
CBAEBD AABABE
AEBECCDDDBABCE DCAAE
CECDC BCEECBADEBDCCDEBAB
DAEBCDBAEBDC CCECDDBDD
DB $
BCB DECEDECA
CECEBDD BCBDDCDADD
DAECED CE
EBDDBEAADDBD C
ACBCEDAA AD
$ C
DBBCD CCAC
BBE DCA
$ BC
CE DBBDD
CDE EBCDBAE
DEB EB
CC $
B AA
ECA D
DEEEBDADDBDD DBBDECDD
CBCDDD DEBEC
$ BAE
CBAE CE
CDEECBE CEEBEECCD
CCAE AEDEDBCECCCCCE
BB CEAABCA
CB DCAACBD
BB CD
CE $
CEEB DECB
EDBDAADADAADCBADA BDEB
BCBDABDBACDDDBDBD CBDEE
E BAEB
B AA
CB DB
EBBDBD BAEB
CCBEA BAEBD
$ CED
DBBDBBDDDDDB CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDBB
C D
CEDACBCDEDC BAED
BBEDCDDDDD CBDDADD
CACABEB EAEDA
E BEAADABBAD
EBEADBD A
ECCEAB C
AAD ED
EA DAACBCC
DDBDEA DACEC
DDCCEABCEADC DDCD
CC ABAACDEBD
$ AE
BEA C
$ D
DAEAABBBED CEDDDDABDBDDDADCCBCED
DDCD DDCCEABCEADC
BC DEE
ECAEDBABCADDB DCAAEAA
DEEAEACCB BAEABAEDDEDACC
AEC CAACC
BBE BE
CEBABACACE CBECBB
$ CC
DEE CD
BEAAED BEBAEB
EDBDED CBBEAA
$ BAEAA
CECAABBC CEDDDDABDBDDDADC
BDEAB B
ADD BCCAB
AAEEBAABDBD CEAA
DDC DBDE
BEAED CB
E CADEBE
EEEBEBA BBEC
AEEECBDCDBDBEBDCED A
BA ECB
EDBCAA DDCEDDAEDBDBBDA
ECB CDEDE
EBCDBA CCC
DDC AEEED
DAAEEEDDBEEE EBAE
E BDCCD
BDE BCDBE
EEDDCBADBBDD AEDB
CCAEBEBADABB EBBDB
DAD DDEE
CDEDEE BAABCBB
ACA ECCE
AEDCBBEBD CBCA
BBEB CBEE
CB BAEDEDAE
CCAEBD AEDECBEE
ACAAEB EDDDADBEEDAE
CCCECDDCAEBCCCC D
$ BCCBA
CECEBDD BCBDDCDADD
BDEB EDBDAADADAADCBADA
AD ED
BEBB BCBAC
$ BAEAA
DCAABB DDBBDD
C DED
DED DBED
EBA EEBEABBEE
DEBAC CECDE
CB DB
EED EDACDA
EDADDCD EB
D CB
ECEE EA
ECAABDE AED
ACDE EC
CBCCA D
CE DBBDD
$ AE
BDEBD ACBCDE
DEEDB EDDBBAB
CAABCDE ACCE
D DC
DD DDDBDECBACDCBACEB
ADB BA
DEADCCCCCCC AEBECCDDDBABCEDC
B DAEADAAA
ACBEBBAEBE BEC
D CCCECDDCAEBCCCC
EEDDCBADBBDD CC
CEDDDDABDBDDDADC CECAABBC
ECDBBEBDBCAEEBACDBDBCBBDDBBD DAADAEADEBDADB
CB C
CEBEBE $
BEAADABBAD CBBEEEB
EDBCAABA ABCDB
DCBBBBBACBBCDB DBBDEDBBDD
DAEDACDADEAABDEEBBDDAACEADC BCEECBADEBDCCDEBAB
B BB
DEADEACA CEE
C CEBEBEC
BBEBDEDAE ACBA
DB $
EBED BEDDB
EBAEADBAD CCDEBDEBECC
$ ACCEBA
DDEAABEEE ACDACB
DC D
CBCDDD DEBEC
BCBDABDBACDDDBDBD CBDEE
BA CC
BEA EDADBEABA
E B
$ D
ADCB CC
EBA EBABCADB
CDCE C
EBEB DEA
DBBDEDBBDD DCBBBBBACBBCDB
B A
BCCDCBDEAD ACDACB
CAACEEDEBCB BD
BEDD BAAC
EDA A
ABAACDEBD CC
AADB BD
CCECDDBD AC
CEBE DDDADBCAACADADD
A EDA
C ECCEAB
DAEDCDDC AEDACDCDC
A CAEEEDE
BDEBCDEBD ECAABDE
C CDC
AAA DADC
E BAEB
ECEECBD $
DDBAE BEEBABBDBADBDDAAB
EBACC AADB
DDCEDDAEDBDBBD EDBCA
E DAACB
ECEECBD $
AE ECBDB
DECCD AEBECCDDDBABCE
EE DECCEAEBADAD
DAACEACBAEA CBAEBBA
EBDBDEEAE CEC
DAEDD BBEC
DEC CBECB
CBDEBDDEA AEBCEBADBCE
CEBE DDDBDECBACDCBACEBEA
EDBABDEED DDCDD
CBDEDBCEA BAE
ACB BECCE
DAEDA BBE
AEDACDC DAEDCD
A EDA
ACD CECAAABBEDAABC
AC EE
CB C
BBE DCBAAE
BDEE AA
BA BBEB
CADEBEC A
DE DCD
CCCDDDA A
ECB CCBE
CBECB $
CC $
BCCBD BAEB
CBEEEEDBE DEBEC
CECAAABBEDAAB DAEBCDBAEBD
D E
BBC AAA
CBBE CBE
AAEAC DDDAECA
CECEBD BCBDDCDAD
AD CBEAEBCEB
E CEAEE
E ACE
AD EBDBBB
AA B
CECE CEBEBECECE
EDECD E
CB DB
CEBEBECECE $
BEEB ECB
BEC DEDC
BCE C
DEED E
BCBBCDDCDDBE EBEBBBBCDBEEEBBEECBBCDDE
ABA BDEBECCBECE
$ BBE
DAD CB
ECEE D
BBEDCDDD CBDDA
EBABECAA B
C $
BDEA $
CCCECDDCAEBCCCC D
ECBA CEBABACAC
BAEB E
CEDDDDABDBDDDADCC CECAABBCC
AA E
ECEECBDCE CE
EEEEEE CBE
EDBCA DDCEDDAEDBDBBD
D CDBB
CCEEDB CDDDCBD
EB A
C $
CA BBEB
BE DAAABABBEDCDDD
CD DBBDBC
$ AE
AC DC
BECDCADEDCDDDDDDDDDD BCCDCBDEA
CD AADBA
CAABCDEB ACCEB
$ DB
CDD C
DBBCD CCAC
DDBBEDCBAD CAACEEDEBCBE
EDACC CE
CD $
EDACDA EED
CEDCBBDBDA DAEBBB
BAEB CDEBCAEBAE
CDEBCAEBAE AA
CEC CCA
CCEBBEBAEC ACEDB
CC ADCB
DDB DAEEB
BAEBE AEBCEBADBCEB
A BBEA
DECDAEBDDDA ECAEDBABCADDBB
ACBEBBAEBE AEDECDC
DAEDA BACADABEDE
DED EEA
ADBA CCDEDAD
BAEB E
AAEEBAABDBD CEAA
CDC EBCDBA
EDBACEBC CEEAE
BBCCEE BBEBDEDAEC
EA DAACBCC
AABCEABC AEDACDCDC
DBED DED
DCAACAA AD
DAACB E
AEDDAABAEBDAEBDDEA DDDBDECBACDCBACEBE
E CAABB
EBABEDDABEE AABADEABCEAEDAADCDD
CCAEDBBDBBDEDDDDECD DEEE
D C
CCA AEDEDBCECCCCC
DAECE BCBDDCDADDC
EB EDBCAAB
A B
AEDEDBCECCCCCEA CBDE
CECEBDDC BCBDDCDADDC
AED C
ECBDB AE
CCA AEDEDBCECCCCC
EEEDB EDBCAAB
CBDE AEDEDBCECCCCCEA
DDC DBDE
EDBEABADBBACDDDAD BCCDBD
BEDEDE CBCCA
AAD ED
AC CCECDDBD
DD DECAAEADEDCEB
DAAABABBEDCDD CBECEBE
CBEAEBCE $
CCCECDDCAEBCCCC D
DCA DD
AEDEDBCECCCCCEA AEDCBAE
CECBBBEB AC
DAABAACB ECBDBEB
DBEDEB DAED
CAACC AEC
$ CBEAEBCE
D DAADAEADEBDAD
BAEAA $
AAD ABBEBDA
CAEEEDE A
DAEBD DC
CB DCC
AEBCED BDEB
DEE CD
E AA
BDEA DAED
BA CEC
BACECDDE DDDEDCEADAEDECABCCADA
B EC
AEEECBDCDBDBEBDCED A
ECCE EBDDD
CEEADEA EDBDED
CDDDCBD AEDECBEE
DDDAECA AAEAC
AEBECCDDDBABCE DECCD
$ CCCDDD
CDD $
CCAC DBBCD
$ ED
$ BEEDDBABBE
BA DCCD
CCECDC DAEDCDDC
CB DCC
EBEA DAA
BCBDABDBACDDDBDB D
EC CEBABACAC
EC B
CEBEBE $
AA E
AC DC
$ AE
DD DECAAEADEDCEB
EBBCBA EEECBCE
$ ECEECBD
DAEDDACDCEBEBD BECAB
DB $
DAACBCC AABEE
D C
$ DAADAEADEBDA
EBEDEDBD DDBCBBCDD
EBAEADBAD AEDDDC
ADCB CC
ADEC EBA
$ BEEDDBABBE
DAEEBA ACDBCCCA
ACDE EC
ACEBD DDBA
DC D
DAA EECAC
CCB BDCCBC
BBE B
BCDDDBDBCBBDBDDB BDE
BEE EC
B $
DBBCDECDEDEDEDBBCDE DBBDBC
CC ABAACDEBD
CEBE ACD
$ DAAAABEBED
$ EB
AAEEBAABDBDACE EEECBCE
$ ECEECBD
CCDEBDEBE D
CB BAEDEDAE
AEE BBBCAEB
EBEDEDBD DDBCBBCDD
EDBACEB DEEE
AABADEABCEAEDAA BAE
$ EBED
DED C
AAD CECAACD
CBEACAACCD $
C $
CEC CCA
BD A
BCDBE BDE
AAD ABBEBDA
BCBDDCDADDCD BAABCB
AAEAC DDDAECA
CC ADCB
AEBECCDDDBABCE DECCD
CAEA C
CCCDDD $
D AED
EC BEE
DDE DCAB
$ CBEAEBCE
ABAACDEBDB BD
DC EDACDA
EBE CAEECBDDBCDBEAADEBBEEDEB
EC EBBC
$ CED
AE CCCED
DAACBCCD CADACAEACAEDEAABDEACCCCAAA
EBBBDD C
ACDEC ECC
AEB BEBEDE
ACC CAABCD
BCCDB EDBEABADBBACDDDA
D DB
CDEECBCE BE
BBBBACB CBB
AADCEA DCBBBBBACBBCDBD
BC DEE
BBE BE
AABADEABCEAEDAAD BAED
B EEDE
BCCDB EDBEABADBBACDDDA
EB $
ECCCE CB
DDCEDDAEDBDBBD EDBCA
BA AED
EDABABAC D
DDEE DAD
EDD ACAAEEEEEAEA
BCEC ED
CCDEBDEBE D
CAAECAB BBEBBDEB
ACEDBB ACBC
AA CEABBEEBD
DDCD EDBABDEE
BD CADAACBDDED
BBBCAE AB
ACBAEEDAE $
BDEB DBBDBBDDDBBCDB
CDBB CAEECBDDBCDBEAADEBBEED
A D
CBA BCCDCBDEADA
CCAE CECE
CCCDDDA A
CBAEB BCEA
$ EB
ACDEC ECAABA
C CAEA
AA EDDDBD
BA ECBCEBA
BCDB BD
AE CA
DBBDD EDBDCDBA
CADAAAEB CCC
CEBEBECECE $
BAEBE BAEBACBEB
CBDDA BBEDCDDD
BAD DDEECC
B BBE
EDADDC CA
CAABEC EAEAB
D AAC
AE CADAC
ABAACDEBD CC
BDEB AEBCED
CC EEECBC
ECDE EDBAB
DDCEDDAEDBDBBD EDBCA
DAEDCDDC CCECDC
DAACC CBC
ACD CEDDBBBDADDADDBDDBDBD
EBED E
DECA ACBBEBCCAAD
DECAA CAABBB
EEADBCBDBDDECB E
DD EDCEE
EDDCCAEACEBDEB BEEBABBDBADBDDAA
AA CDEBCAEBAE
BE D
CD CDCED
AD ED
AA B
DE DCD
BEDEBB DCCD
AC BCEDD
CAEEEDE A
A BCAAEB
BDE DAAABABBEDCDD
ECEECBD $
BEDEDE CBCCA
EBCBBD CBE
$ EB
ED AD
EBBDA CADEBAEA
DDBCBBCDD EBEDEDBD
AEBCEDC BDEBC
BBE ED
CCDEBDEBE D
$ ABEEEEC
AAD AE
EBCDBAED CDED
CBDEABCEBEEBCDBEABEAD DAEBDEBEBB
$ EB
A AEEECBDCDBDBEBDCED
CBA AD
AE $
DAEDCD AEDACDC
C CAEA
DDBCEDCCCC AEBECCDDDBABCEDC
BE D
DAACEEADE BDDDA
DAE EDBA
CDAC AEBECBDBBBCBEAB
A ADE
EBEADBD A
CBBEEEB BEAADABBAD
CE EBBCBEABEADD
BBE $
BBE DCA
DAACBCC EA
CEB CADAC
BDCCD ABDDBBDBDBAB
$ CC
CEB CADAC
BE EB
BDE DAAABABBEDCDD
A AEEECBDCDBDBEBDCED
DDBCBBCDD EBEDEDBD
AABCE DE
C ECEECBDC
EBC AA
AEEECBDCDBDBEBDCED A
DCAACAA AD
BCAAEBC D
BBBBAC CB
AAEEBAABDBDA EDAC
EDAEA EE
BAABCB CDDADACEE
EDBABD BAE
ACA CEDCABEDAE
B DDEEDBDEAA
$ EB
EBBBDD C
AA E
EDAEAD EED
CBA AD
A CAEEEDE
B BBE
CEA DBBDBCCD
AEE ECBDBE
C CAEA
BBE $
EBDDD CECBBBE
CDEECBCEA BEE
CAEDDEBDEEB A
ECAEDBABCADDB AEBECBDBBBCBEA
E CDDE
EBACCBDCDDCCAC ECCE
C CDD
BCCBA $
BBEB B
BECDCADEDCDDDDDDDDDDD BCCDCBDEAD
DDBBEDCB AE
EEADBCBDBDDECBB DE
CADEB $
$ E
BEEDDBBEABDDD BD
DED DBED
DC CA
DCBAA BB
CBCCAD BCBEBDBCBEB
CBCA AEDCBBEBD
DB D
BEDEDE CBCCA
DD A
CAABDCABEE AD
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
BD AC
BCBDDCDA CECEB
BDEBC DAEECED
ECA D
AC DC
EEED CEDDDDABDBDDDADCCBCE
ADECDA EBADA
CC BCBDABDBACDDDBDBD
DAECAD DDBCEDCC
ECB CBEACAACCDD
$ CC
CEDDDDABDBDDDAD CECAABB
AA BCBEBCEB
BBE $
ACEDBB BCCAAB
BB DCBAA
BBECD BEACEACBAAEBEECCCBE
CCEBAE EBAA
BAEBD BEEBA
CDEEC CE
DBBDBBDDDDD CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB
AAD ABBEBDA
AEDACDCDC AABCEABC
CD DEE
DEADCCCCC DAECAD
E AA
AA BCBEBCEB
CBEACAACCD $
A BD
BDEAB AD
CEBEBECECE CECE
BEDEB DEEBDBAABCBDCAAB
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
EDBDCDBAB BEDEBB
E BEDD
B BDEDBAA
DDBBEDCB AE
BDE $
A D
BDEBCDDD AACEDAD
DDEE BDEB
$ BBE
$ AE
BEDCAAAEEBAEE ADBEA
AD CBA
EB EDD
A AEEECBDCDBDBEBDCED
BDCCDB ABDDBBDBDBABB
DDCD DDCCEABCEADC
BCBDABDBACDDDBDBD DD
BD BBEBE
B BAEAAB
BCDBE BDE
CBE DAAAABEBED
BCCBA $
DAACEACBAE CBAEBB
DECCDDC DAECADCC
DEA EBEB
DDDACBAE AACEE
CAEEEDEEA AEA
DAACB BAEDEDAEA
ECAA DEADEACAB
CE CEBEBECE
A EBEADBD
BCECB EB
DD CE
BBBBACB CBB
C DDDADBCAACADA
ECAEDBABCADDBB EB
DEEBDBAABCBDC DDEDAABED
CCAEB CECEB
BDEAD DAE
DDBDEA DACEC
DA DDEACCAC
C D
BAEB E
ACCEB CAABCDEB
$ DAADAEADEBDA
CEBABACA E
CC CAEAE
BC CECEBDDCD
ECD BAE
BACADABEDEC ACBCDE
AEDACDC DAEDCD
CBAED CCECBAEC
AABEED DAACBCCD
C ECCEAB
CDA EDAEECDCBEBAEB
$ AE
B EBB
BDEA $
EBDBDEEAEE CECE
DBBDEDBBDD DCBBBBBACBBCDB
ACDEDCECAA ECDDDEABABEAB
BBE DAEDA
BEBD CADAACBDDED
ACCE CAABCDE
EDA A
BEEB AAAC
ECAE CDACEBBDA
BDEBD ACBCDE
BCBDABDBACDDDBDBD CBDEE
BCBDABDBACDDDBDBD DD
CECAABBCCB CEDDDDABDBDDDADCCB
D C
DDEEDBDEA B
CBCDDD DEBEC
$ DAE
AECDD CABCCCE
DACDEA EBBCBEABEADD
EBAD ADECD
EDBACEB DEEE
DAABAAC DAACBCCD
E ED
CDCD BCBBCDDCDDBEC
CBAE CE
A EB
DAAAABADE $
B DAEADAAA
BD BCDB
D EB
CEBEB CA
DAADAEADEBDA $
D DCAABBDB
CAEEEDE A
ACBA BBEBDEDAE
D A
BBEBBDE BECA
CCDEBDEBEC CDCDCB
DADD CBBEBA
ABDDBBDBDBAB BDCCD
CEBABBB DAED
DDBBDD DCAABB
B CAEDCBAC
AACDACB CBAEABD
CBECB $
CEDDDDABDBDDDADCCBCED BE
DDCEDDAEDBDBBD EDBCA
BABA ECAABDE
CEAA AAEEBAABDBD
BDE $
EDBBC AAEEBAABDBDA
C DBDD
DC AC
AA CDEBCAEBAE
CCECD DAEDCDD
BEAAABCC D
DCBAAE EBA
CEDB B
CCE B
ECDDDEABABEA C
CBAE E
AAC CAE
CCAEBEBADABB DE
ACCEBA AEDB
$ EB
BBEB BE
EB EDD
AD BCEEEEDABACCAEB
CBA C
E DAAAABEBEDE
BAEBACBEB DAEDAE
EB CA
B DC
CEE DEC
EDCE B
ACDACB CEDEBBEAD
BCEECBADEBDCCDEBABC DCB
CC $
BBEBABDA CCCDDD
CBECEBED DBC
BAEDEDAE CB
ACDBCCC DAEEB
ECAABDE BDEBCDEBD
CEE D
AABABE CBAEBD
EE ACAED
EEAC ECBDBEB
ECAABA BDEDBAAB
DDDAECA AAEAC
ED $
ECC ACDEC
A BAEBDE
ADEDA BDEDC
CDC EBCDBA
EDABABAC D
AEBA AACDACB
BB DCBAA
CEADB CEDDBBBDADDADDBDDBD
CBAED BAEDCDDD
CEDDDDABDBDDDADC CECAABBC
BDEB EE
ACBEBBAEBE AEDECDC
EBA EDBCAABA
C DDDA
CAABCDEB ACCEB
BCBDABDBACDDDBDB D
BEEB ECB
AA B
DCBBBBBACBBCDB DBBDEDBBDD
B EC
ECCE EBDDD
$ DAAAABADE
CD AEEECBDCDBDBEBDCEDE
ADCBA CADAACBDD
CBBEBAEAB B
EBAD ADECD
CB $
EED DDEBBCA
EBBDBE DEADEB
CECDC BCEECBADEBDCCDEBAB
CBAEBB $
A BCAAEB
BDE $
CEDE EDEBC
ACAB CEDCABEDAEB
CBDEBDDEA BAEBACBE
BEDD E
EDDBB D
BCBDDCDA CECEB
DC CCDEBDEBEC
CBDDAD BBEDCDDDD
CBAEBB $
ABCD EBDBDEEAEE
AA CEDDDDABDBDDDADCCB
DDEABBCAAECC DAA
BB B
CEBABACAC ECBA
DAAAABEBED $
C EEECB
CBDEBDDEA AEBCEBADBCE
CE E
BDADEA CE
B BB
BCBDABDBACDDDBDBD CC
BAE CBDEDBCEA
BAEDEDAE CB
B BAEAAB
BACADABEDECD AAD
CAABCDE ACCE
CCCDDD $
BDEBCDEBD BEDAEDAEEEEEBEABAC
CBEACAACCDD ACBAE
CCAE $
DDACDA ABDDBBDBDBABB
A DD
CAABEACB EBDBDEEAEEB
EDBEABADBBACDDDA BCCDB
DEADEACAB CEEB
BDEB DDEE
BCBDDCDA CECEB
CCCE EBCDBAE
BBE DCA
CCB AA
DCAABBD DECBACECDE
CBEAEBCEB B
$ BAEAA
EBBBDD C
BCCBA $
DD DECAAEADEDCEB
ADE CBAE
E EDECD
EEACD CAABEC
CAE CEB
EBAB BDEAD
DBBCD CCAC
EDAEA EE
CEDE C
EDDBCABBCBEA CECEBDDCD
A DDDAC
EBBCBEABEAD B
DCBBBBBACBBCDB DBBDEDBBDD
EBEBBBBCDBEEEBBEECBBCDDE BCBBCDDCDDBE
AC CBAEAB
BBE ED
BAEAAB B
ACAE CE
ABBEBDA AAD
DEEBDBAABCBDC DDEDAABED
CAEDCBAC B
AD CBA
EDBA DAE
$ CBEACAACCD
EDBAB ECDE
CBAE BAEDCDD
CCECDDBD AC
EBEADBD A
EB EEADBCBDBDDECBB
BAEE EBACCAD
ACBA BBEBDEDAE
EBBBDD C
ECBAE ECCCED
BEDBCEEC CBDEBDDEA
DACDE CA
ACCEB CAABCDEB
EDEBCEB DCAA
C BAACBC
EDECD E
CCCDDD BBEBABDA
EBA ADEC
DD A
CEDCABEDAE ACA
E DAEBCDBAEBDCC
AE CCCED
DB D
A AEEECBDCDBDBEBDCED
B EBB
AED ECAABDE
CBE DAAAABEBED
C BCE
DCAACAA AD
EECAC DAA
CBDEDBCEADCD AABCEDAD
EBCDBAED CDED
BEA CCEEDBB
EB $
DBBCD CEBABB
BAEB CDEBCAEBAE
BEAADABBAD E
DCAA AEBECCDDDBABC
AADCCEAADDEDEEEBDB EDBACEBC
AD CBA
ADCB CC
DACDE CA
BB DCBAA
ABAE ECCEABD
CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB DBBDBBDDDDD
CEAEE AADAEDE
$ AE
CC ABAACDEBD
BD AC
CBA C
BDDCCAEDEED DDBBEDCB
ACBC ACEDBB
DCC CECAAABBEDAAB
BABA BEDAEDAEEEEEBEABAC
EB $
DC CCDEBDEBEC
EEA E
AE ECBDB
BAED AABADEABCEAEDAAD
CBDEBDDEA BAEBACBE
$ CADEB
EEADBCBDBDDECB E
B EBB
AAD ED
CCBEA CEABDEBCEAABD
CDEECBCEA ACBEBBE
ECCEABD CAEAEAB
