24676
BBBAABABB BBABABBBABBAABBBBABBAABBBABAABBAB
BBBBBAAABBABBBBBAAAABAAAAAAABABBABAABBABBAABB ABABAAABAAB
AAABBABBAABABAABBBBBBBBBA BABABBAAA
BBAABAAABABABA AAAABAAABBA
BABB AAABAABBAAAAA
ABAABBBBABABAB BAABABABAAABA
ABABAA BBBBABA
A BAAB
ABBABABBBABA AAABBAABB
$ BAAA
ABBAB AABAAABABABBBBABBBBBBABABBAA
AABAAABABABBBBABBBBBBABA BABBBBBBBAABBAAABAABBAA
AAABBA $
AAA BAABAB
B BBABA
AABAAABBABAAABABABAAAAABABAAABBABBB A
B ABAAA
AAABBAABABBABABBABB ABBBAABAABAAABABBABB
ABAABBAAABAA AABBAABAABBBB
BABABBBABAAABAAAA AAAB
BBAB ABBAABBBABBBBAB
ABA BABBBBA
ABBAA ABBBBBBBAABAAABAAA
AAABBABBAABABAABBBBBBBBB BABABBAA
AB $
BBAABBABABABABBBBAB ABABBBAABBBABBB
BAABBAABABBAAAABBBB AABAAAAAABBABBBBABBABAABBBAABAABAAAAAA
BAB AABB
BABAABBBAAA AAAAB
BABAABABBABBA ABAABAA
BA AAAAABABABAABBBABAAABBAABABABBAAAAABAAB
ABBAAB AA
AA BBAABBBAA
$ ABAAAABAB
BB BBBABAAA
ABBABB ABBBAABBBBBBABABAAAABBAABAAB
ABBBBBBBBBBBAAAAA BABBAB
AB ABBBBAAAABA
AAABBA BABBB
BAAAAABABBABABBBBABB BABBBAA
BAAABABB AB
BAABBAABBAABBB ABBBBBBAAABA
BBABAAABBBBAAABAAAAAAB ABABBAABAAA
ABAB BBBABBBBABBBAAAAAAA
AAAABABBBAAAA BBABAAAAABAB
ABBBABBBBABBABBBAAA ABBBAABBBA
A BAABAABABBAAABBBBA
ABAABAABBAAABAAAAAB AAABBBBBAABA
BAAABABABA AAB
AAABAABBAAABBBABA AA
A BABBBA
$ BBBABBBBB
ABABAABBB ABBAAABABB
BB AAAAAABBAABABBBBBBBABBBABBBAAABABA
AAAAABBAA AB
AAABBAABABBAB ABBBAABAABAAAB
BAAAABBBBAABABA ABBBBA
BAABABBBBBBA BAAB
ABBABAA BAABBBABABAABBAABAB
AABBAABA BABBAABABAAAAA
ABBAABA ABA
BBB BABBBBB
AAAABABBABAB BAB
AABBAAABABBAAAAAABABBBAAAABAAAABABAABB BAABB
BAB BBBAABAAABABAA
ABABBAABBBBBBBBBBAAAB BBAAABBAAAAAABBABB
BABA ABBBBBAAA
BAAAAAAAAAABAABBBAABAB ABBABABBBAABAA
ABAAAA AABBBAABBBABABAAB
ABAABABBBBAAAAAAAABBB ABBBAABAABAAABABBA
AA ABABBABBABABAAABBB
BABBB $
ABBABBABAABBBB BBB
BAAABA BAAABAABBB
B AABBBBAA
ABBBBBABABBAA ABBABABBAAAABAABBAABBAABAAAABABABABAAAABAAABBAAAAABABAABBBB
ABAAABABABABABBBABAAAAA AAAAAAABAAABBA
AA AABAAB
BABBA B
AAABBABBAABABAABBBBBBBBBAB BABABBAAAB
BABAABABBABABABAA ABB
$ AAABBABAABBA
ABAA AAABAAAABAAA
ABBAABBBABAABAAAA BABBB
B BBBAABBB
ABBAABAB $
ABBAABAAAABABAAAAAABAA BBBBBAAAAABABAAABB
BBABABBBABBAABBBBABBAABBBABAABBAB ABBBBAABAAABABABB
BAAAABBABABAB ABAAABAABABABABBBAAAABBAABBBBBBBBA
BAAAAA AAA
BAA AABABBABB
ABAABABB AABAAAB
A BABA
AAB AAABABABBABBAA
BBBA BBBABABBA
A BBBBBB
AAABAAAAAB BAABBBBBABB
AABBA AAAABBBABB
BBBBBA ABBA
$ AABBBBBAAA
B AAABAAABAAAAAABAAABBA
BAABBBBAA ABBA
AAAAAABABB AABBBA
ABA ABABABAAAABBBAABBBAAABABAA
AAABAB BAAAAABABAABB
A BBAAAA
ABAAAABABAB ABBBBBABAAAABBBBA
BBABABBBA BB
B BAABAAABAAAABABABBBAAAABBBAAAABABABBBAABBAABABBBBBBBAAABAA
BAAABAABBBAAAA ABABBABA
AAAB ABBAA
BBBBBAAABABABBAABBBBBAABBBAAAA ABBBBAB
AABBBBBAAA $
ABAABAABBBBBABBABA $
B AB
AAABAAAAAAAABBBBAABBABABAAABAAA AABBABBBAB
AAABBBABABAAAABBAAAABAA AAB
ABBAB ABAA
ABBBBBAAABAAABBBABAAABAABBBBBABAA BAABAAAAABB
ABAAA BBAABBB
BAABBA BABABBBAA
ABABAABABBAABBAAAAAAAAA BAAAAAAA
ABAABAABBBBBABBABABB BBBAB
AAAAAAABBAAAAA ABBAABA
ABAABBBABBBABABAAAAB AAABABAAAAA
BABBAAABBBBAAB AABAAABBBAABAABBBBB
BAABBA BABABBBAA
ABBAAABABABABABAAAAABAAAABABAABAAA BAAABAABBB
AA ABAAAABABAAAB
BAAB ABBBA
ABB BAAB
BBAABBBA BBBBBAB
ABBBBAB AABABBBBBBBBA
$ BBABABA
AAABABBBABBABBA AABABA
AB ABAAABABB
ABB AAAAA
BAB BAABBAB
A ABAABABAAAABBAAA
BAB BABBABABAA
BABABBBABAAABAAAA AAAB
B AAABABBBAABABB
BABBB ABBA
$ AAABAAABBAB
BABB BAA
AABABB ABAAABAAAAABBA
AAABBABABABBBBA BABBBBBBBAABABBBAABABABBAABAB
BAABBBABBABABABBBBBBBB BAA
AAABBABBABABAABAAABABAAAABAAABABBAABABAAAAABBABAAAB BBABBABAABBABBABBABBA
B AAABAAAABBA
ABBBBAAAAA AAA
ABBAAA ABBBBBBBAABAAABAAAA
ABB ABAABBA
ABAABBAAAAAA BBAAAABAB
AAB ABBABABBBAABBAAABA
ABBAABBBABAA BBBAABAAABABAAB
ABAABABAAA AAABB
AABABBABBBAB AABABAABAA
B BBBABBBBBB
BABAABABABBBABBABBBBB AAABBABAAA
ABBAAB BABB
BA AABBAAAAB
ABBABBBB ABBB
ABAB BABBBB
AAABBAABAABABAABABAABB AAAB
ABBAABABBA B
BAABAABABBBAAABB BAAAABABBBABAABBBBBABAAB
AAABBBBBABBBA BAABBA
AAABBBBBAABBAAAA AABBB
AAAB BBBAA
BAB AABB
ABBBABABAA BBABB
BAABABAAAAAAA $
AB ABB
ABAB BABABAA
BABA AABAABABAA
$ BABBBBBBB
AAAABBABABA AAABBAAB
ABBAABABBAA BB
A BBABAAA
BBABAAAABBBABBA AA
AAB $
ABABAAABAABB BBAAABAABBBBBA
ABBBBBABAAAABAABB ABBBBBAAAABB
BABBA ABBAAAABBBAAAABABABBBBBAAAAAABAA
A AABBB
ABBABBB ABABBBAABBAAABAABABB
BBBABAABAAB BBAAABBB
BBB ABBBA
BA BBB
ABABABAAAAABAABBBB ABABBAAB
AAABAABB BB
AAABAB ABBBABAABABBAB
BAAB A
ABBBBABABBAABBA AAABAAAAAAAABBBBAABBABAB
BABBABBAABAB $
BBBBABAAAB BAABABBBBBB
AABABBBABBABBBAB $
ABBBBAA $
AB BBBBBAAABAAB
ABB B
AAABAA BABABBBABAAABAAAAAA
$ BAA
ABBAAABBABA ABBBBAAABBAA
AB BAABABBAABABBBBB
ABB ABBABABBBBA
AA AABAAB
BAAB ABAA
A BAAAAA
AB B
BAAAABBBBAAB $
BAB ABBBBAABBAAA
BAABAAA BAAA
AABABBBABBABBBABB ABB
BABBAABBAA ABAABABBBAABBAABAAAB
ABAABBABBABAAAAB AABABAAAA
ABAABBBBAABBB BAABBAA
ABBA BBBBBA
BBBABBBAAAABBB A
ABBBBAB BBBBBAAABABABBAABBBBBAABBBAAAA
BBBA AABABAAABAB
A BBB
A ABABAAAAABAA
BA ABBBAAAABA
AAA AABB
A BBAA
BBABBBBBAABAB ABAAA
AABBBAABBBBBAA BBAA
AB BBB
BABAAAA ABAABBAAAAA
BABBBBAAB $
B $
ABAB BABAAAA
$ BAABBBBABBBBBBABBAAAABAAABAAAB
BABAAABBBABAA AAAABAABBBABBABBAAAAAABAAB
AA BABAAABAABBAABBAAABA
ABBBAAAA $
BAAA ABBBABBBBA
ABBBAABAABAAAB AAABBAABABBAB
AABABAABAAA AABABBABBBABA
AAAB BBBABBABBBA
ABABBBAABBBABBB BBAABBABABABABBBBAB
BBAABBBAABBBAAAAAABAA BBA
AAABAAB ABA
ABBAABBBABBBBAB ABBBBBBB
AABBAAABABBAAAAAABABBBAAAABAAAABABA BA
BAABABAAAAABBBBBABAABABBBAA ABB
BBBAAAAABAAABBBBBBB AAAABAABAABBAAAAAAABAABBBAABAA
BABBBB AA
BABB ABBBBB
AABBAB BAAB
BBABABABBBAAAAA AABAABBB
BAABBBBBAABBBAABBAAABBBABAAABAAABABAABBA A
AAABABBBAABABB ABBABABBAB
A BABAABABBAAAAABBA
BABABBAAABA AB
$ ABBAAB
BBBBABBAAABABBAABBB $
BABAAABBBAABAABBBBBABAAABAABAA ABAAA
BABBAB ABBAB
AABAAABBABAAABABABAAAAABABAAABBABBBAA AAA
ABAABA BBAABBBABBBBBABABABBBBABBBAAABBAA
ABBA B
BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAA $
AABBBABBBBAABBBABBAAABBAAAABAA BABABABA
A BA
AABBBBBABBABBABA AABAABBBBAAAABBAABAAABAABBA
BBABAAA AAAABBBBB
AAABAABBBABB BAAABBAAA
ABBAAABAB BAABBBABABAABBBBAAAABABAAAAABAAB
AAA AABAABBAABABBABABAABBBB
ABBBA BAAB
BAAAAABB ABAA
BBABAAAAABBABAAA B
AAAAABAAAABBBBB ABBAAAAAAABAA
BABAABBAABAA AAAAB
AAABBBABAABBBA ABAABBA
$ BAAAABBBBAAB
ABBBBBBABABBBAAAABBBAAB AAAAAAABBABABABBBBBAAAAABAABBBBAB
ABAAAB BABABAABBBAABBABBAA
ABABAAABAABBAABBABBABBBBAAB ABBA
A BA
BBBABBA ABAA
BABAABABBABBAAAA BBBAAAAAABAABAA
AABBABBABA BAAABBA
BABAAAAABBBABBBBA AAABA
ABBBAABAABAAAAAABBAABABAAABABA ABAAAAABAABABABAB
AABBBBBAB BABBAB
BABB AABAAAAABABB
AAABAAABBAB ABA
BAAABABBA AA
BAABBAB AAABBBABABAAAABBAAAA
AABBAAABABBAAAAAABABBBAAAABAAAABA $
$ AAABBAABAABABAABABAABBBBAAABAB
BAABAAA ABBAAABABB
AAAAAAABAAABBA ABAAABABABABABBBABAAAAA
ABAAAABABABBBBABBBA BAAABAAABBABAAAA
ABABAABABBAABBAAAAAAAA ABBAB
ABBA BAAAAAAABABAB
BAABABBBAABBABAAB ABABBBB
$ BAAAABABBBAABA
ABBBAABABAAAAAAAABAA ABAAAABAABA
$ ABAAABAABAAABBAABBBBBBAABA
A ABA
BAABABBAABABABAABBBAAAB BABBABAABAAA
ABBAAAAAAABAA AAAAABAAAABBBBB
BAAABBA BAABAAAA
BBA B
AABAAAABABABAAAAABABBB AABAABABABAAAABBABBAABBBBAAABBABBAB
ABABAAABA $
BB ABBBB
AAAAABABBBBB AAAAABBBB
ABABAABBB BAABABA
BBBABBAB ABBBAAAB
BBBABBBAABA AAAABBBB
BBAAAAB ABABAABABBBABB
BAB AAABA
BAABB A
AABABBBABBABB $
BABAAAAAA BBBBAABBAAA
$ ABAABAABBBBBABBABA
BA AB
$ AABBBABBBBAABBBABBAAABBAAAABA
BBABAA ABBAABBBABBBBABAA
AAAAABAABABABBBAAABAB BAABABBBAABBABAA
BABABAA AABAABBAABABBABABAABBBBAAABAA
AAAAABABA AABBBBB
BA BAA
AABAB B
ABBA $
BA BBBABBAA
$ AAABBAAA
AABAB ABBBAB
ABBBBABABBAABBAA ABAABAA
AABAB $
BAAABAAAABABBAB AABAAAAAAAAAAABB
ABBB $
ABBAAAB BABBBAAAAAABBBBBAA
BAABAAB AABBA
BAAB AABAAAAAAAAAA
AABBAABAABBBB ABAABBAAABAA
BBBBB BBBABBAAABABAAB
ABBBABBAABABAABB BAAB
BBABBA ABAAB
BAABAABBBBBABBBBBBAABBBBBABABBBA AAAABBBAA
AABAAAABBA ABBA
BBAA A
BABBBA AAA
BAABABBBB AAAABAAAAABBA
AABBBAABBB AABBAB
AABAABBBBA BBAAAB
ABBAABABB ABBAAABBAABABABBBABBBAABA
BAABABBAABAAAAAAAABBA BABAB
ABAAAAABBBBBBBAABBBABBBBBBBBB BABABBBABABA
BABABABABBAABABABBA ABBABBABAABBBBBB
BA A
ABABAAAABBBBBAAABABABBABABBAAAAAAAA AABABB
BAB ABAAAAABAAABABABBABABBAAAB
ABAAAAABBBBBBBAABBBABBBBBBBBB BABABBBABBBB
$ AABAAAABABABAAABABABB
BA ABA
BBBABAAABBB AAB
$ AB
A BBABAAABAA
ABBAABABAB BAABBBABABAABBAABABABAAAA
$ AAA
B AAABBBABAABABBBBBB
ABBBBBBABBBAABBB $
ABBBAABAABAAABAB AAABBAABABBABAB
ABA BABBBBBBB
BABAAABBABBAAABBBAABABAAABAAABB BAB
AAAAAAABABABBBBBBAABABABBABABA BABABAAAAA
AABAAAABBABBABAB $
AABAAAABB ABB
A $
$ AB
ABAAABAABABBBAAABABBABABBAABABBBAAAAAABBABBAAB AAAAAAABABABAAAAABABABBAABB
AABABB ABBBABB
BAABBBABABAABBAABABABA ABBABAAABA
AAAAA ABBAABAB
A AABABAAAABABAAAAAABBBBABAAAABAABB
ABBBBBAAAA AAAAAABAB
AA BABBABABAB
ABBABABBBAABBAAAB ABBBBBBABBBAB
AAA BBBA
AABAABABABB AAABAABBABAAAAABBBAABBBBBAA
BBAABBBBBAAAABABBB AA
AB $
BBBABBB AB
AABABAAAA ABAABBABBABAAAAB
ABBBAABBBBBBABABAAAABBAAB BBBBBBAB
BBAAA BABBABABAAAAAABBBABAB
ABAABBBABBBBBBB ABBA
AAABBA $
BABABABAAABB AAAAABBABAAAABBB
BB AAABBBBBABBBAAAAA
ABBB ABBABBBB
ABAAAABBABA BAAABAABABBBAA
B AAAAAABABBAABBA
ABABAA AAABBABBAAAABBA
AABABAAAA ABAABBABBABAAAAB
BABBAABBAAB ABAABABBBAABBAABAAABB
AAABBABBAAAABB ABABA
ABBBBBBABBBAB ABBABABBBAABBAAAB
BBBBAAAAA AAABAABAAAAABBBAABAB
AAAABAABBBABBABBAAAAAABA $
AAABA ABBBABBB
AABB BAAABAA
BABAABA ABB
ABABABAAAABBBAABBBAAABABAAAA ABAAA
AAAAABAABBBABBAAAAAAB BABABABBABBAABABB
BAABBBBBABBBBB BB
AAAB ABAAAABBAB
$ ABABAABABABBBABABA
ABBBABBBBBBAA AAABBAAAB
ABAA ABABBBAAABBABBB
AAAABBBB AABA
AAABBBAA BBBBBBBBBABBBBAABB
BAB ABBAAABABBAABA
ABBABABAA ABAABBBBAAABABAABABB
BABAAAABABABAAAABABABAABABBBAB A
AABBBBBA AAABABABBABBBBAAB
ABBBAABAABAAABABBABB AABABAAAAABBABBBBBAAABAB
AABA A
AABBAABABBABA BAAABABABABAAABAAAAABAAAA
B BBBB
AB BBA
AAAAAAB ABBBBBABA
A ABBAABA
A BABBABBABAB
ABBBAABBAA BBBAABABABABAABAB
B $
ABABABBABBBABABAABBBA AABBAAAABBB
BAABAAABAAAABABABBBAAAABBBAAAABABABBBAABBAABABBBBBBBAAA AA
BBBBAAAAAB AAABAABAAAAABBBAABABB
ABBBBBBBBAAABAABBAABAAB AABBABAABBB
AA ABABABBBAAABB
AAABABA ABAABBAA
ABBBAABBABABBAAABAABABABABBAB $
$ BAABB
ABBABABBBABABBA BABABBABABAAAABABABBAABABA
B A
BABB AABBBBB
ABBABAAABA BAABBBABABAABBAABABABA
AABBA ABBABABBBBBBAA
AAAABA $
BAABABABAAAABBABABBBB ABAABBABBBAABBA
BB AAAB
BAABABBAAAA $
BABABA AAAAABAAAAA
ABAAABAAAAAAAAAAAAABBBBAAAAAABBBABAAAAABBBBAABABAABAABBBBBAABABA AABBABABAAAB
AAB AAAAA
AAB BAAAABB
BAABAAABAAAABABABBBAAAABBBAAAABABABBBAABBAABABBBBBBBAAAB AAABBBBA
AAAAAAABABABBBBBBAABABABBABAB $
ABAA BBBABBA
ABABBAABBBBBBBBBBAAABBAABABBAB BAAA
AAAABBBBBBBBABBAABABA ABBAAA
AABB BA
AAAABBAB BBBABBABBBABB
ABBAABABA $
AAAAAABA AAA
BBBAAAABAABABAAABAABBBBBBBBABAAB B
AAABA AAAABAAAB
BBBAAAAAABAABA BAAA
AABAAAAAABBABBBBABBABAABBBAABAABAAAAAA ABBBBBBBA
AB ABABAABB
B $
A ABBAABABBBBABB
ABABBA BABBBA
AABAABB AAAAABBBBAABB
ABBAABBBABBBBA BBA
BABBBBB BBAAABAAABBAAAA
BAABBBBABAABB ABAAABAAAAAB
ABAB AAAAAAAABABB
BBABABBBABBAABBBBABBAABBBABAABBABBB $
ABAAABAAABBABAABAA BBAABBBBB
BAABBBBABAABB ABAAABAAAAAB
BBBABBBBBBAAA BBBB
ABBAABABABBBBA AABABBBAAAAB
BBABAABBAAAABABAAAAABAAAAAAABB BABBABBBB
A AA
BBAABBB ABB
A BABAAABAABBAABBAAAB
BBABABBBBABABBBABBBB AAB
BAABAAB BAAAA
ABBBBBABAAABAAA AABBAABAABAAAAABBAABABABB
AABAAABABAAAAABAABAABBAAAAAAABBABABBB ABAAAA
$ ABAABBAAAAABABBBABABBBBB
AAABABBBAABAABAABB AA
ABBABABBBBAAA ABABABAAAAABABBBAAABBABABAABBBBAAAAABAB
AAAAABAAAABBBBBA ABBAAAAAAABAAA
$ AAABAA
BA BBAABBBBBB
BB AAABAA
A AAB
BABBABAAA ABBB
ABABBBAABABA BAAAAAAA
ABABBBAAABBABBB A
BAAABABB AB
ABBA ABABAAABAABBAABBABBABBBBAAB
AABBBABBA $
ABAABBAAAA AABBBABAA
BBAAAABB BBBAABB
AABAABBAB A
AAABBBABABBBBBBBAAAABB ABAABBBABBBBBB
ABBBBBBBABAAA ABBBBAAA
A BABAAAABABABAAAABABABAABABBBAB
BBAB ABAAABAAAAAAAAAAAAABBBBAAAAAABBBABAAAAABBBBAABABAABAABBBBBAAB
A ABAABBBBBBABBBBABB
BABB AB
AA ABBBAB
B AA
ABAAAAAAAABBABAAAAABBABABABAAAB ABAABBBBABBBABBBB
B AAA
BAAAAABBA $
BAAAABAAAA ABAABBBABBBBBBB
AAAABABBBAAAAAB BA
BAABABBAABABABAABBBAAA A
BAABABAA BBAAABABBAABABA
BA AB
B AAABBABBABABAABAAABABAAAABAAABABBAABABAAAAABBABAAABBB
BABB BAAAABABBBABAABBBBBABAABAB
B A
BAAAABAAABBBAABABA BABABBBBAABAAABAB
BBBAAAAABAAABBBBBBBBB AAAABAABAABBAAAAAAABAABBBAABAABB
BABABBAAABABBBBAB ABBAAABABA
B BAAB
AA AABAA
B $
$ ABB
ABB BA
AAAAABA BBBAABABABABBBAABABAABBBBA
AAABAB AABBA
AA AB
ABBBAB ABBBBABBBAABABABABBA
AABBBBABABAAAB AA
AAAABAAABA A
BABAAAAAA $
AABAAABBBBBAABBABAAABABAAA ABBBBAAAABBABAAABBBBABABBBBABAABBABA
BABBABABBB AAABBAB
BA AAABBABAA
$ ABBABAAABAAAABBBABABBABBABABAAAABAB
AAAABAABAABBAAAAAAABAABBBAABAABB BABAAABABBABBABABBBABAB
BB BAABA
$ BBABAB
AAAAAAAABAAAABAABAAAAAABBBABABABAABABA AAABAA
AAABAABBB BBAAAAABBBAAAA
BAAABABABAAB $
ABBABABBBAABBAAABAAAABABB BBBAABAAABABAABBABAAA
BABAAABAABBAABBAAA AAABBBBBBA
BAB BBBABABAAB
AABBBAAABBA ABBBAAAAAABBBAABB
ABBBABABBBBAABAB AAAB
ABB A
ABB ABAAAAA
A ABBABAABBAAAABAABBB
ABBBA AAABABABAAABAAAABBB
BBBABBAAABABAAB BBBBB
ABBAAABAABAAAAAABBBAABABAABBBABAABBAAAB B
AAABAAAABA AB
BBABA $
ABB ABAB
ABAABBBABBBAAAABBB AAABAAAAAB
AABA AAABAABAAABBBBABAAABABBBAAAB
BBABAB AABBAA
ABA BBBABB
A BBAAAA
AABAAB A
ABAAA BBAABBB
AABB BBAABAB
ABAAB BBBABBAB
AABBBABBA $
ABAAA BBAABBB
ABBAAABA AAAABABABBABA
BAABABABAAAABBABABBBB ABAABBABBBAABBA
BBAABA AAB
BABAABBAAABAABABAAB ABABAA
AAAB AABAABB
ABABBBAABBAAABAABAB ABAAAAABABABABAABBAABAAB
BBAABBABAABBBABBBB AAA
ABAABB A
ABA BA
$ AAAAAABAABAA
B ABAABABAABAB
AABAAAAABBA BABBAABAAB
$ AAAB
AABBAAAA ABBBABA
BAAAA $
AAABBAABBBAABABAABABAAAAAAAABA BABABAAABBBAAABAAABAA
AABBBBB BABB
AAAABBBA BBBBBBAABBAA
AAAAABABAAABAAAABBABBABBAAA BAABBAA
AB BBBB
BBBB AAAABABABAAA
ABBBBBAAA BABA
$ AAABBABAABBA
BABAABBBBBBBBAAABBBBBBB AAABAAABAAABBBA
BAAAABBABABAB ABAAABAABABABABBBAAAABBAABBBBBBBBA
BA ABBBBB
AAABBAABAABBAABAABBAAAA BABABBAABAABBBB
AAABAABBAAAAAA BABBA
BAABBBBAA $
ABABAABABBAABBAA B
AA ABABABBBBAABABABAAABBBAA
ABBBAB ABABAABBAABBAAABABB
AAAABBA BBBABBABBBAB
ABBBBAAA AAABBABBABBABABA
AAABBB BAABBAABABAABBAABAB
AAABBAABAABBAABAABBAAAAAAAA ABBAAABBBBAAABABAAAABABAABBAAAAB
AAABAAABAAABB AAAAAABBA
AAAAABB BABAAABABBABBABABBBABABB
ABABAAAABBBBBAAABABABBABABBAAAAAAAA AABABB
ABBBBAABABAB AAA
$ BBAABA
ABAAAAABBAAAABBBBBAABBBBAB ABBAABAB
BABBB AAAAAAA
ABAABBBBAABAAAABBABABBAB AAAAABABABBBBBBABBB
AABA AAABABBBABBAB
ABBBBBBAAAAABBABBABBBBBB AAABB
BBABBBBBAAAABABBAAAAABAABAAABAAABAA A
ABBBBBBAAAAABBABBABBB AAABABBBAABAABAA
$ BABAAABAABBAABBAAABA
ABBBBBBAAA BBBA
AAABB AABABA
BABBAA AAABAB
ABAAAAB AABBBBBA
ABABA BBABABAABBAA
AAAAA BBBAABABABABBBAABABAABBB
BBBB ABBBAABBAAAAA
BBBBABAAA BAABABBBBB
$ ABAABBBABBBABABAAAA
BBABA AAA
BBAB BABA
B ABAA
AAAAAABAABAA ABAAAABAB
ABBBB BABABBAAABABBB
AAAAABBBBBBAABBBAABBBAABAABABBBAABBBBABABBAAABA BAABAABAAA
AABAAABBBBBAABBABAAABA ABAA
BAABBBABBAABAAAABAA ABB
BA BAABABBABABAABBB
BBBABABBAA BAA
BBABBABBBA B
