38134
W[PZ ak[SZifiCBpHdgP
eVWoW\VW\VW eWoWI
cmiBe R`
TPFq\FGBcVP cSSVP``````````````
Od^hiX a
eWoWffoW\VrpW eVW
cV cSLVaG
piBpi fiBHiBTHLdgQ
Oj Od^CKNV`VZOiXBOd^j
T $
KDV RoOCD
gPUhWhLLWhLW gprPU
gFDFGfbHYbHYbner WFUGfrQh
Oh OaC
aGSD XaBak[
eV heVWpWpW\VW\V
eWoWIo eVWoW\VW\VWo
eVWoW\VW\VW eWoWI
aig]d^hK R[[
T]jK XDMDK
TPUhL Hg[VPUhLW`LLLWhLLLWhLWhhLh
pifr_prr Mpif[
WPq^ gdWdH
piBH[ $
cMmif pifr_pr
c cDSp
OhG ZT_g
OjRPSCpPC g[GBUPhRPSC
fifr R`VkfZ
gD Od^CKNV`VZOiXBOd^j
cSSmiBAV fiBHiBTHLdgQBAV
W]hF aXF
$ W
gFGBT[FT[[ piBRkBWdg
XmW pif
AV eWM
heVWpWpW\VW\VW eVWoW
cmi fiBAGC
HFDPFq[[dT[P R_kCBXDFGDBa`
cSmiBT ]cSSSQ
RoOCD lSSH
cSVP`` TPFq\FGBcVP``
fiBOjKb g[GBUPh
YfiBf TFDdp
XDdR XZDbbR
g[dfiBWdT fUBg[
VGGGG cVG
TPFq\FGBcVP```` TdcSVGP`
XGBpi lGZM
pifbHYb W[[FDiFdffr__prL
XGBGB W
gDg H[DKH
RoOgdfifrm_ TFGBXGfr
fiBiOTa Od^jXaa
bWSG^dT TPFq
aieVWi eVWoW\VW\VWoW
fiBOhK mn
Y $
piABW[FGBT]`j cVGG
XGfr_ fifr^
g[] fiB\O
piBT[ gie[B
A g]hgFGBAVWoW\VW\VWp
Ydpig cSmiBOhg
WFGfrpr TdXmifbne
WFGfWr fifr_
fi G
iBTiBf piB
pifr__prrp Gfber`qI
TPFq\FGBc cS
p R`V[]OifiBfigBWFDdf
W[PFD[dR` aiOhk`
Oe TFGBH[da
cSGm Wdf
WdTP lFDo
TPG ccSVP
piBHDXaaaaaa TD[ha
XG ai
fiBgPUhLLWhWhLLLLWhWhWhLLLLLLL PUhWhLLLLLWhWhLLF
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhRWh XDPUhLLLLLWhWhWhLWhWhWhLLLL
WPo agP
HPFqe]hG]OG]P aia
fiBRRYO G]O
H[FDFDFGB eZV
RoOK `
OjK MOjKY
SDDD g]d^jKb
W[]ifiBeV AVW\VWo
XDFD[dXGBT[dAVWoW\VWo heVWpWpW\V
RRTOiO OdBSP
H[] FJ]^Gd^Q
fifr_prr_ pif
WdgWPGj gPGjcW
gnTG^PZ WFGBfiBXDPZ
edmpWoW\ eVW\
g[FGBpiBgPo g]d^j
AVW\V IeVWp
T]jKck XDMDKck
cSVP` cSSmiBocSSVGP``
cmiBd^d^d^h ak`TOKNpOKEE
fef`HY piBfifrp
gHPUhLLWLLLmhWh^LWhWhWhLL TFDdTdXGBXGBHPG^PUh
YdW[q TF
agdfifbnWebHYbner_ XD[DGfKbnReg
R`Y aG
pifbHYr piBTdfifrprrprprrprr
XDO[ piBg[
O Od^CKNV`VZOiXBOd^
DPhDMOV Od^hk`YO
XGBG RRD
piBcVP gdWFGB
fiBiB $
RGFDdWFDdaClk cSSmiBak
c`miBXDD HdTDKb
AVW eVW\VWipW\VW
TFGBOhkfbnebne Wdfif
eV heVWpWpW\VW\V
lcmiBR`YO TFGBa
piBTdfifrprrprprrprr pifbHYr
XGBgDKc g]hiXDFD]fjKcWkkWW
fiB pfiB
Jf[ W[dpiBcmiBpi
$ piBTPFq
T XDdXGBTPq
cSSSVGU HdcV
cmnABfiRBXD W[
g[]d^hk[SlkkBeVWpWpWoE eVW
XG_^BfiBAW TdeVWoW
piB cmiBpiBHdY
XGfrpr pifbHYr__prr_p
fifrIKpSrr_ cmifrprr_prrprr_
H[FK`cbf OjKckW
eWoWffoW\VrpW AVW
cS SciS
gDKc g]hiXDFD]fjKcW
[ H
W GoOg
RRlCTOkkfr_prr_ HFLGfrprbYner__
pB gd
T RoOK
lGZM XGBpi
T XDdXGBTPq
$ gPG
g[FGBpiBgPoK g]d^jK
G]Ok fiBRRYOk
RRZOFT T]hF
cSS cDSp
TP HFLDrTP
piBTdfifrprrprprrprrp fifrp
cVGGG cdhV
HcmB WdgFD
H`GBfifr__prbnW XGfbnWebn
[D piBaKNVRpOCVRpOk
g]hiXDFD]fjKcWkkW gDKckkW
pifr_ f[ifbnebHYr_prr
pifbHYrp piBTdfifrprrprprrprrp
fifrIKpS RRVRVoOkkfrp
XDFGfrprrprr pif_
m AVWpW\
piBT]hKNYOCYOCVR Oihqk\
Hc HdaC
pi eii
XfP pifbHYrpr
ebWE eVWoWoWpW
Y $
fi GBRkBcmi
mXD W[dW[[
$ l
g TFDFGBgFqdT
R` piBA
XGfrprb XGfr_prbnWerprpHrb
WFGBR`pOg[dT X[
g[GBUPh fiBOjKb
$ T[[dpiBW
WdgFD]d `K]
gFGB MgFDpGISB
gFGBT[FT[[ piBRkBWdg
g] OI
TPFq\FGBcV cSVG
H[PR WP
cmifr_ fiVrprP
cSmif ff
cmnABfiRBXDD W[D
cmifrprr_prrprr_ cSSmiBifr_
g R`V[]OifiBfigBWFD
f RRYO
gHPUhLLWLLLmhWh^LWhWhWhL gPUh
IPeZJIAlSf W[PZI
WFGfW pifr_pr
WDKkWkO[W TDKbKck
cmDfbnebn XGfbn
HPFqe]hG]OG]P RRpO
lFDoZZ WdTPZZ
aKES akOKFZjGGGO
A ii_DdA
VFBRkB $
XGf f[jf
XDPZ aci]PZ^
gd R`V[]OifiBfigBWFDd
F g[dXD[FDPFqda
eVWp pBTFGBAVW\VW\VW\V
W[[FDiFdffr__prLn TFGfrprrprbHYrprbnebn
H HSgq[
fifrprrprr mQrMrrQ__prrpCr
OTh] TPG
RoO fiBpiBXDdp
piBTFGfb XfPb
cDSp c
eVW\VW cSSSmieVWpWpW\VIWpW
piBfiBHPPR BA
RR ]R
eVWboWo_ AVWpWpW
H[FDFDFGB eZV
gpr XD[FD[FDdcSmiBW
fiBOj g[FGBpiBgPo
XDMD T]j
R`V[]OifiBfigBWFDdf p
fi i
piBR[ISZOi[] TdXDFGBg]
fifrprrprr HFLGfrprbYner__prr
pifbn fiQbnWbWWnW
R`Z RDRIOKNp
fifbHYrrr pifr_prr_prr
[D Od^hCD]
mVWWoq g[dAVW
TFGBa lcmiBR`YO
cmnABfiRBXDDK W[DK
aicSS o
cSmifbHYrp fifr^__p
cSSSmieVWpWpW\VI eVWp
g Od
AVW\ AWpW\
aK mn
Wf g]j
HPZ T[G^PZ
mVWWoq\ g[dAVW\
fiBpi cDSpmi
if HFGBfif
aX cmiBa
fifb W[dcmiBdWFGBW[Ffb
TFDFD]d^j Z[PGM^D
XDdpifbH TdXmifbnerprbH
pifbH XGfbHYbGHcYoHYKH
pfiBA fiBA
PU TP
eVWoWoWpW eSWEpW
OhiOd^d fiB\Od
aK gdaF
C RRV
pf f
rEhgdaG T
DHc p
R`ZDOKqicSmiBp XGBf
RkBXGBHFGB XD
OhKEV $
D gP
fiWBT_T XDdR`lg]d^jK
XDdfiBpifrprbHYbH p[WfbH
HdWPZJ_O fiBg[[]hgPZ_Q
HFLDrTP WP
WFGfb $
fifbn fifrprbnebnebncWWW
H[dfmifprrplh fifr_p
fib pifb
heVWpWpW\VW\VWo AVWp
Me WFDFGBA
fiBcmiBXDd H
WPFq[FGf eiif
aCYO n
H[[]d^hKNTng TdWPFqdg
edmpWoW\ eVW\VWoW\
W GoOg
mQrMrrQ__prrpC fifbHY
p ei
gd RkP
WdpiB fhBS]d
$ M
H [
gHPUhLLWLLLmhWh^LWhWhWhLLWhWh $
XDIFV g[]
XDGKB HPGB
eVW\VQ eVWoWoWpWpWp
Ofhk` OhG]
gdfi ^iq
fiBiOTaaa g[[DX
$ T
R`ZDOKqicSmiBp XGBf
cSm qpnQ
GBTd gdTd
XGfb TDXfb
X F
[DPUh gDKckkkk
pifbn fiQbnWbWWnW
XDGKB HPGB
OjRPSCpP g[GBUPhRPS
BiBfiBcVo cVGGGG
pifrprb cmDfbneb
HFGB Z
WHZpV $
IOh cSSmiBa
eWoWffoW\Vr eVWpW
G]O fiBRRYO
mXDP W[dW[[P
eVlWQVW eVWpWoW
XDd XZDbb
RoO gVOh
T[ aL
WnfAbgH HPZ_Q
WD p
heVWpWpW\VW\ e
D HdgP
HPGB XDGKB
edmpWoW eVW\VWoW
XD RkBXGBHFGB
fiBOhg]hd^hgFDdO fiBH]
MgFDpGIS gFG
Od^hk`V`l Ea
eVWp cSSSmieVWpWpW\VI
fBkGJb aicmiBOjKbRPCp
XGBfifObmnerp XGfr__p
TZIf_Q fiBW[[PZI
RO piBaiOh
gPFq SDD
c\ R[]Ok[SYOCVkBcS
RRYO FciSfil
RLYOk aKEVk
XDPKck gDKckkWW
D]jRPfpPSSSf cSSmiBa
RkBeVW\VWpW\VW\ edmpWoW\
ako Rm
R`DbMSp WdagPG^dR`YOG]
pifbHYrpr XfP
fi fiU
aiAVWoWi AVW
Y XGBe
XDdgPZ_Q piOBnPZ_[]Q
fifb W[dcmiBdWFGBW[Ffb
XDDFGJBgPPK gDKHK
RRp WdRX
g[dHFGBAVWpWpWo pBTFGBAVW\VW\VW\V
eWoWffoW\VrpW AVW
XGfr__ qpnQifr
AVW eSWE
R`D] $
OR` RR
cmifr RoOgdfifrm
Hdfif cMmif
cDSpmiB cSSmiB
XDdHD gjD
R`V`ZOgFGBR` rM
Oh fi`BXGf
f[ifbnebHYr_prr_p cmifbHYbnerp
ep c
cSLVaG cV
[ H
cSGm aip
$ piBTPFq
ag XDPbq[
XGBGB] fiBfiBO
R RRp
mkmRl R[]O
aKT XGBoR`
fiBOjKb g[GBUPh
nRTOiUiBk c
if TPFqFG
eZV T[d
gFG p[W
pfiBAVWoW AVW
AVWoWpWp neVW
W[dcmiBdWFGBW[Ff fif
pif fiQbnWbWWnWWe
m $
pifbnebnebH XfPbH
fiBAVWoW akkBeW
PU TP
cmnABfiRBXDD W[D
fifrprbnebnebncWWWe RkBpif
WPUhLLLLLWhW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
g cmiBpiBHdYW
f[ifbnebHYr_prr_p pifr_p
WFGfW pifr_pr
agF Xa
XGX aiHFDF
fiBaG] WdRX
TdXmifbner WFGfrprr
pif XGfbnerprr_
gDX fiBiOTaaa
fiB GB
cmifrprr_prrprr fifrIKpSrr
XGfrp XGfr_prbnWerprpH
$ m
R_kCBXDFGDBa`G HFDPFq[[dT[PG
piBcVG FG
fifbneb XfPb
cSmiBc cX
]Rp OhKTZ
gHPUhLLWLLLmhWh^LWhWhWhLLW fiBTPUhW
H[ H]hFI
XDL ag
fUBg[d WFDFGB
k OhKEVk
TDK HPGK[K
TFDFGBgFqdT g
WfX TPPXa
HFLGfrprbYner__prr TFGfr_
Od^jRPfSSrfS HPPRP
R`YR WdOhCpOko
pifbnW fiQbnWbWWnWW
T]jRPffSS Od^jRPfSSrfS
XGfr_prbnWerprpH gdfifrp
cmifrprr_prrprr_p fifrIKpSrr_p
cmiBAVkoW AVWoWpW
pfiB fiB
gnTG^PZ_ W[PZ_
aK W]hKB
RRD XGBG
IOh piBpiBa
pifrprbn cmDfbnebn
g iBpiBpiBXD[
cSmif ff
TFDDKH T]jK
OhKEV $
gDg H[DKH
W[ gnTG^
fiBfiBO ]
agP^PUoLL WPUhLLLLLWhWh
TFDdp YfiBf
piBTdfifrprrprprrprr fifr
$ piBH[
g[GBUPhR fiBOjKbR
\ HdcSSV
piBgdaififr_prbnWebHY R`ZDOKqicSmiBpif
agP^PUoL HFDPUh
$ VFBRkB
pifr_ pifbHYr__prr_p
XDP ngP
aipi f
if akkf
g lg
fiQbnWbWWnWWe WFGf
RRVRVoOkkfrprr_p cSSmiBifr_p
aiOhk W[PFD[dR
cSmi WdXaF
XGfr_prbnWerprpHr XGfrpr
XG f[j
cSVG mdcVbG
pifbnWer___ cmifrQ
ai UH]
HPG XDGK
gdH[[PFqFGf TdXmifbne
TFGBaG lcmiBR`YOG
OdBSP W]
R R`
fifbnWebnWWeb YfiBfifb
WDK g
cjP`` cVP````````
fiBg[[]hgP T[G^P
fiBRRY G]
XGBfiBRkBeV W[]ifiBeVWp
JVWpWD AVW
WPUhLLLLLWhW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
piB OR[ZOnd
cUEmiBXHBBApf fifr__prbHYrpr
T TT
fiWBT_T XDdR`lg]d^jK
AVWpW\VW\ AVKoWpW\g
fifrprbWg fifrprrpr
WPoU TFGBHPU
$ g]hKE
cSLVaG cV
TDXfb XGfb
W NT
cS JcSO
T[ HcmB
piB]G cSmiBOhg]
eVWoW\VW\VWoW mVW
WPG^gFDFBHPUhhLL` aiXD[PUhLLLLLWhLL
DR`[ aCD
R ]
HGfbBYi XGfbnWeb
TFGfrprrprbHYrprbneb W[[FDiFdffr__prL
eSWEp eVWp
fifrprbnebnebncWWWerp gFGfrp
HGfbBYi XGfbnWeb
c\SSS aig[dc
pif fi
ak`TOKNpOKEEC ]R
XGfbn fibn
pifbHYrp dfiXr_prrD_p
pifbnebH TdXmifbnerprbH
H] fiTH]
g R`V[]OifiBfigBWFD
aK mn
ZG RRVR
fiBXGfbn H`GBfifr__prbn
Ha] pi
g[FDFGfrp pifbner
gDg H[DKH
aci]PZ^ XDPZ
dfiXr_prrD_p RkBpifrp
Oj gLS]j
R\fU RkBpifrpr
$ piBH[
p[Wf T[dXGf
$ OhKEV
VGGGG cVG
XGBf R`ZDOKqicSmiBp
R[]O fiR`fiR`IlKEV
AVWoWpW eVW\VWipW
XDFGBcS XDc
cSSmiBa D]jRPfpPSSSf
R fiBiBR
pfiB fiB
YfiBf TFDdp
PUhWhLLLLLWhWhLLFWh TPUhLL
W[dcmiBdWFGBW[Ff fif
TPFq\FGBc cS
cmiBd^d^d^ TFDdH[PG^[]
Td GoO
TdW[[dTFDDX fDXVaaaF
WFGf fiQbnWbWWnWWe
eVcW\V $
R`pOiXD XDL
gHPUhLLWLLLmhWh^LWhWhWhL T]d^hiXGBHPUhLL
fifrIKpSr XGfbne
ebWE eVWoWoWpW
f[j XG
f[ifbnebHYr_prr_ pifr_
mXDP W[dW[[P
agF H[
cVG ADpc
aKESo $
$ HFLDr
eVWoW\VW eWoiW
XDdgP gnTG^P
TFDdH[PG^[] cmiBd^d^d^
piBH[]h $
Rk fb
$ l
G]O fiBRRYO
cSmiBRkBOd bTOdY
g[GBUPhRP fiBOjKbRP
TFG gGq
gP`L HPUhWh
HdfiBRM aKEVk
gD WPVH
aDGSYOkR R`
VGGG cV
fiBiB $
akOKFZjGGGOo fi
T]hiQifbHY XGfrprbnWe
gXG fi
mXDPP W[dW[[PP
cSSVGGP cA
WHZpV $
cVP` cWVY
R`DbMSp Ro
RRYOg XDO
$ ii_Dd
WPFqdfiBgPZIAI HNQZIA
OhKTZO BIXf
gdOdU^h cmiBpiBTd
piBfiBT $
HFG f
cSSmi X
pifrprir_p aipifrp
heVWpWpW\V XDFD[dXGBT[dAVWoW\VWo
HPq[[[o XDP
eVc AV
TPFqF YdW[q
RkBXGBHFGB XD
fiB [d
gdTd OR[ZOnd
fiBiB $
gHPUhLLWLLLmhWh^LWhWhWhLLWh gPUhLWh
cmnABfiRBXD W[
Od^d^jKc g]hiXDFD]fjKcWkkWW
piB GBTd
R[]O fiR`fiR`IlKEV
cmnABfiRBXD W[
fiBHd iZB
cmiBe R`
G] fiBRRY
g H[[]d^hKNTng
R[]O fiR`fiR`IlKEV
g[PZZ WqdWPZZ
TPUhWhWhWhWhLLLWhLLLLLLLLWhWhVLLWhWhR gPUhWhLLWhL
XDPG^PPK XGNT[fD[]
p[W gFG
gj g
XGfbne fifrIKpSr
fiBOj TDK
cmiBpiBTd gdOdU^h
piBe eVlWQ
cSSEifr_prbHYr_Vp g[FDFGfrp
$ WFD
XDGKB HPGB
jP HPFq[]h
TFDdH[PG^[] cmiBd^d^d^
TZIf_Q gPZIAIA_Q
heVWpWpW\VW\VW eVWoW
piBa E
IeVWpW AVW\VW
RLYO aKEV
edmpWoW\ eVW\
WA[FDDpR gPF
fiT $
XG TDX
O Od^CKNV`VZOiXBOd^
$ H
fifrprrp qpnQifrp
pifbH XGfbHYbGHcYoHYKH
OhiOd^d fiB\Od
cmnABfiRBXDDK W[DK
AVW\VWpWo eWp`W\Vh
fiTH H
HFD WqdW
f fi
fiBOjKb g[GBUPh
piBc c\SS
HFDFD H]\^
RRlCTOkkfr_prr_p HFLGfrprbYner__p
GoOg] cSmiBO
H`GBfifr__prb fiBXGfb
piBfi lGZM
gPUh DPUhI
WF HDKH
TFDFDD XDFGBIgD
XDdpifbH TdXmifbnerprbH
aCF fiBg]hKEMF
`B aiH[FDFGB
R`V[]OifiBfigBWFDd gd
hT W]hgdXGBW
R`DbMSpOk eVW
WdR WFGBrR
RLYO aKEV
piBaGSVoOgdgFGBgDRPSC Od^jRPfSSrfSC
RRVRVoOkkfrprr cSSmiBifr
H]hKqicSm jD
WqdW XD
HdfiBRM ak
g gj
cSSEifr_prbHYr_V agdfifbnWebHYbner__
AVW meVW
piBa Ro
XG ai
pifbnWeb ffH
piBT]hKNYOCYOCV [D
T]jRPffSSC Od^jRPfSSrfSC
H T[G^
iBpiBpiBXD[ g
ii_DdAV AV
piBHd Odd
TD piBIl[
XGfr_ f[jfr_
HFLGfrprbYner_ RRlCTOkkfr_prr
$ RRlCYOK
X cmiBfi
fiBiBR R
$ piBTPFq
AVnWW AVW
fiBOjKb g[GBUPh
ADpc cSSSV
TFGf cmSkBr
WdAVWo eVWBVWoQWo
XDPKck gDKckkWW
p $
dWD piBTD
H`GBfifr__prb fiBXGfb
RkBXGBHFGBc XDc
Od^jRPfSSrf T]jRPffS
WPFq[dOd^ OdBSP
gFDPGBE gFSDP
eWoWffoW\VrpWp AVWo
TD[h gDX
HFLGfrprbYner__prr RRlCTOkkfr_prr_prr
gdT OR[ZOn
AVW\V eWoWffoW\Vrp
ai piXD
AV eVW\VWip
fiBOjKbR g[GBUPhR
fiBaG]OiOd H]\
if TFG
cSSmiBa D]jRPfpPSSSf
bWSG^d $
lFDo piBTP
H[]d^jXaaaaaaaaaaaa RDXaac
cmifr__prbnWWerprbner__prbnW XGfr_prpn
$ fiBiB
R[ fiBiBR[
g[]d fiB\Od
g] OI
mdcVb cSV
ai XG
heVWpWpW\VW\VW AVW
gFDFGfbHYbHYbner WFUGfrQh
WFR HDKHR
GoO Td
XD[PPKc qDec
fiBRRYO G]O
cmiBpiBHdY piB
aipifrp pifrprir_p
WD TPPQKb
fifbner pifrprir_
H[]d^jXaaaaaaaa fiBiOT
eVcW gFGBAVW
eVlWQVWo AVWo
fiBRRY G]
eVWoWoWpWpWpW eVW\VQW
cSSSmieVWpWpW\VI fiBeVW\V
GBRkBcmi fi
XGBG RRD
aG]OgP bg[d`g[HP
g]hKE $
$ RRlCYOK
n aG]O
iBTiBf Hd
H[PC gP
W]jKcWkWWk HFD]QjKckWWWkW
T[ ng
GoO Td
$ fiBiB
HDRPC g[GBUPhRPSC
pifbHY piBTdfifrprrprprrpr
XDFGBIgD TFDFDD
fifbn fifrprbnebnebncWWW
W $
Xa agF
XGfr_prbnWerprpHrbH XGfrprbH
bWSG^dT HdXD
pifbnerr fifbHY
RO XDdcSVG
$ T
g XWDB
h Wd
XWDB[ g[
IeVWp AVW\V
Rk GXG
fBiBAV XGBeVW\VWoW\VW
XD[PPKc WDKkWkO[WW
eVW\VWip eVWpWoW\V
d\ipfr__ WPFqdfiBgPZIAI
eVW\VWo edmpWoW\VWo
jDif Hdfif
g fiBHFD[FDCD
XGBG RRD
gLS XD
gDK MOjKY
XDP gprP
pfiBA eVWoWoW\VW\VW\
fiBA pfiBA
gd RkP
WdXDFGf XGfr_prbnWerprpHr
eVWoWoWpWpWp eVW\VQ
TFGBT gpr
R piBaG]
Ohg $
R_kCBXDFGDBa`GjcW W]hg[[FD]j
$ HFLDr
gPG^DKckkkWWW WDKkWkO[W
WDXa WfXaa
fifbnWebnWW TDXfbn
H[ dW
edmpW eVW\VW
XaBak WFD]hKTlk
gnTG^ XDdg
lSSH RoOCD
piBpiBa IOh
gEWOCd ag
R`pOip R`ZGSlgdWf
W[PZ_ NWP_
]Rp R`Z
cSSmiB fiBHiBTHLdgQB
SPfK piBWFD[[PPK
fifrIKpS RRVRVoOkkfrp
WdR WFGBrR
OjRPSSfSC g[GBUPhRPSC
BfW[FD^ XD
fiU akk
ZY g]hKE
XGfbnerprr_ pif
g[PG R_kCBXDFGDBa`G
heVWpWpW\VW XDFD[dXGBT[dAVWoW\VWoW
TFGBTdgP H]h
eT Wd
WF HDKH
eVW\VW edmpW
gFSDPPX HFDDX
cS TPFq\FGBc
cmifr_ TLmir
AVWo WFGBc]iBUeV
R[[ aiaK
XDPG^ XDDFGJBg
cV cSLVaG
fi pfi
HFDPFq[[dT[P R_kCBXDFGDBa`
YfiBf cm
TdWPFqdgP miBgFGBjWP
XGBGB XD
Wd eT
OhKEVk k
T]jRPffSSC Od^jRPfSSrfSC
T[]h D
WFGBfiBXDPZ_ PQ_D
eWoWffoW\Vr eVWoWpW
XG_^BfiBAW AVWpWpWoW
piBH[PGj R_kCBXDFGDBa`Gj
HPZ TZIf
fiB]pBHFGf] H]hkkfr_
R`YOk WFGBrR
mVW AVWpW
fifrprrp HFLGfrprbYner__p
RRD XGBG
fiUfr HFGBfifr
R`DS [kmfrprba
qDe HdTDKbK
aKE Oh_CV
GoO Td
HPGI HPGB
T gie[B
akk i
aHF g[dOhk`YOF
R`ZDOKqicSmiBpi H[[FG
TdWPFqd H[[]d^hKNTn
$ TdaCYOkRVoOKE
eVWoWoWpWpWp eVW\VQ
fiBAVWo pfiBAV
gDKH XDDFGJBgPP
AVW eWoWffoW\VrpW
piBHDXaa fiBiOT
RkBXGBHFGBcV XDcV
XGfr f[jfr
XDMDK T]jK
c\S R[]Ok[SYOCVkBcSS
eVW\VQW eVWoWoWpWpWpW
PGrj\BN H]jKH
Ydpig] XD]
$ H
XGfrpr XGfr_prbnWerprpHr
eVlWQVWo eV
RoVQk fiB
OjK mUgWoW
pifJ fiBgPG^FGfb
HP T[G^P
AVWpW\ m
TFGBa lcmiBR`YO
W] H]g
W[PFD[dR aiOhk
VGGG cSSV
IeVWpWoW AVW\VWoW
WdiBpijXGBlH[FD[F WdcmiBX
XD[[PZZ crSN
$ T
fiQbnWbWWnWWeb pifb
g[ cmiBpiBHdYW
eVWoW\VW\VW eWoWI
GBTda fiBXGBWPG^dRRpO
bX\hW\ Wdc
fiBgfiM XGBfif
W[FGBMV fiBRRYOk
TZIf_QA g[[dTPZ
agdfifbnWebHYbner__p XD[DGfKbnReg_p
XaBa WFD]hKTl
XGfr_ WFGfWr
T $
Hg[VPUhLW`LLLWhLLLWhLWhhLhW HFDPUhW
XGBoR`lF XGBT]d^hF
XZDbbR RoOk
Hdfif f[ifbnebHYr_prr_pr
fiBHiBTHLdgQBAV cSSmiBAV
R`pOip R`ZGSlgdWf
mXD W[dW[[
fi fiU
fi fiU
RRlCTOkkfr_prr HFLGfrprbYner_
XDPG^P XDDFGJBgP
AVWo AVZ
fifrpr cmUKHYbnWerprr\prl
pifbnerrrp fifr___prbnerp
piBaXATifbm HFGfb
GBRkBcmif TFGBpifr__prbnWebnWerpr
T[dT bWSG^
GBA WPUhLL
XZDbbRoO WPFq[dOd^h
XG_^BfiBA piBeV
eVW\VWoW\VWo bX\h
AVWoWpWoWoWpW\V WFGBc]iBUeV
TPUhLWhLWhWh agP^PUoL
g]hiXDFD]fjKcWkkW gDKckkW
heVWpWpW\VW\V eV
Ro a
[dH T
cmifbHYbnerprrp XGfr_prr_prrrbHYr_prbner
cV VGGG
$ piBH[
eVWoW eVW\VWipW
SP g]h
WFGBrR W]hk
RTaO aGS
Oh aip
eZVW aKE
aCYO n
dg fiBW
f XG
