dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
train.7,OK,precomp,742,779,19688,300547,3160,40647372,174277
train.7,OK,sqrt,742,779,19688,16292,6284,5481536,175830
train.7,OK,naive,742,779,19688,193,14581,97104,175959
train.7,OK,precomp,742,779,19688,286604,3106,40647372,174277
train.7,OK,sqrt,742,779,19688,19220,5147,5481536,175830
train.7,OK,naive,742,779,19688,407,23081,97104,175959
train.7,OK,precomp,742,779,19688,306479,3689,40647372,174277
train.7,OK,sqrt,742,779,19688,26125,7975,5481536,175830
train.7,OK,naive,742,779,19688,219,22304,97104,175959
train.7,OK,precomp,742,779,19688,363493,3193,40647372,174277
train.7,OK,sqrt,742,779,19688,15577,6890,5481536,175830
train.8,OK,naive,2440,1942,18482,457,32428,327720,192370
train.8,OK,precomp,2440,1942,18482,2981175,5615,303458768,190043
train.8,OK,sqrt,2440,1942,18482,64328,9333,17971892,192675
train.8,OK,naive,2440,1942,18482,429,24188,327720,192370
train.8,OK,precomp,2440,1942,18482,2958166,6800,303458768,190043
train.8,OK,sqrt,2440,1942,18482,76909,9203,17971892,192675
train.8,OK,naive,2440,1942,18482,589,24236,327720,192370
train.8,OK,precomp,2440,1942,18482,2885304,11429,303458768,190043
train.8,OK,sqrt,2440,1942,18482,103481,9131,17971892,192675
train.8,OK,naive,2440,1942,18482,518,24017,327720,192370
train.8,OK,precomp,2440,1942,18482,2781493,4612,303458768,190043
train.8,OK,sqrt,2440,1942,18482,61817,8275,17971892,192675
train.9,OK,naive,5131,6124,16699,1962,34027,1106040,199959
train.9,OK,precomp,5131,6124,16699,18282764,8229,1598312652,197429
train.9,OK,sqrt,5131,6124,16699,237848,14076,56954384,199079
train.9,OK,naive,5131,6124,16699,1265,35065,1106040,199959
train.9,OK,precomp,5131,6124,16699,17717031,7741,1598312652,197429
train.9,OK,sqrt,5131,6124,16699,235329,17226,56954384,199079
train.9,OK,naive,5131,6124,16699,1500,34568,1106040,199959
train.9,OK,precomp,5131,6124,16699,17195710,7152,1598312652,197429
train.9,OK,sqrt,5131,6124,16699,255411,13558,56954384,199079
train.9,OK,naive,5131,6124,16699,3072,34622,1106040,199959
train.9,OK,precomp,5131,6124,16699,17682996,7881,1598312652,197429
train.9,OK,sqrt,5131,6124,16699,226803,13435,56954384,199079
trainT,OK,naive,15754,16746,15771,4670,67312,2488584,212982
trainT,TIMEOUT,,,,,,,,
trainT,OK,sqrt,15754,16746,15771,723997,31828,146724676,212401
trainT,OK,naive,15754,16746,15771,4736,77932,2488584,212982
trainT,TIMEOUT,,,,,,,,
trainT,OK,sqrt,15754,16746,15771,729754,30566,146724676,212401
trainT,OK,naive,15754,16746,15771,5972,80771,2488584,212982
trainT,TIMEOUT,,,,,,,,
trainT,OK,sqrt,15754,16746,15771,721164,31502,146724676,212401
trainT,OK,naive,15754,16746,15771,4757,67887,2488584,212982
trainT,TIMEOUT,,,,,,,,
trainT,OK,sqrt,15754,16746,15771,730801,36485,146724676,212401
