17566
bbaaabbbb baaaaabaab
ba ababab
aaabb abab
ababb aabbb
aaababbba abbbbb
aaaaaba aabababaa
aaabba baabba
abbaabbbab baaababab
bbba b
aa aaabb
baa bbab
abbbaa aaabb
bba baba
abba ababab
aabbb abbaa
abbaa baaaab
bbbaaab babbabbb
aba ba
bbbaab baaba
bababbbb aa
aabab abbb
aabbbbabb aabababab
abbbaaaab aabaabbab
baabaab aababb
bbb ba
bbabba abaabb
bbaa ab
bbbbabb ababbbaaa
bbaaaa aaabba
aab ababba
abbb baaba
abbabbb aabab
bbba aaa
abbabb abbbbaab
aaaabbaa aaaabbbb
aaaabaaab bbbbaaa
bbbbbb baaaab
baabbb bbba
aaaaa bbb
bbbb aba
abbbb abbb
bababb ababaa
ba ab
abbba aabab
aaababab aababaab
abbabb bbaaa
abaab aaaaaba
abbaaabab baabababba
aabbabab aabababb
abbabba aabaaab
abb abbaa
abbabba babbbab
baab aaa
bbbbb bbbaa
bbabba bbbabb
baabab bab
baba ababb
bb a
aba bab
babbb bbab
babbab aaaabbbaa
aabbba abbaab
abbb aaba
baba abbb
bbaa aba
bb baba
baaabb abbbbaaa
abb abaabb
aaababbb abbbbabaaa
aabbaa ababb
abababaa abbbbaba
baabab aabb
aabbaab bbbbbba
bbb a
aaabbaaba abaabbbbaa
bbbbabaaaabaa bbbaaaabaaaba
aa abbbabba
baba abaa
abbbbaaab aaaaaabab
bbbbba bbaab
bbabbbb baaab
aabab bba
bbbbabbab abbaaabaa
aaabbbba bbab
babba bbaa
aaaa bbab
baa bbbaa
aabba aaaaaa
aabaaabbb baabbbbaa
aba bba
a bbb
abaa aab
aababba aabbbb
aba bbba
bba abba
baba abab
bbbaaa baabb
aabbaabaa bbbabaaaa
bbabbb aababb
abaaabaaaaa bbbaabaaaba
abb bbb
baaaaa baab
bbaba babaab
ba abbab
baaaab baababb
aa bbbaaaaa
baabbbaa babbabb
baaaa bbabbaaa
bbba babaa
bbabba baabab
bbbab ab
babababa aaababa
bbaba baaaab
baa aab
aabaaa aaab
abbaba ba
aaab abbb
bbababb baaabbbb
abbbbb aababa
ababbbaba baabaa
abbabbb abbbaba
abbbbb ababbbaa
ababbaaab baaabbb
baaabaa abababa
bba b
abbbaab babbabaaa
baababb babab
bbbbbb bbabab
aaabbaa bbbbabb
baaab bbaaa
aaaaa aaaa
aaaabab bbbaaa
bbaaaabb aaabb
aaabb aba
aaaba baabaa
baabab bbbaab
ba babbabb
aaaab ababa
abaaabb aaabab
baaaaabb bbbbbba
ab aba
aabbb abbab
aabba bbaaaab
bbb aa
aabaabbaa bbabb
ababb aa
abababa bbbbbbba
b bbb
babab abaaa
aba abbbbba
abbbbaa baaaaab
bbaaa babaa
aabab babbb
babba bbaaa
babaa baaaa
bbbbb babaaaa
aaaaab baababba
baaaa bbaba
baabaaab baababba
aaaabaa baabbb
ababba babba
aabbbba ab
babbb aaaabb
bbb ba
baba aaaab
aaaaab a
babbbb ababaab
baaaaa aaabbbaa
bbaa ba
abbbbaaa aabaaaab
baa bab
aabb bababba
bbbaba baab
bbbbb bb
abba aaba
aaaaa abba
baab bbbabb
abbba bbabbb
aabba bbbbb
ababaaab bbbbbbbb
babbabbbb babbaaabaa
aaabaa aabbbb
aabb aaaaab
abbaaa bab
baba baa
bbbab b
aaaaab b
aaababbaaa baaaabbaa
aabb bbbab
ab babb
abab bbb
abbab aaab
baaabb babbb
aaba baaa
baaaaa ababaaa
bab b
aaaaa abaab
babb a
babb abbbbab
baa abaab
aaabbaa aaabb
aaa baaaa
ab ba
babba bbbbaa
abaa aabaaa
ba bbbaab
a aab
a b
baba aabbb
bba aba
bbbbaabaaa aaabababaa
bbbab babaab
aaabbaa aabaabb
bbbb b
abaabb bbbaab
bbbaab abbb
aaabba aaaabb
abbabbababaaa bbabbabbbbaaa
aaaaba abbaaaab
abbaba babba
babaaaababbb bbbbaabbbbb
bb abababaa
bbb aabaabb
aaaa bbba
babba baaaaab
bbaabbba bbabaaba
abbbaa bb
abbaaaab bbbbbaba
aabbab bbbbbaab
bab baaaa
bbbaabbbb abbaaaaab
abbbba bbababb
aabbaaba bbbabaaa
babbbbaaa abaababbba
abbbbaab abaaaaaa
bb aaab
bbb b
bbbba bbab
abbbaa aaabbb
bbaabab ababb
aabbb aaab
baab aabbb
aaaab babba
bb aa
baaaaa bbbbb
aaab baaa
abbbba baabaaaaabba
bbbb aabaa
baaabba abbabba
aabb babaa
bbaa baba
aabbbaba abaaaaab
baabba bbbbb
abbbaaabaab bbabbbbabbb
b a
abb abbb
aaba aaaba
bababb ababba
abaaaab babbbaa
abaabbaaaa ababbaabbb
aab ba
bbaaaa aabbaa
bbbbabab baabaa
bbba ababbab
b bbba
babaabb bbaa
bbaaaaab baaababb
aaba aaaa
baabaa baabbb
bbabb a
babbbbabb abbaaabb
abbab aab
ababaab baaaa
abbbaabb aabbbaa
aaaabb abab
babbaaba aaabaaaaaa
abbaaab ababaa
bab baa
baab b
abaab bb
aaaaab abbbab
abaa bab
bbbaab bbaa
bbba bbabbb
abbab bbaba
aaaab aabba
aabbbaba baabbaa
aaaaaaa baaabb
abbab aaaa
bbbaaba aabbaaaa
aabbaabab abaabaaab
bbbbbbaabab bbababbbaaa
abbb babab
bbbb bbba
baab aaa
aa bab
a babba
bbaaaa abab
bbbaabb babbab
aabbaaaabb aaabbbbbb
aabbba aaabb
aababbab bababaa
abaabb babababa
aaaabba abbba
aaaba baabb
babba ababaaa
bbbbabbbaa aaabbbaabba
bbbbaaa bbbaaab
abaabb aab
abab baa
aaaaaa bbab
baba baaaba
abbabba bbbabaa
bbabaaab baaabaaabb
abbbbaaa bbaaaabb
abaaab aaba
bbaa bbba
bbbabbbb babbbbabb
aaaabbaaa aabaabaab
bbaaaa baaab
aba bbbb
bbbabab baaaabb
ab ababab
abbabaa baabbbb
bbbabb bbabbb
abba bbba
bbbb bbaaaabb
aa a
baaab bbab
abbbbab baabaaaaa
abaaa babbb
baabb aaaba
babbabababbaa aaaabbabbbabb
aaaab bbb
bbba abba
baaaba baabba
bab bbaabbb
bab baa
abbbbbba abbabab
baaa bab
abaabaaa baababa
bbabb baa
babba bab
aabbab aaaaaab
bbaba aaaab
bb bbab
aabbaa baa
aaaaba bbaabb
aaaa aabbba
bbbab a
aaaa b
aa ab
b aa
ababa bbbba
ba bb
abbabb aaaaaa
abbabaa aabbbbab
bbbaba ab
bb aaa
babba aaaa
bababa baaabb
ababaabbb baabaabbaa
babbb aaaa
abbaba aaaabb
abababaab aabababa
baaba aaabbb
babaabbb ababbabba
bbbabbabbbab aaabaa
baba bbaaa
abbbb bbbb
aaaabaaa babbbbaabb
babaa bb
bab aabb
bba baaaa
baaa ababa
bbaaab bbab
baabbbba baaaabab
aaa ab
aaabaa abbaba
aa bbababa
aaababa baaaabb
bba bbb
aaaab babab
aababbba bbabbbaaa
bbbaaabb bbbbaba
b baaaa
baaaaba aabaa
bbabb bbb
bababaab bbbbaaa
abbabaabab baaaaaaaba
bababa aba
abbaab aaaab
bb babb
ab aaa
baa aaabb
bbaba aa
aaa a
baaaaba aababa
aa aabbb
aabaa babbb
abbbaaabab abbbbabbaa
bbbaaaaab aabbbbbab
baaba aaaabaa
baaa bbbbbbbb
abbabab bbaaaa
abaaaabba aababaab
b aaaa
babbb bba
bbbbba abbaaaa
baaa abaa
abaaab ab
bb abab
baabab abbbab
aab babbb
bbbbaaa aaababb
aa aaa
baaab abbaa
bbaba babbb
bbabaaba aaaabbba
bbabbb bb
abbbabb bbbbb
abbaba aabaaa
aba bbbbaa
babaaba aabbbab
babaaaa bbbaabbab
babbabb abbb
bbbbaabb bbbbbaaabab
abbbaa bbaba
bbaaab abbaabaaab
bbbbba bba
abaaa abbb
aab bbaaab
bbbabab baaab
abaab baaa
abbbaaaaaa aaabaa
bbab bbaaab
bbababb abbaa
aaaa bbba
baa ba
abba babbb
aabaaaa aaaabbab
aa bbaabb
aab bbbaa
bab bbbbbbbbbbb
aaab baabbbb
aaabb abb
abbbbabba bbbabbb
abbb babbaba
b ba
abb baaabab
aaa abaa
abbbbb bbaaaa
aabbaaa bbabbba
bbabba bababa
babba babaa
ababaa bbbbaaa
bbab baaa
baaa bbabbb
abbb bbba
aaababaab baabaa
bab aaa
bbabaabab aabbaaabaa
aabaaaaba bbaaabbbb
baab baaaa
babaaa abaabab
aababaa abbaa
bbbbab baaaab
bba bbab
bbbb bbbbb
babba bbbbb
bbbba baabbbb
bbbabaabb bbbaabbb
abab bba
abbabb bbaaaaa
abbaabb bbbbaba
aabbbba aababaa
aba baa
babbaa bbbba
bbabaaaa baababab
babbb aabb
abaaaa bbab
a bbb
baaaabab baaabaab
abbbaaa ababba
baabaab bbaab
babbb abbbba
bba abaa
bbbbb babbb
abbbaaaa bbabbaa
bbaba aaaaaa
abba bbba
babab babb
abaa abaab
bbabbbaabb baabaabbbaaba
aaaa abaa
bababbbbaaa abaabbbaba
a baab
ba ab
baabaaaa abaababa
ababb aaabaa
baaabaa aaaaaba
aaab bbbbb
aaabbabababa aabbaabbaaab
aabaabaa babaaabbb
a aab
aaabbbab bb
baaaaba bbbb
bbbb aabb
aaa aba
aabbab bbaba
babb bab
babbabb bbaaba
aabaabbab aaaabab
abbbaa abb
aabaabbaba babbbabbaaa
bbabab ababa
abaaa ababa
aabba aaa
ab bab
aaaabbba abbab
aaaaab baaabb
bbbbbabbbaa aabbabbaaab
bbabaaba aabbbbbbab
aa b
bbabbbbbbbaa baabaaaababb
aaabba bbbb
bbbabab bba
ab a
aaabaaa abbbbbba
aaabbb abbba
baaaaaa aa
babaaab aaabbbbb
baababbb abaaaba
aabbb bababa
aaabba baabb
baaaaba bbabbbb
bbab bbbbbb
baaaa bb
aaaabba aaabbab
abbbab abaaba
aaaabaab abbbbbab
baaab abbb
abbbbabaa aaaabbaaa
bbbab abbbbb
aaaab abaab
aaaa aaab
abb bbbb
baaabaa bbabaa
abbbbb bab
abbbabbaaaa aaaaaaabaabb
ababaa bbabb
abbabba aabbab
aabaabbaa babbababaabab
aaa bab
bbabaaa bbaababba
aabb aaab
abaaaba bbabba
bababaa aaaabab
babaaba abaaaba
abba abaa
bbbbbbb babbbb
abaab abaaaa
aabababa abaaaabbaa
aab abb
bbabaab abbabba
babaa bbaaa
a aba
aabbaa ababa
a b
ababa bbbba
bbb bbbba
aabb aa
abbabbaa bbaababb
abba bbb
aabbb baaaaaa
aaaaaa aaaba
bb a
aaabb abbbaa
aabbabb bbbbb
baabba aaabaab
bbaabaa aaaaaa
aaab babbba
baaaaa abbbbb
aaabbaaa bbbaab
aaababab aababbab
babb abbab
abbaab baaabb
ababba baa
babbaaa ababab
bbaaaa bbb
aabbaaa bbaabaab
bababbb abbababa
baaaab bbbaaa
bbbbaba aabaabbb
bb abb
bbbabbb abbbbba
bbbabbb abbba
aabbbaabb baabaaba
bba b
bab abb
baab aa
a ab
baaabbb babbbabb
bbbbbbaba aabaaaba
bbaaabbaa abbaaaaaa
aaabba aaabb
ababaaaa bbbbabba
aabbb aa
aabaa aaaabb
aaaaaa baaabb
baab bba
aabbba babbbba
abab aab
aaabbbba abbaaaab
bbabbabbaa baabbbabba
bbba aaaab
aaba aab
abba bbbbb
aa bab
abbbbbb bbaaa
aaabaaba aababbb
ababbaabb baabababa
abaaaa bababbb
babab baaaaaa
abbbabaaba baaabaabaa
ababaab abbbbab
bbabaababb aabbaabab
baba baa
abbaa baba
bbaa aaba
abbbaabb bab
baa abab
bbbaaaa baaababab
ababbab bbbbbb
aaaaaab aa
bababa bababaa
aaabbbaab bbbaaaaaa
ababab abbba
baaaa bbbbaa
bbbb abbb
aabaab bbba
abaab aaab
babab abbb
baaaba babbba
aab baaba
aababab abaaa
babb aababa
bbbb aabbb
aaaababa abbaabaa
bbbaa baaabb
abbabab aabbbabb
baba babba
babaaab bbbab
bbab aaa
bbaba bbabbbb
babaa abaaa
baaabb bbabba
b bb
aabab aaaba
babbabb ababa
abbba aabbb
abab aab
babb ab
aaababbabbaa aabababbabab
baaaab aaabab
aab bbaaaba
abaa baabb
abbbbaab aaabbbbb
abb aaa
bbaaaba aaabaab
bbaaaa babbbb
bbabbab abbaaba
bbbababaa ababaaaaa
aabaab baaaba
baaaaba aabaaa
babbba baaabb
aabba bbabab
bbb aaa
babbaab baaaaaa
aaaabaabb aababbaaa
abbaab babaabb
baaab bbaba
bbbbabb baabaaa
aabbaab ababab
abaa babab
abaabbabb bbabbab
baba babbb
bab a
baaaab bababb
aaa abaab
aabbb aabaaa
bbbaabb baabaabbabaa
ab bbabb
aaaaaaab aabbaaab
bbaaaba abbbbabb
aaaa bbab
bba aa
bbab baaaa
abaabaa abbaba
abb aabb
bbabbb bbab
aaa bbbab
bbbaab baaaab
babbbb abaaaaba
aaaaa baaaabbb
abaaabbabba aaaabaabaaa
baababb bbbbb
babba bbbaab
a aaaabbb
babbba aaabbbb
baaabaabaabaaabb bababbbabbbbab
aabbaabbaaaab bbbaababababbab
abbab abbb
bbababb babba
abbaa baabbb
abbaabbbb aabbaabba
babaab abbbababa
bbbba abbab
babbbab abaaba
aaa aa
abbba bbbabb
baababbab bbbbabbab
aaaaa abaab
aabba ab
bbbaababaa abaaaaaaab
baabbba baaabbab
bb abaaa
aabaabb bbbba
babba aaabab
abbabbab abbbbbba
baaaa abaaab
babba aaaabb
bbaaabbaba aabbaababb
babbababab bbbbbbba
bbaaaabba bbabaab
bbbbb abbb
aababaabb babbabbbb
aabbbbbbba baaaababbb
bbbabbbb abbabbab
abbb bab
aa abba
bbbaaabb bbbbbb
aabbbaa abaab
abababaaba baaabbaa
bbabab aabbab
bbaaab babab
bbaaabb bbbaaa
aabaaab bbabaa
bbaabab aaabbbb
abbbababb aabbaa
baaabab baaaabaab
bbbab ab
bbbbba aaba
bbabaabb aaab
abababbbb babbabba
abaabaaba aabaaabaab
baaaba abbab
baa abba
bbbabb bbba
babbab baa
ababbaa aaabbbb
baabb bab
baabba abaab
babba abaaa
baabb bab
abbab aba
b aaaaaba
aabaa babaa
bba baba
bbbb ababa
aaaaaabb baaaa
bbab aaaa
baab aba
baabbaaaa abaabaab
baaabb bb
aabbaa aababbaa
bbbbab aaaabb
abaabb ababa
baa aba
babaaab aaaaa
babaaaa babbbbab
baabbbba aaaaabaa
aabbbba aaab
babaa aaaba
aaaba baba
babbaba aaaaa
aabaaab aaaabaa
aaababab baaaaaaa
abbbbbab babaab
babbaabab aababbabbba
bbaaaabb abaababb
aabbaaba baabbbb
bbbbaaababbbba bbbbbbbaaaaab
aababa aabbbabb
aaaabb bbbb
aaaab aabbb
bbaaabaaba bbbbbaaba
aaab a
baabaabb bbbbbaab
abbbaab baabbbbb
ababbab baabb
bbbb bbaba
babbb babaa
babbabb abbabbab
aabbabaa bbbbbbab
aaaabaab baaabbbba
abab aba
abaaa aabaa
aabbaaaaa aaaabbbbbbaba
abaab aaaaa
bbbaaba aabaaab
abaa babab
aabba babab
aaabba abbbabb
aaab aa
aaabba abaaa
baa abaa
bababa aaaba
aaa aaba
abbbaba bbaaabb
bbaaaab bbaaa
baababb bbabbb
aababaa aaababba
baba bba
ababa aaaba
ba aaa
bbbabbba baabbbab
baaba abbabb
abbbba baaabbba
aaaa bbbaaa
aabb bbbab
bb ababba
baaabaab baababab
bbba aabb
abbaaabb aaa
ababaa aaab
bbabababab aababbbaab
aab babab
abab bab
ababbba aaabab
bbbba aabb
aabababb baabbaabbab
bbab bbabab
bab aaaaba
bbbbaa abaaaba
bbbaab abbabb
ab baa
baabaaba bbaaaaaba
abbbbabbb bababba
baaabab baaab
bbaaab aabb
ba aabaa
bbbbbb babbb
baabaabba baabab
abbbbaaab baabbaa
aaabb aab
aabaaabb aabaa
aaabaaabbbaa aababbbbabbb
baaaaaa bbaaaa
b abbb
bbaaa babaa
babb bbab
baabbbbb babbaaaa
ababbb aabbaab
ababb ababbb
aaaaaab aaba
aaaab ba
bbbaaaa aaaaaaa
aabbb baabba
b babb
bbaab bb
baab aabaab
babbbbbaa baababaa
bbab bbbbbbb
aaabb aaaab
abaaaba aababab
aabaaba abb
abbbbbabb baaaabbabbb
bbaaabb abaaabb
baabbbba aaaabaab
ab bb
baa ab
aabbaaaaaa ababbaaab
baabbabb bbbaababa
abaaaab baabaab
bbab baabbaa
b baa
abba abbabb
bbbabaa baab
aabbbaaaab aaaaabbabb
baa aaabbabab
abababbb bbbbaabb
aaabbba abaaaab
aaabaa aaaab
abaaaaaa babaabbbb
babbb abb
aaabbaba bbb
aaaaba bbbbaabb
bbaba baabaab
aaabb aabbb
ab aaab
ababba abaabaa
ababa bbbab
bababbaab abaaaabb
abaaaba bbabb
bbabbaa aaaaaaaa
babbbbaabbbba ababbbbaaaabb
ababa babbaa
bbbaabab bbabbbbaaa
aaabb aababb
babbba baabbbb
abaa aabb
aab bb
baaab abbbab
bbabbbabb bbabaaabaaaa
baababa aabaaaa
abbb baabbbb
bbbbb bb
abbaa abaaaa
bbaabbbbb abaaaaaaa
aabbbb babaa
babbaa aabaaaaba
babaa baa
abaa ba
ab aabbbb
ababab aaabbb
aababb aaababa
abaabab bbbaa
aabaaaaa aaaabbbb
aaa abba
bbbbaabbbbbab aaabbbaaabbab
bbaba abaabb
aaabba bbbb
bbbabab abaabbb
aabbbabab babbbbbba
bbab bbabb
baaab aaa
abababb abbabba
bbaaba abb
bbaaaab abbbbab
aaabaabbbbbb bbbaabbbbbaab
abbbba baaaaa
abbbbaaa baaabb
ababbaab bbbaaaa
aaba abbabb
baa bb
babbbaaa bbbbbbb
aabbaa bababb
baabbbaaa aaaaaba
aa baa
aabba aaaba
abbbbb bbbbbb
baabaa bbbbbbb
bbbbaab babbb
ba abaa
baaaa baba
aaab baa
baaab aaaa
aa bbbba
abaabb bba
abab babb
bbbab bbaa
b bab
bbbaa bbbaba
baabba aabb
bbbaaaaab aaabaa
bbaab abaaba
abbab aaaab
abaab aaabaa
bbbaab aababa
aaaababb bbbbba
ababb bbaa
baa b
bbababa abababb
aababbb aabaaabb
bbbaabaabbbaab bbabababbaaabb
aaabba baabaab
bbaa bbba
bbaaaabbbb abaabababa
babbab abbaba
aba b
bba aaa
babbabaaa bbabb
aaabaaaa bababb
ba aa
bbaabba abbaaaa
aaaaaba bbabbabba
ababbbababb aabaaaabbbb
b babab
abaaaa aaa
aaabbbabbba bbabaabaaba
aab baaa
baab aaabb
bababa ababa
babbbb bbaaabb
a b
aaa ab
abbbaaaaaa aaaaaaaba
ababba baabb
ababbb aaaaab
baabab abbbba
aba baab
bbbb babbbb
aabab bbbaaba
bbbbab abaaaaba
aababbaaab bababbabb
bb abbbb
aaaab aaaaabb
abbaaa abbbba
bbaab aabb
abaa babaa
aaab bbbbb
baaaabaaa aaaabaaba
aaabaa baabab
bbbbabaa babababb
babb aabaa
babaaab aabbba
bba baabbb
baaaababb baaaaa
aaabbaaaabab bbbaaabbababb
bbabaa abbbb
aababaab aabaabaa
baab aabaa
bbbaaa aabaab
aaabbaa babaaaaa
abbaba b
baba ba
bbaabba bababaa
abaaabab aaaba
aa aab
aabbbaa aaabaaa
aaa bb
bbaaab babab
aaaaababba aabbaababa
abaabbb bbbabbab
bbbaaabb aabaabbab
aabbb abbbb
bbaabab baaabba
aabbaab aaaaaaa
bba abb
bbbb bbbab
baaba ababa
aaaaabaa bababb
abbab ababb
abbaaa abbab
bbbaa babb
b ababab
ab bbaa
bbabab bababa
babaab aabb
baab baaa
bbabbab abbabba
babbbaaaa baaab
baba baaba
abbb bbaab
abaabbabb bababaaa
ababbbbb abbabbba
baabb aabaa
baabbaa bbbaabba
aabababb baaaaa
bbab bbbaa
aaabbabbab abbabb
abaab bbbbb
baabbaab babbbaa
abaa baabbbab
bbbbbbbb aaabaabb
abbaa bbabb
baabbbba abbabaaab
aaaaa abbaa
bbaba baaabb
bbb bbaa
baa baaa
aaba aaaa
bbbaa ab
bbbabaab bbbbba
aba aa
ababb bbaaba
bbbaab abaaa
aaabaab baabbba
baaaa abababa
abababb baaaaab
aba bbb
babbab baaabbaa
aaaab abababa
bba aaa
aaba aaaba
baaba aab
bbbbaba baabb
aabaa bbaa
babaabaabb baaaaaaa
aba aa
ba bb
aabbb aba
bababb baabab
baa ba
bababab b
aabab bbb
aabababb baaaabb
babbba baaaba
baa aabab
bbabbbbb bab
bababa baba
bbaaa abbbab
aaaaaab bbabbba
babbb bbbb
ba aa
aabbaa aabaaba
aab baa
aaaaaaaab aababbaa
bab bba
b aa
bbbbb baaab
ababa babbab
bbbabbbb aabbba
bbbbab aaaaaab
bb b
bb bba
bbbaab abbbbbb
baaabbbbb bbabaabaa
abbabbba bbbbbbab
bab abbb
aaaab aba
aaaa bbabbb
baabaab aabbbbb
aaababbbaaaa bbbbbabbaab
baaa aab
aaba babbb
aaaaaa bbbaabb
bbabaa aaaba
babbaaabbb baab
ab aaa
bbaab aababa
baba baaaaaba
ababbba bbbbabb
babba baaab
abbbbab ababab
babab baa
abb aaa
aaabbbabaab abbaabaaaa
bbbbbb abaabbb
baab a
bbbabb baabab
baabbb abbababa
babab baaa
abbabbb aabb
b ba
bbbbaa aabab
aaaa baabb
bbaab aaabbab
bbbaba bbbba
aaa abb
babbb abbaa
aabba abab
ab ba
bbabbb aabaabab
babbabbb bbbaaabab
aabaaba baaab
baabbbbb baaababb
abbaaba baaaabb
aababab aaababb
aaababaaaaaba abaabbbbabba
bbabbaaab bbababaab
bbaaabb baaabaab
bbba aabaa
aabaa baabab
aaab aabab
ababbbaaaaa aabbaabbbaa
aaaa babbb
ababbba aabbabb
aaa bbaa
bbbbb aa
bbab aaba
abaabbb aaabbb
aaaba a
bbbb aabbb
babaa baaba
aaaabaabaab bbababababa
bbaaaa bbaab
bbbaaa bbabb
abaaaa baababa
abab baa
bbaabaa aabba
abbbbab aababab
ababab bbbaba
aab aabb
bbbba baaba
baaaa aabba
aaabba bbabbb
bbbabba aabaab
aaabb bbabba
b a
baab aa
bababb abb
bbb bb
bbabaab abbaaab
abababb bababaa
aabbbba bbaaaba
aababba ababa
aaaaba aaa
baa bbaabb
baa aaa
babaab ababba
aba bbb
abbbbbb bbabbab
babbbba babbaba
bbaabbaba ababaaabb
baaaaa aabbaa
babbbaaa babababb
abbbb ba
aaaaab aa
babbbaaa babbaaaa
bababbb bbbbbaaa
abbbbbba bbaaaabb
babbab bbbaa
bbbbaa bababba
aa aaba
baabab baba
abbbab aaaaa
aaaa baabaa
bbbb aabb
bbbba babbb
aaaaa abbbaaa
aaaab abba
abbbbab baa
aaaabb ababbaa
bb aa
aba aab
babaaaaa bbbabbb
baabbbaa bababbbba
bbaaa aaa
bbbaaaa abbbbaab
abbaab aaabaa
babaaab aaabbbb
aabbaa baaa
baabb ba
b a
abaaa aaaa
aa babba
aabbba bbababbaa
aabbb ababa
bbaa abaa
aaaab abaaa
babba aba
bbaaaaaaba aabaaaa
ababa abaaa
bbababbaab abbbabbb
aab bbbbba
babb aabab
aabaa b
baaaaba aababba
babbab aaa
aa aaabb
bba bbaa
abbba aabbaa
baab aabb
aabb aababaaaa
babb bbabbbbbb
aabbaa baabbbbab
aaa aba
bab bbba
aaabbb aaa
bbaaa abbbb
babbaaba abababa
babaabb abbbb
bababb abaab
baab baaaa
bbbabaa babababba
babb baba
abbbaabb bbbbaab
baaab abaa
bab b
bbbbb aaa
aaabbb aaab
aaaaaab baaaa
aaabbbaaaaba bbbaaaaabaa
bbba bbbab
abbaabb baaaba
bbaba bbaa
bbaaaab aababab
baaa bbaaba
a abaab
bb aab
aaaa abbb
bb aabbab
baa bbab
ababab aaa
babab aabbbba
bbbaa baabb
ababbbaa baaaabbb
abaaabb babaaab
ababba aabbbbb
abbaaa bbaab
ababbbaab aaababbaba
bbb baaab
babaaa bbaa
aa baa
bababbbaba baabb
ababbb abbaabbaa
abbba bababa
aabababaa baaababbb
bbbbbb abaa
aaaabbbb aaaaab
bbbb aababb
abaaabbaba abababbba
aaba bba
bbaa abaab
abbaaa bbbbb
baaaa aaaa
aaaaab baab
ba bbb
babaab bbbba
abaabb abbbaba
baababa bbaab
baaabb abbaba
bb bbbb
bbbbbba aaababa
aabaaaa bbba
aababaa aaaabbba
abbaaba aab
aaaaa babba
aaabbb bbaabb
bbabbb bbbbaa
a b
babb a
bbbbb bbbbaa
babbabbbab babaaababb
baba aabb
ababbba bbababb
aabaaba aaaaaba
aaaba aaba
bababb bbabab
abbababbba baaaaabbbba
aaa b
abbbaab aaaabaa
baaabab ababbaa
bbbbbb babaa
