65350
ABABBBB BABBAAB
BBBABB BABAAA
BBAAAAB AAABABB
BBAABA AAABBB
A BB
AAB ABB
AA AAB
BABBB AAB
BA B
$ ABAB
BAA AAB
BABBA $
BBA BABA
A ABBBB
BAA ABAABB
AABB ABBBA
B AB
BAABBA BBBAAB
AA AAB
BABAAABA AAAABBBB
BABAABAAB ABBBAABA
AABA ABBB
AABA A
AAB ABA
A BAAB
AA $
B BB
AAA AAABB
ABABA AAABA
AAABBB ABBAABB
AB BBBA
AAABABB AAAAA
BBBBABA BABA
B ABABAA
ABA AA
AAABA BB
ABABAABABA BBBAABAAAA
AABAABB ABABBBB
ABA AABBB
BBA BBBA
BBBB A
AA BBB
A BA
ABB AA
BB B
BBBA BABA
A AA
AAABBB ABBAB
BABBA ABAABBA
BBABBB ABBAB
B BBA
$ A
AA AABB
BA ABAA
AAAA AB
AAAB BAB
AAA AAABA
AAB BB
AAB BBAA
BABB BBABB
ABBA ABBBB
BBA BB
ABA AA
AB BBBA
BBBAB BBBB
BBBBAA BAAAB
BA AAA
BAA AAB
BAAA BBAB
BBB BABA
ABBBB BBBAA
BABA AAABA
AB AA
AAABB B
BABBABAAABAABBB BABBAABBAAAAAAA
BAABBA BBBAABA
AAAAAB AABA
$ AB
BBAA ABBA
$ A
AABBB BABABB
AAAAAAB BBBBBABB
AA BBB
BB AA
ABBB BA
ABAA ABBB
AABAA ABB
ABB AAABA
BBBAABB ABBABABA
BAAAAAABBBB BBAAAAB
BABA AAABA
AAB BBB
BBA AB
BBBAB AABA
B AA
AABABAAA AABABBAA
BBABAB BAB
AB A
BBA BABA
BAAABABA BBABAABB
BB AA
$ ABAA
ABAA BAA
ABBA BAAA
BA A
AB BA
AAA BBB
A B
BAB AAA
BBBA BABB
B A
ABAB AAAAA
BABAAAB BBBABAB
ABAABA BBBAA
AAA BABB
ABAAA ABA
AAAA BABB
BAAA ABAB
BAAAB ABAAA
BAA BB
$ B
ABB BAAB
BB $
BBBB AAB
BAA ABBA
BA BBBAB
BBBBAB BA
$ B
BBA A
ABB BABAA
BAAA AABBBA
BB BA
AABBB BABBAB
AA BB
BABA BBAA
B ABB
BAB ABA
AAABB AAAAAA
BAABBB AABBBAA
BBA AAABA
BBBBBB AABAAB
BBAA ABAAA
AB B
B ABA
ABAB BBB
ABBAAAB AAABABB
$ BB
B BA
AAA AAAB
B ABBA
BB A
$ A
ABA ABABBAB
AAA BAB
AABB ABBA
BBAA BAAB
AA $
BABA BABABB
B BAB
BABA B
ABAA AAA
AA AB
ABABBBAB ABBABBA
ABA BAB
BAAB BABB
$ AABB
BBBABBA ABBB
BAAA AAA
BA AB
BBB AB
$ BB
AAABBA BABAAB
BBA BABBA
BABAA BAAAA
AABB ABBB
AAA BBA
BBA BABA
BBBBBB AABABB
B BBAA
BAA BBBBB
AABBA AABA
AABBB BAAAB
$ BBAA
ABABBA AAABB
ABBBA BABA
AAAA ABBB
BABBBABB BABAAAAB
BAAB ABAAB
BAB AAA
BBBBA $
BB ABA
BBBB B
BAAAA BA
BBAAB BAABBB
BBAB BBBBB
BBA B
BBB BAA
AABB BBABAB
AAABBA BBAABA
A BB
ABA BB
$ B
$ A
ABAAB AABAAB
AAAA AABB
$ ABA
$ BBB
BBB AAB
ABBBB AABA
AAAAB ABAA
AAAA AA
ABBBB AABA
ABABAABB ABBBABAB
ABBAAB ABBBA
BBBBBAB AAABBBB
AAAB BAA
BBABAB BBAABBA
AABBB B
AAAB AABA
A AAB
BABA BBB
B BB
BBB AB
AAA AAAA
BBB BAAA
BB AB
A BAA
BAAA BAB
BBAB BBBB
BBB A
ABAB AB
A AABB
ABB ABABA
AAAAB AAA
ABBBBABB AABAAABB
BBABA BAB
ABBBA BBAB
AA BB
BA BBA
B A
ABAABBB ABBABA
BB AA
ABBBB BBBBB
BA BB
AAABBA BABBBB
BAAB BBAA
AABBBB BBBBBA
AABAB BBBBAB
BB ABA
AABAB AABBB
ABB B
ABBAB AAAAA
$ A
AABBB BBBB
$ BB
BAB BBA
BABB ABABA
ABABB BBBAAB
AA BB
AAB BB
BBBB ABAA
BA BBB
BBAAAA BBBBAB
BBBB BBBABA
AABBAA ABAABA
AABB BBBB
AB B
AB AAB
AAAA A
BAAAAB AAAA
B $
AB B
ABBAB BBABA
BABBBAA BAAAAAB
BABBB A
BBBB BBBBAB
BAA BA
AAABB BBABAA
ABBAB AAAB
BA BBAB
BA BAAAB
BAABB BA
BAAABAA AAAAABB
BAB A
BAAAAB BBAABA
BBA AAB
ABB BAA
BBB ABA
ABBB BBBB
AAB BBB
$ A
BABBAABBA BABBAAABA
BBBAB BAAABA
ABABB B
BB ABAB
BBB AA
BAA AA
BBBA ABB
ABB AAB
$ ABB
AAAB AA
BBBA AAAA
BA ABAB
ABBAA BAAAAAA
BAAB AAAAAB
AA ABB
BA BB
AAABAA BBBBB
AA AAB
ABABB AAABB
AABA BAABB
BBAABBB BBAABBA
AAABAAA BABB
ABBB ABAB
BBBBBA ABABBB
BA BB
ABA ABBBB
B BAB
ABB AABAB
ABABABA BBBABAA
BAA ABBAA
ABB BBB
ABAAABABA AABBAA
ABBBA BBBAB
AB BA
AAA BAAA
ABA ABAB
ABBA BB
ABBB AAB
A $
ABA $
BAA BAAA
AB BA
BBBBA BAAAB
BAABBBB BAABB
AAB BBAA
AABAA ABABB
BA A
BBB AB
ABBB BA
$ A
BAAAA BAB
BAAA ABAB
BB AB
ABA AAAABAABB
BAAAB ABAAA
AAB AABAA
AABBBB BAAABA
ABABB AABBBA
A BBBBA
BBB AAB
BABA A
ABABBB BAAAAAA
AAA BABA
AAABA BBABA
$ A
B ABB
AABA AB
AAAABB AAAAAB
AA BA
ABA BBBBB
AAABABBA AAABBAAB
BABAA AABBAB
AB B
ABABAB ABA
A B
AAAB BBB
BABAAA BAAAB
BB BABAB
BAB A
AAAAAA ABAAB
AAABA BBBBA
AABA AAAB
BAABAAA ABBABAA
BBBB BBA
$ B
ABA BBA
AAABBA ABBBA
BABB BBAB
BBAA AA
$ A
BB AAA
AAA AA
AAAAAB ABBB
AABB AABA
BBAA AAB
ABBA AAA
AA AAABA
AAAAAAB AAABBB
BBA $
ABABB BAABB
AAB AABB
ABABA ABBBB
BA A
ABBBB BBB
BAAB ABAA
$ AB
BB BAA
BBABBB BBBBBB
ABAAABBABAAABA BABBBAABBABBBB
BABBA AABAAAAB
AAB BBA
B ABB
A ABAAB
BABAAABB BABBAABAB
A ABB
ABAA BAAA
ABB AABA
BBBA AB
AAB BAB
B $
A BA
AAAB BABBA
BA B
AAAAB BBABB
AABB A
BBB BAA
AB AA
A ABB
BAAA BBBB
BB ABB
BBAABB ABBBABB
AA BBAB
BB BA
ABAABB AABBBB
AAB ABB
ABB ABA
BAAB ABA
AAAA ABB
BABA BBB
BAA BBABB
ABB AAA
ABAA $
BA ABAA
ABBABBB BABAB
BBBB AABAB
BBBA ABBB
BBAABB B
ABBABB $
ABB A
BBAB AABB
AB $
A B
B AB
$ A
BBA ABB
ABB AAB
BBBAB ABBBA
BABBBA BAABBAB
AAABABBB AAABAAA
BBABB BABBB
AABBA BA
$ A
ABAAB BBABA
ABBBA BABBB
BBAABAAB B
AA BB
AAABB AABAAA
BB AB
ABABAA BBAB
ABB AB
BBABA AABBB
AABABB ABAAA
ABBBBB BBABB
BAAB BBBB
AABA BAB
BAB BBB
A $
BBABABBA BABBBAABB
BBBAB AAABAB
BAB AAB
A AAA
BBBBB ABAAB
BAA AAAA
ABB ABBB
BAB B
AAAA $
ABAA ABAB
BB A
AAB AB
BAAA AAA
A ABB
BB ABBBABA
BAAAABB BBBBA
B $
BBAB AABB
A $
ABAAA BABB
BB AAA
ABBBABAAB ABBBBBAAB
BAAAA BBBBA
AAA AAAA
AA AB
ABB BAAA
BA A
BAB BBAB
BBAAAAB BA
A BA
ABBABBBA ABAABABB
ABB BAAA
$ A
BBAA AAB
B A
BB AB
BABB BAAA
BABBBA BBBAAA
$ ABA
AABBB AABAB
AAABB ABABB
BB $
BAB AA
ABBB AA
AAAB AABA
A ABB
BBAB ABABA
AABB BAABA
$ BAAABB
B AA
AB BBB
$ A
ABBB ABAA
BB AA
BAAB BAAAB
BBABBBABB ABBABBAA
B BB
B BA
BAB B
BAAABA BAABAAA
AABABB BAA
BBAABB AABBAA
BABBB AABAB
AAB BBBB
ABABB BAB
AAABA AAABAA
BAAB ABB
BBABB BBBBA
BBABB BAA
BBAAAA AABAAB
B A
BABABA AABAAB
$ A
ABBA $
AAAB BABAB
BABAB AAAAAB
AABB AAAA
BABABA BABAAB
AAAAB BAA
ABAA BAB
BBA AAA
BBBAB BBAB
ABBB AAAAA
AABA ABAABB
BAAABA AABAA
BBBAAB BAABB
ABABBBA ABABABA
A AAA
B BBAA
ABBB BAB
BBBB AA
BBBAB AABBB
AAB BBABA
BAA $
A AB
BBA BBBA
AB BB
BABAA AABBB
AAAB AAA
BABA ABBB
ABABABBA ABBBAABA
$ BB
BAB ABBA
A $
ABB BAB
BA BABAB
ABB BAB
B AAAB
BABA A
AAB BAB
BABBB BBB
BAAB BABA
ABA ABBBAAA
ABAA $
BA AB
BB ABA
ABAABBB AAAB
AAB AA
BBAABB BAB
AAB BBA
B AAAB
ABAA BBBB
AAABBB BBBBAAB
BA BBA
BBBBBAB AABAAB
BBB ABA
B BBB
BB ABBBA
AB AA
BBBA AABA
ABABA BAA
AABB BAB
AA BBAB
AABABABBABB BAABAAAABBA
ABB BA
ABAB BBBB
BBBB BAB
BAB BAA
BBBB BBBAB
AABBABBAA BAAAABAABA
BAABB BAABBBA
BBAB AAB
BBBB ABAA
AAAAAB ABAB
BBBBABA BBBABB
B ABB
B AB
A AABB
B AB
AB BBABA
AABBBB ABABA
BABABBA BAAABAAAB
AB AAA
BBBAAB AABBBB
ABB BAAB
BBBBAA ABBBB
BABA BBAA
BABA BABBA
ABABBA BAAAAA
ABBB BABA
B BAAA
AABABA AAABAB
A $
A BAAB
AAB BB
AAB AABB
AABA AABB
ABAAB ABBABAB
AAAA ABABB
B AABB
ABA B
BABBB BAABB
AABB ABBAA
AABAAABB ABBAABB
AAABA AABA
BABBB BAAB
BABAABBB BAAAAB
ABAAA BAABAA
ABAB $
A AAA
BABA ABBB
ABBAAB AABBB
$ BBABAB
AB BB
BAAB ABA
BBAAB BAAB
BAAA BB
AAABAB BBBAAB
BBBAB AAABA
BB B
BB A
ABAA AABB
AAABBA ABAB
ABBAAA BABA
BBB AB
BAA BB
AABB A
A BA
BBBA ABBB
BB AA
B A
AA BB
A AB
ABA AB
ABABBBBAB BAABBABB
BABBBAAABB BAABAABBAB
BAABBB AB
A BAB
B $
ABABBAAA BABAAABA
ABAABBB BBABB
B A
AA BA
ABBBA BBB
AA B
AABBBAAAB ABAAABBAB
BBAAB ABBB
AB BABB
ABBAB AABA
ABAB ABB
BAA BAB
BBBA BABB
ABAB $
BBBB B
AAB AA
$ BA
AB B
ABBAAA AABBBA
AABB AAAB
BBA AB
BABABBA AAAAB
BBB A
BAA AB
BBBAB BAABB
B BAB
AA BBBA
AB AAAA
BAAB A
BA $
ABBAAABABA ABBAAABAA
A $
$ ABA
BABB B
AAB A
ABBA BABB
BBBA BB
AABAAABABB ABBAAABABB
AAAA BAAAA
AB ABABB
BBBBA BBAB
BA B
AABBAA BABBAB
BABBAA BBBAAB
AABBAB AAABAA
BBABAB ABBABBB
ABBBBBA ABBBBAB
AABAB BABBB
BBBB A
B BB
AABABAA BBABBB
BB AAA
AAAA ABA
BA BBBB
AB BBB
BB A
AABABAA BBBBAAB
BABB BBB
BBBB AABB
AAA BABBB
AA BBAB
AAAB BAB
AAB AB
BABB ABB
ABBB BABB
BABB BAB
BAA BBBBA
BABBA AAAAB
ABBB BABAAB
BABAAB AAAAAB
BBB $
AA AB
AB AA
ABBAA BAA
BBABB BBAA
ABA BAA
BABA ABAA
AABBA AAAAB
BBABBA ABAB
BA BBA
BBB ABA
BAAB AAAA
BAAA ABAB
AAAB BA
AAAB $
AAAB ABA
BBBB AAB
BABBA BABBB
BABB ABBBB
ABBBB BAAAA
BABA AA
A BAABA
AABBBA BABBBB
BB AABAA
AB BBBA
ABBABB BBAAAA
ABA BAA
AAA BAB
ABBBABBB BAABBBB
BABA BBAB
AB BA
$ BABAAB
BBB ABAB
B AB
ABBBB $
AAAA BBBA
AAB ABB
B BB
AAAA AAB
BBABBA BBBABB
BBBBAAA BABABAA
BB BBABAB
AAABB ABAAA
A AABABA
B AB
BABBA ABAB
BB BAB
BAAA BBAA
BAABA AAAAA
BAABBA BAAAA
ABAAB BABBA
BAA AABA
AB BBA
BAB BBAB
BAA BB
AABAA BBBAB
BBA AAAA
BABABB ABBBA
BAABAA ABBAAB
ABBBABBBBB AABAABAAABB
BAAA BBBBB
BA ABA
BB AABB
BBB B
AB A
BBA AAA
AABABA BBAABB
AAA BBB
ABAABAAAA BBBABABABA
AAB BAAB
A $
BABA A
BBB A
BBBB BB
ABBAA AABB
AAA BBAB
A $
AAAA BBAB
B AB
BBBB ABAA
BBB ABAB
BAB AAAA
ABAB ABBAA
ABBB BBBBAB
$ A
BBBBB AAABBB
AAABABB BBAAAAB
ABAB AAAB
AAAA ABBA
ABAA B
BBA BAB
AAA BBBB
BABAA BAAAA
BAAA BBBB
A ABAAB
B $
BAAA AAAAB
ABBB BAA
BAAB BABAB
BB B
B AB
BBA AA
BAAA AB
ABAA ABBB
BBB ABB
A AB
BAAA BABA
BAA ABB
BA BBAB
ABA AA
BBABAAB ABABAAA
BABABA AB
AAA BBA
AABBA BAAA
BBBA BAABAAA
BAB AAA
BAABABBBBB BBABBBBBB
BABABBB BAAABBAAAAAA
ABABA ABBBBB
BAAB BBB
$ BBBB
BA BAB
ABAA BAABBA
BAABA BBB
BAABAAB ABABAAB
BABBA A
BAA AA
AB $
BBAA AA
BABAABAA ABBBABAB
BBAABAAB ABABA
